age,sex,hhtyp,indic_il,workint,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,CZ	19.4 	22.6 	26.9 	27.5 	22.2 	22.3 	32.6 	33.7 	30.5 	20.4 	25.2 	35.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,DE	22.3 	32.7 	32.0 	37.1 	26.6 	32.5 	36.7 	39.1 	28.3 	31.1 	33.0 	30.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,DK	19.7 	47.3 	29.5 	36.8 	24.9 	24.9 b	22.8 	20.8 	23.3 	24.9 	29.5 	32.8 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,EA18	21.7 	26.5 	27.0 	25.9 	24.1 	27.6 	30.4 	25.7 	25.6 	28.2 	29.5 	27.7 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,EA19	21.8 	26.6 	27.1 	26.0 	24.3 	27.7 	30.4 	25.9 	25.8 	28.3 	29.6 	27.8 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,EE	46.9 	60.0 	39.7 	35.0 	38.1 	40.2 	46.6 	43.4 	47.7 b	39.2 	49.6 	47.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,EL	22.7 	25.2 	24.3 	29.5 	30.0 	30.4 	31.7 	28.2 	30.4 	29.0 	33.7 	34.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,ES	22.0 	25.6 	25.8 b	22.6 	22.3 	20.6 	31.0 	16.9 	21.5 	28.7 	27.6 	27.0 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,EU27	23.6 e	27.4 	27.2 	27.0 	26.1 	28.1 	31.8 	27.7 	28.1 	30.9 	31.7 	28.9 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,EU28	: 	: 	: 	: 	26.0 	27.9 	31.6 	27.5 	28.1 	30.9 	31.7 	28.9 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,FI	34.8 	31.5 	30.8 	30.3 	31.2 	38.6 	24.1 	32.5 	31.2 	25.9 	25.6 	23.2 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,FR	26.9 	25.1 	28.4 b	20.2 	24.4 	31.6 	31.9 	27.1 	19.8 	26.6 	36.0 	25.2 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,HR	: 	: 	: 	: 	22.2 	20.7 	20.8 	18.9 	31.2 	29.6 	27.0 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,HU	25.1 	28.7 	21.0 	21.7 	22.5 	29.5 	28.1 	40.2 	29.6 	52.5 	43.3 	42.6 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,IE	31.2 	31.4 	13.0 	13.1 	5.3 	14.8 	14.3 	15.9 	25.1 	18.1 	17.4 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,IS	26.4 u	32.6 	50.5 u	47.0 u	36.0 	37.7 	29.8 	31.5 	28.0 	33.4 	39.0 p	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,IT	17.2 	25.8 	25.6 	23.2 	22.9 	27.7 	28.0 	23.9 	27.5 	29.1 	26.8 	25.9 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,LT	49.6 	38.6 	35.9 	47.3 	52.6 	36.2 	33.5 	48.3 	48.7 	56.8 	47.5 	44.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,LU	26.2 	22.6 	26.2 	26.6 	21.4 	21.7 	18.7 	17.6 	16.8 	32.3 	28.1 b	28.9 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,LV	53.7 	57.3 	60.6 	55.2 	43.1 	47.9 	42.2 	40.7 	38.3 	45.8 	48.2 	46.6 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,MK	: 	: 	: 	: 	: 	: 	30.5 	22.3 	19.0 	21.0 	23.6 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,MT	9.1 	15.5 	17.5 	11.4 	17.9 	24.0 	21.0 	15.5 	17.6 	25.1 	23.9 	25.1 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,NL	13.8 	19.4 	16.9 	8.6 	17.7 	13.7 	21.4 	22.7 	24.4 	21.7 	17.1 b	18.3 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,NO	39.1 	36.9 	44.6 	32.2 	19.5 	24.0 	40.4 	36.0 	42.6 	32.8 	31.2 	11.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,PL	23.1 	24.8 	21.4 	22.8 	33.2 	27.9 	31.4 	29.6 	29.7 	34.7 	34.3 	30.3 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,PT	23.0 	33.3 	28.0 	26.4 	27.2 	36.2 	25.6 	22.7 	28.8 	27.8 	30.9 	35.7 
