na_item,sector,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
B9,S13,MEUR_NSA,PL	-1932.5 	-6238.6 	258.8 	-2644.1 	-1768.3 	-5833.3 	858.1 	-2023.3 	-534.6 	-6109.6 	3113.5 	: 
B9,S13,MEUR_NSA,PT	-636.4 	-3068.4 	-1486.0 	-1327.6 	-1001.7 	150.1 	-4849.3 	-1007.1 	1130.4 	-983.4 	-434.3 	: 
B9,S13,MEUR_NSA,RO	172.2 	-1903.1 	-789.3 	-964.3 	-119.6 	-3164.1 	-931.6 	-1426.6 	-370.5 	-2730.5 	-1679.0 	: 
B9,S13,MEUR_NSA,SE	604.7 	-3054.4 	1329.9 	4405.1 	1446.3 	-1516.5 	1451.9 	4284.2 	1428.2 	-876.3 	137.6 	: 
B9,S13,MEUR_NSA,SI	-213.7 	-164.1 	-355.2 	-63.6 	-164.0 	-198.0 	-110.2 	66.5 	16.3 	40.8 	59.7 	: 
B9,S13,MEUR_NSA,SK	-380.5 	-934.7 	-354.9 	-404.2 	-280.6 	-750.9 	-178.0 	-142.1 	-262.0 	-302.4 	-120.3 	: 
B9,S13,MEUR_NSA,UK	-28913.4 	-40804.4 	-1790.0 	-24871.0 	-18185.8 	-24578.9 	11022.1 	-23208.1 	-10972.5 	-18635.0 	6107.3 	-15772.2 
B9,S13,PC_GDP_NSA,AT	-0.6 	0.4 	-3.4 	-0.1 	0.7 	-3.5 	-0.8 	-1.2 	1.8 	-2.6 	0.2 	: 
B9,S13,PC_GDP_NSA,BE	-5.8 	4.1 	-10.0 	1.0 	-6.9 	5.0 	-7.7 	2.4 	-5.4 	5.7 	-7.5 	: 
B9,S13,PC_GDP_NSA,BG	-1.4 	-6.2 	4.6 	4.1 	0.9 	-7.0 	2.9 p	3.4 p	4.9 p	-6.6 p	3.5 p	: 
B9,S13,PC_GDP_NSA,CH	0.8 	0.7 	0.5 	0.4 	0.3 	0.2 	1.0 	1.2 	1.3 	1.1 	1.1 	: 
B9,S13,PC_GDP_NSA,CY	3.4 	-8.8 	3.8 	-3.7 	4.4 	-3.0 	3.7 	-1.9 	7.9 	-2.7 	6.3 	: 
B9,S13,PC_GDP_NSA,CZ	0.8 	-2.6 	-0.3 	2.5 	2.1 	-1.5 	0.3 	3.3 	2.6 	0.1 	0.7 	: 
B9,S13,PC_GDP_NSA,DE	0.7 	0.6 	0.4 	2.2 	-0.2 	1.6 	1.1 	1.7 	0.8 	1.2 	2.2 	: 
B9,S13,PC_GDP_NSA,DK	-1.1 	-0.1 	-2.1 	0.6 	-1.3 	1.0 	0.6 	1.7 	0.6 	1.4 	-1.2 	: 
B9,S13,PC_GDP_NSA,EA18	-1.6 	-1.4 	-3.2 	-0.9 	-1.6 	-0.6 	-2.2 	-0.8 	-0.7 	-0.2 	-1.4 	0.4 
B9,S13,PC_GDP_NSA,EA19	-1.6 	-1.4 	-3.2 	-0.9 	-1.6 	-0.6 	-2.2 	-0.8 	-0.7 	-0.2 	-1.4 	0.4 
B9,S13,PC_GDP_NSA,EE	1.8 	0.1 	-1.1 	1.5 	0.3 	-2.0 	-1.6 	0.4 	0.3 	-0.7 	-2.5 	1.8 
B9,S13,PC_GDP_NSA,EL	-1.9 	-8.8 	-4.7 	0.4 	5.6 	0.4 	-2.5 	0.5 	5.4 	-0.8 	-1.0 	: 
B9,S13,PC_GDP_NSA,ES	-0.6 	-7.8 	-3.3 	-9.1 	0.8 	-6.3 	-1.9 	-6.9 	2.7 	-6.0 	-1.4 	: 
B9,S13,PC_GDP_NSA,EU28	-2.0 	-2.4 	-2.4 	-1.2 	-1.6 	-1.5 	-1.2 	-1.1 	-0.7 	-0.9 	-0.8 	0.0 
B9,S13,PC_GDP_NSA,FI	-2.1 	-8.7 	-1.3 	2.8 	-1.0 	-7.3 	-0.3 	4.7 	-1.7 	-4.8 	0.5 	: 
B9,S13,PC_GDP_NSA,FR	-3.9 	0.1 	-7.0 	-2.0 	-4.2 	-0.5 	-6.4 	-1.2 	-3.5 	0.5 	-6.3 	: 
B9,S13,PC_GDP_NSA,HR	1.3 p	-2.7 p	-6.7 p	1.1 p	3.1 p	-2.2 p	-2.0 p	-1.1 p	3.9 p	1.5 p	-1.9 p	: 
B9,S13,PC_GDP_NSA,HU	-1.4 	-1.3 	1.4 	-0.1 	1.0 	-8.0 	3.5 	-0.8 	-3.8 	-6.4 	-0.4 	0.2 
B9,S13,PC_GDP_NSA,IE	-2.0 	-1.3 	-2.7 	0.6 	-2.2 	2.0 	-1.9 	-0.2 	-2.3 	2.7 	-2.0 	: 
B9,S13,PC_GDP_NSA,IS	-1.5 	2.9 	67.8 	2.1 	1.7 	-13.8 	1.5 	1.4 	0.4 	2.8 	1.5 	: 
B9,S13,PC_GDP_NSA,IT	-2.1 	-2.0 	-5.2 	-0.6 	-2.3 	-1.9 	-4.0 	-1.9 	-1.9 	-1.6 	-3.5 	: 
B9,S13,PC_GDP_NSA,LT	1.4 	-2.0 	-2.4 	3.9 	1.2 	-1.9 	-0.1 	3.6 	1.8 	-3.2 	-0.5 	: 
B9,S13,PC_GDP_NSA,LU	0.2 	2.0 	-1.7 	4.6 	0.9 	2.6 	-2.4 	5.5 	1.8 	0.6 	-1.8 	5.7 
B9,S13,PC_GDP_NSA,LV	0.0 	-6.3 	3.0 	2.3 	2.3 	-6.5 	1.3 	4.3 	1.4 	-8.3 	4.1 	: 
B9,S13,PC_GDP_NSA,MT	-0.5 	4.2 	-3.0 	0.6 	1.2 	4.9 	1.5 	0.9 	5.8 	7.3 	-0.9 	: 
B9,S13,PC_GDP_NSA,NL	-3.4 	-0.9 	1.0 	-1.0 	-1.2 	1.3 	3.9 	-0.7 	-0.3 	2.0 	5.3 	: 
B9,S13,PC_GDP_NSA,NO	4.7 	3.3 	6.7 	7.2 	0.9 	1.3 	5.6 	7.7 	2.3 	2.1 	5.6 	: 
B9,S13,PC_GDP_NSA,PL	-1.8 	-5.2 	0.3 	-2.6 	-1.7 	-4.9 	0.8 	-1.8 	-0.5 	-4.6 	2.7 	: 
B9,S13,PC_GDP_NSA,PT	-1.4 	-6.8 	-3.4 	-2.8 	-2.1 	0.3 	-10.6 	-2.1 	2.3 	-2.0 	-0.9 	: 
B9,S13,PC_GDP_NSA,RO	0.4 	-4.0 	-2.4 	-2.4 	-0.3 	-6.2 	-2.6 	-3.3 	-0.7 	-4.9 	-4.3 	: 
B9,S13,PC_GDP_NSA,SE	0.6 	-2.5 	1.2 	3.6 	1.3 	-1.3 	1.3 	3.5 	1.2 	-0.7 	0.1 	: 
B9,S13,PC_GDP_NSA,SI	-2.1 	-1.7 	-3.8 	-0.6 	-1.6 	-1.9 	-1.1 	0.6 	0.1 	0.4 	0.6 	: 
B9,S13,PC_GDP_NSA,SK	-1.8 	-4.6 	-1.9 	-2.0 	-1.3 	-3.6 	-0.9 	-0.7 	-1.2 	-1.4 	-0.6 	: 
B9,S13,PC_GDP_NSA,UK	-4.4 	-6.1 	-0.3 	-4.0 	-3.1 	-4.2 	1.9 	-4.0 	-1.9 	-3.2 	1.0 	-2.7 
B9,S13,PC_GDP_SCA,AT	-2.3 	0.8 	-1.7 	-0.8 	-1.2 	-1.9 	0.1 	-1.1 	-0.1 	-0.9 	0.7 	: 
B9,S13,PC_GDP_SCA,BE	-1.6 	-2.0 	-3.6 	-2.2 	-2.8 	-1.4 	-1.1 	-1.2 	-0.8 	-1.0 	-0.3 	: 
B9,S13,PC_GDP_SCA,BG	-3.4 	1.2 	1.0 	0.4 	-0.9 	0.5 	0.4 	-0.8 	3.0 	0.4 	2.4 	: 
B9,S13,PC_GDP_SCA,CH	0.8 	0.7 	0.5 	0.4 	0.3 	0.2 	1.0 	1.2 	1.3 	1.1 	1.1 	: 
B9,S13,PC_GDP_SCA,CY	: 	: 	: 	: 	: 	: 	: 	: 	2.9 	: 	: 	: 
B9,S13,PC_GDP_SCA,CZ	-0.5 	-1.3 	0.8 	0.6 	0.8 	0.7 	1.0 	1.3 	1.4 	2.0 	1.7 	: 
B9,S13,PC_GDP_SCA,DE	1.8 	0.4 	0.7 	1.0 	0.9 	1.4 	1.4 	0.5 	1.8 	1.0 	2.4 	: 
B9,S13,PC_GDP_SCA,DK	-2.0 	1.3 	-1.7 	-0.5 	-0.7 	1.2 	1.1 	0.7 	0.7 	2.1 	-1.1 	: 
B9,S13,PC_GDP_SCA,EA18	-1.8 	-2.0 	-1.9 	-1.6 	-1.7 	-1.0 	-1.2 	-1.4 	-0.8 	-0.6 	-0.2 	-0.1 
B9,S13,PC_GDP_SCA,EA19	-1.8 	-2.0 	-1.9 	-1.6 	-1.7 	-1.0 	-1.1 	-1.4 	-0.8 	-0.6 	-0.2 	-0.1 
B9,S13,PC_GDP_SCA,EE	0.7 	0.3 	0.5 	0.2 	-0.3 	-1.1 	-0.3 	-0.9 	-0.5 	-0.1 	-0.8 	0.5 
B9,S13,PC_GDP_SCA,EU28	-2.2 	-2.2 	-2.1 	-1.7 	-1.8 	-1.1 	-1.0 	-1.5 	-0.9 	-0.5 	-0.5 	-0.3 
B9,S13,PC_GDP_SCA,FI	-2.5 	-2.9 	-1.9 	-2.5 	-1.0 	-1.6 	-1.3 	-0.4 	-1.6 	0.9 	-0.4 	: 
B9,S13,PC_GDP_SCA,FR	-3.7 	-3.1 	-3.5 	-3.4 	-3.6 	-3.1 	-3.0 	-2.4 	-2.7 	-2.3 	-2.5 	: 
B9,S13,PC_GDP_SCA,HR	: 	: 	: 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 
B9,S13,PC_GDP_SCA,HU	-1.9 	0.1 	0.8 	-0.7 	0.7 	-7.1 	2.5 	-1.5 	-4.2 	-5.4 	-0.9 	-0.4 
B9,S13,PC_GDP_SCA,LT	-0.8 	-0.2 	-0.2 	0.6 	-0.3 	0.4 	0.5 	0.6 	0.6 	-0.1 	0.6 	: 
B9,S13,PC_GDP_SCA,LU	0.8 	1.7 	1.3 	1.4 	1.4 	2.3 	0.9 	2.0 	2.3 	0.4 	1.4 	2.3 
B9,S13,PC_GDP_SCA,LV	-1.7 	0.2 	0.0 	-0.2 	0.4 	-0.4 	-1.1 	1.6 	-0.7 	-1.4 	1.5 	: 
B9,S13,PC_GDP_SCA,MT	-1.2 	0.9 	0.1 	0.5 	1.2 	1.5 	3.9 	3.6 	4.5 	2.8 	2.5 	: 
B9,S13,PC_GDP_SCA,NL	-2.0 p	-1.5 p	-1.3 p	0.4 p	0.3 p	0.9 p	1.3 p	0.7 p	1.2 p	1.7 p	2.5 p	: 
B9,S13,PC_GDP_SCA,PL	-2.4 	-2.0 	-2.6 	-2.3 	-2.4 	-2.0 	-2.1 	-1.4 	-1.2 	-1.6 	-0.9 	: 
B9,S13,PC_GDP_SCA,PT	-2.5 	-7.4 	-2.2 	-2.4 	-3.0 	-0.3 	-9.4 	-1.6 	1.2 	-2.1 	-0.5 	: 
B9,S13,PC_GDP_SCA,RO	-2.0 	-0.9 	-2.5 	-2.8 	-2.5 	-3.5 	-2.7 	-3.5 	-2.9 	-2.3 	-4.2 	: 
B9,S13,PC_GDP_SCA,SE	0.6 	0.1 	1.2 	1.1 	1.2 	1.2 	1.4 	1.1 	1.2 	1.5 	0.4 	: 
B9,S13,PC_GDP_SCA,SI	-2.7 	-2.2 	-2.4 	-1.0 	-2.0 	-2.2 	0.1 	0.1 	-0.1 	0.1 	1.5 	: 
B9,S13,PC_GDP_SCA,UK	-4.3 	-3.9 	-3.3 	-3.3 	-3.0 	-2.2 	-1.1 	-3.1 	-1.8 	-1.2 	-1.9 	-1.8 
