unit,indic_il,sex,age,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,LI_R_MD60,T,TOTAL,LU	14.1 	13.5 	13.4 	14.9 	14.5 	13.6 	15.1 	15.9 	16.4 	15.3 	16.5 b	18.7 
PC,LI_R_MD60,T,TOTAL,LV	23.5 	21.2 	25.9 	26.4 	20.9 	19.0 	19.2 	19.4 	21.2 	22.5 	21.8 	22.1 
PC,LI_R_MD60,T,TOTAL,MK	: 	: 	: 	: 	27.0 	26.8 	26.2 	24.2 	22.1 	21.5 	21.9 	: 
PC,LI_R_MD60,T,TOTAL,MT	14.2 	15.1 	15.3 	14.9 	15.5 	15.6 	15.1 	15.7 	15.9 	16.3 	16.5 	16.8 
PC,LI_R_MD60,T,TOTAL,NL	9.7 	10.2 	10.5 	11.1 	10.3 	11.0 	10.1 	10.4 	11.6 	11.6 	12.7 b	13.2 
PC,LI_R_MD60,T,TOTAL,NO	12.0 	11.9 	11.4 	11.7 	11.2 	10.5 	10.0 	10.9 	10.9 	11.9 	12.2 	12.1 
PC,LI_R_MD60,T,TOTAL,PL	19.1 	17.3 	16.9 	17.1 	17.6 	17.7 	17.1 	17.3 	17.0 	17.6 	17.3 	15.0 
PC,LI_R_MD60,T,TOTAL,PT	18.5 	18.1 	18.5 	17.9 	17.9 	18.0 	17.9 	18.7 	19.5 	19.5 	19.0 	18.3 
PC,LI_R_MD60,T,TOTAL,RO	: 	24.6 	23.6 	22.1 	21.6 	22.3 	22.9 	23.0 	25.1 	25.4 	25.3 	23.6 
PC,LI_R_MD60,T,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	24.5 	25.4 	25.4 	25.5 	: 
PC,LI_R_MD60,T,TOTAL,SE	12.3 	10.5 	13.5 b	14.4 	14.8 	15.4 	15.2 	16.0 	15.6 	16.3 	16.2 	15.8 
PC,LI_R_MD60,T,TOTAL,SI	11.6 	11.5 	12.3 	11.3 	12.7 	13.6 	13.5 	14.5 	14.5 	14.3 	13.9 	13.3 
PC,LI_R_MD60,T,TOTAL,SK	11.6 	10.6 	10.9 	11.0 	12.0 	13.0 	13.2 	12.8 	12.6 	12.3 	12.7 	12.4 
PC,LI_R_MD60,T,TOTAL,TR	26.7 	24.7 	24.7 	25.3 	24.4 	23.5 	23.7 	23.1 	23.0 	22.5 	: 	: 
PC,LI_R_MD60,T,TOTAL,UK	19.0 	18.6 	18.7 	17.3 	17.1 	16.2 	16.0 	15.9 	16.8 	16.6 	15.9 	: 
