Country,id,Unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Hungary,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4009.65,4012.71,4018.92,4081.52,4195.87,4236.99,4230.29,4226.92,4226.89,4186.44,4174.19,4192.22,4197.97,4115.47,4012.92,3969.25,3969.42,3975.8,4019.46,4213.65,4315.55,4429.5,4516.99,4557.463,4578.194
Malta,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.2,136.778,138.527,139.737,140.432,144.86,147.12,147.51,147.21,148.19,146.4,148.98,149.39,148.82,149.37,151.26,153.51,156.95,160.94,161,163.79,168.62,172.83,179.28,188.51,195.93,203.82,214.76,223.15,230.831
Netherlands,NETD,1000 persons,4591.76,4696.421,4831.865,4929.344,5045.292,5123.275,5209.467,5242.302,5328.494,5455.729,5543.183,5603.181,5578.775,5624.536,5667.246,5672.331,5726.227,5780.124,5848.257,5971.303,6055.706,6028.25,5938.762,5885.882,5933.677,6044.52,6187.905,6320.103,6433.997,6606.872,6808.221,6939.402,7037.026,7065.499,7115.328,7276,7427,7656,7838,8063,8210,8371,8428,8381,8283,8339,8519,8771,8914,8838,8778,8854,8836,8732,8724,8806,8901,9099,9276.733,9397.219
Austria,NETD,1000 persons,3364.673,3392.261,3404.994,3385.894,3381.65,3360.429,3327.535,3269.176,3228.855,3225.672,3237.344,3274.481,3297.825,3353.001,3384.833,3368.917,3379.528,3420.624,3437.756,3452.38,3483.885,3470.088,3422.736,3399.961,3397.008,3406.875,3416.943,3414.933,3444.61,3488.994,3559.882,3603.844,3620.056,3600.477,3599.744,3587.13,3601.07,3627.4,3664.13,3719.72,3754.97,3782,3778.38,3803.03,3826.82,3872.9,3940.73,4012.73,4089.13,4067.5,4098.21,4161.95,4205.16,4219.77,4259.9,4285.36,4337.23,4412.54,4477.048,4530.239
Poland,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15176.752,14889.832,14653.898,14786.861,14964.172,15177.123,15354.403,14749.531,14516.6,14194.8,13766.3,13606.1,13760.3,14057,14503.9,15155.9,15731.9,15789.4,15370.3,15457.3,15474.9,15463.8,15731,15970,16060.7,16281.2,16416.599,16461.265
Portugal,NETD,1000 persons,4463.539,4494.68,4519.308,4529.846,4524.518,4532.57,4529.846,4504.034,4477.511,4450.988,4553.054,4676.433,4677.025,4657.843,4625.4,4571.644,4554.475,4568.091,4495.845,4594.147,4576.382,4624.941,4537.298,4485.186,4416.493,4416.493,4296.517,4395.044,4491.93,4577.217,4655.629,4785.665,4707.458,4611.189,4563.157,4528.98,4604.87,4725.55,4858.13,4933.24,5041.86,5130.09,5149.93,5100.19,5064.18,5040.96,5060.86,5061.58,5080.13,4941.69,4871.33,4776.73,4581.45,4450.17,4512.99,4575.82,4650.51,4802.02,4903.086,4965.011
Romania,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13265.342,13199.624,12798.464,12313.84,12252.161,11617.5,11236.4,11331.9,10990.1,10855.5,10771.6,10657.3,9573.9,9569.4,9410.4,9267.2,9330.7,9364.8,9365.9,9181,9156.1,9082.2,8645.3,8569.4,8634.6,8525.7,8449,8668.2,8748.098,8753.259
Slovenia,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,922.45,904.17,887.68,886.74,900.4,914.42,919.64,934.15,931.29,934.01,929.49,944.14,975.8,1000.82,982.9,962.1,946.02,937.24,926.7,930.03,941.56,959.74,986.44,1009.056,1024.466
Slovakia,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2107.19,2151.11,2128.91,2118.87,2065.19,2024.85,2036.51,2038.41,2060.47,2055.73,2088.91,2132.39,2176.97,2247.14,2203.16,2169.82,2208.31,2209.43,2192.25,2223.15,2267.1,2321.05,2372.26,2404.429,2433.773
Finland,NETD,1000 persons,2199.24,2241.073,2231.858,2240.452,2239.52,2265.614,2269.963,2228.233,2199.137,2232.375,2279.8,2264.5,2285.3,2328.2,2336,2323.1,2301.9,2260.1,2239,2288,2354.6,2384.2,2411,2420,2434.8,2438.7,2430.9,2444.6,2469.3,2492.7,2480.5,2340.8,2176,2046.1,2017.7,2053.6,2083,2154.5,2194.6,2249.3,2298.3,2331.6,2356.9,2360.2,2373.6,2410.6,2454.6,2506.9,2562.7,2501,2483.8,2515.5,2537.6,2519.6,2507.5,2504.1,2510.4,2539.1,2564.014,2579.216
