Country,Indicator,Unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
EU15 (including D_W West-Germany),OKND,Mrd ECU/EUR- Standard aggregation,8634.55,8978.83,9341.71,9717.06,10138.37,10568.16,11014.61,11472.6,11970.52,12512.77,13095.32,13696.37,14321.53,14981.1,15586.54,16101.61,16611.29,17117.12,17628.05,18165.7,18705.14,19169.78,19590.14,19992.49,20391.74,20805.85,21244.62,21731.47,22310.26,22965.5,23645.76,24275.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EA12 (including D_W West-Germany),OKND,Mrd ECU/EUR- Standard aggregation,6445,6729.06,7031.56,7344.08,7685.77,8032.5,8396.18,8762.67,9157.23,9595.72,10066.08,10552.99,11061.24,11601,12104.02,12536.97,12967.29,13398.05,13828.66,14275.75,14738.56,15145.93,15503.79,15836.1,16149.3,16467.44,16807.66,17174.71,17609.02,18098.64,18625.84,19137.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,OKND,Mrd EURO-BEF,272.677,280.365,289.205,297.411,308.564,320.372,333.436,346.847,358.755,371.266,385.687,399.364,412.424,427.632,444.674,461.619,479.612,496.178,512.91,528.154,546.153,556.124,564.018,569.117,574.741,581.653,589.202,598.299,613.559,633.728,657.398,676.92,695.731,711.806,727.029,742.509,756.897,773.529,790.002,806.889,824.665,841.595,853.36,862.846,876.585,892.567,908.055,927.105,946.02,957.36,966.734,978.318,989.034,998.024,1011.414,1026.177,1043.006,1059.357,1078.217,1098.339
Bulgaria,OKND,Mrd BGN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.7173,91.9902,93.0909,94.3664,94.6841,96.4869,99.564,102.5097,105.5505,109.7493,116.7608,125.4492,135.8849,151.2502,161.1729,166.3727,171.368,176.9422,182.674,187.6979,193.1128,196.8089,201.0701,206.5059,212.8234
Czech Republic,OKND,Mrd CZK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7966.01,8275.25,8509.77,8713.13,8880.86,9079.85,9300.67,9513.06,9724.09,9952.03,10213.62,10499.08,10870.72,11225.95,11445.9,11662.39,11867.02,12037.78,12157.45,12298.9,12535.71,12722.9,12951.3,13227.4,13543.74
Denmark,OKND,Mrd DKK,1586.895,1624.374,1664.671,1699.101,1749.964,1801.672,1854.553,1912.212,1971.548,2045.365,2119.894,2191.887,2274.47,2364.331,2438.473,2494.545,2572.715,2646.085,2720.232,2791.911,2841.356,2860.932,2889.23,2920.165,2962.268,3022.586,3109.055,3193.341,3256.244,3315.059,3366.113,3403.567,3431.087,3445.006,3466.72,3504.826,3549.452,3609.46,3680.808,3744.21,3825.683,3897.075,3953.549,4005.621,4061.1,4133.458,4250.115,4361.855,4445.122,4479.126,4486.467,4497.501,4519.932,4552.209,4595.544,4650.419,4724.048,4809.973,4905.459,5011.699
Germany,OKND,Mrd EURO-DEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5776.37,5947.33,6088.45,6237.02,6377.35,6506.25,6629.69,6760.4,6900.79,7039.35,7151.1,7223.2,7281.25,7333.42,7382.21,7457.76,7542.85,7624.65,7645.47,7687.2,7758.1,7818.22,7866.1,7927.57,7990.21,8060.83,8141.72,8236.75,8345.28
West Germany,OKND,Mrd EURO-DEM,2017.957,2121.674,2227.217,2329.876,2446.046,2564.899,2679.867,2774.74,2871.242,2984.138,3113.2,3249.375,3385.118,3515.46,3617.128,3702.664,3792.174,3887.408,3988.716,4100.596,4213.063,4307.123,4383.408,4462.661,4537.381,4608.906,4684.082,4760.277,4844.156,4941.515,5055.21,5176.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,OKND,Mrd EURO-EEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.86676,16.63,17.66651,19.02349,20.0054,21.16703,22.51658,24.31794,26.49312,28.68617,31.30889,34.75224,38.52917,41.32159,42.15215,42.88578,44.71,46.94451,49.02989,50.57959,51.9308,53.1503,54.82509,56.61397,58.51369
Ireland,OKND,Mrd EURO-IEP,55.5925,57.5533,59.8502,62.49,65.5584,68.9501,72.0328,75.3105,79.0618,83.777,88.3464,93.4198,98.9456,105.715,111.3608,116.8015,122.8122,128.9633,136.2532,144.9466,152.596,161.2999,169.1394,175.4778,181.5471,186.4984,191.0361,194.873,198.5496,203.3709,209.3201,213.8017,218.2129,221.7118,225.9092,231.4593,239.0614,248.9058,260.9199,275.2884,289.9854,305.5835,321.8734,339.5988,359.7456,384.1722,409.5539,434.1523,452.806,464.1802,469.7403,474.6874,483.5236,489.8331,500.3718,497.1018,519.8143,521.4684,527.013,535.9105
Greece,OKND,Mrd EURO-GRD,118.1377,126.8988,136.0591,144.1074,154.255,166.2922,179.0156,191.0988,206.8398,225.7015,243.4706,263.1339,287.6483,314.9602,331.5143,348.297,366.4942,385.4357,406.9558,428.5983,446.5968,461.3039,474.5068,487.4054,496.8326,508.1346,519.7848,528.7673,539.4161,551.242,563.9636,577.2839,588.6727,598.7378,607.1107,615.4274,625.3588,635.3617,650.9362,667.9046,684.6686,702.0996,718.0279,739.0755,760.2404,774.1234,795.1892,822.6424,843.7435,855.4091,857.1942,851.8723,838.9758,825.8715,814.2108,803.3043,793.2625,784.7142,778.9109,776.4575
Spain,OKND,Mrd EURO-ESP,515.221,526.513,540.794,558.482,580.005,607.781,640.85,677.562,716.753,760.836,805.094,844.943,894.865,955.028,1019.908,1077.609,1132.161,1184.368,1232.828,1274.426,1315.819,1352.721,1388.526,1420.558,1444.53,1471.971,1508.678,1556.437,1617.544,1692.277,1773.49,1854.461,1925.78,1980.096,2034.729,2098.16,2161.883,2229.938,2312.833,2408.285,2513.944,2624.875,2741.16,2868.555,3002.588,3150.473,3312.836,3480.609,3627.191,3712.437,3779.399,3823.87,3843.864,3853.879,3870.289,3896.941,3927.132,3965.538,4013.249,4068.584
France,OKND,Mrd EURO-FRF,1355.772,1406.614,1461.589,1522.869,1593.727,1669.268,1751.112,1839.849,1935.846,2041.169,2151.732,2268.116,2388.705,2517.331,2644.235,2752.921,2859.478,2957.241,3054.753,3153.931,3254.303,3346.414,3431.327,3504.51,3572.429,3642.122,3717.387,3800.535,3899.906,4011.736,4128.102,4233.557,4326.854,4398.101,4469.969,4542.274,4612.982,4681.732,4764.094,4863.875,4977.043,5088.835,5188.369,5287.862,5394.316,5505.13,5623.991,5758.119,5887.563,5969.858,6056.743,6148.738,6237.696,6319.261,6396.988,6473.924,6557.33,6651.739,6758.332,6872.504
Croatia,OKND,Mrd HRK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435.0702,441.5159,455.7299,469.4974,482.4428,493.2978,500.2277,515.7947,540.777,565.2448,596.6792,633.0766,672.63,718.0993,747.8518,764.3779,779.601,793.6951,807.7553,819.0461,832.063,847.8123,864.0233,883.6851,906.6915
Italy,OKND,Mrd EURO-ITL,1234.46,1298.947,1370.974,1449.142,1515.724,1567.888,1622.552,1688.7,1766.009,1851.809,1938.61,2026.006,2114.215,2212.598,2312.496,2391.606,2469.369,2547.462,2626.097,2714.554,2817.629,2912.167,2994.136,3068.51,3145.851,3220.083,3294.78,3374.283,3464.328,3558.757,3658.552,3755.718,3843.186,3895.44,3945.466,4007.827,4071.11,4134.862,4204.121,4279.331,4367.87,4458.806,4556.346,4647.187,4739.512,4832.72,4931.627,5031.182,5115.14,5160.005,5199.886,5231.21,5232.402,5214.52,5191.048,5173.531,5163.105,5161.015,5172.748,5191.055
Cyprus,OKND,Mrd EURO-CYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.61722,24.76267,25.99633,26.74719,27.86504,28.92488,29.95647,31.31016,32.68134,34.15302,35.83477,38.23725,40.91651,43.92478,46.16708,48.16718,49.53936,50.0966,50.31231,49.97893,49.88223,50.76892,52.44418,54.60056,57.12025
Latvia,OKND,Mrd EURO-LVL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.29064,17.94674,16.68468,15.9128,15.13916,14.82487,15.00133,14.97372,15.0931,15.99688,17.521,19.47828,22.39735,24.41653,24.21601,23.15392,22.71296,22.80797,22.59296,22.32309,22.13933,21.24365,20.68754,20.62451,20.81433
Lithuania,OKND,Mrd EURO-LTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1683,29.45408,30.27459,31.57171,32.54724,33.21445,34.22248,35.48432,37.12449,39.26713,41.83049,45.29595,49.99638,54.08988,54.88971,55.58469,57.17358,58.49084,60.17353,62.08636,64.19906,66.15487,68.46007,71.11499,73.93231
Luxembourg,OKND,Mrd EURO-LUF,19.2537,19.7412,20.3598,21.2261,22.3349,23.0241,23.6393,23.9892,24.157,24.3519,24.7178,25.3366,26.0968,26.8482,27.5685,28.2766,29.0132,29.8099,30.6001,31.3761,32.4027,33.269,34.1702,34.7449,35.2224,35.4728,36.3451,37.5643,39.0126,40.5593,42.1624,44.2405,45.5933,47.5918,49.4961,51.2715,52.7592,54.4185,56.376,59.0259,61.1785,63.4183,65.4865,67.5096,69.7688,71.8129,73.8987,76.6521,79.942,82.0353,84.2525,87.3556,90.7032,94.1775,97.7476,100.3217,102.7844,105.2448,107.7606,110.3235
Hungary,OKND,Mrd HUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38455.24,38947.84,39647.96,40661.13,41777.48,43051.06,44452.12,46230.29,47976.17,50067.86,52234.89,54282,56404.71,58434.86,59768.16,60379.89,60876.95,61139.91,62013.67,63537.27,65091.47,65823.22,67324.24,69567.55,72312.4
Malta,OKND,Mrd EURO-MTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.63537,8.99256,9.30827,9.62499,9.91131,10.2734,10.50387,10.5273,10.84628,11.17062,11.67468,12.15535,12.70597,13.10839,13.35346,13.85481,14.08647,14.32681,14.56145,14.88534,15.97961,17.03096,17.86078,18.71995,19.6687
Netherlands,OKND,Mrd EURO-NLG,437.405,454.688,472.229,489.388,512.698,537.251,564.561,594.508,628.939,660.933,697.989,735.743,769.46,803.555,832.455,858.494,883.486,911.667,940.103,965.372,990.561,1008.511,1023.64,1038.977,1057.138,1078.022,1101.287,1123.322,1150.124,1176.71,1202.821,1227.473,1251.194,1271.613,1292.107,1315.711,1343.052,1375.124,1410.58,1452.625,1492.874,1530.349,1559.521,1584.803,1609.04,1634.991,1668.199,1707.538,1750.175,1777.662,1795.329,1818.874,1833.065,1840.874,1850.306,1871.255,1897.099,1928.85,1966.454,2008.604
Austria,OKND,Mrd EURO-ATS,208.966,217.338,225.572,233.907,243.374,253.478,264.725,275.185,285.677,296.693,309.408,324.933,343.881,362.263,381.184,397.64,414.962,434.025,449.891,467.227,485.153,502.278,515.398,527.908,539.88,553.538,567.223,581.972,598.879,616.786,636.145,658.361,679.474,698.983,720.458,741.324,763.637,785.319,807.734,829.472,853.282,874.75,892.905,912.267,931.164,949.086,966.969,987.07,1007.299,1021.685,1033.793,1049.419,1064.726,1080.206,1094.341,1108.618,1124.643,1142.54,1162.323,1182.95
Poland,OKND,Mrd PLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1522.173,1555.7,1614.683,1692.169,1775.985,1860.566,1915.764,1954.612,1990.622,2036.844,2093.459,2173.419,2293.397,2436.774,2571.129,2701.391,2853.564,2992.192,3114.612,3257.967,3412.548,3529.678,3646.367,3785.611,3935.679
Portugal,OKND,Mrd EURO-PTE,92.3534,94.0009,95.6471,96.4345,97.5719,99.152,101.8152,104.3928,106.6471,109.4769,112.4864,117.2878,123.7962,131.6975,141.4599,147.8011,153.7008,161.927,168.4563,177.424,185.3693,196.0872,206.3725,216.1829,223.7186,230.4166,236.866,246.2985,258.0524,270.2394,283.234,296.8946,312.0576,323.8724,334.9616,344.7417,355.5784,370.2333,388.1437,407.3294,427.008,445.9273,462.3946,475.0599,487.1627,498.6956,509.4986,520.914,531.7219,538.7649,544.7374,545.7559,541.837,536.9877,532.6268,529.474,526.447,525.5747,526.4894,529.0523
Romania,OKND,Mrd RON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,709.454,702.296,697.453,689.325,679.978,677.673,680.991,679.151,683.928,696.321,720.671,763.099,864.215,991.858,1037.635,1081.869,1126.783,1175.608,1211.459,1248.397,1290.161,1322.192,1353.406,1393.544,1441.794
Slovenia,OKND,Mrd EURO-SIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.26204,46.44679,48.03817,49.85809,52.32738,54.43644,56.4857,58.38475,60.55952,63.01775,65.64647,68.94024,73.09825,77.74133,79.50477,80.01889,80.07774,79.37323,78.84487,78.36408,77.72856,76.75278,76.36356,76.75471,77.85363
Slovakia,OKND,Mrd EURO-SKK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.4356,74.1929,78.942,84.5609,87.7243,89.6445,92.8236,95.5931,97.338,99.2825,102.7709,107.2228,112.7108,117.7463,118.8121,120.3745,123.2064,124.003,124.0624,124.1926,127.1518,128.2267,129.3449,131.4731,134.3038
Finland,OKND,Mrd EURO-FIM,117.2089,124.7226,132.0668,138.7492,145.9076,154.15,162.5739,170.4862,177.3065,185.5647,195.3351,205.3349,216.0841,227.912,240.039,253.244,264.0289,273.5633,281.0985,289.1508,298.9125,308.6358,319.1504,330.0507,340.0309,350.6232,360.9834,372.0799,385.4922,401.7162,415.443,422.3597,424.6163,423.324,422.4136,424.0256,427.5099,433.3669,441.6688,450.5519,460.5996,470.4176,478.1876,486.2166,495.2123,504.825,514.3511,527.3283,539.5562,545.25,550.844,557.8498,563.7916,567.4968,570.0548,572.7899,578.4069,586.5739,595.9529,606.2225
Sweden,OKND,Mrd SEK,2916.21,3043.27,3178.54,3325.8,3487.64,3655.76,3828.89,4012.1,4199.77,4394.83,4596.65,4791.07,4993.99,5197.39,5389.76,5584,5778.17,5964.7,6136.49,6314.46,6500.53,6665.92,6825.78,6989.81,7176.63,7387.23,7594.03,7823.86,8073.65,8371.89,8665.5,8907.02,9085.07,9183.56,9305.63,9450.41,9601.5,9742.84,9904.26,10080.77,10270.71,10456.62,10615.62,10782.45,10975.36,11186.73,11445.45,11747.97,12035.71,12193.29,12388.61,12616.38,12829.29,13037.24,13277.29,13562.98,13890.59,14255.94,14641.77,15029.6
United Kingdom,OKND,Mrd GBP,1433.193,1469.117,1504.094,1540.786,1588.673,1638.844,1688.185,1743.558,1808.506,1871.476,1940.973,2013.106,2085.633,2159.77,2221.784,2268.299,2309.904,2349.083,2393.983,2447.409,2490.717,2522.71,2558.684,2600.451,2652.615,2709.058,2765.035,2837.423,2931.654,3040.132,3139.14,3214.118,3279.365,3342.947,3407.918,3473.729,3550.725,3616.593,3693.681,3768.414,3847.228,3915.468,3984.415,4053.259,4122.018,4198.88,4277.327,4366.524,4446.395,4488.704,4537.519,4587.71,4641.168,4698.901,4769.631,4844.583,4920.051,5003.077,5088.879,5174.194
Iceland,OKND,Mrd ISK,764.316,777.72,799.39,838.529,891.83,941.319,1002.827,1073.888,1125.433,1142.73,1167.174,1232.31,1293.705,1371.522,1467.639,1540.195,1604.768,1683.439,1745.014,1798.658,1872.746,1942.593,2005.2,2034.504,2076.59,2114.402,2143.702,2205.602,2260.263,2292.461,2329.278,2383.438,2421.291,2443.809,2471.687,2502.37,2583.412,2690.461,2867.094,3019.784,3195.078,3348.263,3457.35,3591.658,3802.715,4117.759,4537.027,4854.356,5035.669,4990.487,4939.929,4926.239,4922.89,4926.063,4973.098,5075.267,5253.207,5455.243,5660.741,5875.34
Turkey,OKND,Mrd TRY,381.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446.513,561.026,735.673,907.803,1119.093,1337.153,1579.974,1818.526,2085.094,2337.591,2580.957
Norway,OKND,Mrd NOK,1504.652,1575.498,1646.26,1720.422,1795.201,1874.531,1958.534,2050.709,2133.382,2199.109,2283.7,2396.195,2499.421,2622.914,2754.949,2911.276,3088.159,3264.763,3395.806,3525.976,3649.123,3781.645,3909.717,4047.445,4181.965,4300.967,4433.589,4560.679,4680.427,4773.433,4827.347,4873.978,4909.262,4951.934,5005.772,5064.536,5144.361,5265.296,5423.242,5543.164,5640.641,5727.956,5805.49,5880.902,5993.967,6152.978,6347.009,6591.858,6824.03,6995.325,7119.177,7276.518,7467.424,7685.74,7885.146,8043.936,8193.971,8345.913,8497.704,8660.744
Switzerland,OKND,Mrd CHF,603.22,624.332,649.582,678.104,708.98,736.55,761.615,784.802,807.144,830.989,857.967,890.367,924.367,960.267,992.562,1016.935,1033.718,1049.052,1067.535,1089.251,1117.471,1146.053,1170.485,1195.548,1221.956,1248.481,1278.596,1309.073,1343.49,1377.628,1412.095,1441.427,1459.404,1473.033,1490.086,1510.487,1529.073,1548.965,1573.431,1596.717,1621.73,1640.402,1656.35,1668.278,1684.784,1703.028,1724.658,1749.82,1771.95,1780.197,1793.206,1810.347,1830.119,1847.126,1866.038,1886.988,1909.718,1935.78,1964.979,1995.376
United States,OKND,Mrd USD,9440.03,9674.02,9937,10224.73,10548.31,10913.37,11303.18,11667.91,12050.97,12438.34,12777.03,13117.45,13510.5,13944.01,14313.07,14593.03,14921.6,15324.36,15809.95,16328.33,16759.41,17181.57,17510.75,17890.3,18412.62,18982.66,19552.32,20102.32,20641.84,21183.67,21682.45,22076.55,22502.31,22974.11,23508.69,24081.69,24742.93,25485.49,26337.66,27292.14,28307.16,29219.44,30023.72,30885.57,31858.06,32927.24,33987.72,34929.92,35651.11,35954.1,36263.6,36642.87,37156.01,37706.39,38345.35,39036.56,39693.38,40401.32,41248.22,42166.18
Japan,OKND,Mrd JPY,193393.6,202089.1,211845.6,222329.3,233750.5,244631.9,257413.9,273393.9,293435.2,317784,346961.6,376005.3,407033.7,444553,478333.7,510711.8,543755.9,576692.1,613037.1,652323.1,690408.4,726739.9,760649.6,790622.7,821195,854707.7,889044.8,926634.8,972996.9,1023974.9,1080164.8,1133584.3,1178781.6,1216529.9,1249505,1286078.8,1328812,1365096.7,1392834.6,1417701,1441883.1,1462152.4,1474180.6,1484538.7,1494142.9,1506245.9,1516971.3,1523603.4,1523932.5,1511833.2,1499544,1490538.7,1486399.3,1487841.7,1492426.3,1498675.2,1505433.8,1514750.1,1525532.5,1537858.7
Canada,OKND,Mrd CAD,988.744,1004.711,1020.554,1037.19,1060.024,1089.131,1124.284,1156.297,1185.506,1216.709,1245.566,1279.515,1316.196,1358.799,1406.075,1457.245,1508.863,1558.858,1607.627,1660.429,1713.883,1776.491,1815.421,1850.225,1884.696,1927.341,1973.026,2032.038,2103.448,2179.004,2239.767,2288.002,2326.608,2360.926,2404.848,2440.382,2480.641,2539.203,2596.387,2657.529,2721.648,2788.987,2854.646,2932.093,3031.677,3152.955,3288.533,3428.659,3563.067,3645.297,3767.075,3901.449,4048.536,4191.253,4340.575,4460.067,4564.339,4681.078,NA,NA
Mexico,OKND,Mrd MXN,5746.09,5851.42,5962.21,6107.15,6311.25,6515.23,6746.78,7012.53,7309.69,7620.37,8034.93,8420.49,8866.23,9394.96,9971.52,10613.59,11243.29,11785.92,12439.88,13283.66,14298.37,15514.45,16378.44,16710.96,17131.43,17641.45,17965.67,18285.52,18723.43,19230.74,19897.12,20690.8,21613.25,22756.14,24101.61,24583.07,25328.03,26336,27501.08,28759.74,30129.91,31298.18,32376.61,33420.04,34596.98,35888.52,37375.41,38964.81,40675.24,41934.47,43318.77,44892.1,46548.17,48029.23,49534.36,51107.05,52754.03,NA,NA,NA
Australia,OKND,Mrd AUD,738.961,755.904,774.09,794.749,817.004,842.271,868.723,897.453,928.575,958.619,990.001,1021.222,1053.738,1087.598,1117.115,1147.822,1180.056,1213.091,1251.193,1289.114,1335.877,1387.286,1426.083,1466.612,1514.155,1564.866,1611.608,1662.906,1724.194,1782.793,1823.647,1855.327,1891.328,1930.921,1982.223,2033.53,2090.807,2157.224,2227.012,2306.203,2361.396,2429.901,2519.427,2622.348,2732.28,2856.303,2982.681,3127.476,3268.881,3405.653,3547.017,3720.702,3896.213,4052.693,4184.462,4293.844,4396.947,NA,NA,NA
New Zealand,OKND,Mrd NZD,167.7273,171.6287,175.0817,179.0369,183.8172,188.8799,193.8488,197.9302,200.8163,204.5528,209.0278,214.5399,221.4542,229.041,237.1996,244.1344,249.9002,253.7474,257.3287,259.83,262.8893,267.9389,273.4021,279.895,287.0268,294.8841,301.6372,309.0369,315.5228,322.471,328.0073,330.0117,332.1359,336.81,344.1407,353.2945,362.8126,372.694,380.15,390.4471,398.9392,409.1884,421.3158,437.1573,455.2115,474.3553,491.4625,510.6957,525.07,534.006,544.021,556.0843,569.7499,587.0127,606.7226,626.5274,648.3458,NA,NA,NA
European Union,OVGD,Mrd ECU/EUR- Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9690.88,9872.54,10156.33,10457.6,10773.4,11186.03,11429.84,11584.39,11738.57,12033.11,12285.39,12689.94,13075.78,13134.13,12565.5,12827.96,13046.81,12991.71,13028.5,13256.74,13562.24,13828.46,14164.37,14495.2,14788.71
European Union excluding UK,OVGD,Mrd ECU/EUR- Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8360.03,8507.8,8735.81,8991.94,9259.83,9617.72,9819.4,9928.32,10016.97,10271.29,10465.03,10828.19,11173.12,11244.43,10754.77,10986.27,11178.37,11095.74,11091.32,11259.74,11518.32,11745.08,12044.82,12343.25,12610.3
European Union (15 countries),OVGD,Mrd ECU/EUR- Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8524,8623.42,8604.84,8843.44,9058.28,9218.45,9479.79,9760.53,10058.2,10441.6,10665.55,10798.21,10923.7,11179.84,11395.81,11747.61,12077.73,12100.09,11565.72,11811.25,11998.15,11936.81,11960.62,12157.72,12421.96,12652.99,12935.24,13216.62,13464.75
Euro area,OVGD,Mrd ECU/EUR- Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7054.85,7229.29,7400.96,7522.06,7720.03,7944.75,8179,8491.25,8671.64,8756.59,8814.47,9017.21,9168.62,9464.62,9753.17,9795.07,9352.85,9547.58,9700.88,9614.91,9591.77,9719.97,9921.07,10100.06,10338.8,10580.45,10796.68
Euro area (12 countries),OVGD,Mrd ECU/EUR- Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6896.06,6993.57,6946.82,7117.66,7285.01,7402.36,7594.59,7814.2,8045.33,8352.08,8527.45,8606.76,8658.01,8853.42,8995.81,9280.03,9553.56,9590.98,9166.78,9357.32,9504.38,9415.91,9390.89,9513.65,9708.38,9880.99,10110.56,10343.2,10550.8
EU15 (including D_W West-Germany),OVGD,Mrd ECU/EUR- Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR),2921.108,3072.199,3212.986,3367.441,3569.464,3721.875,3861.031,3994.775,4208.765,4466.325,4694.115,4865.249,5089.869,5392.463,5513.318,5474.299,5717.868,5874.59,6064.908,6295.266,6382.218,6399.07,6467.959,6594.64,6757.495,6936.073,7120.52,7330.222,7647.984,7931.325,8165.568,8310.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EA12 (including D_W West-Germany),OVGD,Mrd ECU/EUR- Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR),2184.3,2312.7,2442.217,2561.162,2714.579,2846.441,2972.735,3079.34,3246.881,3478.306,3674.466,3816.434,4001.074,4240.65,4374.144,4342.414,4553.792,4693.462,4843.165,5027.484,5128.448,5155.646,5195.951,5269.563,5395.621,5518.667,5655.988,5798.564,6044.777,6291.999,6518.056,6682.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
