Country,Indicator,Unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cyprus,HWCDW,1000 EURO-CYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.83657,14.48474,15.28033,15.71637,16.42621,17.41447,18.06734,18.93773,20.4313,20.87125,22.25633,23.19909,23.63362,24.39948,25.79604,25.97024,26.50757,26.96534,25.52022,24.60215,24.29996,24.12333,24.30036,24.6393,25.12374
Latvia,HWCDW,1000 EURO-LVL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49681,1.18302,1.93931,2.10951,2.62087,2.78857,3.0404,3.3029,3.61396,3.76201,3.92701,4.40529,5.06188,6.39355,7.83225,10.5623,12.42942,11.07005,10.33737,10.58634,11.40016,12.02444,13.05614,14.06646,15.02212,16.21185,17.47845,18.49138
Lithuania,HWCDW,1000 EURO-LTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85712,1.43737,2.4071,3.20152,3.93802,4.548,4.66405,4.64733,4.97514,5.22205,5.68741,6.37378,7.25374,8.75782,9.99133,11.39626,10.3374,10.32326,10.97914,11.44472,12.0581,12.62665,13.35378,14.18676,15.48177,16.5038,17.49215
Luxembourg,HWCDW,1000 EURO-LUF,3.19999,3.2939,3.45145,3.72752,4.22315,4.39886,4.61872,4.74603,5.0257,5.30755,6.1067,6.58177,7.22317,8.04698,9.88946,11.11294,12.34253,13.56714,14.36506,15.32369,16.72874,18.11969,19.37874,20.72368,22.20094,23.15547,24.33876,25.27245,26.18277,28.40138,29.73829,31.35899,33.39557,35.3089,36.69646,37.21051,38.21648,38.97665,39.40807,41.18122,43.46604,44.86806,46.62237,47.2495,49.09613,50.96564,53.10038,55.31372,56.84244,57.80814,58.91017,60.03192,61.11558,62.53546,63.89566,65.84299,66.33625,68.19805,69.95261,71.50665
Hungary,HWCDW,1000 HUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,789.393,959.386,1177.389,1349.198,1441.818,1658.454,1918.476,2133.447,2383.364,2645.97,2852.166,3002.19,3159.139,3388.499,3339.632,3388.608,3503.14,3563.456,3628.853,3659.054,3603.88,3747.652,4043.7,4343.052,4584.648
Malta,HWCDW,1000 EURO-MTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.61235,8.31926,8.88332,9.79005,10.41435,11.35527,11.59904,12.18503,12.56857,13.03354,13.91401,14.61349,15.1332,16.08745,16.55785,16.77585,17.51607,18.16408,18.89895,19.46046,19.84322,20.50584,21.2386,21.67763,22.02232,23.15071,23.83199,24.10101,24.9121,25.73047
Netherlands,HWCDW,1000 EURO-NLG,2.95206,3.17115,3.38799,3.70346,4.31357,4.81662,5.35188,5.84731,6.35102,7.18674,8.08302,9.18944,10.35599,11.92272,13.77337,15.61262,17.2167,18.61164,19.95,21.08363,22.18066,22.95744,24.27476,25.04154,25.10423,25.55275,26.07878,26.47907,26.76483,26.94622,27.8033,29.14075,30.50914,31.50627,32.45022,32.96637,33.49178,34.23943,35.42575,36.97961,39.1606,40.49448,42.50671,44.21859,45.41324,46.16844,46.95427,48.64287,50.4274,51.83419,52.13619,53.38033,54.70683,55.89719,56.79997,56.64321,57.30253,58.16637,59.76312,61.73436
Austria,HWCDW,1000 EURO-ATS,2.3895,2.61285,2.81074,3.0318,3.31381,3.61623,3.95324,4.32942,4.64585,5.03121,5.43382,6.11705,6.78849,7.68702,8.75352,9.86223,10.77093,11.62688,12.59702,13.29741,14.14593,15.21324,16.08844,16.76089,17.61175,18.51277,19.47101,20.17272,20.73464,21.66909,22.83845,24.34843,25.83752,27.03493,28.14134,29.12074,29.52561,29.77335,30.56044,31.14946,31.86227,32.33881,33.01446,33.58111,34.27265,34.96956,36.046,37.11425,38.33784,38.96771,39.39279,40.2005,41.2827,42.19212,42.98005,43.8764,44.91897,45.64092,46.8017,47.98545
Poland,HWCDW,1000 PLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3956,5.32331,6.99812,9.88897,13.25886,16.8718,20.33612,23.15655,26.48739,29.23216,32.16262,32.96695,33.50659,34.31964,35.01883,35.76694,37.82038,40.95265,42.33121,46.11465,48.56472,50.29755,51.14152,52.2522,53.13445,55.82414,58.05279,61.9998,66.58118
Portugal,HWCDW,1000 EURO-PTE,0.07156,0.07714,0.08126,0.08862,0.09738,0.1089,0.12086,0.13978,0.15246,0.17057,0.19111,0.212,0.24817,0.29336,0.38629,0.50838,0.60044,0.71654,0.83768,0.96958,1.21494,1.47392,1.81761,2.1634,2.49331,3.05175,3.69844,4.28018,4.84393,5.73592,6.72047,7.84062,9.30969,9.99032,10.51883,11.59756,12.30726,13.00961,13.77228,14.48138,15.34657,15.98813,16.55683,17.15642,17.63256,18.45745,18.79529,19.44708,19.9577,20.43785,20.86515,20.47965,19.84142,20.55469,20.19369,20.27795,20.7009,20.93355,21.30512,21.72785
Romania,HWCDW,1000 RON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00586,0.01332,0.03834,0.11795,0.27439,0.42333,0.64294,1.23633,2.26212,3.18489,5.41904,8.4,9.80398,12.48694,14.20824,18.3374,20.61808,22.48933,30.14098,29.34771,31.4922,30.21252,33.05118,34.30569,36.61968,37.30272,41.07491,47.63743,51.77244,55.22285
