E1,E2,beta,pvalue,intercept,rvalue,stderr
PCAR US Equity,CTB US Equity,0.09916964827429896,0.011587152410039806,-9.321364480456952e-05,0.17644382792148108,0.03892501853129253
PCAR US Equity,CPS US Equity,0.2498474176997992,9.248304320899765e-05,-0.0002360589984034013,0.27026978529010753,0.06262256211413805
PCAR US Equity,EO FP Equity,0.18792377915322617,0.00276783295737529,-0.0006391138489408771,0.20848463396369474,0.062027209420872344
PCAR US Equity,GT US Equity,0.18935797559774947,0.00023441472774902704,0.00038562767106549987,0.2548611375359201,0.050549951365517994
PCAR US Equity,LEA US Equity,0.27608640327427564,8.73617906328693e-06,-0.00021390808559459905,0.30569697591195494,0.0605025834453628
PCAR US Equity,MG CN Equity,0.30053893711047674,4.860452032939465e-06,-0.0005216703167181923,0.31382145948804224,0.06397777983971577
PCAR US Equity,NRE1V FH Equity,0.28906511183157,0.00010844118870766146,-0.00024768285954883813,0.2676980480731172,0.07320281732943518
PCAR US Equity,TEN US Equity,0.1699364528914711,0.0002471793938479594,0.00022864042192299823,0.25395358826671455,0.045538651367412086
PCAR US Equity,FR FP Equity,0.14646754550854663,0.016495369423910906,-0.0004267682370520232,0.1677169541747435,0.06057495065923594
WMT US Equity,SHLDQ US Equity,0.06349937673739829,0.00037744944957740446,0.001101211453706027,0.24658589117475205,0.017559151737343823
WMT US Equity,TXT US Equity,0.2639149294947862,0.0001681879328967095,0.0007725920110143178,0.2604701471339987,0.06882947480916608
WMT US Equity,VMC US Equity,0.12936178204685314,0.0012681750923803942,0.0009585655505223854,0.22415994509699597,0.03957104092889365
WMT US Equity,HOG US Equity,0.17427396985364355,0.0005374345803318466,0.0009197617057954302,0.24026109866726006,0.0495406983242303
WMT US Equity,600066 CH Equity,-0.10860356739698711,0.025552863866449588,0.0007977336754015621,-0.15633521577856616,0.048276794482549776
WMT US Equity,RACE US Equity,0.12048459170444281,0.020955519070566586,0.0007976714664845252,0.1615765170165798,0.05177656229237331
WMT US Equity,CTC/A CN Equity,0.18112366932591414,0.044568796217953684,0.0007898004400172363,0.1408010386471562,0.08960773301715073
WMT US Equity,BWA US Equity,0.09960164531553109,0.039297155651369986,0.0009520511807370986,0.14443317697083943,0.048011585834372775
WMT US Equity,CON GR Equity,0.20121686503569516,0.002591069637362878,0.0008100502834415465,0.20985294180300257,0.06596201107946652
WMT US Equity,CTB US Equity,0.10097097336986521,0.0035441740571929095,0.0009912503704641445,0.20328203589296692,0.034218256538992305
WMT US Equity,GT US Equity,0.14934268022024882,0.0010693856921264106,0.0013620200805118192,0.22744621651269592,0.04498783952409092
WMT US Equity,LEA US Equity,0.1189588110272871,0.03336975550709037,0.0009216328659700501,0.14904502999441402,0.05552968951733691
WMT US Equity,NRE1V FH Equity,0.15550807740877856,0.019869636328050052,0.0008937492906643146,0.16295858260262464,0.06624538474003797
WMT US Equity,FR FP Equity,0.11585725128049595,0.03210492077086043,0.0007205929102217872,0.15011826766065636,0.053686425583998734
SHLDQ US Equity,VMC US Equity,0.44303026071837937,0.004593105271836831,-0.0022199276838751236,0.19769088777627783,0.15456611455960462
SHLDQ US Equity,HOG US Equity,0.5601152281928901,0.0043547766611799444,-0.0023441899969461944,0.19885181219463005,0.19422776902282043
SHLDQ US Equity,TA US Equity,0.24247176888102004,0.024895207686718664,-0.002209313737095572,0.15703249157423818,0.10729368703727128
SHLDQ US Equity,011210 KS Equity,0.319072901445717,0.02035510576007194,-0.001698804758020957,0.16233281541782046,0.13646111537300062
SHLDQ US Equity,MG CN Equity,0.5542121184609851,0.015908654972869054,-0.002947362344648508,0.16862963831212013,0.2279303418391711
SHLDQ US Equity,TEN US Equity,0.5631387332959922,0.0004076564325140457,-0.001046616627405694,0.24522187187651487,0.15664391725437507
ABX CN Equity,AAL LN Equity,0.14997497194418843,0.013509604034189358,-0.0008337914999040998,0.17269755787048852,0.06018414178675771
ABX CN Equity,RACE US Equity,0.2184993802549594,0.019494126644775504,-0.0006133509711123006,0.1634517651914108,0.09279073069984775
ABX CN Equity,7605 JP Equity,-0.2777240819799363,0.009626759925469752,-0.00030966824732755024,-0.1808769877573463,0.10625060986800484
ABX CN Equity,011210 KS Equity,-0.14484903755956613,0.022568932078099478,-0.0005509028971788115,-0.1596332841339457,0.06302476548199404
ABX CN Equity,5101 JP Equity,-0.16764847678700928,0.046893161376493964,-0.00014789105863700954,-0.13931311806073116,0.08384478499980598
TXT US Equity,BBD/B CN Equity,0.07267825454228508,0.02847076386786728,0.0007418865694810347,0.15341587621774658,0.032937188210166925
TXT US Equity,AAL LN Equity,0.09678065313937434,0.0036890340713511137,0.0003797574028034516,0.20242739445338861,0.032942619061013256
TXT US Equity,VMC US Equity,0.21866369999459095,1.4411476300813385e-08,0.0007091831475543185,0.38391467902575394,0.03700337854929181
TXT US Equity,HOG US Equity,0.22652158085200258,4.01395551535084e-06,0.000659585197297207,0.31642189093746925,0.04778141409217233
TXT US Equity,RACE US Equity,0.202342150839699,6.897912059792999e-05,0.0004390006645644808,0.274940740036053,0.04978555252174689
TXT US Equity,TA US Equity,0.06468557245298748,0.018476016969883012,0.0007136840147965154,0.16483162170917498,0.027233898020122955
TXT US Equity,BWA US Equity,0.24603614620778874,1.0828669074685276e-07,0.0006914151714703191,0.36149756035451625,0.04464857212993385
TXT US Equity,CON GR Equity,0.21909348930030953,0.000862818038935726,0.0005487661601420142,0.23151874449545004,0.06477460619213936
TXT US Equity,CTB US Equity,0.0814523980015448,0.01754357787164333,0.0007374488855254412,0.16615458752942214,0.03401235377931464
TXT US Equity,CPS US Equity,0.20435884640464888,0.0002544993311003257,0.0006205084776228734,0.25345265073096995,0.05487866847547987
TXT US Equity,GT US Equity,0.20939274261420826,2.4318360605653607e-06,0.0012754845333190425,0.3231189316699807,0.04314983723297145
TXT US Equity,LEA US Equity,0.2544373261361317,2.453116557234927e-06,0.0006292249266022538,0.32300385842484264,0.05245309032541457
TXT US Equity,MG CN Equity,0.21148776172855693,0.0002584056503874734,0.0004324176621380234,0.2531907856070396,0.056855841303478455
TXT US Equity,NRE1V FH Equity,0.1614942574994199,0.014197881832482356,0.0006432727996239835,0.17146969439931986,0.06528505190534747
TXT US Equity,TEN US Equity,0.2298116875487506,5.663454136674216e-09,0.0011886296375660027,0.3937501028924966,0.037748008313812094
BBD/B CN Equity,6326 JP Equity,0.23238161510694294,0.025167834541569158,-0.0006120284451745354,0.15674154269066448,0.10302449240329568
