unit,sector,na_item,geo\time,date,value
MIO_EUR,S13,GD,EE,2008-01-01,741.1
MIO_EUR,S13,GD,EE,2009-01-01,995.6
MIO_EUR,S13,GD,EE,2010-01-01,964.4
MIO_EUR,S13,GD,EE,2011-01-01,1011.1
MIO_EUR,S13,GD,EE,2012-01-01,1745.5
MIO_EUR,S13,GD,EE,2013-01-01,1923.7
MIO_EUR,S13,GD,EE,2014-01-01,2108.4
MIO_EUR,S13,GD,EE,2015-01-01,2034.9
MIO_EUR,S13,GD,EE,2016-01-01,1986.8
MIO_EUR,S13,GD,EE,2017-01-01,2063.7
MIO_EUR,S13,GD,EL,2000-01-01,148217.0
MIO_EUR,S13,GD,EL,2001-01-01,162971.0
MIO_EUR,S13,GD,EL,2002-01-01,171410.0
MIO_EUR,S13,GD,EL,2003-01-01,181510.0
MIO_EUR,S13,GD,EL,2004-01-01,199276.0
MIO_EUR,S13,GD,EL,2005-01-01,213970.0
MIO_EUR,S13,GD,EL,2006-01-01,225648.0
MIO_EUR,S13,GD,EL,2007-01-01,239915.0
MIO_EUR,S13,GD,EL,2008-01-01,264775.0
MIO_EUR,S13,GD,EL,2009-01-01,301062.0
MIO_EUR,S13,GD,EL,2010-01-01,330570.0
MIO_EUR,S13,GD,EL,2011-01-01,356235.0
MIO_EUR,S13,GD,EL,2012-01-01,305085.0
MIO_EUR,S13,GD,EL,2013-01-01,320498.0
MIO_EUR,S13,GD,EL,2014-01-01,319629.0
MIO_EUR,S13,GD,EL,2015-01-01,311725.0
MIO_EUR,S13,GD,EL,2016-01-01,315011.0
MIO_EUR,S13,GD,EL,2017-01-01,317414.0
MIO_EUR,S13,GD,ES,2000-01-01,374557.0
MIO_EUR,S13,GD,ES,2001-01-01,378883.0
MIO_EUR,S13,GD,ES,2002-01-01,384145.0
MIO_EUR,S13,GD,ES,2003-01-01,382775.0
MIO_EUR,S13,GD,ES,2004-01-01,389888.0
MIO_EUR,S13,GD,ES,2005-01-01,393479.0
MIO_EUR,S13,GD,ES,2006-01-01,392132.0
MIO_EUR,S13,GD,ES,2007-01-01,384662.0
MIO_EUR,S13,GD,ES,2008-01-01,440621.0
MIO_EUR,S13,GD,ES,2009-01-01,569535.0
MIO_EUR,S13,GD,ES,2010-01-01,650079.0
MIO_EUR,S13,GD,ES,2011-01-01,744323.0
MIO_EUR,S13,GD,ES,2012-01-01,891502.0
MIO_EUR,S13,GD,ES,2013-01-01,979031.0
MIO_EUR,S13,GD,ES,2014-01-01,1041624.0
MIO_EUR,S13,GD,ES,2015-01-01,1073934.0
MIO_EUR,S13,GD,ES,2016-01-01,1107220.0
MIO_EUR,S13,GD,ES,2017-01-01,1144425.0
MIO_EUR,S13,GD,EU27,2000-01-01,5795603.2
MIO_EUR,S13,GD,EU27,2001-01-01,5957261.0
MIO_EUR,S13,GD,EU27,2002-01-01,6123959.1
MIO_EUR,S13,GD,EU27,2003-01-01,6376325.4
MIO_EUR,S13,GD,EU27,2004-01-01,6755171.5
MIO_EUR,S13,GD,EU27,2005-01-01,7122194.9
MIO_EUR,S13,GD,EU27,2006-01-01,7360993.3
MIO_EUR,S13,GD,EU27,2007-01-01,7462688.5
MIO_EUR,S13,GD,EU27,2008-01-01,7929018.9
MIO_EUR,S13,GD,EU27,2009-01-01,9016198.7
MIO_EUR,S13,GD,EU27,2010-01-01,10095049.4
MIO_EUR,S13,GD,EU27,2011-01-01,10730658.7
MIO_EUR,S13,GD,EU27,2012-01-01,11269018.3
MIO_EUR,S13,GD,EU27,2013-01-01,11613457.0
MIO_EUR,S13,GD,EU27,2014-01-01,12121450.1
MIO_EUR,S13,GD,EU27,2015-01-01,12481582.9
MIO_EUR,S13,GD,EU27,2016-01-01,12418278.0
MIO_EUR,S13,GD,EU27,2017-01-01,12512668.0
MIO_EUR,S13,GD,EU28,2000-01-01,5804044.2
MIO_EUR,S13,GD,EU28,2001-01-01,5966899.8
MIO_EUR,S13,GD,EU28,2002-01-01,6134315.3
MIO_EUR,S13,GD,EU28,2003-01-01,6387904.4
MIO_EUR,S13,GD,EU28,2004-01-01,6768334.9
MIO_EUR,S13,GD,EU28,2005-01-01,7137256.8
MIO_EUR,S13,GD,EU28,2006-01-01,7376457.8
MIO_EUR,S13,GD,EU28,2007-01-01,7479063.8
MIO_EUR,S13,GD,EU28,2008-01-01,7947439.0
MIO_EUR,S13,GD,EU28,2009-01-01,9038102.2
MIO_EUR,S13,GD,EU28,2010-01-01,10120596.9
MIO_EUR,S13,GD,EU28,2011-01-01,10758896.4
MIO_EUR,S13,GD,EU28,2012-01-01,11299417.3
MIO_EUR,S13,GD,EU28,2013-01-01,11648416.7
MIO_EUR,S13,GD,EU28,2014-01-01,12157798.6
MIO_EUR,S13,GD,EU28,2015-01-01,12518789.4
MIO_EUR,S13,GD,EU28,2016-01-01,12455544.0
MIO_EUR,S13,GD,EU28,2017-01-01,12550745.3
MIO_EUR,S13,GD,FI,2000-01-01,57926.2
MIO_EUR,S13,GD,FI,2001-01-01,59186.6
MIO_EUR,S13,GD,FI,2002-01-01,59661.0
MIO_EUR,S13,GD,FI,2003-01-01,64870.0
MIO_EUR,S13,GD,FI,2004-01-01,67697.0
MIO_EUR,S13,GD,FI,2005-01-01,65759.0
MIO_EUR,S13,GD,FI,2006-01-01,65894.0
MIO_EUR,S13,GD,FI,2007-01-01,63425.0
MIO_EUR,S13,GD,FI,2008-01-01,63254.0
MIO_EUR,S13,GD,FI,2009-01-01,75482.0
MIO_EUR,S13,GD,FI,2010-01-01,88160.0
MIO_EUR,S13,GD,FI,2011-01-01,95490.0
MIO_EUR,S13,GD,FI,2012-01-01,107708.0
MIO_EUR,S13,GD,FI,2013-01-01,114801.0
MIO_EUR,S13,GD,FI,2014-01-01,123696.0
MIO_EUR,S13,GD,FI,2015-01-01,133206.0
MIO_EUR,S13,GD,FI,2016-01-01,136150.0
MIO_EUR,S13,GD,FI,2017-01-01,137278.0
MIO_EUR,S13,GD,FR,2000-01-01,870626.0
MIO_EUR,S13,GD,FR,2001-01-01,897446.0
MIO_EUR,S13,GD,FR,2002-01-01,956794.0
MIO_EUR,S13,GD,FR,2003-01-01,1050356.0
MIO_EUR,S13,GD,FR,2004-01-01,1123615.0
MIO_EUR,S13,GD,FR,2005-01-01,1189919.0
MIO_EUR,S13,GD,FR,2006-01-01,1194106.0
MIO_EUR,S13,GD,FR,2007-01-01,1252867.0
MIO_EUR,S13,GD,FR,2008-01-01,1370326.0
MIO_EUR,S13,GD,FR,2009-01-01,1607985.0
MIO_EUR,S13,GD,FR,2010-01-01,1701124.0
MIO_EUR,S13,GD,FR,2011-01-01,1807959.0
MIO_EUR,S13,GD,FR,2012-01-01,1892503.0
MIO_EUR,S13,GD,FR,2013-01-01,1977697.0
MIO_EUR,S13,GD,FR,2014-01-01,2039848.1
MIO_EUR,S13,GD,FR,2015-01-01,2101221.2
MIO_EUR,S13,GD,FR,2016-01-01,2188348.6
MIO_EUR,S13,GD,FR,2017-01-01,2257764.9
MIO_EUR,S13,GD,HR,2000-01-01,8441.0
MIO_EUR,S13,GD,HR,2001-01-01,9638.8
MIO_EUR,S13,GD,HR,2002-01-01,10356.2
MIO_EUR,S13,GD,HR,2003-01-01,11579.0
MIO_EUR,S13,GD,HR,2004-01-01,13163.4
MIO_EUR,S13,GD,HR,2005-01-01,15061.9
MIO_EUR,S13,GD,HR,2006-01-01,15464.5
MIO_EUR,S13,GD,HR,2007-01-01,16375.4
MIO_EUR,S13,GD,HR,2008-01-01,18420.1
MIO_EUR,S13,GD,HR,2009-01-01,21903.5
MIO_EUR,S13,GD,HR,2010-01-01,25547.5
MIO_EUR,S13,GD,HR,2011-01-01,28237.8
MIO_EUR,S13,GD,HR,2012-01-01,30398.9
MIO_EUR,S13,GD,HR,2013-01-01,34960.1
MIO_EUR,S13,GD,HR,2014-01-01,36350.2
MIO_EUR,S13,GD,HR,2015-01-01,37209.5
MIO_EUR,S13,GD,HR,2016-01-01,37268.9
MIO_EUR,S13,GD,HR,2017-01-01,38080.3
MIO_EUR,S13,GD,HU,2000-01-01,27839.9
MIO_EUR,S13,GD,HU,2001-01-01,32661.1
MIO_EUR,S13,GD,HU,2002-01-01,40869.2
MIO_EUR,S13,GD,HU,2003-01-01,42204.0
MIO_EUR,S13,GD,HU,2004-01-01,50371.4
MIO_EUR,S13,GD,HU,2005-01-01,53955.7
