currency,bop_item,sector10,sectpart,partner,stk_flow,geo\time,date,value
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2010-01-01,148780.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2011-01-01,132610.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2012-01-01,161979.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2013-01-01,149693.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2014-01-01,141504.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2015-01-01,184594.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2016-01-01,194713.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2017-01-01,190573.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,1995-01-01,9190.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,1996-01-01,13609.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,1997-01-01,18989.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,1998-01-01,24004.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,1999-01-01,25115.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2000-01-01,27899.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2001-01-01,41176.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2002-01-01,44397.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2003-01-01,58582.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2004-01-01,140147.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2005-01-01,195228.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2006-01-01,246444.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2007-01-01,354163.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2008-01-01,479984.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2009-01-01,562744.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2010-01-01,647520.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2011-01-01,666546.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2012-01-01,762409.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2013-01-01,915136.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2014-01-01,975542.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2015-01-01,1049150.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2016-01-01,1113476.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CZ,2017-01-01,1158096.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,1995-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,1996-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,1997-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,1998-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,1999-01-01,458290.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2000-01-01,590738.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2001-01-01,710710.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2002-01-01,691453.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2003-01-01,696648.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2004-01-01,721306.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2005-01-01,844891.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2006-01-01,938463.0 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,DE,2007-01-01,1049715.0 
