hhtyp,incgrp,unit,sex,age,geotime,date,value
TOTAL,A_MD60,PC,T,TOTAL,FR,2017-01-01,9.8
TOTAL,A_MD60,PC,T,TOTAL,HR,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,HR,2004-01-01,
TOTAL,A_MD60,PC,T,TOTAL,HR,2005-01-01,
TOTAL,A_MD60,PC,T,TOTAL,HR,2006-01-01,
TOTAL,A_MD60,PC,T,TOTAL,HR,2007-01-01,
TOTAL,A_MD60,PC,T,TOTAL,HR,2008-01-01,
TOTAL,A_MD60,PC,T,TOTAL,HR,2009-01-01,
TOTAL,A_MD60,PC,T,TOTAL,HR,2010-01-01,17.1
TOTAL,A_MD60,PC,T,TOTAL,HR,2011-01-01,12.7
TOTAL,A_MD60,PC,T,TOTAL,HR,2012-01-01,11.8
TOTAL,A_MD60,PC,T,TOTAL,HR,2013-01-01,11.0
TOTAL,A_MD60,PC,T,TOTAL,HR,2014-01-01,9.6
TOTAL,A_MD60,PC,T,TOTAL,HR,2015-01-01,8.4
TOTAL,A_MD60,PC,T,TOTAL,HR,2016-01-01,9.2
TOTAL,A_MD60,PC,T,TOTAL,HR,2017-01-01,
TOTAL,A_MD60,PC,T,TOTAL,HU,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,HU,2004-01-01,
TOTAL,A_MD60,PC,T,TOTAL,HU,2005-01-01,31.0
TOTAL,A_MD60,PC,T,TOTAL,HU,2006-01-01,24.1
TOTAL,A_MD60,PC,T,TOTAL,HU,2007-01-01,17.4
TOTAL,A_MD60,PC,T,TOTAL,HU,2008-01-01,28.0
TOTAL,A_MD60,PC,T,TOTAL,HU,2009-01-01,12.3
TOTAL,A_MD60,PC,T,TOTAL,HU,2010-01-01,20.9
TOTAL,A_MD60,PC,T,TOTAL,HU,2011-01-01,18.0
TOTAL,A_MD60,PC,T,TOTAL,HU,2012-01-01,20.0
TOTAL,A_MD60,PC,T,TOTAL,HU,2013-01-01,22.2
TOTAL,A_MD60,PC,T,TOTAL,HU,2014-01-01,22.4
TOTAL,A_MD60,PC,T,TOTAL,HU,2015-01-01,22.0
TOTAL,A_MD60,PC,T,TOTAL,HU,2016-01-01,23.4
TOTAL,A_MD60,PC,T,TOTAL,HU,2017-01-01,22.3
TOTAL,A_MD60,PC,T,TOTAL,IE,2003-01-01,10.7
TOTAL,A_MD60,PC,T,TOTAL,IE,2004-01-01,11.0
TOTAL,A_MD60,PC,T,TOTAL,IE,2005-01-01,10.0
TOTAL,A_MD60,PC,T,TOTAL,IE,2006-01-01,13.5
TOTAL,A_MD60,PC,T,TOTAL,IE,2007-01-01,12.8
TOTAL,A_MD60,PC,T,TOTAL,IE,2008-01-01,10.7
TOTAL,A_MD60,PC,T,TOTAL,IE,2009-01-01,11.8
TOTAL,A_MD60,PC,T,TOTAL,IE,2010-01-01,11.9
TOTAL,A_MD60,PC,T,TOTAL,IE,2011-01-01,10.2
TOTAL,A_MD60,PC,T,TOTAL,IE,2012-01-01,12.0
TOTAL,A_MD60,PC,T,TOTAL,IE,2013-01-01,13.4
TOTAL,A_MD60,PC,T,TOTAL,IE,2014-01-01,13.5
TOTAL,A_MD60,PC,T,TOTAL,IE,2015-01-01,12.5
TOTAL,A_MD60,PC,T,TOTAL,IE,2016-01-01,12.3
TOTAL,A_MD60,PC,T,TOTAL,IE,2017-01-01,
TOTAL,A_MD60,PC,T,TOTAL,IS,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,IS,2004-01-01,19.6
TOTAL,A_MD60,PC,T,TOTAL,IS,2005-01-01,19.2
TOTAL,A_MD60,PC,T,TOTAL,IS,2006-01-01,12.8
TOTAL,A_MD60,PC,T,TOTAL,IS,2007-01-01,10.7
TOTAL,A_MD60,PC,T,TOTAL,IS,2008-01-01,19.9
TOTAL,A_MD60,PC,T,TOTAL,IS,2009-01-01,17.2
TOTAL,A_MD60,PC,T,TOTAL,IS,2010-01-01,16.0
TOTAL,A_MD60,PC,T,TOTAL,IS,2011-01-01,15.7
TOTAL,A_MD60,PC,T,TOTAL,IS,2012-01-01,18.1
TOTAL,A_MD60,PC,T,TOTAL,IS,2013-01-01,17.6
TOTAL,A_MD60,PC,T,TOTAL,IS,2014-01-01,15.4
TOTAL,A_MD60,PC,T,TOTAL,IS,2015-01-01,18.6
TOTAL,A_MD60,PC,T,TOTAL,IS,2016-01-01,18.4
TOTAL,A_MD60,PC,T,TOTAL,IS,2017-01-01,
TOTAL,A_MD60,PC,T,TOTAL,IT,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,IT,2004-01-01,20.9
TOTAL,A_MD60,PC,T,TOTAL,IT,2005-01-01,20.7
TOTAL,A_MD60,PC,T,TOTAL,IT,2006-01-01,20.2
