na_item,unit,geotime,date,value
P51G,PCH_Q1_SCA,NO,2016-10-01,0
P51G,PCH_Q1_SCA,NO,2017-01-01,0
P51G,PCH_Q1_SCA,NO,2017-04-01,0
P51G,PCH_Q1_SCA,NO,2017-07-01,0
P51G,PCH_Q1_SCA,NO,2017-10-01,1
P51G,PCH_Q1_SCA,NO,2018-01-01,6
P51G,PCH_Q1_SCA,NO,2018-04-01,5
P51G,PCH_Q1_SCA,PL,2015-07-01,1
P51G,PCH_Q1_SCA,PL,2015-10-01,1
P51G,PCH_Q1_SCA,PL,2016-01-01,11
P51G,PCH_Q1_SCA,PL,2016-04-01,2
P51G,PCH_Q1_SCA,PL,2016-07-01,0
P51G,PCH_Q1_SCA,PL,2016-10-01,0
P51G,PCH_Q1_SCA,PL,2017-01-01,0
P51G,PCH_Q1_SCA,PL,2017-04-01,1
P51G,PCH_Q1_SCA,PL,2017-07-01,1
P51G,PCH_Q1_SCA,PL,2017-10-01,1
P51G,PCH_Q1_SCA,PL,2018-01-01,1
P51G,PCH_Q1_SCA,PL,2018-04-01,0
P51G,PCH_Q1_SCA,PT,2015-07-01,1
P51G,PCH_Q1_SCA,PT,2015-10-01,0
P51G,PCH_Q1_SCA,PT,2016-01-01,0
P51G,PCH_Q1_SCA,PT,2016-04-01,0
P51G,PCH_Q1_SCA,PT,2016-07-01,2
P51G,PCH_Q1_SCA,PT,2016-10-01,4
P51G,PCH_Q1_SCA,PT,2017-01-01,2
P51G,PCH_Q1_SCA,PT,2017-04-01,1
P51G,PCH_Q1_SCA,PT,2017-07-01,0
P51G,PCH_Q1_SCA,PT,2017-10-01,1
P51G,PCH_Q1_SCA,PT,2018-01-01,0
P51G,PCH_Q1_SCA,PT,2018-04-01,1
P51G,PCH_Q1_SCA,RO,2015-07-01,1
P51G,PCH_Q1_SCA,RO,2015-10-01,14
P51G,PCH_Q1_SCA,RO,2016-01-01,9
P51G,PCH_Q1_SCA,RO,2016-04-01,2
P51G,PCH_Q1_SCA,RO,2016-07-01,5
P51G,PCH_Q1_SCA,RO,2016-10-01,0
P51G,PCH_Q1_SCA,RO,2017-01-01,2
P51G,PCH_Q1_SCA,RO,2017-04-01,2
P51G,PCH_Q1_SCA,RO,2017-07-01,1
P51G,PCH_Q1_SCA,RO,2017-10-01,1
P51G,PCH_Q1_SCA,RO,2018-01-01,3
P51G,PCH_Q1_SCA,RO,2018-04-01,1
P51G,PCH_Q1_SCA,SE,2015-07-01,0
P51G,PCH_Q1_SCA,SE,2015-10-01,3
P51G,PCH_Q1_SCA,SE,2016-01-01,0
P51G,PCH_Q1_SCA,SE,2016-04-01,1
P51G,PCH_Q1_SCA,SE,2016-07-01,0
P51G,PCH_Q1_SCA,SE,2016-10-01,0
P51G,PCH_Q1_SCA,SE,2017-01-01,2
P51G,PCH_Q1_SCA,SE,2017-04-01,2
P51G,PCH_Q1_SCA,SE,2017-07-01,3
P51G,PCH_Q1_SCA,SE,2017-10-01,1
P51G,PCH_Q1_SCA,SE,2018-01-01,2
P51G,PCH_Q1_SCA,SE,2018-04-01,0
P51G,PCH_Q1_SCA,SI,2015-07-01,0
P51G,PCH_Q1_SCA,SI,2015-10-01,0
P51G,PCH_Q1_SCA,SI,2016-01-01,7
P51G,PCH_Q1_SCA,SI,2016-04-01,4
P51G,PCH_Q1_SCA,SI,2016-07-01,2
P51G,PCH_Q1_SCA,SI,2016-10-01,1
P51G,PCH_Q1_SCA,SI,2017-01-01,5
P51G,PCH_Q1_SCA,SI,2017-04-01,1
P51G,PCH_Q1_SCA,SI,2017-07-01,0
P51G,PCH_Q1_SCA,SI,2017-10-01,5
P51G,PCH_Q1_SCA,SI,2018-01-01,2
P51G,PCH_Q1_SCA,SI,2018-04-01,0
P51G,PCH_Q1_SCA,UK,2015-07-01,2
P51G,PCH_Q1_SCA,UK,2015-10-01,1
P51G,PCH_Q1_SCA,UK,2016-01-01,0
P51G,PCH_Q1_SCA,UK,2016-04-01,1
P51G,PCH_Q1_SCA,UK,2016-07-01,1
P51G,PCH_Q1_SCA,UK,2016-10-01,0
P51G,PCH_Q1_SCA,UK,2017-01-01,1
P51G,PCH_Q1_SCA,UK,2017-04-01,1
