sex,unit,geotime,date,value
T,PC_POP,FI,1998-01-01,72
T,PC_POP,FI,1999-01-01,73
T,PC_POP,FI,2000-01-01,74
T,PC_POP,FI,2001-01-01,75
T,PC_POP,FI,2002-01-01,74
T,PC_POP,FI,2003-01-01,74
T,PC_POP,FI,2004-01-01,74
T,PC_POP,FI,2005-01-01,74
T,PC_POP,FI,2006-01-01,75
T,PC_POP,FI,2007-01-01,75
T,PC_POP,FI,2008-01-01,76
T,PC_POP,FI,2009-01-01,75
T,PC_POP,FI,2010-01-01,74
T,PC_POP,FI,2011-01-01,74
T,PC_POP,FI,2012-01-01,75
T,PC_POP,FI,2013-01-01,75
T,PC_POP,FI,2014-01-01,75
T,PC_POP,FI,2015-01-01,75
T,PC_POP,FI,2016-01-01,75
T,PC_POP,FI,2017-01-01,76
T,PC_POP,FR,1995-01-01,
T,PC_POP,FR,1996-01-01,
T,PC_POP,FR,1997-01-01,
T,PC_POP,FR,1998-01-01,
T,PC_POP,FR,1999-01-01,
T,PC_POP,FR,2000-01-01,
T,PC_POP,FR,2001-01-01,
T,PC_POP,FR,2002-01-01,
T,PC_POP,FR,2003-01-01,
T,PC_POP,FR,2004-01-01,69
T,PC_POP,FR,2005-01-01,69
T,PC_POP,FR,2006-01-01,69
T,PC_POP,FR,2007-01-01,69
T,PC_POP,FR,2008-01-01,69
T,PC_POP,FR,2009-01-01,69
T,PC_POP,FR,2010-01-01,69
T,PC_POP,FR,2011-01-01,69
T,PC_POP,FR,2012-01-01,70
T,PC_POP,FR,2013-01-01,70
T,PC_POP,FR,2014-01-01,71
T,PC_POP,FR,2015-01-01,71
T,PC_POP,FR,2016-01-01,71
T,PC_POP,FR,2017-01-01,71
T,PC_POP,HR,1995-01-01,
T,PC_POP,HR,1996-01-01,
T,PC_POP,HR,1997-01-01,
T,PC_POP,HR,1998-01-01,
T,PC_POP,HR,1999-01-01,
T,PC_POP,HR,2000-01-01,
T,PC_POP,HR,2001-01-01,
T,PC_POP,HR,2002-01-01,
T,PC_POP,HR,2003-01-01,62
T,PC_POP,HR,2004-01-01,63
T,PC_POP,HR,2005-01-01,63
T,PC_POP,HR,2006-01-01,63
T,PC_POP,HR,2007-01-01,65
T,PC_POP,HR,2008-01-01,65
T,PC_POP,HR,2009-01-01,65
T,PC_POP,HR,2010-01-01,65
T,PC_POP,HR,2011-01-01,64
T,PC_POP,HR,2012-01-01,63
T,PC_POP,HR,2013-01-01,63
T,PC_POP,HR,2014-01-01,66
T,PC_POP,HR,2015-01-01,66
T,PC_POP,HR,2016-01-01,65
T,PC_POP,HR,2017-01-01,66
T,PC_POP,HU,1995-01-01,
T,PC_POP,HU,1996-01-01,
T,PC_POP,HU,1997-01-01,57
T,PC_POP,HU,1998-01-01,58
T,PC_POP,HU,1999-01-01,59
T,PC_POP,HU,2000-01-01,60
T,PC_POP,HU,2001-01-01,59
T,PC_POP,HU,2002-01-01,59
T,PC_POP,HU,2003-01-01,60
T,PC_POP,HU,2004-01-01,60
T,PC_POP,HU,2005-01-01,61
T,PC_POP,HU,2006-01-01,62
T,PC_POP,HU,2007-01-01,61
T,PC_POP,HU,2008-01-01,61
T,PC_POP,HU,2009-01-01,61
T,PC_POP,HU,2010-01-01,61
T,PC_POP,HU,2011-01-01,62
T,PC_POP,HU,2012-01-01,63
T,PC_POP,HU,2013-01-01,64
T,PC_POP,HU,2014-01-01,67
T,PC_POP,HU,2015-01-01,68
T,PC_POP,HU,2016-01-01,70
T,PC_POP,HU,2017-01-01,71
T,PC_POP,IE,1995-01-01,62
T,PC_POP,IE,1996-01-01,63
T,PC_POP,IE,1997-01-01,64
T,PC_POP,IE,1998-01-01,68
T,PC_POP,IE,1999-01-01,70
T,PC_POP,IE,2000-01-01,71
T,PC_POP,IE,2001-01-01,71
T,PC_POP,IE,2002-01-01,71
T,PC_POP,IE,2003-01-01,71
T,PC_POP,IE,2004-01-01,72
T,PC_POP,IE,2005-01-01,73
T,PC_POP,IE,2006-01-01,74
T,PC_POP,IE,2007-01-01,75
T,PC_POP,IE,2008-01-01,74
T,PC_POP,IE,2009-01-01,73
T,PC_POP,IE,2010-01-01,71
T,PC_POP,IE,2011-01-01,71
T,PC_POP,IE,2012-01-01,71
T,PC_POP,IE,2013-01-01,71
T,PC_POP,IE,2014-01-01,71
T,PC_POP,IE,2015-01-01,72
T,PC_POP,IE,2016-01-01,72
T,PC_POP,IE,2017-01-01,72
T,PC_POP,IT,1995-01-01,57
T,PC_POP,IT,1996-01-01,58
T,PC_POP,IT,1997-01-01,58
T,PC_POP,IT,1998-01-01,59
T,PC_POP,IT,1999-01-01,59
T,PC_POP,IT,2000-01-01,60
T,PC_POP,IT,2001-01-01,60
T,PC_POP,IT,2002-01-01,61
T,PC_POP,IT,2003-01-01,61
T,PC_POP,IT,2004-01-01,62
T,PC_POP,IT,2005-01-01,62
T,PC_POP,IT,2006-01-01,62
T,PC_POP,IT,2007-01-01,62
T,PC_POP,IT,2008-01-01,62
