indic_he,geotime,date,value
M_65_DFLE,FR,2016-01-01,9
M_65_DFLE,HR,2005-01-01,
M_65_DFLE,HR,2006-01-01,
M_65_DFLE,HR,2007-01-01,
M_65_DFLE,HR,2008-01-01,
M_65_DFLE,HR,2009-01-01,
M_65_DFLE,HR,2010-01-01,6
M_65_DFLE,HR,2011-01-01,7
M_65_DFLE,HR,2012-01-01,7
M_65_DFLE,HR,2013-01-01,5
M_65_DFLE,HR,2014-01-01,6
M_65_DFLE,HR,2015-01-01,4
M_65_DFLE,HR,2016-01-01,5
M_65_DFLE,HU,2005-01-01,5
M_65_DFLE,HU,2006-01-01,5
M_65_DFLE,HU,2007-01-01,5
M_65_DFLE,HU,2008-01-01,5
M_65_DFLE,HU,2009-01-01,5
M_65_DFLE,HU,2010-01-01,5
M_65_DFLE,HU,2011-01-01,6
M_65_DFLE,HU,2012-01-01,6
M_65_DFLE,HU,2013-01-01,6
M_65_DFLE,HU,2014-01-01,6
M_65_DFLE,HU,2015-01-01,5
M_65_DFLE,HU,2016-01-01,6
M_65_DFLE,IE,2005-01-01,9
M_65_DFLE,IE,2006-01-01,9
M_65_DFLE,IE,2007-01-01,9
M_65_DFLE,IE,2008-01-01,9
M_65_DFLE,IE,2009-01-01,10
M_65_DFLE,IE,2010-01-01,10
M_65_DFLE,IE,2011-01-01,10
M_65_DFLE,IE,2012-01-01,10
M_65_DFLE,IE,2013-01-01,10
M_65_DFLE,IE,2014-01-01,11
M_65_DFLE,IE,2015-01-01,11
M_65_DFLE,IE,2016-01-01,12
M_65_DFLE,IS,2005-01-01,12
M_65_DFLE,IS,2006-01-01,13
M_65_DFLE,IS,2007-01-01,15
M_65_DFLE,IS,2008-01-01,13
M_65_DFLE,IS,2009-01-01,12
M_65_DFLE,IS,2010-01-01,13
M_65_DFLE,IS,2011-01-01,14
M_65_DFLE,IS,2012-01-01,14
M_65_DFLE,IS,2013-01-01,15
M_65_DFLE,IS,2014-01-01,15
M_65_DFLE,IS,2015-01-01,15
M_65_DFLE,IS,2016-01-01,
M_65_DFLE,IT,2005-01-01,9
M_65_DFLE,IT,2006-01-01,9
M_65_DFLE,IT,2007-01-01,8
M_65_DFLE,IT,2008-01-01,7
M_65_DFLE,IT,2009-01-01,8
M_65_DFLE,IT,2010-01-01,
M_65_DFLE,IT,2011-01-01,8
M_65_DFLE,IT,2012-01-01,7
M_65_DFLE,IT,2013-01-01,7
M_65_DFLE,IT,2014-01-01,7
M_65_DFLE,IT,2015-01-01,7
M_65_DFLE,IT,2016-01-01,10
M_65_DFLE,LT,2005-01-01,5
M_65_DFLE,LT,2006-01-01,5
M_65_DFLE,LT,2007-01-01,5
M_65_DFLE,LT,2008-01-01,5
M_65_DFLE,LT,2009-01-01,6
M_65_DFLE,LT,2010-01-01,6
M_65_DFLE,LT,2011-01-01,6
M_65_DFLE,LT,2012-01-01,5
M_65_DFLE,LT,2013-01-01,5
M_65_DFLE,LT,2014-01-01,6
M_65_DFLE,LT,2015-01-01,5
M_65_DFLE,LT,2016-01-01,5
M_65_DFLE,LU,2005-01-01,9
M_65_DFLE,LU,2006-01-01,8
M_65_DFLE,LU,2007-01-01,9
M_65_DFLE,LU,2008-01-01,10
M_65_DFLE,LU,2009-01-01,10
M_65_DFLE,LU,2010-01-01,10
M_65_DFLE,LU,2011-01-01,11
M_65_DFLE,LU,2012-01-01,11
M_65_DFLE,LU,2013-01-01,10
M_65_DFLE,LU,2014-01-01,11
M_65_DFLE,LU,2015-01-01,10
M_65_DFLE,LU,2016-01-01,9
M_65_DFLE,LV,2005-01-01,5
M_65_DFLE,LV,2006-01-01,4
M_65_DFLE,LV,2007-01-01,4
M_65_DFLE,LV,2008-01-01,4
M_65_DFLE,LV,2009-01-01,4
M_65_DFLE,LV,2010-01-01,4
M_65_DFLE,LV,2011-01-01,4
M_65_DFLE,LV,2012-01-01,5
M_65_DFLE,LV,2013-01-01,4
M_65_DFLE,LV,2014-01-01,4
M_65_DFLE,LV,2015-01-01,4
M_65_DFLE,LV,2016-01-01,4
M_65_DFLE,MT,2005-01-01,10
M_65_DFLE,MT,2006-01-01,10
M_65_DFLE,MT,2007-01-01,10
M_65_DFLE,MT,2008-01-01,10
M_65_DFLE,MT,2009-01-01,11
M_65_DFLE,MT,2010-01-01,12
M_65_DFLE,MT,2011-01-01,11
M_65_DFLE,MT,2012-01-01,12
M_65_DFLE,MT,2013-01-01,12
M_65_DFLE,MT,2014-01-01,13
M_65_DFLE,MT,2015-01-01,13
M_65_DFLE,MT,2016-01-01,12
M_65_DFLE,NL,2005-01-01,10
M_65_DFLE,NL,2006-01-01,11
M_65_DFLE,NL,2007-01-01,11
M_65_DFLE,NL,2008-01-01,9
M_65_DFLE,NL,2009-01-01,9
M_65_DFLE,NL,2010-01-01,9
M_65_DFLE,NL,2011-01-01,10
M_65_DFLE,NL,2012-01-01,10
M_65_DFLE,NL,2013-01-01,9
M_65_DFLE,NL,2014-01-01,10
M_65_DFLE,NL,2015-01-01,10
M_65_DFLE,NL,2016-01-01,10
M_65_DFLE,NO,2005-01-01,12
M_65_DFLE,NO,2006-01-01,
M_65_DFLE,NO,2007-01-01,12
M_65_DFLE,NO,2008-01-01,14
M_65_DFLE,NO,2009-01-01,13
M_65_DFLE,NO,2010-01-01,14
M_65_DFLE,NO,2011-01-01,
M_65_DFLE,NO,2012-01-01,15
M_65_DFLE,NO,2013-01-01,15
M_65_DFLE,NO,2014-01-01,15
M_65_DFLE,NO,2015-01-01,15
M_65_DFLE,NO,2016-01-01,15
M_65_DFLE,PL,2005-01-01,8
M_65_DFLE,PL,2006-01-01,7
M_65_DFLE,PL,2007-01-01,6
M_65_DFLE,PL,2008-01-01,7
M_65_DFLE,PL,2009-01-01,6
M_65_DFLE,PL,2010-01-01,6
M_65_DFLE,PL,2011-01-01,7
M_65_DFLE,PL,2012-01-01,7
M_65_DFLE,PL,2013-01-01,7
M_65_DFLE,PL,2014-01-01,7
M_65_DFLE,PL,2015-01-01,7
M_65_DFLE,PL,2016-01-01,8
M_65_DFLE,PT,2005-01-01,6
M_65_DFLE,PT,2006-01-01,7
M_65_DFLE,PT,2007-01-01,6
M_65_DFLE,PT,2008-01-01,6
M_65_DFLE,PT,2009-01-01,6
M_65_DFLE,PT,2010-01-01,7
M_65_DFLE,PT,2011-01-01,7
M_65_DFLE,PT,2012-01-01,9
M_65_DFLE,PT,2013-01-01,9
M_65_DFLE,PT,2014-01-01,6
M_65_DFLE,PT,2015-01-01,7
M_65_DFLE,PT,2016-01-01,7
M_65_DFLE,RO,2005-01-01,
M_65_DFLE,RO,2006-01-01,
M_65_DFLE,RO,2007-01-01,7
M_65_DFLE,RO,2008-01-01,7
M_65_DFLE,RO,2009-01-01,7
M_65_DFLE,RO,2010-01-01,5
M_65_DFLE,RO,2011-01-01,5
M_65_DFLE,RO,2012-01-01,5
M_65_DFLE,RO,2013-01-01,5
M_65_DFLE,RO,2014-01-01,5
M_65_DFLE,RO,2015-01-01,6
M_65_DFLE,RO,2016-01-01,6
M_65_DFLE,SE,2005-01-01,10
M_65_DFLE,SE,2006-01-01,13
M_65_DFLE,SE,2007-01-01,13
M_65_DFLE,SE,2008-01-01,13
M_65_DFLE,SE,2009-01-01,13
M_65_DFLE,SE,2010-01-01,12
M_65_DFLE,SE,2011-01-01,11
M_65_DFLE,SE,2012-01-01,
M_65_DFLE,SE,2013-01-01,12
M_65_DFLE,SE,2014-01-01,15
M_65_DFLE,SE,2015-01-01,15
M_65_DFLE,SE,2016-01-01,15
M_65_DFLE,SI,2005-01-01,7
M_65_DFLE,SI,2006-01-01,8
M_65_DFLE,SI,2007-01-01,9
M_65_DFLE,SI,2008-01-01,9
M_65_DFLE,SI,2009-01-01,9
M_65_DFLE,SI,2010-01-01,6
M_65_DFLE,SI,2011-01-01,6
M_65_DFLE,SI,2012-01-01,7
M_65_DFLE,SI,2013-01-01,7
M_65_DFLE,SI,2014-01-01,7
M_65_DFLE,SI,2015-01-01,8
M_65_DFLE,SI,2016-01-01,8
M_65_DFLE,SK,2005-01-01,4
M_65_DFLE,SK,2006-01-01,4
M_65_DFLE,SK,2007-01-01,4
M_65_DFLE,SK,2008-01-01,3
M_65_DFLE,SK,2009-01-01,3
M_65_DFLE,SK,2010-01-01,3
M_65_DFLE,SK,2011-01-01,3
M_65_DFLE,SK,2012-01-01,3
M_65_DFLE,SK,2013-01-01,4
M_65_DFLE,SK,2014-01-01,4
M_65_DFLE,SK,2015-01-01,4
M_65_DFLE,SK,2016-01-01,4
M_65_DFLE,UK,2005-01-01,10
M_65_DFLE,UK,2006-01-01,10
M_65_DFLE,UK,2007-01-01,10
M_65_DFLE,UK,2008-01-01,10
M_65_DFLE,UK,2009-01-01,10
M_65_DFLE,UK,2010-01-01,10
M_65_DFLE,UK,2011-01-01,11
M_65_DFLE,UK,2012-01-01,10
M_65_DFLE,UK,2013-01-01,10
M_65_DFLE,UK,2014-01-01,9
M_65_DFLE,UK,2015-01-01,10
M_65_DFLE,UK,2016-01-01,10
