sex,age,typtrai,wstatus,unit,geo\time,date,value
F,Y15-24,NO_FED_NFE,NEMP,PC,DE,2015-01-01,7.0 
F,Y15-24,NO_FED_NFE,NEMP,PC,DE,2016-01-01,7.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,DE,2017-01-01,6.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,DK,2005-01-01,5.1 
F,Y15-24,NO_FED_NFE,NEMP,PC,DK,2006-01-01,3.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,DK,2007-01-01,3.8 b
F,Y15-24,NO_FED_NFE,NEMP,PC,DK,2008-01-01,4.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,DK,2009-01-01,4.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,DK,2010-01-01,5.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,DK,2011-01-01,6.1 
F,Y15-24,NO_FED_NFE,NEMP,PC,DK,2012-01-01,6.7
F,Y15-24,NO_FED_NFE,NEMP,PC,DK,2013-01-01,5.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,DK,2014-01-01,5.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,DK,2015-01-01,6.1 
F,Y15-24,NO_FED_NFE,NEMP,PC,DK,2016-01-01,5.1 b
F,Y15-24,NO_FED_NFE,NEMP,PC,DK,2017-01-01,6.9 b
F,Y15-24,NO_FED_NFE,NEMP,PC,EA18,2005-01-01,13.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA18,2006-01-01,12.4 b
F,Y15-24,NO_FED_NFE,NEMP,PC,EA18,2007-01-01,11.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA18,2008-01-01,11.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA18,2009-01-01,12.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA18,2010-01-01,12.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA18,2011-01-01,12.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA18,2012-01-01,13.1
F,Y15-24,NO_FED_NFE,NEMP,PC,EA18,2013-01-01,12.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA18,2014-01-01,12.5 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA18,2015-01-01,12.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA18,2016-01-01,11.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA18,2017-01-01,11.1 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA19,2005-01-01,13.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA19,2006-01-01,12.4 b
F,Y15-24,NO_FED_NFE,NEMP,PC,EA19,2007-01-01,11.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA19,2008-01-01,11.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA19,2009-01-01,12.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA19,2010-01-01,12.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA19,2011-01-01,12.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA19,2012-01-01,13.0
F,Y15-24,NO_FED_NFE,NEMP,PC,EA19,2013-01-01,12.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA19,2014-01-01,12.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA19,2015-01-01,12.1 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA19,2016-01-01,11.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,EA19,2017-01-01,11.1 
F,Y15-24,NO_FED_NFE,NEMP,PC,EE,2005-01-01,13.0 
F,Y15-24,NO_FED_NFE,NEMP,PC,EE,2006-01-01,11.0 
F,Y15-24,NO_FED_NFE,NEMP,PC,EE,2007-01-01,9.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,EE,2008-01-01,9.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,EE,2009-01-01,14.5 b
F,Y15-24,NO_FED_NFE,NEMP,PC,EE,2010-01-01,13.5 
F,Y15-24,NO_FED_NFE,NEMP,PC,EE,2011-01-01,11.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,EE,2012-01-01,13.2
F,Y15-24,NO_FED_NFE,NEMP,PC,EE,2013-01-01,11.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,EE,2014-01-01,11.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,EE,2015-01-01,12.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,EE,2016-01-01,11.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,EE,2017-01-01,10.5 
F,Y15-24,NO_FED_NFE,NEMP,PC,EL,2005-01-01,19.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,EL,2006-01-01,15.3 b
F,Y15-24,NO_FED_NFE,NEMP,PC,EL,2007-01-01,14.5 
F,Y15-24,NO_FED_NFE,NEMP,PC,EL,2008-01-01,14.1 b
F,Y15-24,NO_FED_NFE,NEMP,PC,EL,2009-01-01,15.2 b
F,Y15-24,NO_FED_NFE,NEMP,PC,EL,2010-01-01,16.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,EL,2011-01-01,18.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,EL,2012-01-01,21.3
F,Y15-24,NO_FED_NFE,NEMP,PC,EL,2013-01-01,20.0 
F,Y15-24,NO_FED_NFE,NEMP,PC,EL,2014-01-01,19.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,EL,2015-01-01,17.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,EL,2016-01-01,15.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,EL,2017-01-01,15.5 
F,Y15-24,NO_FED_NFE,NEMP,PC,ES,2005-01-01,14.9 b
F,Y15-24,NO_FED_NFE,NEMP,PC,ES,2006-01-01,13.5 b
F,Y15-24,NO_FED_NFE,NEMP,PC,ES,2007-01-01,13.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,ES,2008-01-01,14.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,ES,2009-01-01,16.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,ES,2010-01-01,16.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,ES,2011-01-01,17.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,ES,2012-01-01,17.6
F,Y15-24,NO_FED_NFE,NEMP,PC,ES,2013-01-01,17.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,ES,2014-01-01,16.2 b
F,Y15-24,NO_FED_NFE,NEMP,PC,ES,2015-01-01,14.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,ES,2016-01-01,14.1 
F,Y15-24,NO_FED_NFE,NEMP,PC,ES,2017-01-01,12.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU27,2005-01-01,13.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU27,2006-01-01,12.9 b
F,Y15-24,NO_FED_NFE,NEMP,PC,EU27,2007-01-01,12.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU27,2008-01-01,12.0 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU27,2009-01-01,12.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU27,2010-01-01,13.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU27,2011-01-01,13.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU27,2012-01-01,13.4
F,Y15-24,NO_FED_NFE,NEMP,PC,EU27,2013-01-01,13.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU27,2014-01-01,12.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU27,2015-01-01,12.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU27,2016-01-01,11.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU27,2017-01-01,11.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU28,2005-01-01,13.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU28,2006-01-01,12.9 b
F,Y15-24,NO_FED_NFE,NEMP,PC,EU28,2007-01-01,12.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU28,2008-01-01,12.0 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU28,2009-01-01,12.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU28,2010-01-01,13.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU28,2011-01-01,13.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU28,2012-01-01,13.4
F,Y15-24,NO_FED_NFE,NEMP,PC,EU28,2013-01-01,13.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU28,2014-01-01,12.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU28,2015-01-01,12.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU28,2016-01-01,11.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,EU28,2017-01-01,11.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,FI,2005-01-01,7.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,FI,2006-01-01,8.1 
F,Y15-24,NO_FED_NFE,NEMP,PC,FI,2007-01-01,7.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,FI,2008-01-01,7.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,FI,2009-01-01,9.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,FI,2010-01-01,8.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,FI,2011-01-01,8.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,FI,2012-01-01,8.6
F,Y15-24,NO_FED_NFE,NEMP,PC,FI,2013-01-01,8.1 
F,Y15-24,NO_FED_NFE,NEMP,PC,FI,2014-01-01,8.5 
F,Y15-24,NO_FED_NFE,NEMP,PC,FI,2015-01-01,9.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,FI,2016-01-01,9.2 
F,Y15-24,NO_FED_NFE,NEMP,PC,FI,2017-01-01,8.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,FR,2005-01-01,12.0 
F,Y15-24,NO_FED_NFE,NEMP,PC,FR,2006-01-01,12.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,FR,2007-01-01,11.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,FR,2008-01-01,10.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,FR,2009-01-01,12.1 
F,Y15-24,NO_FED_NFE,NEMP,PC,FR,2010-01-01,12.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,FR,2011-01-01,12.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,FR,2012-01-01,12.1
F,Y15-24,NO_FED_NFE,NEMP,PC,FR,2013-01-01,11.4 b
F,Y15-24,NO_FED_NFE,NEMP,PC,FR,2014-01-01,10.9 b
F,Y15-24,NO_FED_NFE,NEMP,PC,FR,2015-01-01,11.5 
F,Y15-24,NO_FED_NFE,NEMP,PC,FR,2016-01-01,11.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,FR,2017-01-01,11.0 
F,Y15-24,NO_FED_NFE,NEMP,PC,HR,2005-01-01,16.0 b
F,Y15-24,NO_FED_NFE,NEMP,PC,HR,2006-01-01,14.5 b
F,Y15-24,NO_FED_NFE,NEMP,PC,HR,2007-01-01,13.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,HR,2008-01-01,12.0 
F,Y15-24,NO_FED_NFE,NEMP,PC,HR,2009-01-01,13.5 
F,Y15-24,NO_FED_NFE,NEMP,PC,HR,2010-01-01,14.1 
F,Y15-24,NO_FED_NFE,NEMP,PC,HR,2011-01-01,14.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,HR,2012-01-01,15.2
F,Y15-24,NO_FED_NFE,NEMP,PC,HR,2013-01-01,18.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,HR,2014-01-01,16.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,HR,2015-01-01,15.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,HR,2016-01-01,14.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,HR,2017-01-01,15.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,HU,2005-01-01,14.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,HU,2006-01-01,13.9 b
F,Y15-24,NO_FED_NFE,NEMP,PC,HU,2007-01-01,13.0 
F,Y15-24,NO_FED_NFE,NEMP,PC,HU,2008-01-01,12.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,HU,2009-01-01,14.5 
F,Y15-24,NO_FED_NFE,NEMP,PC,HU,2010-01-01,13.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,HU,2011-01-01,14.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,HU,2012-01-01,16.0
F,Y15-24,NO_FED_NFE,NEMP,PC,HU,2013-01-01,17.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,HU,2014-01-01,15.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,HU,2015-01-01,12.8 b
