exch_rt,unit,geotime,date,value
NEER_IC42,PCH_1Y,SE,2010-01-01,
NEER_IC42,PCH_1Y,SE,2011-01-01,
NEER_IC42,PCH_1Y,SE,2012-01-01,
NEER_IC42,PCH_1Y,SE,2013-01-01,
NEER_IC42,PCH_1Y,SE,2014-01-01,
NEER_IC42,PCH_1Y,SE,2015-01-01,
NEER_IC42,PCH_1Y,SE,2016-01-01,
NEER_IC42,PCH_1Y,SE,2017-01-01,
NEER_IC42,PCH_1Y,SI,1995-01-01,6
NEER_IC42,PCH_1Y,SI,1996-01-01,9
NEER_IC42,PCH_1Y,SI,1997-01-01,
NEER_IC42,PCH_1Y,SI,1998-01-01,
NEER_IC42,PCH_1Y,SI,1999-01-01,
NEER_IC42,PCH_1Y,SI,2000-01-01,
NEER_IC42,PCH_1Y,SI,2001-01-01,
NEER_IC42,PCH_1Y,SI,2002-01-01,
NEER_IC42,PCH_1Y,SI,2003-01-01,
NEER_IC42,PCH_1Y,SI,2004-01-01,
NEER_IC42,PCH_1Y,SI,2005-01-01,
NEER_IC42,PCH_1Y,SI,2006-01-01,
NEER_IC42,PCH_1Y,SI,2007-01-01,
NEER_IC42,PCH_1Y,SI,2008-01-01,
NEER_IC42,PCH_1Y,SI,2009-01-01,
NEER_IC42,PCH_1Y,SI,2010-01-01,
NEER_IC42,PCH_1Y,SI,2011-01-01,
NEER_IC42,PCH_1Y,SI,2012-01-01,
NEER_IC42,PCH_1Y,SI,2013-01-01,
NEER_IC42,PCH_1Y,SI,2014-01-01,
NEER_IC42,PCH_1Y,SI,2015-01-01,
NEER_IC42,PCH_1Y,SI,2016-01-01,
NEER_IC42,PCH_1Y,SI,2017-01-01,
NEER_IC42,PCH_1Y,SK,1995-01-01,6
NEER_IC42,PCH_1Y,SK,1996-01-01,2
NEER_IC42,PCH_1Y,SK,1997-01-01,
NEER_IC42,PCH_1Y,SK,1998-01-01,
NEER_IC42,PCH_1Y,SK,1999-01-01,
NEER_IC42,PCH_1Y,SK,2000-01-01,
NEER_IC42,PCH_1Y,SK,2001-01-01,
NEER_IC42,PCH_1Y,SK,2002-01-01,
NEER_IC42,PCH_1Y,SK,2003-01-01,
NEER_IC42,PCH_1Y,SK,2004-01-01,
NEER_IC42,PCH_1Y,SK,2005-01-01,
NEER_IC42,PCH_1Y,SK,2006-01-01,
NEER_IC42,PCH_1Y,SK,2007-01-01,
NEER_IC42,PCH_1Y,SK,2008-01-01,
NEER_IC42,PCH_1Y,SK,2009-01-01,
NEER_IC42,PCH_1Y,SK,2010-01-01,
NEER_IC42,PCH_1Y,SK,2011-01-01,
NEER_IC42,PCH_1Y,SK,2012-01-01,
NEER_IC42,PCH_1Y,SK,2013-01-01,
NEER_IC42,PCH_1Y,SK,2014-01-01,
NEER_IC42,PCH_1Y,SK,2015-01-01,
NEER_IC42,PCH_1Y,SK,2016-01-01,
NEER_IC42,PCH_1Y,SK,2017-01-01,
NEER_IC42,PCH_1Y,UK,1995-01-01,1
NEER_IC42,PCH_1Y,UK,1996-01-01,2
NEER_IC42,PCH_1Y,UK,1997-01-01,
NEER_IC42,PCH_1Y,UK,1998-01-01,
NEER_IC42,PCH_1Y,UK,1999-01-01,
NEER_IC42,PCH_1Y,UK,2000-01-01,
NEER_IC42,PCH_1Y,UK,2001-01-01,
NEER_IC42,PCH_1Y,UK,2002-01-01,
NEER_IC42,PCH_1Y,UK,2003-01-01,
NEER_IC42,PCH_1Y,UK,2004-01-01,
NEER_IC42,PCH_1Y,UK,2005-01-01,
NEER_IC42,PCH_1Y,UK,2006-01-01,
NEER_IC42,PCH_1Y,UK,2007-01-01,
NEER_IC42,PCH_1Y,UK,2008-01-01,
NEER_IC42,PCH_1Y,UK,2009-01-01,
NEER_IC42,PCH_1Y,UK,2010-01-01,
NEER_IC42,PCH_1Y,UK,2011-01-01,
NEER_IC42,PCH_1Y,UK,2012-01-01,
NEER_IC42,PCH_1Y,UK,2013-01-01,
NEER_IC42,PCH_1Y,UK,2014-01-01,
NEER_IC42,PCH_1Y,UK,2015-01-01,
NEER_IC42,PCH_1Y,UK,2016-01-01,
NEER_IC42,PCH_1Y,UK,2017-01-01,
NEER_IC42,PCH_3Y,AT,1995-01-01,
NEER_IC42,PCH_3Y,AT,1996-01-01,
NEER_IC42,PCH_3Y,AT,1997-01-01,
NEER_IC42,PCH_3Y,AT,1998-01-01,
NEER_IC42,PCH_3Y,AT,1999-01-01,
NEER_IC42,PCH_3Y,AT,2000-01-01,
NEER_IC42,PCH_3Y,AT,2001-01-01,
NEER_IC42,PCH_3Y,AT,2002-01-01,
NEER_IC42,PCH_3Y,AT,2003-01-01,
NEER_IC42,PCH_3Y,AT,2004-01-01,
NEER_IC42,PCH_3Y,AT,2005-01-01,
NEER_IC42,PCH_3Y,AT,2006-01-01,
NEER_IC42,PCH_3Y,AT,2007-01-01,
NEER_IC42,PCH_3Y,AT,2008-01-01,
NEER_IC42,PCH_3Y,AT,2009-01-01,
NEER_IC42,PCH_3Y,AT,2010-01-01,
NEER_IC42,PCH_3Y,AT,2011-01-01,
NEER_IC42,PCH_3Y,AT,2012-01-01,
NEER_IC42,PCH_3Y,AT,2013-01-01,
NEER_IC42,PCH_3Y,AT,2014-01-01,
NEER_IC42,PCH_3Y,AT,2015-01-01,
NEER_IC42,PCH_3Y,AT,2016-01-01,
NEER_IC42,PCH_3Y,AT,2017-01-01,
NEER_IC42,PCH_3Y,BE,1995-01-01,
NEER_IC42,PCH_3Y,BE,1996-01-01,
NEER_IC42,PCH_3Y,BE,1997-01-01,
NEER_IC42,PCH_3Y,BE,1998-01-01,
NEER_IC42,PCH_3Y,BE,1999-01-01,
NEER_IC42,PCH_3Y,BE,2000-01-01,
NEER_IC42,PCH_3Y,BE,2001-01-01,
NEER_IC42,PCH_3Y,BE,2002-01-01,
NEER_IC42,PCH_3Y,BE,2003-01-01,
NEER_IC42,PCH_3Y,BE,2004-01-01,
NEER_IC42,PCH_3Y,BE,2005-01-01,
NEER_IC42,PCH_3Y,BE,2006-01-01,
NEER_IC42,PCH_3Y,BE,2007-01-01,
NEER_IC42,PCH_3Y,BE,2008-01-01,
NEER_IC42,PCH_3Y,BE,2009-01-01,
NEER_IC42,PCH_3Y,BE,2010-01-01,
NEER_IC42,PCH_3Y,BE,2011-01-01,
NEER_IC42,PCH_3Y,BE,2012-01-01,
NEER_IC42,PCH_3Y,BE,2013-01-01,
NEER_IC42,PCH_3Y,BE,2014-01-01,
NEER_IC42,PCH_3Y,BE,2015-01-01,
NEER_IC42,PCH_3Y,BE,2016-01-01,
NEER_IC42,PCH_3Y,BE,2017-01-01,
NEER_IC42,PCH_3Y,BG,1995-01-01,
NEER_IC42,PCH_3Y,BG,1996-01-01,
NEER_IC42,PCH_3Y,BG,1997-01-01,
NEER_IC42,PCH_3Y,BG,1998-01-01,
NEER_IC42,PCH_3Y,BG,1999-01-01,
NEER_IC42,PCH_3Y,BG,2000-01-01,
NEER_IC42,PCH_3Y,BG,2001-01-01,
NEER_IC42,PCH_3Y,BG,2002-01-01,
NEER_IC42,PCH_3Y,BG,2003-01-01,
NEER_IC42,PCH_3Y,BG,2004-01-01,
