unit,sex,age,isced11,geo\time,date,value
PC,T,Y20-64,ED0-2,CH,2012-01-01,68.1
PC,T,Y20-64,ED0-2,CH,2013-01-01,67.9 
PC,T,Y20-64,ED0-2,CH,2014-01-01,67.9 b
PC,T,Y20-64,ED0-2,CH,2015-01-01,68.1 
PC,T,Y20-64,ED0-2,CH,2016-01-01,68.1 
PC,T,Y20-64,ED0-2,CH,2017-01-01,67.7 
PC,T,Y20-64,ED0-2,CY,2005-01-01,64.8 b
PC,T,Y20-64,ED0-2,CY,2006-01-01,66.6 
PC,T,Y20-64,ED0-2,CY,2007-01-01,66.4 
PC,T,Y20-64,ED0-2,CY,2008-01-01,64.1 
PC,T,Y20-64,ED0-2,CY,2009-01-01,64.9 b
PC,T,Y20-64,ED0-2,CY,2010-01-01,66.8 
PC,T,Y20-64,ED0-2,CY,2011-01-01,65.1 
PC,T,Y20-64,ED0-2,CY,2012-01-01,57.8
PC,T,Y20-64,ED0-2,CY,2013-01-01,54.9 
PC,T,Y20-64,ED0-2,CY,2014-01-01,54.6 b
PC,T,Y20-64,ED0-2,CY,2015-01-01,55.1 
PC,T,Y20-64,ED0-2,CY,2016-01-01,56.8 
PC,T,Y20-64,ED0-2,CY,2017-01-01,57.0 
PC,T,Y20-64,ED0-2,CZ,2005-01-01,39.6 b
PC,T,Y20-64,ED0-2,CZ,2006-01-01,42.6 
PC,T,Y20-64,ED0-2,CZ,2007-01-01,44.5 
PC,T,Y20-64,ED0-2,CZ,2008-01-01,44.8 
PC,T,Y20-64,ED0-2,CZ,2009-01-01,42.5 
PC,T,Y20-64,ED0-2,CZ,2010-01-01,41.6 
PC,T,Y20-64,ED0-2,CZ,2011-01-01,40.4 b
PC,T,Y20-64,ED0-2,CZ,2012-01-01,38.6
PC,T,Y20-64,ED0-2,CZ,2013-01-01,40.4 
PC,T,Y20-64,ED0-2,CZ,2014-01-01,41.6 b
PC,T,Y20-64,ED0-2,CZ,2015-01-01,40.2 
PC,T,Y20-64,ED0-2,CZ,2016-01-01,43.7 
PC,T,Y20-64,ED0-2,CZ,2017-01-01,49.2 
PC,T,Y20-64,ED0-2,DE,2005-01-01,51.9 b
PC,T,Y20-64,ED0-2,DE,2006-01-01,54.1 
PC,T,Y20-64,ED0-2,DE,2007-01-01,55.0 
PC,T,Y20-64,ED0-2,DE,2008-01-01,55.9 
PC,T,Y20-64,ED0-2,DE,2009-01-01,55.7 
PC,T,Y20-64,ED0-2,DE,2010-01-01,56.1 b
PC,T,Y20-64,ED0-2,DE,2011-01-01,57.4 b
PC,T,Y20-64,ED0-2,DE,2012-01-01,57.8
PC,T,Y20-64,ED0-2,DE,2013-01-01,58.3 
PC,T,Y20-64,ED0-2,DE,2014-01-01,58.0 b
PC,T,Y20-64,ED0-2,DE,2015-01-01,58.5 
PC,T,Y20-64,ED0-2,DE,2016-01-01,58.9 
PC,T,Y20-64,ED0-2,DE,2017-01-01,59.6 
PC,T,Y20-64,ED0-2,DK,2005-01-01,62.5 b
PC,T,Y20-64,ED0-2,DK,2006-01-01,63.6 
PC,T,Y20-64,ED0-2,DK,2007-01-01,67.7 b
PC,T,Y20-64,ED0-2,DK,2008-01-01,68.6 
PC,T,Y20-64,ED0-2,DK,2009-01-01,65.7 
PC,T,Y20-64,ED0-2,DK,2010-01-01,62.6 
PC,T,Y20-64,ED0-2,DK,2011-01-01,62.0 
PC,T,Y20-64,ED0-2,DK,2012-01-01,60.2
PC,T,Y20-64,ED0-2,DK,2013-01-01,59.6 
PC,T,Y20-64,ED0-2,DK,2014-01-01,59.6 b
PC,T,Y20-64,ED0-2,DK,2015-01-01,59.2 
PC,T,Y20-64,ED0-2,DK,2016-01-01,61.8 b
PC,T,Y20-64,ED0-2,DK,2017-01-01,60.2 b
PC,T,Y20-64,ED0-2,EA18,2005-01-01,56.3 b
PC,T,Y20-64,ED0-2,EA18,2006-01-01,57.1 
PC,T,Y20-64,ED0-2,EA18,2007-01-01,57.6 
PC,T,Y20-64,ED0-2,EA18,2008-01-01,57.3 
PC,T,Y20-64,ED0-2,EA18,2009-01-01,54.9 
PC,T,Y20-64,ED0-2,EA18,2010-01-01,54.1 
PC,T,Y20-64,ED0-2,EA18,2011-01-01,53.7 
PC,T,Y20-64,ED0-2,EA18,2012-01-01,52.5
PC,T,Y20-64,ED0-2,EA18,2013-01-01,51.5 
PC,T,Y20-64,ED0-2,EA18,2014-01-01,51.5 b
PC,T,Y20-64,ED0-2,EA18,2015-01-01,52.4 
PC,T,Y20-64,ED0-2,EA18,2016-01-01,53.2 
PC,T,Y20-64,ED0-2,EA18,2017-01-01,54.4 
PC,T,Y20-64,ED0-2,EA19,2005-01-01,56.2 b
PC,T,Y20-64,ED0-2,EA19,2006-01-01,57.1 
PC,T,Y20-64,ED0-2,EA19,2007-01-01,57.6 
PC,T,Y20-64,ED0-2,EA19,2008-01-01,57.2 
PC,T,Y20-64,ED0-2,EA19,2009-01-01,54.9 
PC,T,Y20-64,ED0-2,EA19,2010-01-01,54.0 
PC,T,Y20-64,ED0-2,EA19,2011-01-01,53.6 
PC,T,Y20-64,ED0-2,EA19,2012-01-01,52.5
PC,T,Y20-64,ED0-2,EA19,2013-01-01,51.5 
PC,T,Y20-64,ED0-2,EA19,2014-01-01,51.5 b
PC,T,Y20-64,ED0-2,EA19,2015-01-01,52.3 
PC,T,Y20-64,ED0-2,EA19,2016-01-01,53.2 
PC,T,Y20-64,ED0-2,EA19,2017-01-01,54.4 
PC,T,Y20-64,ED0-2,EE,2005-01-01,50.5 b
PC,T,Y20-64,ED0-2,EE,2006-01-01,56.0 
PC,T,Y20-64,ED0-2,EE,2007-01-01,56.0 
PC,T,Y20-64,ED0-2,EE,2008-01-01,58.6 
PC,T,Y20-64,ED0-2,EE,2009-01-01,47.0 
PC,T,Y20-64,ED0-2,EE,2010-01-01,44.2 
PC,T,Y20-64,ED0-2,EE,2011-01-01,48.4 
PC,T,Y20-64,ED0-2,EE,2012-01-01,49.4
PC,T,Y20-64,ED0-2,EE,2013-01-01,56.9 
PC,T,Y20-64,ED0-2,EE,2014-01-01,59.4 b
PC,T,Y20-64,ED0-2,EE,2015-01-01,57.7 
PC,T,Y20-64,ED0-2,EE,2016-01-01,61.8 
PC,T,Y20-64,ED0-2,EE,2017-01-01,65.7 
PC,T,Y20-64,ED0-2,EL,2005-01-01,58.0 b
PC,T,Y20-64,ED0-2,EL,2006-01-01,59.6 
PC,T,Y20-64,ED0-2,EL,2007-01-01,60.2 
PC,T,Y20-64,ED0-2,EL,2008-01-01,60.4 
PC,T,Y20-64,ED0-2,EL,2009-01-01,59.8 b
PC,T,Y20-64,ED0-2,EL,2010-01-01,57.8 
PC,T,Y20-64,ED0-2,EL,2011-01-01,53.5 
PC,T,Y20-64,ED0-2,EL,2012-01-01,48.0
PC,T,Y20-64,ED0-2,EL,2013-01-01,45.8 
PC,T,Y20-64,ED0-2,EL,2014-01-01,46.5 b
PC,T,Y20-64,ED0-2,EL,2015-01-01,48.1 
PC,T,Y20-64,ED0-2,EL,2016-01-01,48.1 
PC,T,Y20-64,ED0-2,EL,2017-01-01,49.2 
PC,T,Y20-64,ED0-2,ES,2005-01-01,59.5 b
PC,T,Y20-64,ED0-2,ES,2006-01-01,60.8 
PC,T,Y20-64,ED0-2,ES,2007-01-01,61.3 
PC,T,Y20-64,ED0-2,ES,2008-01-01,59.4 
PC,T,Y20-64,ED0-2,ES,2009-01-01,53.7 
PC,T,Y20-64,ED0-2,ES,2010-01-01,52.5 
PC,T,Y20-64,ED0-2,ES,2011-01-01,51.5 
PC,T,Y20-64,ED0-2,ES,2012-01-01,48.3
PC,T,Y20-64,ED0-2,ES,2013-01-01,47.2 
PC,T,Y20-64,ED0-2,ES,2014-01-01,48.2 b
PC,T,Y20-64,ED0-2,ES,2015-01-01,50.6 
PC,T,Y20-64,ED0-2,ES,2016-01-01,52.9 
PC,T,Y20-64,ED0-2,ES,2017-01-01,54.6 
PC,T,Y20-64,ED0-2,EU27,2005-01-01,55.6 b
PC,T,Y20-64,ED0-2,EU27,2006-01-01,56.4 
PC,T,Y20-64,ED0-2,EU27,2007-01-01,57.0 
PC,T,Y20-64,ED0-2,EU27,2008-01-01,56.5 
PC,T,Y20-64,ED0-2,EU27,2009-01-01,54.3 
PC,T,Y20-64,ED0-2,EU27,2010-01-01,53.4 
PC,T,Y20-64,ED0-2,EU27,2011-01-01,52.9 
PC,T,Y20-64,ED0-2,EU27,2012-01-01,52.2
PC,T,Y20-64,ED0-2,EU27,2013-01-01,51.4 
PC,T,Y20-64,ED0-2,EU27,2014-01-01,51.9 b
PC,T,Y20-64,ED0-2,EU27,2015-01-01,52.6 
PC,T,Y20-64,ED0-2,EU27,2016-01-01,53.7 
PC,T,Y20-64,ED0-2,EU27,2017-01-01,55.1 
PC,T,Y20-64,ED0-2,EU28,2005-01-01,55.5 b
PC,T,Y20-64,ED0-2,EU28,2006-01-01,56.3 
PC,T,Y20-64,ED0-2,EU28,2007-01-01,56.9 
PC,T,Y20-64,ED0-2,EU28,2008-01-01,56.4 
PC,T,Y20-64,ED0-2,EU28,2009-01-01,54.3 
PC,T,Y20-64,ED0-2,EU28,2010-01-01,53.4 
PC,T,Y20-64,ED0-2,EU28,2011-01-01,52.9 
PC,T,Y20-64,ED0-2,EU28,2012-01-01,52.1
PC,T,Y20-64,ED0-2,EU28,2013-01-01,51.4 
PC,T,Y20-64,ED0-2,EU28,2014-01-01,51.8 b
PC,T,Y20-64,ED0-2,EU28,2015-01-01,52.6 
PC,T,Y20-64,ED0-2,EU28,2016-01-01,53.6 
PC,T,Y20-64,ED0-2,EU28,2017-01-01,54.9 
PC,T,Y20-64,ED0-2,FI,2005-01-01,57.5 b
PC,T,Y20-64,ED0-2,FI,2006-01-01,57.9 
PC,T,Y20-64,ED0-2,FI,2007-01-01,58.2 
PC,T,Y20-64,ED0-2,FI,2008-01-01,58.8 b
PC,T,Y20-64,ED0-2,FI,2009-01-01,55.8 
PC,T,Y20-64,ED0-2,FI,2010-01-01,53.9 
PC,T,Y20-64,ED0-2,FI,2011-01-01,54.1 
PC,T,Y20-64,ED0-2,FI,2012-01-01,53.9
PC,T,Y20-64,ED0-2,FI,2013-01-01,52.2 
PC,T,Y20-64,ED0-2,FI,2014-01-01,51.7 b
PC,T,Y20-64,ED0-2,FI,2015-01-01,50.8 
PC,T,Y20-64,ED0-2,FI,2016-01-01,52.0 
PC,T,Y20-64,ED0-2,FI,2017-01-01,51.3 
PC,T,Y20-64,ED0-2,FR,2005-01-01,57.9 b
PC,T,Y20-64,ED0-2,FR,2006-01-01,57.4 
PC,T,Y20-64,ED0-2,FR,2007-01-01,57.3 
PC,T,Y20-64,ED0-2,FR,2008-01-01,57.0 
PC,T,Y20-64,ED0-2,FR,2009-01-01,55.6 
PC,T,Y20-64,ED0-2,FR,2010-01-01,55.0 
PC,T,Y20-64,ED0-2,FR,2011-01-01,55.2 
PC,T,Y20-64,ED0-2,FR,2012-01-01,54.9
PC,T,Y20-64,ED0-2,FR,2013-01-01,53.6 b
PC,T,Y20-64,ED0-2,FR,2014-01-01,52.5 b
PC,T,Y20-64,ED0-2,FR,2015-01-01,51.4 
PC,T,Y20-64,ED0-2,FR,2016-01-01,50.5 
PC,T,Y20-64,ED0-2,FR,2017-01-01,51.8 
PC,T,Y20-64,ED0-2,HR,2005-01-01,45.1 b
PC,T,Y20-64,ED0-2,HR,2006-01-01,42.5 b
PC,T,Y20-64,ED0-2,HR,2007-01-01,45.7 
PC,T,Y20-64,ED0-2,HR,2008-01-01,47.6 
PC,T,Y20-64,ED0-2,HR,2009-01-01,48.3 
PC,T,Y20-64,ED0-2,HR,2010-01-01,46.2 b
PC,T,Y20-64,ED0-2,HR,2011-01-01,43.3 
PC,T,Y20-64,ED0-2,HR,2012-01-01,40.7
PC,T,Y20-64,ED0-2,HR,2013-01-01,38.5 
PC,T,Y20-64,ED0-2,HR,2014-01-01,37.8 b
PC,T,Y20-64,ED0-2,HR,2015-01-01,39.3 
PC,T,Y20-64,ED0-2,HR,2016-01-01,37.9 
PC,T,Y20-64,ED0-2,HR,2017-01-01,34.7 
PC,T,Y20-64,ED0-2,HU,2005-01-01,37.7 b
PC,T,Y20-64,ED0-2,HU,2006-01-01,37.6 
PC,T,Y20-64,ED0-2,HU,2007-01-01,37.3 
PC,T,Y20-64,ED0-2,HU,2008-01-01,37.6 
PC,T,Y20-64,ED0-2,HU,2009-01-01,35.9 
PC,T,Y20-64,ED0-2,HU,2010-01-01,36.1 
PC,T,Y20-64,ED0-2,HU,2011-01-01,36.2 
PC,T,Y20-64,ED0-2,HU,2012-01-01,36.9
PC,T,Y20-64,ED0-2,HU,2013-01-01,38.1 
PC,T,Y20-64,ED0-2,HU,2014-01-01,44.3 b
PC,T,Y20-64,ED0-2,HU,2015-01-01,47.1 
PC,T,Y20-64,ED0-2,HU,2016-01-01,50.7 
PC,T,Y20-64,ED0-2,HU,2017-01-01,53.9 
PC,T,Y20-64,ED0-2,IE,2005-01-01,58.5 b
PC,T,Y20-64,ED0-2,IE,2006-01-01,58.8 
PC,T,Y20-64,ED0-2,IE,2007-01-01,58.8 b
PC,T,Y20-64,ED0-2,IE,2008-01-01,56.9 
PC,T,Y20-64,ED0-2,IE,2009-01-01,50.3 
PC,T,Y20-64,ED0-2,IE,2010-01-01,47.2 
PC,T,Y20-64,ED0-2,IE,2011-01-01,45.1 
PC,T,Y20-64,ED0-2,IE,2012-01-01,43.4
PC,T,Y20-64,ED0-2,IE,2013-01-01,46.4 
PC,T,Y20-64,ED0-2,IE,2014-01-01,45.9 b
PC,T,Y20-64,ED0-2,IE,2015-01-01,48.1 
PC,T,Y20-64,ED0-2,IE,2016-01-01,48.9 
PC,T,Y20-64,ED0-2,IE,2017-01-01,50.1 b
PC,T,Y20-64,ED0-2,IS,2005-01-01,82.3 b
PC,T,Y20-64,ED0-2,IS,2006-01-01,83.8 
PC,T,Y20-64,ED0-2,IS,2007-01-01,83.7 
PC,T,Y20-64,ED0-2,IS,2008-01-01,82.7 
PC,T,Y20-64,ED0-2,IS,2009-01-01,75.7 
PC,T,Y20-64,ED0-2,IS,2010-01-01,74.9 
PC,T,Y20-64,ED0-2,IS,2011-01-01,72.8 
PC,T,Y20-64,ED0-2,IS,2012-01-01,72.6
PC,T,Y20-64,ED0-2,IS,2013-01-01,74.1 
PC,T,Y20-64,ED0-2,IS,2014-01-01,77.5 b
PC,T,Y20-64,ED0-2,IS,2015-01-01,79.5 
PC,T,Y20-64,ED0-2,IS,2016-01-01,79.5 
PC,T,Y20-64,ED0-2,IS,2017-01-01,77.9 
PC,T,Y20-64,ED0-2,IT,2005-01-01,51.7 b
PC,T,Y20-64,ED0-2,IT,2006-01-01,52.2 
PC,T,Y20-64,ED0-2,IT,2007-01-01,52.5 
PC,T,Y20-64,ED0-2,IT,2008-01-01,52.1 
PC,T,Y20-64,ED0-2,IT,2009-01-01,50.7 
PC,T,Y20-64,ED0-2,IT,2010-01-01,49.9 
PC,T,Y20-64,ED0-2,IT,2011-01-01,50.1 
PC,T,Y20-64,ED0-2,IT,2012-01-01,50.0
PC,T,Y20-64,ED0-2,IT,2013-01-01,48.8 
PC,T,Y20-64,ED0-2,IT,2014-01-01,48.7 b
PC,T,Y20-64,ED0-2,IT,2015-01-01,49.4 
PC,T,Y20-64,ED0-2,IT,2016-01-01,50.3 
PC,T,Y20-64,ED0-2,IT,2017-01-01,51.0 
PC,T,Y20-64,ED0-2,LT,2005-01-01,46.6 b
PC,T,Y20-64,ED0-2,LT,2006-01-01,46.1 
PC,T,Y20-64,ED0-2,LT,2007-01-01,48.9 
PC,T,Y20-64,ED0-2,LT,2008-01-01,42.1 
PC,T,Y20-64,ED0-2,LT,2009-01-01,36.2 
PC,T,Y20-64,ED0-2,LT,2010-01-01,29.6 
PC,T,Y20-64,ED0-2,LT,2011-01-01,31.8 
PC,T,Y20-64,ED0-2,LT,2012-01-01,35.2
PC,T,Y20-64,ED0-2,LT,2013-01-01,37.1 
PC,T,Y20-64,ED0-2,LT,2014-01-01,42.0 b
PC,T,Y20-64,ED0-2,LT,2015-01-01,42.7 
PC,T,Y20-64,ED0-2,LT,2016-01-01,42.3 
PC,T,Y20-64,ED0-2,LT,2017-01-01,44.1 
PC,T,Y20-64,ED0-2,LU,2005-01-01,60.4 b
PC,T,Y20-64,ED0-2,LU,2006-01-01,59.3 
PC,T,Y20-64,ED0-2,LU,2007-01-01,60.8 b
PC,T,Y20-64,ED0-2,LU,2008-01-01,59.8 
PC,T,Y20-64,ED0-2,LU,2009-01-01,58.9 b
PC,T,Y20-64,ED0-2,LU,2010-01-01,58.5 
PC,T,Y20-64,ED0-2,LU,2011-01-01,58.6 
PC,T,Y20-64,ED0-2,LU,2012-01-01,60.1
PC,T,Y20-64,ED0-2,LU,2013-01-01,58.6 
PC,T,Y20-64,ED0-2,LU,2014-01-01,57.3 b
PC,T,Y20-64,ED0-2,LU,2015-01-01,58.4 b
PC,T,Y20-64,ED0-2,LU,2016-01-01,56.4 
PC,T,Y20-64,ED0-2,LU,2017-01-01,56.4 
PC,T,Y20-64,ED0-2,LV,2005-01-01,50.5 b
PC,T,Y20-64,ED0-2,LV,2006-01-01,54.8 
PC,T,Y20-64,ED0-2,LV,2007-01-01,59.0 
PC,T,Y20-64,ED0-2,LV,2008-01-01,57.0 
PC,T,Y20-64,ED0-2,LV,2009-01-01,45.8 
PC,T,Y20-64,ED0-2,LV,2010-01-01,45.1 
PC,T,Y20-64,ED0-2,LV,2011-01-01,46.7 
PC,T,Y20-64,ED0-2,LV,2012-01-01,50.3
PC,T,Y20-64,ED0-2,LV,2013-01-01,49.0 
PC,T,Y20-64,ED0-2,LV,2014-01-01,50.0 b
PC,T,Y20-64,ED0-2,LV,2015-01-01,53.2 
PC,T,Y20-64,ED0-2,LV,2016-01-01,54.8 
PC,T,Y20-64,ED0-2,LV,2017-01-01,56.7 
PC,T,Y20-64,ED0-2,ME,2005-01-01,: 
PC,T,Y20-64,ED0-2,ME,2006-01-01,: 
PC,T,Y20-64,ED0-2,ME,2007-01-01,: 
PC,T,Y20-64,ED0-2,ME,2008-01-01,: 
PC,T,Y20-64,ED0-2,ME,2009-01-01,: 
PC,T,Y20-64,ED0-2,ME,2010-01-01,: 
PC,T,Y20-64,ED0-2,ME,2011-01-01,24.9 
PC,T,Y20-64,ED0-2,ME,2012-01-01,24.6
PC,T,Y20-64,ED0-2,ME,2013-01-01,22.6 
PC,T,Y20-64,ED0-2,ME,2014-01-01,25.4 b
PC,T,Y20-64,ED0-2,ME,2015-01-01,29.6 
PC,T,Y20-64,ED0-2,ME,2016-01-01,34.0 
PC,T,Y20-64,ED0-2,ME,2017-01-01,38.2 
PC,T,Y20-64,ED0-2,MK,2005-01-01,: 
PC,T,Y20-64,ED0-2,MK,2006-01-01,30.3 
PC,T,Y20-64,ED0-2,MK,2007-01-01,29.8 
PC,T,Y20-64,ED0-2,MK,2008-01-01,31.6 
PC,T,Y20-64,ED0-2,MK,2009-01-01,33.0 
PC,T,Y20-64,ED0-2,MK,2010-01-01,32.7 
PC,T,Y20-64,ED0-2,MK,2011-01-01,33.5 
PC,T,Y20-64,ED0-2,MK,2012-01-01,31.6
PC,T,Y20-64,ED0-2,MK,2013-01-01,34.7 
PC,T,Y20-64,ED0-2,MK,2014-01-01,36.3 b
PC,T,Y20-64,ED0-2,MK,2015-01-01,35.0 
PC,T,Y20-64,ED0-2,MK,2016-01-01,33.4 
PC,T,Y20-64,ED0-2,MK,2017-01-01,34.9 
PC,T,Y20-64,ED0-2,MT,2005-01-01,48.2 b
PC,T,Y20-64,ED0-2,MT,2006-01-01,48.5 
PC,T,Y20-64,ED0-2,MT,2007-01-01,48.8 
PC,T,Y20-64,ED0-2,MT,2008-01-01,49.5 
PC,T,Y20-64,ED0-2,MT,2009-01-01,48.3 
PC,T,Y20-64,ED0-2,MT,2010-01-01,48.9 
PC,T,Y20-64,ED0-2,MT,2011-01-01,50.2 b
PC,T,Y20-64,ED0-2,MT,2012-01-01,51.2
PC,T,Y20-64,ED0-2,MT,2013-01-01,53.0 
PC,T,Y20-64,ED0-2,MT,2014-01-01,54.6 b
PC,T,Y20-64,ED0-2,MT,2015-01-01,55.9 
PC,T,Y20-64,ED0-2,MT,2016-01-01,58.1 
PC,T,Y20-64,ED0-2,MT,2017-01-01,59.2 
PC,T,Y20-64,ED0-2,NL,2005-01-01,60.5 b
PC,T,Y20-64,ED0-2,NL,2006-01-01,61.6 
PC,T,Y20-64,ED0-2,NL,2007-01-01,62.9 
PC,T,Y20-64,ED0-2,NL,2008-01-01,64.5 
PC,T,Y20-64,ED0-2,NL,2009-01-01,64.2 
PC,T,Y20-64,ED0-2,NL,2010-01-01,61.7 b
PC,T,Y20-64,ED0-2,NL,2011-01-01,62.0 b
PC,T,Y20-64,ED0-2,NL,2012-01-01,61.9
PC,T,Y20-64,ED0-2,NL,2013-01-01,60.3 b
PC,T,Y20-64,ED0-2,NL,2014-01-01,58.7 b
PC,T,Y20-64,ED0-2,NL,2015-01-01,59.8 
PC,T,Y20-64,ED0-2,NL,2016-01-01,60.7 
PC,T,Y20-64,ED0-2,NL,2017-01-01,61.2 
PC,T,Y20-64,ED0-2,NO,2005-01-01,56.0 b
PC,T,Y20-64,ED0-2,NO,2006-01-01,64.4 b
PC,T,Y20-64,ED0-2,NO,2007-01-01,66.3 
PC,T,Y20-64,ED0-2,NO,2008-01-01,67.2 
PC,T,Y20-64,ED0-2,NO,2009-01-01,66.3 
PC,T,Y20-64,ED0-2,NO,2010-01-01,64.3 
PC,T,Y20-64,ED0-2,NO,2011-01-01,65.0 
PC,T,Y20-64,ED0-2,NO,2012-01-01,64.8
PC,T,Y20-64,ED0-2,NO,2013-01-01,61.9 
PC,T,Y20-64,ED0-2,NO,2014-01-01,61.3 b
PC,T,Y20-64,ED0-2,NO,2015-01-01,60.5 
PC,T,Y20-64,ED0-2,NO,2016-01-01,60.3 
PC,T,Y20-64,ED0-2,NO,2017-01-01,59.9 
PC,T,Y20-64,ED0-2,PL,2005-01-01,36.2 b
PC,T,Y20-64,ED0-2,PL,2006-01-01,37.7 
PC,T,Y20-64,ED0-2,PL,2007-01-01,40.3 
PC,T,Y20-64,ED0-2,PL,2008-01-01,42.3 
PC,T,Y20-64,ED0-2,PL,2009-01-01,41.0 
PC,T,Y20-64,ED0-2,PL,2010-01-01,39.2 b
PC,T,Y20-64,ED0-2,PL,2011-01-01,38.7 
PC,T,Y20-64,ED0-2,PL,2012-01-01,38.9
PC,T,Y20-64,ED0-2,PL,2013-01-01,37.6 
PC,T,Y20-64,ED0-2,PL,2014-01-01,38.2 b
PC,T,Y20-64,ED0-2,PL,2015-01-01,39.8 
PC,T,Y20-64,ED0-2,PL,2016-01-01,39.5 
PC,T,Y20-64,ED0-2,PL,2017-01-01,40.8 
PC,T,Y20-64,ED0-2,PT,2005-01-01,71.3 b
PC,T,Y20-64,ED0-2,PT,2006-01-01,71.5 
PC,T,Y20-64,ED0-2,PT,2007-01-01,71.3 
PC,T,Y20-64,ED0-2,PT,2008-01-01,71.6 
PC,T,Y20-64,ED0-2,PT,2009-01-01,68.6 
PC,T,Y20-64,ED0-2,PT,2010-01-01,67.6 
PC,T,Y20-64,ED0-2,PT,2011-01-01,65.2 b
PC,T,Y20-64,ED0-2,PT,2012-01-01,62.2
PC,T,Y20-64,ED0-2,PT,2013-01-01,60.8 
PC,T,Y20-64,ED0-2,PT,2014-01-01,62.2 b
PC,T,Y20-64,ED0-2,PT,2015-01-01,63.5 
PC,T,Y20-64,ED0-2,PT,2016-01-01,64.7 
PC,T,Y20-64,ED0-2,PT,2017-01-01,67.7 
PC,T,Y20-64,ED0-2,RO,2005-01-01,52.5 b
PC,T,Y20-64,ED0-2,RO,2006-01-01,52.6 
PC,T,Y20-64,ED0-2,RO,2007-01-01,53.1 
PC,T,Y20-64,ED0-2,RO,2008-01-01,53.6 
PC,T,Y20-64,ED0-2,RO,2009-01-01,53.7 
PC,T,Y20-64,ED0-2,RO,2010-01-01,55.3 b
PC,T,Y20-64,ED0-2,RO,2011-01-01,51.4 
PC,T,Y20-64,ED0-2,RO,2012-01-01,53.1
PC,T,Y20-64,ED0-2,RO,2013-01-01,53.6 
PC,T,Y20-64,ED0-2,RO,2014-01-01,55.0 b
PC,T,Y20-64,ED0-2,RO,2015-01-01,53.3 
PC,T,Y20-64,ED0-2,RO,2016-01-01,52.3 
PC,T,Y20-64,ED0-2,RO,2017-01-01,54.7 
PC,T,Y20-64,ED0-2,SE,2005-01-01,64.4 b
PC,T,Y20-64,ED0-2,SE,2006-01-01,66.7 b
PC,T,Y20-64,ED0-2,SE,2007-01-01,66.9 
