s_adj,sex,age,unit,geotime,date,value
SA,T,TOTAL,PC_ACT,BE,2004-10-01,
SA,T,TOTAL,PC_ACT,BE,2005-01-01,8
SA,T,TOTAL,PC_ACT,BE,2005-04-01,
SA,T,TOTAL,PC_ACT,BE,2005-07-01,
SA,T,TOTAL,PC_ACT,BE,2005-10-01,
SA,T,TOTAL,PC_ACT,BE,2006-01-01,
SA,T,TOTAL,PC_ACT,BE,2006-04-01,
SA,T,TOTAL,PC_ACT,BE,2006-07-01,7
SA,T,TOTAL,PC_ACT,BE,2006-10-01,7
SA,T,TOTAL,PC_ACT,BE,2007-01-01,
SA,T,TOTAL,PC_ACT,BE,2007-04-01,
SA,T,TOTAL,PC_ACT,BE,2007-07-01,
SA,T,TOTAL,PC_ACT,BE,2007-10-01,
SA,T,TOTAL,PC_ACT,BE,2008-01-01,6
SA,T,TOTAL,PC_ACT,BE,2008-04-01,6
SA,T,TOTAL,PC_ACT,BE,2008-07-01,
SA,T,TOTAL,PC_ACT,BE,2008-10-01,
SA,T,TOTAL,PC_ACT,BE,2009-01-01,
SA,T,TOTAL,PC_ACT,BE,2009-04-01,
SA,T,TOTAL,PC_ACT,BE,2009-07-01,
SA,T,TOTAL,PC_ACT,BE,2009-10-01,8
SA,T,TOTAL,PC_ACT,BE,2010-01-01,
SA,T,TOTAL,PC_ACT,BE,2010-04-01,
SA,T,TOTAL,PC_ACT,BE,2010-07-01,
SA,T,TOTAL,PC_ACT,BE,2010-10-01,7
SA,T,TOTAL,PC_ACT,BE,2011-01-01,
SA,T,TOTAL,PC_ACT,BE,2011-04-01,
SA,T,TOTAL,PC_ACT,BE,2011-07-01,7
SA,T,TOTAL,PC_ACT,BE,2011-10-01,
SA,T,TOTAL,PC_ACT,BE,2012-01-01,
SA,T,TOTAL,PC_ACT,BE,2012-04-01,
SA,T,TOTAL,PC_ACT,BE,2012-07-01,
SA,T,TOTAL,PC_ACT,BE,2012-10-01,
SA,T,TOTAL,PC_ACT,BE,2013-01-01,
SA,T,TOTAL,PC_ACT,BE,2013-04-01,
SA,T,TOTAL,PC_ACT,BE,2013-07-01,
SA,T,TOTAL,PC_ACT,BE,2013-10-01,
SA,T,TOTAL,PC_ACT,BE,2014-01-01,
SA,T,TOTAL,PC_ACT,BE,2014-04-01,
SA,T,TOTAL,PC_ACT,BE,2014-07-01,
SA,T,TOTAL,PC_ACT,BE,2014-10-01,
SA,T,TOTAL,PC_ACT,BE,2015-01-01,
SA,T,TOTAL,PC_ACT,BE,2015-04-01,
SA,T,TOTAL,PC_ACT,BE,2015-07-01,
SA,T,TOTAL,PC_ACT,BE,2015-10-01,
SA,T,TOTAL,PC_ACT,BE,2016-01-01,
SA,T,TOTAL,PC_ACT,BE,2016-04-01,
SA,T,TOTAL,PC_ACT,BE,2016-07-01,
SA,T,TOTAL,PC_ACT,BE,2016-10-01,
SA,T,TOTAL,PC_ACT,BE,2017-01-01,7
SA,T,TOTAL,PC_ACT,BE,2017-04-01,
SA,T,TOTAL,PC_ACT,BE,2017-07-01,
SA,T,TOTAL,PC_ACT,BE,2017-10-01,
SA,T,TOTAL,PC_ACT,BE,2018-01-01,
SA,T,TOTAL,PC_ACT,BE,2018-04-01,
SA,T,TOTAL,PC_ACT,BE,2018-07-01,
SA,T,TOTAL,PC_ACT,BG,1995-01-01,
SA,T,TOTAL,PC_ACT,BG,1995-04-01,
SA,T,TOTAL,PC_ACT,BG,1995-07-01,
SA,T,TOTAL,PC_ACT,BG,1995-10-01,
SA,T,TOTAL,PC_ACT,BG,1996-01-01,
SA,T,TOTAL,PC_ACT,BG,1996-04-01,
SA,T,TOTAL,PC_ACT,BG,1996-07-01,
SA,T,TOTAL,PC_ACT,BG,1996-10-01,
SA,T,TOTAL,PC_ACT,BG,1997-01-01,
SA,T,TOTAL,PC_ACT,BG,1997-04-01,
SA,T,TOTAL,PC_ACT,BG,1997-07-01,
SA,T,TOTAL,PC_ACT,BG,1997-10-01,
SA,T,TOTAL,PC_ACT,BG,1998-01-01,
SA,T,TOTAL,PC_ACT,BG,1998-04-01,
SA,T,TOTAL,PC_ACT,BG,1998-07-01,
SA,T,TOTAL,PC_ACT,BG,1998-10-01,
SA,T,TOTAL,PC_ACT,BG,1999-01-01,
SA,T,TOTAL,PC_ACT,BG,1999-04-01,
SA,T,TOTAL,PC_ACT,BG,1999-07-01,
SA,T,TOTAL,PC_ACT,BG,1999-10-01,
SA,T,TOTAL,PC_ACT,BG,2000-01-01,
SA,T,TOTAL,PC_ACT,BG,2000-04-01,
SA,T,TOTAL,PC_ACT,BG,2000-07-01,
SA,T,TOTAL,PC_ACT,BG,2000-10-01,17
SA,T,TOTAL,PC_ACT,BG,2001-01-01,18
SA,T,TOTAL,PC_ACT,BG,2001-04-01,
SA,T,TOTAL,PC_ACT,BG,2001-07-01,19
SA,T,TOTAL,PC_ACT,BG,2001-10-01,
SA,T,TOTAL,PC_ACT,BG,2002-01-01,
SA,T,TOTAL,PC_ACT,BG,2002-04-01,
SA,T,TOTAL,PC_ACT,BG,2002-07-01,
SA,T,TOTAL,PC_ACT,BG,2002-10-01,16
SA,T,TOTAL,PC_ACT,BG,2003-01-01,
SA,T,TOTAL,PC_ACT,BG,2003-04-01,
SA,T,TOTAL,PC_ACT,BG,2003-07-01,
SA,T,TOTAL,PC_ACT,BG,2003-10-01,12
SA,T,TOTAL,PC_ACT,BG,2004-01-01,12
SA,T,TOTAL,PC_ACT,BG,2004-04-01,
SA,T,TOTAL,PC_ACT,BG,2004-07-01,
SA,T,TOTAL,PC_ACT,BG,2004-10-01,
SA,T,TOTAL,PC_ACT,BG,2005-01-01,10
SA,T,TOTAL,PC_ACT,BG,2005-04-01,
SA,T,TOTAL,PC_ACT,BG,2005-07-01,
SA,T,TOTAL,PC_ACT,BG,2005-10-01,
SA,T,TOTAL,PC_ACT,BG,2006-01-01,
SA,T,TOTAL,PC_ACT,BG,2006-04-01,
SA,T,TOTAL,PC_ACT,BG,2006-07-01,9
SA,T,TOTAL,PC_ACT,BG,2006-10-01,8
SA,T,TOTAL,PC_ACT,BG,2007-01-01,
SA,T,TOTAL,PC_ACT,BG,2007-04-01,
SA,T,TOTAL,PC_ACT,BG,2007-07-01,
SA,T,TOTAL,PC_ACT,BG,2007-10-01,
SA,T,TOTAL,PC_ACT,BG,2008-01-01,6
SA,T,TOTAL,PC_ACT,BG,2008-04-01,5
SA,T,TOTAL,PC_ACT,BG,2008-07-01,
SA,T,TOTAL,PC_ACT,BG,2008-10-01,
SA,T,TOTAL,PC_ACT,BG,2009-01-01,
SA,T,TOTAL,PC_ACT,BG,2009-04-01,
SA,T,TOTAL,PC_ACT,BG,2009-07-01,
SA,T,TOTAL,PC_ACT,BG,2009-10-01,8
SA,T,TOTAL,PC_ACT,BG,2010-01-01,
SA,T,TOTAL,PC_ACT,BG,2010-04-01,
SA,T,TOTAL,PC_ACT,BG,2010-07-01,
SA,T,TOTAL,PC_ACT,BG,2010-10-01,11
SA,T,TOTAL,PC_ACT,BG,2011-01-01,
SA,T,TOTAL,PC_ACT,BG,2011-04-01,
SA,T,TOTAL,PC_ACT,BG,2011-07-01,11
SA,T,TOTAL,PC_ACT,BG,2011-10-01,
SA,T,TOTAL,PC_ACT,BG,2012-01-01,
SA,T,TOTAL,PC_ACT,BG,2012-04-01,
SA,T,TOTAL,PC_ACT,BG,2012-07-01,
SA,T,TOTAL,PC_ACT,BG,2012-10-01,
SA,T,TOTAL,PC_ACT,BG,2013-01-01,
SA,T,TOTAL,PC_ACT,BG,2013-04-01,
SA,T,TOTAL,PC_ACT,BG,2013-07-01,
SA,T,TOTAL,PC_ACT,BG,2013-10-01,
SA,T,TOTAL,PC_ACT,BG,2014-01-01,
SA,T,TOTAL,PC_ACT,BG,2014-04-01,
SA,T,TOTAL,PC_ACT,BG,2014-07-01,
SA,T,TOTAL,PC_ACT,BG,2014-10-01,
SA,T,TOTAL,PC_ACT,BG,2015-01-01,
SA,T,TOTAL,PC_ACT,BG,2015-04-01,
SA,T,TOTAL,PC_ACT,BG,2015-07-01,
SA,T,TOTAL,PC_ACT,BG,2015-10-01,
SA,T,TOTAL,PC_ACT,BG,2016-01-01,
SA,T,TOTAL,PC_ACT,BG,2016-04-01,
SA,T,TOTAL,PC_ACT,BG,2016-07-01,
SA,T,TOTAL,PC_ACT,BG,2016-10-01,
SA,T,TOTAL,PC_ACT,BG,2017-01-01,6
SA,T,TOTAL,PC_ACT,BG,2017-04-01,
SA,T,TOTAL,PC_ACT,BG,2017-07-01,
SA,T,TOTAL,PC_ACT,BG,2017-10-01,
SA,T,TOTAL,PC_ACT,BG,2018-01-01,
SA,T,TOTAL,PC_ACT,BG,2018-04-01,
SA,T,TOTAL,PC_ACT,BG,2018-07-01,
SA,T,TOTAL,PC_ACT,CY,1995-01-01,
SA,T,TOTAL,PC_ACT,CY,1995-04-01,
SA,T,TOTAL,PC_ACT,CY,1995-07-01,
SA,T,TOTAL,PC_ACT,CY,1995-10-01,
SA,T,TOTAL,PC_ACT,CY,1996-01-01,
SA,T,TOTAL,PC_ACT,CY,1996-04-01,
SA,T,TOTAL,PC_ACT,CY,1996-07-01,
SA,T,TOTAL,PC_ACT,CY,1996-10-01,
SA,T,TOTAL,PC_ACT,CY,1997-01-01,
SA,T,TOTAL,PC_ACT,CY,1997-04-01,
SA,T,TOTAL,PC_ACT,CY,1997-07-01,
SA,T,TOTAL,PC_ACT,CY,1997-10-01,
SA,T,TOTAL,PC_ACT,CY,1998-01-01,
SA,T,TOTAL,PC_ACT,CY,1998-04-01,
SA,T,TOTAL,PC_ACT,CY,1998-07-01,
SA,T,TOTAL,PC_ACT,CY,1998-10-01,
SA,T,TOTAL,PC_ACT,CY,1999-01-01,
SA,T,TOTAL,PC_ACT,CY,1999-04-01,
SA,T,TOTAL,PC_ACT,CY,1999-07-01,
SA,T,TOTAL,PC_ACT,CY,1999-10-01,
SA,T,TOTAL,PC_ACT,CY,2000-01-01,
SA,T,TOTAL,PC_ACT,CY,2000-04-01,
SA,T,TOTAL,PC_ACT,CY,2000-07-01,
SA,T,TOTAL,PC_ACT,CY,2000-10-01,4
SA,T,TOTAL,PC_ACT,CY,2001-01-01,3
SA,T,TOTAL,PC_ACT,CY,2001-04-01,
SA,T,TOTAL,PC_ACT,CY,2001-07-01,3
SA,T,TOTAL,PC_ACT,CY,2001-10-01,
SA,T,TOTAL,PC_ACT,CY,2002-01-01,
SA,T,TOTAL,PC_ACT,CY,2002-04-01,
SA,T,TOTAL,PC_ACT,CY,2002-07-01,
SA,T,TOTAL,PC_ACT,CY,2002-10-01,3
SA,T,TOTAL,PC_ACT,CY,2003-01-01,
SA,T,TOTAL,PC_ACT,CY,2003-04-01,
SA,T,TOTAL,PC_ACT,CY,2003-07-01,
SA,T,TOTAL,PC_ACT,CY,2003-10-01,4
SA,T,TOTAL,PC_ACT,CY,2004-01-01,3
SA,T,TOTAL,PC_ACT,CY,2004-04-01,
SA,T,TOTAL,PC_ACT,CY,2004-07-01,
SA,T,TOTAL,PC_ACT,CY,2004-10-01,
SA,T,TOTAL,PC_ACT,CY,2005-01-01,5
SA,T,TOTAL,PC_ACT,CY,2005-04-01,
SA,T,TOTAL,PC_ACT,CY,2005-07-01,
SA,T,TOTAL,PC_ACT,CY,2005-10-01,
SA,T,TOTAL,PC_ACT,CY,2006-01-01,
SA,T,TOTAL,PC_ACT,CY,2006-04-01,
SA,T,TOTAL,PC_ACT,CY,2006-07-01,4
SA,T,TOTAL,PC_ACT,CY,2006-10-01,4
SA,T,TOTAL,PC_ACT,CY,2007-01-01,
SA,T,TOTAL,PC_ACT,CY,2007-04-01,
SA,T,TOTAL,PC_ACT,CY,2007-07-01,
SA,T,TOTAL,PC_ACT,CY,2007-10-01,
SA,T,TOTAL,PC_ACT,CY,2008-01-01,3
SA,T,TOTAL,PC_ACT,CY,2008-04-01,3
SA,T,TOTAL,PC_ACT,CY,2008-07-01,
SA,T,TOTAL,PC_ACT,CY,2008-10-01,
SA,T,TOTAL,PC_ACT,CY,2009-01-01,
SA,T,TOTAL,PC_ACT,CY,2009-04-01,
SA,T,TOTAL,PC_ACT,CY,2009-07-01,
SA,T,TOTAL,PC_ACT,CY,2009-10-01,6
SA,T,TOTAL,PC_ACT,CY,2010-01-01,
SA,T,TOTAL,PC_ACT,CY,2010-04-01,
SA,T,TOTAL,PC_ACT,CY,2010-07-01,
SA,T,TOTAL,PC_ACT,CY,2010-10-01,6
SA,T,TOTAL,PC_ACT,CY,2011-01-01,
SA,T,TOTAL,PC_ACT,CY,2011-04-01,
SA,T,TOTAL,PC_ACT,CY,2011-07-01,8
SA,T,TOTAL,PC_ACT,CY,2011-10-01,
SA,T,TOTAL,PC_ACT,CY,2012-01-01,
SA,T,TOTAL,PC_ACT,CY,2012-04-01,
SA,T,TOTAL,PC_ACT,CY,2012-07-01,
SA,T,TOTAL,PC_ACT,CY,2012-10-01,
SA,T,TOTAL,PC_ACT,CY,2013-01-01,
SA,T,TOTAL,PC_ACT,CY,2013-04-01,
SA,T,TOTAL,PC_ACT,CY,2013-07-01,
SA,T,TOTAL,PC_ACT,CY,2013-10-01,
SA,T,TOTAL,PC_ACT,CY,2014-01-01,
SA,T,TOTAL,PC_ACT,CY,2014-04-01,
SA,T,TOTAL,PC_ACT,CY,2014-07-01,
SA,T,TOTAL,PC_ACT,CY,2014-10-01,
SA,T,TOTAL,PC_ACT,CY,2015-01-01,
SA,T,TOTAL,PC_ACT,CY,2015-04-01,
SA,T,TOTAL,PC_ACT,CY,2015-07-01,
SA,T,TOTAL,PC_ACT,CY,2015-10-01,
SA,T,TOTAL,PC_ACT,CY,2016-01-01,
SA,T,TOTAL,PC_ACT,CY,2016-04-01,
SA,T,TOTAL,PC_ACT,CY,2016-07-01,
SA,T,TOTAL,PC_ACT,CY,2016-10-01,
SA,T,TOTAL,PC_ACT,CY,2017-01-01,12
SA,T,TOTAL,PC_ACT,CY,2017-04-01,
SA,T,TOTAL,PC_ACT,CY,2017-07-01,
SA,T,TOTAL,PC_ACT,CY,2017-10-01,
SA,T,TOTAL,PC_ACT,CY,2018-01-01,
SA,T,TOTAL,PC_ACT,CY,2018-04-01,
SA,T,TOTAL,PC_ACT,CY,2018-07-01,
SA,T,TOTAL,PC_ACT,CZ,1995-01-01,4
SA,T,TOTAL,PC_ACT,CZ,1995-04-01,4
SA,T,TOTAL,PC_ACT,CZ,1995-07-01,4
SA,T,TOTAL,PC_ACT,CZ,1995-10-01,3
SA,T,TOTAL,PC_ACT,CZ,1996-01-01,3
SA,T,TOTAL,PC_ACT,CZ,1996-04-01,3
SA,T,TOTAL,PC_ACT,CZ,1996-07-01,3
SA,T,TOTAL,PC_ACT,CZ,1996-10-01,4
SA,T,TOTAL,PC_ACT,CZ,1997-01-01,4
SA,T,TOTAL,PC_ACT,CZ,1997-04-01,4
SA,T,TOTAL,PC_ACT,CZ,1997-07-01,4
SA,T,TOTAL,PC_ACT,CZ,1997-10-01,5
SA,T,TOTAL,PC_ACT,CZ,1998-01-01,5
SA,T,TOTAL,PC_ACT,CZ,1998-04-01,6
SA,T,TOTAL,PC_ACT,CZ,1998-07-01,6
SA,T,TOTAL,PC_ACT,CZ,1998-10-01,7
SA,T,TOTAL,PC_ACT,CZ,1999-01-01,8
SA,T,TOTAL,PC_ACT,CZ,1999-04-01,8
SA,T,TOTAL,PC_ACT,CZ,1999-07-01,9
SA,T,TOTAL,PC_ACT,CZ,1999-10-01,9
SA,T,TOTAL,PC_ACT,CZ,2000-01-01,
SA,T,TOTAL,PC_ACT,CZ,2000-04-01,
SA,T,TOTAL,PC_ACT,CZ,2000-07-01,
SA,T,TOTAL,PC_ACT,CZ,2000-10-01,8
SA,T,TOTAL,PC_ACT,CZ,2001-01-01,8
SA,T,TOTAL,PC_ACT,CZ,2001-04-01,
SA,T,TOTAL,PC_ACT,CZ,2001-07-01,8
SA,T,TOTAL,PC_ACT,CZ,2001-10-01,
SA,T,TOTAL,PC_ACT,CZ,2002-01-01,
SA,T,TOTAL,PC_ACT,CZ,2002-04-01,
SA,T,TOTAL,PC_ACT,CZ,2002-07-01,
SA,T,TOTAL,PC_ACT,CZ,2002-10-01,7
SA,T,TOTAL,PC_ACT,CZ,2003-01-01,
SA,T,TOTAL,PC_ACT,CZ,2003-04-01,
SA,T,TOTAL,PC_ACT,CZ,2003-07-01,
SA,T,TOTAL,PC_ACT,CZ,2003-10-01,8
SA,T,TOTAL,PC_ACT,CZ,2004-01-01,8
SA,T,TOTAL,PC_ACT,CZ,2004-04-01,
SA,T,TOTAL,PC_ACT,CZ,2004-07-01,
SA,T,TOTAL,PC_ACT,CZ,2004-10-01,
SA,T,TOTAL,PC_ACT,CZ,2005-01-01,8
SA,T,TOTAL,PC_ACT,CZ,2005-04-01,
SA,T,TOTAL,PC_ACT,CZ,2005-07-01,
SA,T,TOTAL,PC_ACT,CZ,2005-10-01,
SA,T,TOTAL,PC_ACT,CZ,2006-01-01,
SA,T,TOTAL,PC_ACT,CZ,2006-04-01,
SA,T,TOTAL,PC_ACT,CZ,2006-07-01,7
SA,T,TOTAL,PC_ACT,CZ,2006-10-01,6
SA,T,TOTAL,PC_ACT,CZ,2007-01-01,
SA,T,TOTAL,PC_ACT,CZ,2007-04-01,
SA,T,TOTAL,PC_ACT,CZ,2007-07-01,
SA,T,TOTAL,PC_ACT,CZ,2007-10-01,
SA,T,TOTAL,PC_ACT,CZ,2008-01-01,4
SA,T,TOTAL,PC_ACT,CZ,2008-04-01,4
SA,T,TOTAL,PC_ACT,CZ,2008-07-01,
SA,T,TOTAL,PC_ACT,CZ,2008-10-01,
SA,T,TOTAL,PC_ACT,CZ,2009-01-01,
SA,T,TOTAL,PC_ACT,CZ,2009-04-01,
SA,T,TOTAL,PC_ACT,CZ,2009-07-01,
SA,T,TOTAL,PC_ACT,CZ,2009-10-01,7
SA,T,TOTAL,PC_ACT,CZ,2010-01-01,
SA,T,TOTAL,PC_ACT,CZ,2010-04-01,
SA,T,TOTAL,PC_ACT,CZ,2010-07-01,
SA,T,TOTAL,PC_ACT,CZ,2010-10-01,7
SA,T,TOTAL,PC_ACT,CZ,2011-01-01,
SA,T,TOTAL,PC_ACT,CZ,2011-04-01,
SA,T,TOTAL,PC_ACT,CZ,2011-07-01,6
SA,T,TOTAL,PC_ACT,CZ,2011-10-01,
SA,T,TOTAL,PC_ACT,CZ,2012-01-01,
SA,T,TOTAL,PC_ACT,CZ,2012-04-01,
SA,T,TOTAL,PC_ACT,CZ,2012-07-01,
SA,T,TOTAL,PC_ACT,CZ,2012-10-01,
SA,T,TOTAL,PC_ACT,CZ,2013-01-01,
SA,T,TOTAL,PC_ACT,CZ,2013-04-01,
SA,T,TOTAL,PC_ACT,CZ,2013-07-01,
SA,T,TOTAL,PC_ACT,CZ,2013-10-01,
SA,T,TOTAL,PC_ACT,CZ,2014-01-01,
SA,T,TOTAL,PC_ACT,CZ,2014-04-01,
SA,T,TOTAL,PC_ACT,CZ,2014-07-01,
SA,T,TOTAL,PC_ACT,CZ,2014-10-01,
SA,T,TOTAL,PC_ACT,CZ,2015-01-01,
SA,T,TOTAL,PC_ACT,CZ,2015-04-01,
SA,T,TOTAL,PC_ACT,CZ,2015-07-01,
SA,T,TOTAL,PC_ACT,CZ,2015-10-01,
SA,T,TOTAL,PC_ACT,CZ,2016-01-01,
SA,T,TOTAL,PC_ACT,CZ,2016-04-01,
SA,T,TOTAL,PC_ACT,CZ,2016-07-01,
SA,T,TOTAL,PC_ACT,CZ,2016-10-01,
SA,T,TOTAL,PC_ACT,CZ,2017-01-01,3
SA,T,TOTAL,PC_ACT,CZ,2017-04-01,
SA,T,TOTAL,PC_ACT,CZ,2017-07-01,
SA,T,TOTAL,PC_ACT,CZ,2017-10-01,
SA,T,TOTAL,PC_ACT,CZ,2018-01-01,
