,coicop,unit,geo\time,date,value
167,CP07,I15,ES,2018-08-01,105.75 
168,CP07,I15,ES,2018-09-01,106.10 
169,CP07,I15,EU,2017-10-01,101.94 
170,CP07,I15,EU,2017-11-01,102.33 
171,CP07,I15,EU,2017-12-01,103.25 
172,CP07,I15,EU,2018-01-01,103.11 
173,CP07,I15,EU,2018-02-01,103.36 
174,CP07,I15,EU,2018-03-01,103.29 
175,CP07,I15,EU,2018-04-01,104.35 
176,CP07,I15,EU,2018-05-01,105.59 
177,CP07,I15,EU,2018-06-01,106.38 
178,CP07,I15,EU,2018-07-01,107.12 
179,CP07,I15,EU,2018-08-01,107.77 r
180,CP07,I15,EU,2018-09-01,106.86 
181,CP07,I15,EU28,2017-10-01,101.94 
182,CP07,I15,EU28,2017-11-01,102.33 
183,CP07,I15,EU28,2017-12-01,103.25 
184,CP07,I15,EU28,2018-01-01,103.11 
185,CP07,I15,EU28,2018-02-01,103.36 
186,CP07,I15,EU28,2018-03-01,103.29 
187,CP07,I15,EU28,2018-04-01,104.35 
188,CP07,I15,EU28,2018-05-01,105.59 
189,CP07,I15,EU28,2018-06-01,106.38 
190,CP07,I15,EU28,2018-07-01,107.12 
191,CP07,I15,EU28,2018-08-01,107.77 r
192,CP07,I15,EU28,2018-09-01,106.86 
193,CP07,I15,FI,2017-10-01,99.70 
194,CP07,I15,FI,2017-11-01,99.93 
195,CP07,I15,FI,2017-12-01,99.61 
196,CP07,I15,FI,2018-01-01,98.69 
197,CP07,I15,FI,2018-02-01,98.89 
198,CP07,I15,FI,2018-03-01,98.37 
199,CP07,I15,FI,2018-04-01,99.40 
200,CP07,I15,FI,2018-05-01,100.07 
201,CP07,I15,FI,2018-06-01,101.75 
202,CP07,I15,FI,2018-07-01,102.30 
203,CP07,I15,FI,2018-08-01,101.67 
204,CP07,I15,FI,2018-09-01,101.60 
205,CP07,I15,FR,2017-10-01,102.06 
206,CP07,I15,FR,2017-11-01,102.16 
207,CP07,I15,FR,2017-12-01,103.31 
208,CP07,I15,FR,2018-01-01,104.27 
209,CP07,I15,FR,2018-02-01,104.72 
210,CP07,I15,FR,2018-03-01,104.51 
211,CP07,I15,FR,2018-04-01,105.91 
212,CP07,I15,FR,2018-05-01,106.47 
213,CP07,I15,FR,2018-06-01,106.74 
214,CP07,I15,FR,2018-07-01,108.30 
215,CP07,I15,FR,2018-08-01,108.45 
216,CP07,I15,FR,2018-09-01,106.61 
217,CP07,I15,HR,2017-10-01,98.73 
218,CP07,I15,HR,2017-11-01,99.32 
219,CP07,I15,HR,2017-12-01,99.88 
220,CP07,I15,HR,2018-01-01,99.95 
221,CP07,I15,HR,2018-02-01,99.35 
222,CP07,I15,HR,2018-03-01,98.55 
223,CP07,I15,HR,2018-04-01,99.79 
224,CP07,I15,HR,2018-05-01,101.57 
225,CP07,I15,HR,2018-06-01,103.80 
226,CP07,I15,HR,2018-07-01,103.50 
227,CP07,I15,HR,2018-08-01,103.74 
228,CP07,I15,HR,2018-09-01,104.46 
229,CP07,I15,HU,2017-10-01,100.13 
230,CP07,I15,HU,2017-11-01,101.48 
231,CP07,I15,HU,2017-12-01,101.43 
232,CP07,I15,HU,2018-01-01,101.74 
233,CP07,I15,HU,2018-02-01,101.55 
234,CP07,I15,HU,2018-03-01,101.05 
235,CP07,I15,HU,2018-04-01,102.83 
236,CP07,I15,HU,2018-05-01,105.03 
237,CP07,I15,HU,2018-06-01,106.93 
238,CP07,I15,HU,2018-07-01,108.49 
239,CP07,I15,HU,2018-08-01,108.61 
240,CP07,I15,HU,2018-09-01,108.97 
241,CP07,I15,IE,2017-10-01,96.5 
242,CP07,I15,IE,2017-11-01,97.0 
243,CP07,I15,IE,2017-12-01,97.6 
244,CP07,I15,IE,2018-01-01,96.4 
245,CP07,I15,IE,2018-02-01,98.2 
246,CP07,I15,IE,2018-03-01,99.7 
247,CP07,I15,IE,2018-04-01,97.7 
248,CP07,I15,IE,2018-05-01,99.6 
249,CP07,I15,IE,2018-06-01,100.2 
250,CP07,I15,IE,2018-07-01,103.5 
251,CP07,I15,IE,2018-08-01,102.3 
252,CP07,I15,IE,2018-09-01,99.8 
253,CP07,I15,IS,2017-10-01,88.19 
254,CP07,I15,IS,2017-11-01,84.10 
255,CP07,I15,IS,2017-12-01,88.52 
256,CP07,I15,IS,2018-01-01,86.31 
257,CP07,I15,IS,2018-02-01,85.44 
258,CP07,I15,IS,2018-03-01,86.99 
259,CP07,I15,IS,2018-04-01,87.23 
260,CP07,I15,IS,2018-05-01,85.09 
261,CP07,I15,IS,2018-06-01,89.22 
262,CP07,I15,IS,2018-07-01,96.08 
263,CP07,I15,IS,2018-08-01,93.68 
264,CP07,I15,IS,2018-09-01,86.01 
265,CP07,I15,IT,2017-10-01,101.6 
266,CP07,I15,IT,2017-11-01,101.5 
267,CP07,I15,IT,2017-12-01,103.0 
268,CP07,I15,IT,2018-01-01,101.7 
269,CP07,I15,IT,2018-02-01,102.5 
270,CP07,I15,IT,2018-03-01,103.2 
271,CP07,I15,IT,2018-04-01,103.5 
272,CP07,I15,IT,2018-05-01,104.2 
273,CP07,I15,IT,2018-06-01,106.2 
274,CP07,I15,IT,2018-07-01,106.4 
275,CP07,I15,IT,2018-08-01,108.9 
276,CP07,I15,IT,2018-09-01,106.3 
277,CP07,I15,LT,2017-10-01,100.25 
278,CP07,I15,LT,2017-11-01,101.25 
279,CP07,I15,LT,2017-12-01,103.01 
280,CP07,I15,LT,2018-01-01,102.24 
281,CP07,I15,LT,2018-02-01,102.08 
282,CP07,I15,LT,2018-03-01,102.04 
283,CP07,I15,LT,2018-04-01,102.96 
284,CP07,I15,LT,2018-05-01,106.22 
285,CP07,I15,LT,2018-06-01,107.09 
286,CP07,I15,LT,2018-07-01,109.29 
287,CP07,I15,LT,2018-08-01,108.30 
288,CP07,I15,LT,2018-09-01,107.69 
289,CP07,I15,LU,2017-10-01,100.44 
290,CP07,I15,LU,2017-11-01,101.80 
291,CP07,I15,LU,2017-12-01,101.87 
292,CP07,I15,LU,2018-01-01,102.60 
293,CP07,I15,LU,2018-02-01,101.57 
294,CP07,I15,LU,2018-03-01,100.94 
295,CP07,I15,LU,2018-04-01,102.46 
296,CP07,I15,LU,2018-05-01,104.48 
297,CP07,I15,LU,2018-06-01,105.52 
298,CP07,I15,LU,2018-07-01,105.67 
299,CP07,I15,LU,2018-08-01,105.80 
300,CP07,I15,LU,2018-09-01,106.12 
301,CP07,I15,LV,2017-10-01,100.44 
302,CP07,I15,LV,2017-11-01,100.90 
303,CP07,I15,LV,2017-12-01,102.39 
304,CP07,I15,LV,2018-01-01,102.88 
305,CP07,I15,LV,2018-02-01,103.06 
306,CP07,I15,LV,2018-03-01,103.65 
307,CP07,I15,LV,2018-04-01,102.70 
308,CP07,I15,LV,2018-05-01,103.58 
309,CP07,I15,LV,2018-06-01,106.62 
310,CP07,I15,LV,2018-07-01,106.60 
311,CP07,I15,LV,2018-08-01,105.82 
312,CP07,I15,LV,2018-09-01,105.63 
313,CP07,I15,MK,2017-10-01,105.87 d
314,CP07,I15,MK,2017-11-01,106.92 d
315,CP07,I15,MK,2017-12-01,108.18 d
316,CP07,I15,MK,2018-01-01,109.35 d
