indic_il,geotime,date,value
GINI_HND,MK,2006-01-01,
GINI_HND,MK,2007-01-01,
GINI_HND,MK,2008-01-01,
GINI_HND,MK,2009-01-01,
GINI_HND,MK,2010-01-01,
GINI_HND,MK,2011-01-01,
GINI_HND,MK,2012-01-01,38
GINI_HND,MK,2013-01-01,
GINI_HND,MK,2014-01-01,35
GINI_HND,MK,2015-01-01,
GINI_HND,MK,2016-01-01,33
GINI_HND,MK,2017-01-01,
GINI_HND,MT,2006-01-01,27
GINI_HND,MT,2007-01-01,26
GINI_HND,MT,2008-01-01,28
GINI_HND,MT,2009-01-01,27
GINI_HND,MT,2010-01-01,28
GINI_HND,MT,2011-01-01,27
GINI_HND,MT,2012-01-01,27
GINI_HND,MT,2013-01-01,
GINI_HND,MT,2014-01-01,27
GINI_HND,MT,2015-01-01,
GINI_HND,MT,2016-01-01,28
GINI_HND,MT,2017-01-01,28
GINI_HND,NL,2006-01-01,26
GINI_HND,NL,2007-01-01,27
GINI_HND,NL,2008-01-01,27
GINI_HND,NL,2009-01-01,27
GINI_HND,NL,2010-01-01,25
GINI_HND,NL,2011-01-01,25
GINI_HND,NL,2012-01-01,25
GINI_HND,NL,2013-01-01,
GINI_HND,NL,2014-01-01,26
GINI_HND,NL,2015-01-01,
GINI_HND,NL,2016-01-01,26
GINI_HND,NL,2017-01-01,27
GINI_HND,NO,2006-01-01,29
GINI_HND,NO,2007-01-01,23
GINI_HND,NO,2008-01-01,25
GINI_HND,NO,2009-01-01,24
GINI_HND,NO,2010-01-01,23
GINI_HND,NO,2011-01-01,22
GINI_HND,NO,2012-01-01,22
GINI_HND,NO,2013-01-01,
GINI_HND,NO,2014-01-01,23
GINI_HND,NO,2015-01-01,
GINI_HND,NO,2016-01-01,25
GINI_HND,NO,2017-01-01,26
GINI_HND,PL,2006-01-01,33
GINI_HND,PL,2007-01-01,32
GINI_HND,PL,2008-01-01,32
GINI_HND,PL,2009-01-01,31
GINI_HND,PL,2010-01-01,31
GINI_HND,PL,2011-01-01,31
GINI_HND,PL,2012-01-01,30
GINI_HND,PL,2013-01-01,
GINI_HND,PL,2014-01-01,30
GINI_HND,PL,2015-01-01,
GINI_HND,PL,2016-01-01,29
GINI_HND,PL,2017-01-01,29
GINI_HND,PT,2006-01-01,37
GINI_HND,PT,2007-01-01,36
GINI_HND,PT,2008-01-01,35
GINI_HND,PT,2009-01-01,35
GINI_HND,PT,2010-01-01,33
GINI_HND,PT,2011-01-01,34
GINI_HND,PT,2012-01-01,34
GINI_HND,PT,2013-01-01,
GINI_HND,PT,2014-01-01,34
GINI_HND,PT,2015-01-01,
GINI_HND,PT,2016-01-01,33
GINI_HND,PT,2017-01-01,33
GINI_HND,RO,2006-01-01,
GINI_HND,RO,2007-01-01,38
GINI_HND,RO,2008-01-01,35
GINI_HND,RO,2009-01-01,34
GINI_HND,RO,2010-01-01,33
GINI_HND,RO,2011-01-01,33
GINI_HND,RO,2012-01-01,34
GINI_HND,RO,2013-01-01,
GINI_HND,RO,2014-01-01,35
GINI_HND,RO,2015-01-01,
GINI_HND,RO,2016-01-01,34
GINI_HND,RO,2017-01-01,33
GINI_HND,RS,2006-01-01,
GINI_HND,RS,2007-01-01,
GINI_HND,RS,2008-01-01,
GINI_HND,RS,2009-01-01,
GINI_HND,RS,2010-01-01,
GINI_HND,RS,2011-01-01,
GINI_HND,RS,2012-01-01,
GINI_HND,RS,2013-01-01,
GINI_HND,RS,2014-01-01,38
GINI_HND,RS,2015-01-01,
GINI_HND,RS,2016-01-01,38
GINI_HND,RS,2017-01-01,
GINI_HND,SE,2006-01-01,24
GINI_HND,SE,2007-01-01,23
GINI_HND,SE,2008-01-01,25
GINI_HND,SE,2009-01-01,26
GINI_HND,SE,2010-01-01,25
GINI_HND,SE,2011-01-01,26
GINI_HND,SE,2012-01-01,26
GINI_HND,SE,2013-01-01,
GINI_HND,SE,2014-01-01,26
GINI_HND,SE,2015-01-01,
GINI_HND,SE,2016-01-01,27
GINI_HND,SE,2017-01-01,28
GINI_HND,SI,2006-01-01,23
GINI_HND,SI,2007-01-01,23
GINI_HND,SI,2008-01-01,23
GINI_HND,SI,2009-01-01,22
GINI_HND,SI,2010-01-01,23
GINI_HND,SI,2011-01-01,23
GINI_HND,SI,2012-01-01,23
GINI_HND,SI,2013-01-01,
GINI_HND,SI,2014-01-01,25
GINI_HND,SI,2015-01-01,
GINI_HND,SI,2016-01-01,24
GINI_HND,SI,2017-01-01,23
GINI_HND,SK,2006-01-01,28
GINI_HND,SK,2007-01-01,24
GINI_HND,SK,2008-01-01,23
GINI_HND,SK,2009-01-01,24
GINI_HND,SK,2010-01-01,25
GINI_HND,SK,2011-01-01,25
GINI_HND,SK,2012-01-01,25
GINI_HND,SK,2013-01-01,
GINI_HND,SK,2014-01-01,26
GINI_HND,SK,2015-01-01,
GINI_HND,SK,2016-01-01,24
GINI_HND,SK,2017-01-01,23
GINI_HND,TR,2006-01-01,44
GINI_HND,TR,2007-01-01,43
GINI_HND,TR,2008-01-01,43
GINI_HND,TR,2009-01-01,44
GINI_HND,TR,2010-01-01,43
GINI_HND,TR,2011-01-01,43
GINI_HND,TR,2012-01-01,42
GINI_HND,TR,2013-01-01,
GINI_HND,TR,2014-01-01,41
GINI_HND,TR,2015-01-01,
GINI_HND,TR,2016-01-01,
GINI_HND,TR,2017-01-01,
GINI_HND,UK,2006-01-01,32
GINI_HND,UK,2007-01-01,32
GINI_HND,UK,2008-01-01,33
GINI_HND,UK,2009-01-01,32
GINI_HND,UK,2010-01-01,32
GINI_HND,UK,2011-01-01,33
GINI_HND,UK,2012-01-01,31
GINI_HND,UK,2013-01-01,
GINI_HND,UK,2014-01-01,31
GINI_HND,UK,2015-01-01,
GINI_HND,UK,2016-01-01,31
GINI_HND,UK,2017-01-01,
