na_item,unit,geotime,date,value
P51G,CP_MEUR,SK,2015-01-01,19213
P51G,CP_MEUR,SK,2016-01-01,17279
P51G,CP_MEUR,SK,2017-01-01,18155
P51G,CP_MEUR,UK,1995-01-01,
P51G,CP_MEUR,UK,1996-01-01,
P51G,CP_MEUR,UK,1997-01-01,
P51G,CP_MEUR,UK,1998-01-01,
P51G,CP_MEUR,UK,1999-01-01,
P51G,CP_MEUR,UK,2000-01-01,
P51G,CP_MEUR,UK,2001-01-01,
P51G,CP_MEUR,UK,2002-01-01,
P51G,CP_MEUR,UK,2003-01-01,
P51G,CP_MEUR,UK,2004-01-01,
P51G,CP_MEUR,UK,2005-01-01,
P51G,CP_MEUR,UK,2006-01-01,
P51G,CP_MEUR,UK,2007-01-01,
P51G,CP_MEUR,UK,2008-01-01,
P51G,CP_MEUR,UK,2009-01-01,
P51G,CP_MEUR,UK,2010-01-01,
P51G,CP_MEUR,UK,2011-01-01,294291
P51G,CP_MEUR,UK,2012-01-01,329315
P51G,CP_MEUR,UK,2013-01-01,331355
P51G,CP_MEUR,UK,2014-01-01,379282
P51G,CP_MEUR,UK,2015-01-01,440086
P51G,CP_MEUR,UK,2016-01-01,404454
P51G,CP_MEUR,UK,2017-01-01,400024
P51G,CP_MNAC,AT,1995-01-01,
P51G,CP_MNAC,AT,1996-01-01,
P51G,CP_MNAC,AT,1997-01-01,
P51G,CP_MNAC,AT,1998-01-01,
P51G,CP_MNAC,AT,1999-01-01,
P51G,CP_MNAC,AT,2000-01-01,
P51G,CP_MNAC,AT,2001-01-01,
P51G,CP_MNAC,AT,2002-01-01,
P51G,CP_MNAC,AT,2003-01-01,
P51G,CP_MNAC,AT,2004-01-01,
P51G,CP_MNAC,AT,2005-01-01,
P51G,CP_MNAC,AT,2006-01-01,
P51G,CP_MNAC,AT,2007-01-01,
P51G,CP_MNAC,AT,2008-01-01,
P51G,CP_MNAC,AT,2009-01-01,
P51G,CP_MNAC,AT,2010-01-01,
P51G,CP_MNAC,AT,2011-01-01,69691
P51G,CP_MNAC,AT,2012-01-01,72172
P51G,CP_MNAC,AT,2013-01-01,74629
P51G,CP_MNAC,AT,2014-01-01,75492
P51G,CP_MNAC,AT,2015-01-01,78133
P51G,CP_MNAC,AT,2016-01-01,82725
P51G,CP_MNAC,AT,2017-01-01,87357
P51G,CP_MNAC,BE,1995-01-01,
P51G,CP_MNAC,BE,1996-01-01,
P51G,CP_MNAC,BE,1997-01-01,
P51G,CP_MNAC,BE,1998-01-01,
P51G,CP_MNAC,BE,1999-01-01,
P51G,CP_MNAC,BE,2000-01-01,
P51G,CP_MNAC,BE,2001-01-01,
P51G,CP_MNAC,BE,2002-01-01,
P51G,CP_MNAC,BE,2003-01-01,
P51G,CP_MNAC,BE,2004-01-01,
P51G,CP_MNAC,BE,2005-01-01,
P51G,CP_MNAC,BE,2006-01-01,
P51G,CP_MNAC,BE,2007-01-01,
P51G,CP_MNAC,BE,2008-01-01,
P51G,CP_MNAC,BE,2009-01-01,
P51G,CP_MNAC,BE,2010-01-01,
P51G,CP_MNAC,BE,2011-01-01,85609
P51G,CP_MNAC,BE,2012-01-01,87671
P51G,CP_MNAC,BE,2013-01-01,86943
P51G,CP_MNAC,BE,2014-01-01,92161
P51G,CP_MNAC,BE,2015-01-01,94980
P51G,CP_MNAC,BE,2016-01-01,99132
P51G,CP_MNAC,BE,2017-01-01,103156
P51G,CP_MNAC,BG,1995-01-01,
P51G,CP_MNAC,BG,1996-01-01,
P51G,CP_MNAC,BG,1997-01-01,
P51G,CP_MNAC,BG,1998-01-01,
P51G,CP_MNAC,BG,1999-01-01,
P51G,CP_MNAC,BG,2000-01-01,
P51G,CP_MNAC,BG,2001-01-01,
P51G,CP_MNAC,BG,2002-01-01,
P51G,CP_MNAC,BG,2003-01-01,
P51G,CP_MNAC,BG,2004-01-01,
P51G,CP_MNAC,BG,2005-01-01,
P51G,CP_MNAC,BG,2006-01-01,
P51G,CP_MNAC,BG,2007-01-01,
P51G,CP_MNAC,BG,2008-01-01,
P51G,CP_MNAC,BG,2009-01-01,
P51G,CP_MNAC,BG,2010-01-01,
P51G,CP_MNAC,BG,2011-01-01,16895
P51G,CP_MNAC,BG,2012-01-01,17443
P51G,CP_MNAC,BG,2013-01-01,17364
P51G,CP_MNAC,BG,2014-01-01,17653
P51G,CP_MNAC,BG,2015-01-01,18612
P51G,CP_MNAC,BG,2016-01-01,17484
P51G,CP_MNAC,BG,2017-01-01,18716
P51G,CP_MNAC,CY,1995-01-01,
P51G,CP_MNAC,CY,1996-01-01,
P51G,CP_MNAC,CY,1997-01-01,
P51G,CP_MNAC,CY,1998-01-01,
P51G,CP_MNAC,CY,1999-01-01,
P51G,CP_MNAC,CY,2000-01-01,
P51G,CP_MNAC,CY,2001-01-01,
P51G,CP_MNAC,CY,2002-01-01,
P51G,CP_MNAC,CY,2003-01-01,
P51G,CP_MNAC,CY,2004-01-01,
P51G,CP_MNAC,CY,2005-01-01,
P51G,CP_MNAC,CY,2006-01-01,
P51G,CP_MNAC,CY,2007-01-01,
P51G,CP_MNAC,CY,2008-01-01,
P51G,CP_MNAC,CY,2009-01-01,
P51G,CP_MNAC,CY,2010-01-01,
P51G,CP_MNAC,CY,2011-01-01,3719
P51G,CP_MNAC,CY,2012-01-01,2935
P51G,CP_MNAC,CY,2013-01-01,2562
P51G,CP_MNAC,CY,2014-01-01,2052
P51G,CP_MNAC,CY,2015-01-01,2302
P51G,CP_MNAC,CY,2016-01-01,3264
P51G,CP_MNAC,CY,2017-01-01,4094
P51G,CP_MNAC,CZ,1995-01-01,
P51G,CP_MNAC,CZ,1996-01-01,
P51G,CP_MNAC,CZ,1997-01-01,
P51G,CP_MNAC,CZ,1998-01-01,
P51G,CP_MNAC,CZ,1999-01-01,
P51G,CP_MNAC,CZ,2000-01-01,
P51G,CP_MNAC,CZ,2001-01-01,
P51G,CP_MNAC,CZ,2002-01-01,
P51G,CP_MNAC,CZ,2003-01-01,
P51G,CP_MNAC,CZ,2004-01-01,
P51G,CP_MNAC,CZ,2005-01-01,
P51G,CP_MNAC,CZ,2006-01-01,
P51G,CP_MNAC,CZ,2007-01-01,
P51G,CP_MNAC,CZ,2008-01-01,
P51G,CP_MNAC,CZ,2009-01-01,
P51G,CP_MNAC,CZ,2010-01-01,
P51G,CP_MNAC,CZ,2011-01-01,1067017
P51G,CP_MNAC,CZ,2012-01-01,1051943
P51G,CP_MNAC,CZ,2013-01-01,1027089
P51G,CP_MNAC,CZ,2014-01-01,1084075
P51G,CP_MNAC,CZ,2015-01-01,1216306
P51G,CP_MNAC,CZ,2016-01-01,1188716
P51G,CP_MNAC,CZ,2017-01-01,1246136
P51G,CP_MNAC,DE,1995-01-01,
P51G,CP_MNAC,DE,1996-01-01,
P51G,CP_MNAC,DE,1997-01-01,
P51G,CP_MNAC,DE,1998-01-01,
P51G,CP_MNAC,DE,1999-01-01,
P51G,CP_MNAC,DE,2000-01-01,
P51G,CP_MNAC,DE,2001-01-01,
P51G,CP_MNAC,DE,2002-01-01,
P51G,CP_MNAC,DE,2003-01-01,
P51G,CP_MNAC,DE,2004-01-01,
P51G,CP_MNAC,DE,2005-01-01,
P51G,CP_MNAC,DE,2006-01-01,
P51G,CP_MNAC,DE,2007-01-01,
P51G,CP_MNAC,DE,2008-01-01,
P51G,CP_MNAC,DE,2009-01-01,
P51G,CP_MNAC,DE,2010-01-01,
P51G,CP_MNAC,DE,2011-01-01,547821
P51G,CP_MNAC,DE,2012-01-01,554746
P51G,CP_MNAC,DE,2013-01-01,556752
P51G,CP_MNAC,DE,2014-01-01,587549
P51G,CP_MNAC,DE,2015-01-01,605510
P51G,CP_MNAC,DE,2016-01-01,634029
P51G,CP_MNAC,DE,2017-01-01,665722
P51G,CP_MNAC,DK,1995-01-01,
P51G,CP_MNAC,DK,1996-01-01,
P51G,CP_MNAC,DK,1997-01-01,
P51G,CP_MNAC,DK,1998-01-01,
P51G,CP_MNAC,DK,1999-01-01,
P51G,CP_MNAC,DK,2000-01-01,
P51G,CP_MNAC,DK,2001-01-01,
P51G,CP_MNAC,DK,2002-01-01,
P51G,CP_MNAC,DK,2003-01-01,
P51G,CP_MNAC,DK,2004-01-01,
P51G,CP_MNAC,DK,2005-01-01,
P51G,CP_MNAC,DK,2006-01-01,
P51G,CP_MNAC,DK,2007-01-01,
P51G,CP_MNAC,DK,2008-01-01,
P51G,CP_MNAC,DK,2009-01-01,
P51G,CP_MNAC,DK,2010-01-01,
P51G,CP_MNAC,DK,2011-01-01,335356
P51G,CP_MNAC,DK,2012-01-01,355838
P51G,CP_MNAC,DK,2013-01-01,367650
P51G,CP_MNAC,DK,2014-01-01,379664
P51G,CP_MNAC,DK,2015-01-01,394843
P51G,CP_MNAC,DK,2016-01-01,421691
P51G,CP_MNAC,DK,2017-01-01,441209
P51G,CP_MNAC,EE,1995-01-01,
P51G,CP_MNAC,EE,1996-01-01,
P51G,CP_MNAC,EE,1997-01-01,
P51G,CP_MNAC,EE,1998-01-01,
P51G,CP_MNAC,EE,1999-01-01,
P51G,CP_MNAC,EE,2000-01-01,
P51G,CP_MNAC,EE,2001-01-01,
P51G,CP_MNAC,EE,2002-01-01,
P51G,CP_MNAC,EE,2003-01-01,
P51G,CP_MNAC,EE,2004-01-01,
P51G,CP_MNAC,EE,2005-01-01,
P51G,CP_MNAC,EE,2006-01-01,
P51G,CP_MNAC,EE,2007-01-01,
P51G,CP_MNAC,EE,2008-01-01,
P51G,CP_MNAC,EE,2009-01-01,
P51G,CP_MNAC,EE,2010-01-01,
P51G,CP_MNAC,EE,2011-01-01,4366
P51G,CP_MNAC,EE,2012-01-01,5127
P51G,CP_MNAC,EE,2013-01-01,5253
P51G,CP_MNAC,EE,2014-01-01,5139
P51G,CP_MNAC,EE,2015-01-01,4871
P51G,CP_MNAC,EE,2016-01-01,4977
P51G,CP_MNAC,EE,2017-01-01,5769
P51G,CP_MNAC,EL,1995-01-01,
P51G,CP_MNAC,EL,1996-01-01,
P51G,CP_MNAC,EL,1997-01-01,
P51G,CP_MNAC,EL,1998-01-01,
P51G,CP_MNAC,EL,1999-01-01,
P51G,CP_MNAC,EL,2000-01-01,
P51G,CP_MNAC,EL,2001-01-01,
P51G,CP_MNAC,EL,2002-01-01,
P51G,CP_MNAC,EL,2003-01-01,
P51G,CP_MNAC,EL,2004-01-01,
P51G,CP_MNAC,EL,2005-01-01,
P51G,CP_MNAC,EL,2006-01-01,
P51G,CP_MNAC,EL,2007-01-01,
P51G,CP_MNAC,EL,2008-01-01,
P51G,CP_MNAC,EL,2009-01-01,
P51G,CP_MNAC,EL,2010-01-01,
P51G,CP_MNAC,EL,2011-01-01,31607
P51G,CP_MNAC,EL,2012-01-01,24140
P51G,CP_MNAC,EL,2013-01-01,21962
P51G,CP_MNAC,EL,2014-01-01,20624
P51G,CP_MNAC,EL,2015-01-01,20490
P51G,CP_MNAC,EL,2016-01-01,21284
P51G,CP_MNAC,EL,2017-01-01,23243
P51G,CP_MNAC,ES,1995-01-01,
P51G,CP_MNAC,ES,1996-01-01,
P51G,CP_MNAC,ES,1997-01-01,
P51G,CP_MNAC,ES,1998-01-01,
P51G,CP_MNAC,ES,1999-01-01,
P51G,CP_MNAC,ES,2000-01-01,
P51G,CP_MNAC,ES,2001-01-01,
P51G,CP_MNAC,ES,2002-01-01,
P51G,CP_MNAC,ES,2003-01-01,
P51G,CP_MNAC,ES,2004-01-01,
P51G,CP_MNAC,ES,2005-01-01,
P51G,CP_MNAC,ES,2006-01-01,
P51G,CP_MNAC,ES,2007-01-01,
P51G,CP_MNAC,ES,2008-01-01,
P51G,CP_MNAC,ES,2009-01-01,
P51G,CP_MNAC,ES,2010-01-01,
P51G,CP_MNAC,ES,2011-01-01,229884
P51G,CP_MNAC,ES,2012-01-01,205839
P51G,CP_MNAC,ES,2013-01-01,192371
P51G,CP_MNAC,ES,2014-01-01,200265
P51G,CP_MNAC,ES,2015-01-01,214734
P51G,CP_MNAC,ES,2016-01-01,223131
P51G,CP_MNAC,ES,2017-01-01,238952
P51G,CP_MNAC,FI,1995-01-01,
P51G,CP_MNAC,FI,1996-01-01,
P51G,CP_MNAC,FI,1997-01-01,
P51G,CP_MNAC,FI,1998-01-01,
P51G,CP_MNAC,FI,1999-01-01,
P51G,CP_MNAC,FI,2000-01-01,
P51G,CP_MNAC,FI,2001-01-01,
P51G,CP_MNAC,FI,2002-01-01,
P51G,CP_MNAC,FI,2003-01-01,
P51G,CP_MNAC,FI,2004-01-01,
P51G,CP_MNAC,FI,2005-01-01,
P51G,CP_MNAC,FI,2006-01-01,
P51G,CP_MNAC,FI,2007-01-01,
P51G,CP_MNAC,FI,2008-01-01,
P51G,CP_MNAC,FI,2009-01-01,
P51G,CP_MNAC,FI,2010-01-01,
P51G,CP_MNAC,FI,2011-01-01,43779
P51G,CP_MNAC,FI,2012-01-01,44610
P51G,CP_MNAC,FI,2013-01-01,43083
P51G,CP_MNAC,FI,2014-01-01,42235
P51G,CP_MNAC,FI,2015-01-01,42713
P51G,CP_MNAC,FI,2016-01-01,46844
P51G,CP_MNAC,FI,2017-01-01,49578
P51G,CP_MNAC,FR,1995-01-01,
P51G,CP_MNAC,FR,1996-01-01,
P51G,CP_MNAC,FR,1997-01-01,
P51G,CP_MNAC,FR,1998-01-01,
P51G,CP_MNAC,FR,1999-01-01,
P51G,CP_MNAC,FR,2000-01-01,
P51G,CP_MNAC,FR,2001-01-01,
P51G,CP_MNAC,FR,2002-01-01,
P51G,CP_MNAC,FR,2003-01-01,
P51G,CP_MNAC,FR,2004-01-01,
P51G,CP_MNAC,FR,2005-01-01,
P51G,CP_MNAC,FR,2006-01-01,
P51G,CP_MNAC,FR,2007-01-01,
P51G,CP_MNAC,FR,2008-01-01,
P51G,CP_MNAC,FR,2009-01-01,
P51G,CP_MNAC,FR,2010-01-01,
P51G,CP_MNAC,FR,2011-01-01,461566
P51G,CP_MNAC,FR,2012-01-01,469106
P51G,CP_MNAC,FR,2013-01-01,466668
P51G,CP_MNAC,FR,2014-01-01,469073
P51G,CP_MNAC,FR,2015-01-01,472647
P51G,CP_MNAC,FR,2016-01-01,488008
P51G,CP_MNAC,FR,2017-01-01,515921
P51G,CP_MNAC,HR,1995-01-01,
P51G,CP_MNAC,HR,1996-01-01,
P51G,CP_MNAC,HR,1997-01-01,
P51G,CP_MNAC,HR,1998-01-01,
P51G,CP_MNAC,HR,1999-01-01,
P51G,CP_MNAC,HR,2000-01-01,
P51G,CP_MNAC,HR,2001-01-01,
P51G,CP_MNAC,HR,2002-01-01,
P51G,CP_MNAC,HR,2003-01-01,
P51G,CP_MNAC,HR,2004-01-01,
P51G,CP_MNAC,HR,2005-01-01,
P51G,CP_MNAC,HR,2006-01-01,
P51G,CP_MNAC,HR,2007-01-01,
P51G,CP_MNAC,HR,2008-01-01,
P51G,CP_MNAC,HR,2009-01-01,
P51G,CP_MNAC,HR,2010-01-01,
P51G,CP_MNAC,HR,2011-01-01,67471
P51G,CP_MNAC,HR,2012-01-01,64819
P51G,CP_MNAC,HR,2013-01-01,65256
P51G,CP_MNAC,HR,2014-01-01,63796
P51G,CP_MNAC,HR,2015-01-01,66401
P51G,CP_MNAC,HR,2016-01-01,70438
P51G,CP_MNAC,HR,2017-01-01,73325
P51G,CP_MNAC,HU,1995-01-01,
P51G,CP_MNAC,HU,1996-01-01,
P51G,CP_MNAC,HU,1997-01-01,
P51G,CP_MNAC,HU,1998-01-01,
P51G,CP_MNAC,HU,1999-01-01,
P51G,CP_MNAC,HU,2000-01-01,
P51G,CP_MNAC,HU,2001-01-01,
P51G,CP_MNAC,HU,2002-01-01,
P51G,CP_MNAC,HU,2003-01-01,
P51G,CP_MNAC,HU,2004-01-01,
P51G,CP_MNAC,HU,2005-01-01,
P51G,CP_MNAC,HU,2006-01-01,
P51G,CP_MNAC,HU,2007-01-01,
P51G,CP_MNAC,HU,2008-01-01,
P51G,CP_MNAC,HU,2009-01-01,
P51G,CP_MNAC,HU,2010-01-01,
P51G,CP_MNAC,HU,2011-01-01,5568681
P51G,CP_MNAC,HU,2012-01-01,5547667
P51G,CP_MNAC,HU,2013-01-01,6308229
P51G,CP_MNAC,HU,2014-01-01,7223420
P51G,CP_MNAC,HU,2015-01-01,7743548
P51G,CP_MNAC,HU,2016-01-01,6960733
P51G,CP_MNAC,HU,2017-01-01,8528133
P51G,CP_MNAC,IE,1995-01-01,
P51G,CP_MNAC,IE,1996-01-01,
P51G,CP_MNAC,IE,1997-01-01,
P51G,CP_MNAC,IE,1998-01-01,
P51G,CP_MNAC,IE,1999-01-01,
P51G,CP_MNAC,IE,2000-01-01,
P51G,CP_MNAC,IE,2001-01-01,
P51G,CP_MNAC,IE,2002-01-01,
P51G,CP_MNAC,IE,2003-01-01,
P51G,CP_MNAC,IE,2004-01-01,
P51G,CP_MNAC,IE,2005-01-01,
P51G,CP_MNAC,IE,2006-01-01,
P51G,CP_MNAC,IE,2007-01-01,
P51G,CP_MNAC,IE,2008-01-01,
P51G,CP_MNAC,IE,2009-01-01,
P51G,CP_MNAC,IE,2010-01-01,
P51G,CP_MNAC,IE,2011-01-01,28822
P51G,CP_MNAC,IE,2012-01-01,34530
P51G,CP_MNAC,IE,2013-01-01,33557
P51G,CP_MNAC,IE,2014-01-01,40391
P51G,CP_MNAC,IE,2015-01-01,63437
P51G,CP_MNAC,IE,2016-01-01,97647
P51G,CP_MNAC,IE,2017-01-01,69049
P51G,CP_MNAC,IT,1995-01-01,
P51G,CP_MNAC,IT,1996-01-01,
P51G,CP_MNAC,IT,1997-01-01,
P51G,CP_MNAC,IT,1998-01-01,
P51G,CP_MNAC,IT,1999-01-01,
P51G,CP_MNAC,IT,2000-01-01,
P51G,CP_MNAC,IT,2001-01-01,
P51G,CP_MNAC,IT,2002-01-01,
P51G,CP_MNAC,IT,2003-01-01,
P51G,CP_MNAC,IT,2004-01-01,
P51G,CP_MNAC,IT,2005-01-01,
P51G,CP_MNAC,IT,2006-01-01,
P51G,CP_MNAC,IT,2007-01-01,
P51G,CP_MNAC,IT,2008-01-01,
P51G,CP_MNAC,IT,2009-01-01,
P51G,CP_MNAC,IT,2010-01-01,
P51G,CP_MNAC,IT,2011-01-01,321837
