s_adj,sectpart,sector10,bop_item,stk_flow,partner,unit,geotime,date,value
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1995-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1995-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1995-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1996-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1996-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1996-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1996-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1997-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1997-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1997-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1997-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1998-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1998-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1998-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1998-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1999-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1999-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1999-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1999-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2000-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2000-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2000-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2000-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2001-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2001-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2001-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2001-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2002-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2002-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2002-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2002-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2003-01-01,526
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2003-04-01,5875
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2003-07-01,22
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2003-10-01,2650
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2004-01-01,1717
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2004-04-01,5459
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2004-07-01,176
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2004-10-01,2023
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2005-01-01,942
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2005-04-01,7168
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2005-07-01,1987
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2005-10-01,355
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2006-01-01,827
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2006-04-01,4816
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2006-07-01,485
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2006-10-01,2561
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2007-01-01,1403
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2007-04-01,7073
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2007-07-01,1008
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2007-10-01,1995
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2008-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2008-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2008-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2008-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2009-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2009-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2009-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2009-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2010-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2010-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2010-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2010-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2011-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2011-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2011-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2011-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2012-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2012-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2012-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2012-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2013-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2013-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2013-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2013-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2014-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2014-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2014-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2014-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2015-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2015-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2015-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2015-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2016-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2016-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2016-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2016-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2017-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2017-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2017-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2017-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2018-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,2018-04-01,2386
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1995-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1995-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1995-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1995-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1996-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1996-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1996-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1996-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1997-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1997-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1997-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1997-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1998-01-01,68
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1998-04-01,159
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1998-07-01,221
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BG,1998-10-01,366
