hhtyp,incgrp,unit,age,sex,geotime,date,value
TOTAL,TOTAL,PC_POP,TOTAL,F,EE,2008-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,F,EE,2009-01-01,4.7
TOTAL,TOTAL,PC_POP,TOTAL,F,EE,2010-01-01,4.0
TOTAL,TOTAL,PC_POP,TOTAL,F,EE,2011-01-01,4.4
TOTAL,TOTAL,PC_POP,TOTAL,F,EE,2012-01-01,5.3
TOTAL,TOTAL,PC_POP,TOTAL,F,EE,2013-01-01,4.8
TOTAL,TOTAL,PC_POP,TOTAL,F,EE,2014-01-01,5.8
TOTAL,TOTAL,PC_POP,TOTAL,F,EE,2015-01-01,4.9
TOTAL,TOTAL,PC_POP,TOTAL,F,EE,2016-01-01,3.7
TOTAL,TOTAL,PC_POP,TOTAL,F,EE,2017-01-01,3.8
TOTAL,TOTAL,PC_POP,TOTAL,F,EL,2006-01-01,7.9
TOTAL,TOTAL,PC_POP,TOTAL,F,EL,2007-01-01,7.7
TOTAL,TOTAL,PC_POP,TOTAL,F,EL,2008-01-01,7.2
TOTAL,TOTAL,PC_POP,TOTAL,F,EL,2009-01-01,6.9
TOTAL,TOTAL,PC_POP,TOTAL,F,EL,2010-01-01,6.9
TOTAL,TOTAL,PC_POP,TOTAL,F,EL,2011-01-01,6.6
TOTAL,TOTAL,PC_POP,TOTAL,F,EL,2012-01-01,7.0
TOTAL,TOTAL,PC_POP,TOTAL,F,EL,2013-01-01,6.7
TOTAL,TOTAL,PC_POP,TOTAL,F,EL,2014-01-01,6.8
TOTAL,TOTAL,PC_POP,TOTAL,F,EL,2015-01-01,5.9
TOTAL,TOTAL,PC_POP,TOTAL,F,EL,2016-01-01,6.0
TOTAL,TOTAL,PC_POP,TOTAL,F,EL,2017-01-01,5.3
TOTAL,TOTAL,PC_POP,TOTAL,F,ES,2006-01-01,11.6
TOTAL,TOTAL,PC_POP,TOTAL,F,ES,2007-01-01,10.8
TOTAL,TOTAL,PC_POP,TOTAL,F,ES,2008-01-01,5.8
TOTAL,TOTAL,PC_POP,TOTAL,F,ES,2009-01-01,6.9
TOTAL,TOTAL,PC_POP,TOTAL,F,ES,2010-01-01,5.8
TOTAL,TOTAL,PC_POP,TOTAL,F,ES,2011-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,F,ES,2012-01-01,4.4
TOTAL,TOTAL,PC_POP,TOTAL,F,ES,2013-01-01,6.3
TOTAL,TOTAL,PC_POP,TOTAL,F,ES,2014-01-01,5.1
TOTAL,TOTAL,PC_POP,TOTAL,F,ES,2015-01-01,3.9
TOTAL,TOTAL,PC_POP,TOTAL,F,ES,2016-01-01,4.8
TOTAL,TOTAL,PC_POP,TOTAL,F,ES,2017-01-01,4.0
TOTAL,TOTAL,PC_POP,TOTAL,F,EU27,2006-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,EU27,2007-01-01,8.2
TOTAL,TOTAL,PC_POP,TOTAL,F,EU27,2008-01-01,7.2
TOTAL,TOTAL,PC_POP,TOTAL,F,EU27,2009-01-01,7.3
TOTAL,TOTAL,PC_POP,TOTAL,F,EU27,2010-01-01,6.8
TOTAL,TOTAL,PC_POP,TOTAL,F,EU27,2011-01-01,6.8
TOTAL,TOTAL,PC_POP,TOTAL,F,EU27,2012-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,F,EU27,2013-01-01,6.0
TOTAL,TOTAL,PC_POP,TOTAL,F,EU27,2014-01-01,5.8
TOTAL,TOTAL,PC_POP,TOTAL,F,EU27,2015-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,F,EU27,2016-01-01,5.4
TOTAL,TOTAL,PC_POP,TOTAL,F,EU27,2017-01-01,4.9
TOTAL,TOTAL,PC_POP,TOTAL,F,EU28,2006-01-01,
