partner,unit,geotime,date,value
TOTAL,PC,EL,2005-01-01,0
TOTAL,PC,EL,2006-01-01,0
TOTAL,PC,EL,2007-01-01,0
TOTAL,PC,EL,2008-01-01,0
TOTAL,PC,EL,2009-01-01,0
TOTAL,PC,EL,2010-01-01,0
TOTAL,PC,EL,2011-01-01,0
TOTAL,PC,EL,2012-01-01,
TOTAL,PC,EL,2013-01-01,
TOTAL,PC,EL,2014-01-01,
TOTAL,PC,EL,2015-01-01,
TOTAL,PC,EL,2016-01-01,0
TOTAL,PC,EL,2017-01-01,0
TOTAL,PC,ES,2005-01-01,0
TOTAL,PC,ES,2006-01-01,0
TOTAL,PC,ES,2007-01-01,0
TOTAL,PC,ES,2008-01-01,0
TOTAL,PC,ES,2009-01-01,0
TOTAL,PC,ES,2010-01-01,0
TOTAL,PC,ES,2011-01-01,0
TOTAL,PC,ES,2012-01-01,
TOTAL,PC,ES,2013-01-01,
TOTAL,PC,ES,2014-01-01,
TOTAL,PC,ES,2015-01-01,
TOTAL,PC,ES,2016-01-01,0
TOTAL,PC,ES,2017-01-01,0
TOTAL,PC,EU28,2005-01-01,0
TOTAL,PC,EU28,2006-01-01,0
TOTAL,PC,EU28,2007-01-01,0
TOTAL,PC,EU28,2008-01-01,0
TOTAL,PC,EU28,2009-01-01,0
TOTAL,PC,EU28,2010-01-01,0
TOTAL,PC,EU28,2011-01-01,0
TOTAL,PC,EU28,2012-01-01,
TOTAL,PC,EU28,2013-01-01,
TOTAL,PC,EU28,2014-01-01,
TOTAL,PC,EU28,2015-01-01,
TOTAL,PC,EU28,2016-01-01,0
TOTAL,PC,EU28,2017-01-01,0
TOTAL,PC,FI,2005-01-01,0
TOTAL,PC,FI,2006-01-01,0
TOTAL,PC,FI,2007-01-01,0
TOTAL,PC,FI,2008-01-01,0
TOTAL,PC,FI,2009-01-01,0
TOTAL,PC,FI,2010-01-01,0
TOTAL,PC,FI,2011-01-01,0
TOTAL,PC,FI,2012-01-01,
TOTAL,PC,FI,2013-01-01,
TOTAL,PC,FI,2014-01-01,
TOTAL,PC,FI,2015-01-01,
TOTAL,PC,FI,2016-01-01,0
TOTAL,PC,FI,2017-01-01,0
TOTAL,PC,FR,2005-01-01,0
TOTAL,PC,FR,2006-01-01,0
TOTAL,PC,FR,2007-01-01,0
TOTAL,PC,FR,2008-01-01,0
TOTAL,PC,FR,2009-01-01,0
TOTAL,PC,FR,2010-01-01,0
TOTAL,PC,FR,2011-01-01,0
TOTAL,PC,FR,2012-01-01,
TOTAL,PC,FR,2013-01-01,
TOTAL,PC,FR,2014-01-01,
TOTAL,PC,FR,2015-01-01,
TOTAL,PC,FR,2016-01-01,0
TOTAL,PC,FR,2017-01-01,0
TOTAL,PC,HR,2005-01-01,
TOTAL,PC,HR,2006-01-01,
TOTAL,PC,HR,2007-01-01,
TOTAL,PC,HR,2008-01-01,
TOTAL,PC,HR,2009-01-01,
TOTAL,PC,HR,2010-01-01,
TOTAL,PC,HR,2011-01-01,
TOTAL,PC,HR,2012-01-01,
TOTAL,PC,HR,2013-01-01,
TOTAL,PC,HR,2014-01-01,
TOTAL,PC,HR,2015-01-01,
TOTAL,PC,HR,2016-01-01,0
TOTAL,PC,HR,2017-01-01,0
TOTAL,PC,HU,2005-01-01,0
TOTAL,PC,HU,2006-01-01,0
TOTAL,PC,HU,2007-01-01,0
TOTAL,PC,HU,2008-01-01,0
TOTAL,PC,HU,2009-01-01,0
TOTAL,PC,HU,2010-01-01,0
TOTAL,PC,HU,2011-01-01,0
TOTAL,PC,HU,2012-01-01,
TOTAL,PC,HU,2013-01-01,
TOTAL,PC,HU,2014-01-01,
TOTAL,PC,HU,2015-01-01,
TOTAL,PC,HU,2016-01-01,0
TOTAL,PC,HU,2017-01-01,0
TOTAL,PC,IE,2005-01-01,0
TOTAL,PC,IE,2006-01-01,0
TOTAL,PC,IE,2007-01-01,0
TOTAL,PC,IE,2008-01-01,0
TOTAL,PC,IE,2009-01-01,0
TOTAL,PC,IE,2010-01-01,0
TOTAL,PC,IE,2011-01-01,0
TOTAL,PC,IE,2012-01-01,
TOTAL,PC,IE,2013-01-01,
TOTAL,PC,IE,2014-01-01,
TOTAL,PC,IE,2015-01-01,
TOTAL,PC,IE,2016-01-01,0
TOTAL,PC,IE,2017-01-01,0
TOTAL,PC,IS,2005-01-01,0
TOTAL,PC,IS,2006-01-01,0
TOTAL,PC,IS,2007-01-01,0
TOTAL,PC,IS,2008-01-01,0
TOTAL,PC,IS,2009-01-01,0
TOTAL,PC,IS,2010-01-01,0
TOTAL,PC,IS,2011-01-01,0
TOTAL,PC,IS,2012-01-01,
TOTAL,PC,IS,2013-01-01,
TOTAL,PC,IS,2014-01-01,
TOTAL,PC,IS,2015-01-01,
TOTAL,PC,IS,2016-01-01,0
TOTAL,PC,IS,2017-01-01,0
TOTAL,PC,IT,2005-01-01,0
TOTAL,PC,IT,2006-01-01,0
TOTAL,PC,IT,2007-01-01,0
TOTAL,PC,IT,2008-01-01,0
TOTAL,PC,IT,2009-01-01,0
TOTAL,PC,IT,2010-01-01,0
TOTAL,PC,IT,2011-01-01,0
TOTAL,PC,IT,2012-01-01,
TOTAL,PC,IT,2013-01-01,
TOTAL,PC,IT,2014-01-01,
TOTAL,PC,IT,2015-01-01,
TOTAL,PC,IT,2016-01-01,0
TOTAL,PC,IT,2017-01-01,0
TOTAL,PC,LT,2005-01-01,0
TOTAL,PC,LT,2006-01-01,0
TOTAL,PC,LT,2007-01-01,0
TOTAL,PC,LT,2008-01-01,0
TOTAL,PC,LT,2009-01-01,0
TOTAL,PC,LT,2010-01-01,0
TOTAL,PC,LT,2011-01-01,0
TOTAL,PC,LT,2012-01-01,
TOTAL,PC,LT,2013-01-01,
TOTAL,PC,LT,2014-01-01,
TOTAL,PC,LT,2015-01-01,
TOTAL,PC,LT,2016-01-01,0
TOTAL,PC,LT,2017-01-01,0
TOTAL,PC,LU,2005-01-01,0
TOTAL,PC,LU,2006-01-01,0
TOTAL,PC,LU,2007-01-01,0
TOTAL,PC,LU,2008-01-01,0
TOTAL,PC,LU,2009-01-01,1
TOTAL,PC,LU,2010-01-01,1
TOTAL,PC,LU,2011-01-01,0
TOTAL,PC,LU,2012-01-01,
TOTAL,PC,LU,2013-01-01,
TOTAL,PC,LU,2014-01-01,
TOTAL,PC,LU,2015-01-01,
TOTAL,PC,LU,2016-01-01,1
TOTAL,PC,LU,2017-01-01,1
TOTAL,PC,LV,2005-01-01,0
TOTAL,PC,LV,2006-01-01,0
TOTAL,PC,LV,2007-01-01,0
TOTAL,PC,LV,2008-01-01,0
TOTAL,PC,LV,2009-01-01,0
TOTAL,PC,LV,2010-01-01,0
TOTAL,PC,LV,2011-01-01,0
TOTAL,PC,LV,2012-01-01,
TOTAL,PC,LV,2013-01-01,
TOTAL,PC,LV,2014-01-01,
TOTAL,PC,LV,2015-01-01,
TOTAL,PC,LV,2016-01-01,0
TOTAL,PC,LV,2017-01-01,0
TOTAL,PC,MT,2005-01-01,
TOTAL,PC,MT,2006-01-01,
TOTAL,PC,MT,2007-01-01,
TOTAL,PC,MT,2008-01-01,
TOTAL,PC,MT,2009-01-01,0
TOTAL,PC,MT,2010-01-01,0
TOTAL,PC,MT,2011-01-01,0
TOTAL,PC,MT,2012-01-01,
TOTAL,PC,MT,2013-01-01,
TOTAL,PC,MT,2014-01-01,
TOTAL,PC,MT,2015-01-01,
TOTAL,PC,MT,2016-01-01,0
TOTAL,PC,MT,2017-01-01,0
TOTAL,PC,NL,2005-01-01,0
TOTAL,PC,NL,2006-01-01,0
TOTAL,PC,NL,2007-01-01,0
TOTAL,PC,NL,2008-01-01,0
TOTAL,PC,NL,2009-01-01,0
TOTAL,PC,NL,2010-01-01,0
TOTAL,PC,NL,2011-01-01,0
TOTAL,PC,NL,2012-01-01,
TOTAL,PC,NL,2013-01-01,
TOTAL,PC,NL,2014-01-01,
TOTAL,PC,NL,2015-01-01,
TOTAL,PC,NL,2016-01-01,0
TOTAL,PC,NL,2017-01-01,0
TOTAL,PC,NO,2005-01-01,0
TOTAL,PC,NO,2006-01-01,0
TOTAL,PC,NO,2007-01-01,0
TOTAL,PC,NO,2008-01-01,0
TOTAL,PC,NO,2009-01-01,1
TOTAL,PC,NO,2010-01-01,1
TOTAL,PC,NO,2011-01-01,0
TOTAL,PC,NO,2012-01-01,
TOTAL,PC,NO,2013-01-01,
TOTAL,PC,NO,2014-01-01,
TOTAL,PC,NO,2015-01-01,
TOTAL,PC,NO,2016-01-01,1
TOTAL,PC,NO,2017-01-01,0
TOTAL,PC,PL,2005-01-01,0
TOTAL,PC,PL,2006-01-01,0
TOTAL,PC,PL,2007-01-01,0
TOTAL,PC,PL,2008-01-01,0
TOTAL,PC,PL,2009-01-01,0
TOTAL,PC,PL,2010-01-01,0
TOTAL,PC,PL,2011-01-01,0
TOTAL,PC,PL,2012-01-01,
TOTAL,PC,PL,2013-01-01,
TOTAL,PC,PL,2014-01-01,
TOTAL,PC,PL,2015-01-01,
TOTAL,PC,PL,2016-01-01,0
TOTAL,PC,PL,2017-01-01,0
TOTAL,PC,PT,2005-01-01,0
TOTAL,PC,PT,2006-01-01,0
TOTAL,PC,PT,2007-01-01,0
TOTAL,PC,PT,2008-01-01,0
TOTAL,PC,PT,2009-01-01,0
TOTAL,PC,PT,2010-01-01,0
TOTAL,PC,PT,2011-01-01,0
TOTAL,PC,PT,2012-01-01,
TOTAL,PC,PT,2013-01-01,
TOTAL,PC,PT,2014-01-01,
TOTAL,PC,PT,2015-01-01,
TOTAL,PC,PT,2016-01-01,0
TOTAL,PC,PT,2017-01-01,0
TOTAL,PC,RO,2005-01-01,
TOTAL,PC,RO,2006-01-01,
TOTAL,PC,RO,2007-01-01,
TOTAL,PC,RO,2008-01-01,0
TOTAL,PC,RO,2009-01-01,0
TOTAL,PC,RO,2010-01-01,0
TOTAL,PC,RO,2011-01-01,0
TOTAL,PC,RO,2012-01-01,
TOTAL,PC,RO,2013-01-01,
TOTAL,PC,RO,2014-01-01,
TOTAL,PC,RO,2015-01-01,
TOTAL,PC,RO,2016-01-01,0
TOTAL,PC,RO,2017-01-01,
TOTAL,PC,SE,2005-01-01,0
TOTAL,PC,SE,2006-01-01,1
TOTAL,PC,SE,2007-01-01,0
TOTAL,PC,SE,2008-01-01,0
TOTAL,PC,SE,2009-01-01,1
TOTAL,PC,SE,2010-01-01,0
TOTAL,PC,SE,2011-01-01,1
TOTAL,PC,SE,2012-01-01,
TOTAL,PC,SE,2013-01-01,
TOTAL,PC,SE,2014-01-01,
TOTAL,PC,SE,2015-01-01,
TOTAL,PC,SE,2016-01-01,0
TOTAL,PC,SE,2017-01-01,1
TOTAL,PC,SI,2005-01-01,0
TOTAL,PC,SI,2006-01-01,0
TOTAL,PC,SI,2007-01-01,0
TOTAL,PC,SI,2008-01-01,0
TOTAL,PC,SI,2009-01-01,0
TOTAL,PC,SI,2010-01-01,0
TOTAL,PC,SI,2011-01-01,0
TOTAL,PC,SI,2012-01-01,
TOTAL,PC,SI,2013-01-01,
TOTAL,PC,SI,2014-01-01,
TOTAL,PC,SI,2015-01-01,
TOTAL,PC,SI,2016-01-01,0
TOTAL,PC,SI,2017-01-01,0
TOTAL,PC,SK,2005-01-01,
TOTAL,PC,SK,2006-01-01,0
TOTAL,PC,SK,2007-01-01,0
TOTAL,PC,SK,2008-01-01,0
TOTAL,PC,SK,2009-01-01,0
TOTAL,PC,SK,2010-01-01,0
TOTAL,PC,SK,2011-01-01,0
TOTAL,PC,SK,2012-01-01,
TOTAL,PC,SK,2013-01-01,
TOTAL,PC,SK,2014-01-01,
TOTAL,PC,SK,2015-01-01,
TOTAL,PC,SK,2016-01-01,0
TOTAL,PC,SK,2017-01-01,0
TOTAL,PC,UK,2005-01-01,0
TOTAL,PC,UK,2006-01-01,0
TOTAL,PC,UK,2007-01-01,0
TOTAL,PC,UK,2008-01-01,0
TOTAL,PC,UK,2009-01-01,0
TOTAL,PC,UK,2010-01-01,0
TOTAL,PC,UK,2011-01-01,0
TOTAL,PC,UK,2012-01-01,
TOTAL,PC,UK,2013-01-01,
TOTAL,PC,UK,2014-01-01,
TOTAL,PC,UK,2015-01-01,
TOTAL,PC,UK,2016-01-01,0
TOTAL,PC,UK,2017-01-01,0
