unit,nace_r2,tax,geotime,date,value
MIO_EUR,TOTAL_HH_NRES,NRG,BG,2012-01-01,995
MIO_EUR,TOTAL_HH_NRES,NRG,BG,2013-01-01,1032
MIO_EUR,TOTAL_HH_NRES,NRG,BG,2014-01-01,1016
MIO_EUR,TOTAL_HH_NRES,NRG,BG,2015-01-01,1155
MIO_EUR,TOTAL_HH_NRES,NRG,BG,2016-01-01,1145
MIO_EUR,TOTAL_HH_NRES,NRG,CH,1995-01-01,2822
MIO_EUR,TOTAL_HH_NRES,NRG,CH,1996-01-01,2855
MIO_EUR,TOTAL_HH_NRES,NRG,CH,1997-01-01,2556
MIO_EUR,TOTAL_HH_NRES,NRG,CH,1998-01-01,2954
MIO_EUR,TOTAL_HH_NRES,NRG,CH,1999-01-01,3107
MIO_EUR,TOTAL_HH_NRES,NRG,CH,2000-01-01,3279
MIO_EUR,TOTAL_HH_NRES,NRG,CH,2001-01-01,3328
MIO_EUR,TOTAL_HH_NRES,NRG,CH,2002-01-01,3368
MIO_EUR,TOTAL_HH_NRES,NRG,CH,2003-01-01,3297
MIO_EUR,TOTAL_HH_NRES,NRG,CH,2004-01-01,3280
MIO_EUR,TOTAL_HH_NRES,NRG,CH,2005-01-01,3306
MIO_EUR,TOTAL_HH_NRES,NRG,CH,2006-01-01,3263
MIO_EUR,TOTAL_HH_NRES,NRG,CH,2007-01-01,3178
MIO_EUR,TOTAL_HH_NRES,NRG,CH,2008-01-01,3519
MIO_EUR,TOTAL_HH_NRES,NRG,CH,2009-01-01,3837
MIO_EUR,TOTAL_HH_NRES,NRG,CH,2010-01-01,4433
MIO_EUR,TOTAL_HH_NRES,NRG,CH,2011-01-01,4794
MIO_EUR,TOTAL_HH_NRES,NRG,CH,2012-01-01,4965
MIO_EUR,TOTAL_HH_NRES,NRG,CH,2013-01-01,4914
MIO_EUR,TOTAL_HH_NRES,NRG,CH,2014-01-01,5107
MIO_EUR,TOTAL_HH_NRES,NRG,CH,2015-01-01,5900
MIO_EUR,TOTAL_HH_NRES,NRG,CH,2016-01-01,6068
MIO_EUR,TOTAL_HH_NRES,NRG,CY,1995-01-01,
MIO_EUR,TOTAL_HH_NRES,NRG,CY,1996-01-01,
