age,unit,indic_em,geo\time,date,value
Y20-64,PC_POP,EMP_LFS,EA19,2000-01-01,21.4 
Y20-64,PC_POP,EMP_LFS,EA19,2001-01-01,20.6 
Y20-64,PC_POP,EMP_LFS,EA19,2002-01-01,19.5 
Y20-64,PC_POP,EMP_LFS,EA19,2003-01-01,18.7 
Y20-64,PC_POP,EMP_LFS,EA19,2004-01-01,17.8 
Y20-64,PC_POP,EMP_LFS,EA19,2005-01-01,17.3 
Y20-64,PC_POP,EMP_LFS,EA19,2006-01-01,16.9 
Y20-64,PC_POP,EMP_LFS,EA19,2007-01-01,16.5 
Y20-64,PC_POP,EMP_LFS,EA19,2008-01-01,15.7 
Y20-64,PC_POP,EMP_LFS,EA19,2009-01-01,13.8 
Y20-64,PC_POP,EMP_LFS,EA19,2010-01-01,13.2 
Y20-64,PC_POP,EMP_LFS,EA19,2011-01-01,12.9 
Y20-64,PC_POP,EMP_LFS,EA19,2012-01-01,12.1 
Y20-64,PC_POP,EMP_LFS,EA19,2013-01-01,11.4 
Y20-64,PC_POP,EMP_LFS,EA19,2014-01-01,11.1 
Y20-64,PC_POP,EMP_LFS,EA19,2015-01-01,11.2 
Y20-64,PC_POP,EMP_LFS,EA19,2016-01-01,11.2 
Y20-64,PC_POP,EMP_LFS,EA19,2017-01-01,11.2 
Y20-64,PC_POP,EMP_LFS,EE,2000-01-01,8.0 b
Y20-64,PC_POP,EMP_LFS,EE,2001-01-01,8.0 
Y20-64,PC_POP,EMP_LFS,EE,2002-01-01,7.7 
Y20-64,PC_POP,EMP_LFS,EE,2003-01-01,7.5 
Y20-64,PC_POP,EMP_LFS,EE,2004-01-01,6.2 
Y20-64,PC_POP,EMP_LFS,EE,2005-01-01,4.9 
Y20-64,PC_POP,EMP_LFS,EE,2006-01-01,7.0 
Y20-64,PC_POP,EMP_LFS,EE,2007-01-01,8.8 
Y20-64,PC_POP,EMP_LFS,EE,2008-01-01,8.6 
Y20-64,PC_POP,EMP_LFS,EE,2009-01-01,2.0 
Y20-64,PC_POP,EMP_LFS,EE,2010-01-01,1.9 
Y20-64,PC_POP,EMP_LFS,EE,2011-01-01,5.7 
Y20-64,PC_POP,EMP_LFS,EE,2012-01-01,5.7 
Y20-64,PC_POP,EMP_LFS,EE,2013-01-01,6.6 
Y20-64,PC_POP,EMP_LFS,EE,2014-01-01,7.7 
Y20-64,PC_POP,EMP_LFS,EE,2015-01-01,7.9 
Y20-64,PC_POP,EMP_LFS,EE,2016-01-01,8.2 
Y20-64,PC_POP,EMP_LFS,EE,2017-01-01,7.3 
Y20-64,PC_POP,EMP_LFS,EL,2000-01-01,33.3 
Y20-64,PC_POP,EMP_LFS,EL,2001-01-01,33.0 b
Y20-64,PC_POP,EMP_LFS,EL,2002-01-01,31.6 
Y20-64,PC_POP,EMP_LFS,EL,2003-01-01,31.1 
Y20-64,PC_POP,EMP_LFS,EL,2004-01-01,30.1 b
Y20-64,PC_POP,EMP_LFS,EL,2005-01-01,29.6 
Y20-64,PC_POP,EMP_LFS,EL,2006-01-01,28.6 
Y20-64,PC_POP,EMP_LFS,EL,2007-01-01,28.4 
Y20-64,PC_POP,EMP_LFS,EL,2008-01-01,27.5 
Y20-64,PC_POP,EMP_LFS,EL,2009-01-01,25.6 b
Y20-64,PC_POP,EMP_LFS,EL,2010-01-01,24.2 
Y20-64,PC_POP,EMP_LFS,EL,2011-01-01,22.1 
Y20-64,PC_POP,EMP_LFS,EL,2012-01-01,19.8 
Y20-64,PC_POP,EMP_LFS,EL,2013-01-01,19.4 
Y20-64,PC_POP,EMP_LFS,EL,2014-01-01,18.3 
Y20-64,PC_POP,EMP_LFS,EL,2015-01-01,18.0 
Y20-64,PC_POP,EMP_LFS,EL,2016-01-01,19.0 
Y20-64,PC_POP,EMP_LFS,EL,2017-01-01,19.7 
Y20-64,PC_POP,EMP_LFS,ES,2000-01-01,32.4 
Y20-64,PC_POP,EMP_LFS,ES,2001-01-01,31.5 b
Y20-64,PC_POP,EMP_LFS,ES,2002-01-01,29.5 
Y20-64,PC_POP,EMP_LFS,ES,2003-01-01,28.1 
Y20-64,PC_POP,EMP_LFS,ES,2004-01-01,26.4 
Y20-64,PC_POP,EMP_LFS,ES,2005-01-01,24.7 b
Y20-64,PC_POP,EMP_LFS,ES,2006-01-01,23.6 
Y20-64,PC_POP,EMP_LFS,ES,2007-01-01,22.0 
Y20-64,PC_POP,EMP_LFS,ES,2008-01-01,19.0 
