indic_en,unit,geo\time,date,value
119800,PC,HR,2011-01-01,25.4
119800,PC,HR,2012-01-01,26.8
119800,PC,HR,2013-01-01,28.0
119800,PC,HR,2014-01-01,27.8
119800,PC,HR,2015-01-01,29.0
119800,PC,HR,2016-01-01,28.3
119800,PC,HU,2004-01-01,4.4 
119800,PC,HU,2005-01-01,6.9
119800,PC,HU,2006-01-01,7.4
119800,PC,HU,2007-01-01,8.6
119800,PC,HU,2008-01-01,8.6
119800,PC,HU,2009-01-01,11.7
119800,PC,HU,2010-01-01,12.7
119800,PC,HU,2011-01-01,14.0
119800,PC,HU,2012-01-01,15.5
119800,PC,HU,2013-01-01,16.2
119800,PC,HU,2014-01-01,14.6
119800,PC,HU,2015-01-01,14.4
119800,PC,HU,2016-01-01,14.2
119800,PC,IE,2004-01-01,2.4 
119800,PC,IE,2005-01-01,2.9
119800,PC,IE,2006-01-01,3.2
119800,PC,IE,2007-01-01,3.7
119800,PC,IE,2008-01-01,4.1
119800,PC,IE,2009-01-01,5.1
119800,PC,IE,2010-01-01,5.7
119800,PC,IE,2011-01-01,6.5
119800,PC,IE,2012-01-01,7.1
119800,PC,IE,2013-01-01,7.7
119800,PC,IE,2014-01-01,8.7
119800,PC,IE,2015-01-01,9.2
119800,PC,IE,2016-01-01,9.5
119800,PC,IS,2004-01-01,58.9 
119800,PC,IS,2005-01-01,60.1
119800,PC,IS,2006-01-01,60.8
119800,PC,IS,2007-01-01,71.4
119800,PC,IS,2008-01-01,67.4
119800,PC,IS,2009-01-01,69.6
119800,PC,IS,2010-01-01,70.3
119800,PC,IS,2011-01-01,71.5
119800,PC,IS,2012-01-01,72.4
119800,PC,IS,2013-01-01,71.6
119800,PC,IS,2014-01-01,70.4
119800,PC,IS,2015-01-01,70.2
119800,PC,IS,2016-01-01,72.6
119800,PC,IT,2004-01-01,6.3 
119800,PC,IT,2005-01-01,7.5
119800,PC,IT,2006-01-01,8.3
119800,PC,IT,2007-01-01,9.8
119800,PC,IT,2008-01-01,11.5
119800,PC,IT,2009-01-01,12.8
119800,PC,IT,2010-01-01,13.0
119800,PC,IT,2011-01-01,12.9
119800,PC,IT,2012-01-01,15.4
