unit,sex,age,isced11,geotime,date,value
PC,T,Y15-74,ED3_4,EE,2010-01-01,19
PC,T,Y15-74,ED3_4,EE,2011-01-01,12
PC,T,Y15-74,ED3_4,EE,2012-01-01,
PC,T,Y15-74,ED3_4,EE,2013-01-01,9
PC,T,Y15-74,ED3_4,EE,2014-01-01,8
PC,T,Y15-74,ED3_4,EE,2015-01-01,6
PC,T,Y15-74,ED3_4,EE,2016-01-01,7
PC,T,Y15-74,ED3_4,EE,2017-01-01,6
PC,T,Y15-74,ED3_4,EL,2005-01-01,12
PC,T,Y15-74,ED3_4,EL,2006-01-01,10
PC,T,Y15-74,ED3_4,EL,2007-01-01,9
PC,T,Y15-74,ED3_4,EL,2008-01-01,8
PC,T,Y15-74,ED3_4,EL,2009-01-01,11
PC,T,Y15-74,ED3_4,EL,2010-01-01,14
PC,T,Y15-74,ED3_4,EL,2011-01-01,20
PC,T,Y15-74,ED3_4,EL,2012-01-01,
PC,T,Y15-74,ED3_4,EL,2013-01-01,31
PC,T,Y15-74,ED3_4,EL,2014-01-01,30
PC,T,Y15-74,ED3_4,EL,2015-01-01,27
PC,T,Y15-74,ED3_4,EL,2016-01-01,26
PC,T,Y15-74,ED3_4,EL,2017-01-01,23
PC,T,Y15-74,ED3_4,ES,2005-01-01,8
PC,T,Y15-74,ED3_4,ES,2006-01-01,8
PC,T,Y15-74,ED3_4,ES,2007-01-01,8
PC,T,Y15-74,ED3_4,ES,2008-01-01,10
PC,T,Y15-74,ED3_4,ES,2009-01-01,16
PC,T,Y15-74,ED3_4,ES,2010-01-01,19
PC,T,Y15-74,ED3_4,ES,2011-01-01,21
PC,T,Y15-74,ED3_4,ES,2012-01-01,
PC,T,Y15-74,ED3_4,ES,2013-01-01,25
PC,T,Y15-74,ED3_4,ES,2014-01-01,24
PC,T,Y15-74,ED3_4,ES,2015-01-01,21
PC,T,Y15-74,ED3_4,ES,2016-01-01,19
PC,T,Y15-74,ED3_4,ES,2017-01-01,17
PC,T,Y15-74,ED3_4,EU27,2005-01-01,9
PC,T,Y15-74,ED3_4,EU27,2006-01-01,8
PC,T,Y15-74,ED3_4,EU27,2007-01-01,6
PC,T,Y15-74,ED3_4,EU27,2008-01-01,6
PC,T,Y15-74,ED3_4,EU27,2009-01-01,8
PC,T,Y15-74,ED3_4,EU27,2010-01-01,8
PC,T,Y15-74,ED3_4,EU27,2011-01-01,8
PC,T,Y15-74,ED3_4,EU27,2012-01-01,
PC,T,Y15-74,ED3_4,EU27,2013-01-01,9
PC,T,Y15-74,ED3_4,EU27,2014-01-01,9
PC,T,Y15-74,ED3_4,EU27,2015-01-01,8
PC,T,Y15-74,ED3_4,EU27,2016-01-01,7
PC,T,Y15-74,ED3_4,EU27,2017-01-01,6
PC,T,Y15-74,ED3_4,EU28,2005-01-01,9
PC,T,Y15-74,ED3_4,EU28,2006-01-01,8
PC,T,Y15-74,ED3_4,EU28,2007-01-01,7
PC,T,Y15-74,ED3_4,EU28,2008-01-01,6
PC,T,Y15-74,ED3_4,EU28,2009-01-01,8
PC,T,Y15-74,ED3_4,EU28,2010-01-01,9
PC,T,Y15-74,ED3_4,EU28,2011-01-01,8
PC,T,Y15-74,ED3_4,EU28,2012-01-01,
PC,T,Y15-74,ED3_4,EU28,2013-01-01,10
PC,T,Y15-74,ED3_4,EU28,2014-01-01,9
PC,T,Y15-74,ED3_4,EU28,2015-01-01,8
PC,T,Y15-74,ED3_4,EU28,2016-01-01,7
PC,T,Y15-74,ED3_4,EU28,2017-01-01,6
PC,T,Y15-74,ED3_4,FI,2005-01-01,8
PC,T,Y15-74,ED3_4,FI,2006-01-01,8
PC,T,Y15-74,ED3_4,FI,2007-01-01,7
PC,T,Y15-74,ED3_4,FI,2008-01-01,6
PC,T,Y15-74,ED3_4,FI,2009-01-01,9
PC,T,Y15-74,ED3_4,FI,2010-01-01,8
PC,T,Y15-74,ED3_4,FI,2011-01-01,8
PC,T,Y15-74,ED3_4,FI,2012-01-01,
PC,T,Y15-74,ED3_4,FI,2013-01-01,8
PC,T,Y15-74,ED3_4,FI,2014-01-01,9
PC,T,Y15-74,ED3_4,FI,2015-01-01,10
PC,T,Y15-74,ED3_4,FI,2016-01-01,9
PC,T,Y15-74,ED3_4,FI,2017-01-01,9
PC,T,Y15-74,ED3_4,FR,2005-01-01,7
PC,T,Y15-74,ED3_4,FR,2006-01-01,7
PC,T,Y15-74,ED3_4,FR,2007-01-01,6
PC,T,Y15-74,ED3_4,FR,2008-01-01,6
PC,T,Y15-74,ED3_4,FR,2009-01-01,8
PC,T,Y15-74,ED3_4,FR,2010-01-01,8
PC,T,Y15-74,ED3_4,FR,2011-01-01,8
PC,T,Y15-74,ED3_4,FR,2012-01-01,
PC,T,Y15-74,ED3_4,FR,2013-01-01,10
PC,T,Y15-74,ED3_4,FR,2014-01-01,10
PC,T,Y15-74,ED3_4,FR,2015-01-01,10
PC,T,Y15-74,ED3_4,FR,2016-01-01,10
PC,T,Y15-74,ED3_4,FR,2017-01-01,10
PC,T,Y15-74,ED3_4,HR,2005-01-01,14
PC,T,Y15-74,ED3_4,HR,2006-01-01,12
PC,T,Y15-74,ED3_4,HR,2007-01-01,10
PC,T,Y15-74,ED3_4,HR,2008-01-01,9
PC,T,Y15-74,ED3_4,HR,2009-01-01,10
PC,T,Y15-74,ED3_4,HR,2010-01-01,12
PC,T,Y15-74,ED3_4,HR,2011-01-01,14
PC,T,Y15-74,ED3_4,HR,2012-01-01,
PC,T,Y15-74,ED3_4,HR,2013-01-01,18
PC,T,Y15-74,ED3_4,HR,2014-01-01,18
PC,T,Y15-74,ED3_4,HR,2015-01-01,18
PC,T,Y15-74,ED3_4,HR,2016-01-01,14
PC,T,Y15-74,ED3_4,HR,2017-01-01,11
PC,T,Y15-74,ED3_4,HU,2005-01-01,6
PC,T,Y15-74,ED3_4,HU,2006-01-01,6
PC,T,Y15-74,ED3_4,HU,2007-01-01,6
PC,T,Y15-74,ED3_4,HU,2008-01-01,7
