unit,nace_r2,geotime,date,value
RT_INC,TOTAL,LV,2009-01-01,3
RT_INC,TOTAL,LV,2010-01-01,2
RT_INC,TOTAL,LV,2011-01-01,
RT_INC,TOTAL,LV,2012-01-01,
RT_INC,TOTAL,LV,2013-01-01,3
RT_INC,TOTAL,LV,2014-01-01,4
RT_INC,TOTAL,LV,2015-01-01,3
RT_INC,TOTAL,LV,2016-01-01,4
RT_INC,TOTAL,MT,2008-01-01,1
RT_INC,TOTAL,MT,2009-01-01,4
RT_INC,TOTAL,MT,2010-01-01,1
RT_INC,TOTAL,MT,2011-01-01,
RT_INC,TOTAL,MT,2012-01-01,
RT_INC,TOTAL,MT,2013-01-01,2
RT_INC,TOTAL,MT,2014-01-01,2
RT_INC,TOTAL,MT,2015-01-01,2
RT_INC,TOTAL,MT,2016-01-01,3
RT_INC,TOTAL,NL,2008-01-01,1
RT_INC,TOTAL,NL,2009-01-01,1
RT_INC,TOTAL,NL,2010-01-01,0
RT_INC,TOTAL,NL,2011-01-01,
RT_INC,TOTAL,NL,2012-01-01,
RT_INC,TOTAL,NL,2013-01-01,0
RT_INC,TOTAL,NL,2014-01-01,0
RT_INC,TOTAL,NL,2015-01-01,0
RT_INC,TOTAL,NL,2016-01-01,0
RT_INC,TOTAL,NO,2008-01-01,2
RT_INC,TOTAL,NO,2009-01-01,1
RT_INC,TOTAL,NO,2010-01-01,1
RT_INC,TOTAL,NO,2011-01-01,
RT_INC,TOTAL,NO,2012-01-01,
RT_INC,TOTAL,NO,2013-01-01,1
RT_INC,TOTAL,NO,2014-01-01,1
RT_INC,TOTAL,NO,2015-01-01,1
RT_INC,TOTAL,NO,2016-01-01,1
RT_INC,TOTAL,PL,2008-01-01,3
RT_INC,TOTAL,PL,2009-01-01,4
RT_INC,TOTAL,PL,2010-01-01,3
RT_INC,TOTAL,PL,2011-01-01,
RT_INC,TOTAL,PL,2012-01-01,
RT_INC,TOTAL,PL,2013-01-01,1
RT_INC,TOTAL,PL,2014-01-01,1
RT_INC,TOTAL,PL,2015-01-01,1
RT_INC,TOTAL,PL,2016-01-01,1
RT_INC,TOTAL,PT,2008-01-01,5
RT_INC,TOTAL,PT,2009-01-01,4
RT_INC,TOTAL,PT,2010-01-01,4
RT_INC,TOTAL,PT,2011-01-01,
RT_INC,TOTAL,PT,2012-01-01,
RT_INC,TOTAL,PT,2013-01-01,3
RT_INC,TOTAL,PT,2014-01-01,3
RT_INC,TOTAL,PT,2015-01-01,3
RT_INC,TOTAL,PT,2016-01-01,3
RT_INC,TOTAL,RO,2008-01-01,7
RT_INC,TOTAL,RO,2009-01-01,4
RT_INC,TOTAL,RO,2010-01-01,4
RT_INC,TOTAL,RO,2011-01-01,
RT_INC,TOTAL,RO,2012-01-01,
RT_INC,TOTAL,RO,2013-01-01,5
RT_INC,TOTAL,RO,2014-01-01,5
RT_INC,TOTAL,RO,2015-01-01,5
RT_INC,TOTAL,RO,2016-01-01,4
RT_INC,TOTAL,SE,2008-01-01,1
RT_INC,TOTAL,SE,2009-01-01,0
RT_INC,TOTAL,SE,2010-01-01,1
RT_INC,TOTAL,SE,2011-01-01,
RT_INC,TOTAL,SE,2012-01-01,
RT_INC,TOTAL,SE,2013-01-01,0
RT_INC,TOTAL,SE,2014-01-01,0
RT_INC,TOTAL,SE,2015-01-01,0
RT_INC,TOTAL,SE,2016-01-01,0
RT_INC,TOTAL,SI,2008-01-01,3
RT_INC,TOTAL,SI,2009-01-01,2
RT_INC,TOTAL,SI,2010-01-01,2
RT_INC,TOTAL,SI,2011-01-01,
RT_INC,TOTAL,SI,2012-01-01,
RT_INC,TOTAL,SI,2013-01-01,2
RT_INC,TOTAL,SI,2014-01-01,3
RT_INC,TOTAL,SI,2015-01-01,2
RT_INC,TOTAL,SI,2016-01-01,1
RT_INC,TOTAL,SK,2008-01-01,3
RT_INC,TOTAL,SK,2009-01-01,1
RT_INC,TOTAL,SK,2010-01-01,2
RT_INC,TOTAL,SK,2011-01-01,
