intrt,geotime,date,value
MCBY,HR,2017-12-01,2
MCBY,HR,2018-01-01,2
MCBY,HR,2018-02-01,2
MCBY,HR,2018-03-01,2
MCBY,HR,2018-04-01,2
MCBY,HR,2018-05-01,2
MCBY,HR,2018-06-01,2
MCBY,HR,2018-07-01,2
MCBY,HR,2018-08-01,2
MCBY,HR,2018-09-01,2
MCBY,HU,2017-10-01,2
MCBY,HU,2017-11-01,2
MCBY,HU,2017-12-01,2
MCBY,HU,2018-01-01,2
MCBY,HU,2018-02-01,2
MCBY,HU,2018-03-01,2
MCBY,HU,2018-04-01,2
MCBY,HU,2018-05-01,2
MCBY,HU,2018-06-01,3
MCBY,HU,2018-07-01,3
MCBY,HU,2018-08-01,3
MCBY,HU,2018-09-01,3
MCBY,IE,2017-10-01,0
MCBY,IE,2017-11-01,0
MCBY,IE,2017-12-01,0
MCBY,IE,2018-01-01,0
MCBY,IE,2018-02-01,1
MCBY,IE,2018-03-01,1
MCBY,IE,2018-04-01,0
MCBY,IE,2018-05-01,0
MCBY,IE,2018-06-01,0
MCBY,IE,2018-07-01,0
MCBY,IE,2018-08-01,0
MCBY,IE,2018-09-01,0
MCBY,IT,2017-10-01,2
MCBY,IT,2017-11-01,1
MCBY,IT,2017-12-01,1
MCBY,IT,2018-01-01,1
MCBY,IT,2018-02-01,2
MCBY,IT,2018-03-01,1
MCBY,IT,2018-04-01,1
MCBY,IT,2018-05-01,2
MCBY,IT,2018-06-01,2
MCBY,IT,2018-07-01,2
MCBY,IT,2018-08-01,3
MCBY,IT,2018-09-01,2
MCBY,LT,2017-10-01,0
MCBY,LT,2017-11-01,0
MCBY,LT,2017-12-01,0
MCBY,LT,2018-01-01,0
MCBY,LT,2018-02-01,0
MCBY,LT,2018-03-01,0
MCBY,LT,2018-04-01,0
MCBY,LT,2018-05-01,0
MCBY,LT,2018-06-01,0
MCBY,LT,2018-07-01,0
MCBY,LT,2018-08-01,0
MCBY,LT,2018-09-01,0
MCBY,LU,2017-10-01,0
MCBY,LU,2017-11-01,0
MCBY,LU,2017-12-01,0
MCBY,LU,2018-01-01,0
MCBY,LU,2018-02-01,0
MCBY,LU,2018-03-01,0
MCBY,LU,2018-04-01,0
MCBY,LU,2018-05-01,0
MCBY,LU,2018-06-01,0
MCBY,LU,2018-07-01,0
MCBY,LU,2018-08-01,0
MCBY,LU,2018-09-01,0
MCBY,LV,2017-10-01,0
MCBY,LV,2017-11-01,0
MCBY,LV,2017-12-01,0
MCBY,LV,2018-01-01,0
MCBY,LV,2018-02-01,0
MCBY,LV,2018-03-01,0
MCBY,LV,2018-04-01,0
MCBY,LV,2018-05-01,0
MCBY,LV,2018-06-01,0
MCBY,LV,2018-07-01,1
MCBY,LV,2018-08-01,0
MCBY,LV,2018-09-01,0
MCBY,MT,2017-10-01,1
MCBY,MT,2017-11-01,1
MCBY,MT,2017-12-01,1
MCBY,MT,2018-01-01,1
MCBY,MT,2018-02-01,1
MCBY,MT,2018-03-01,1
MCBY,MT,2018-04-01,1
MCBY,MT,2018-05-01,1
MCBY,MT,2018-06-01,1
MCBY,MT,2018-07-01,1
MCBY,MT,2018-08-01,1
MCBY,MT,2018-09-01,1
MCBY,NL,2017-10-01,0
MCBY,NL,2017-11-01,0
MCBY,NL,2017-12-01,0
MCBY,NL,2018-01-01,0
MCBY,NL,2018-02-01,0
MCBY,NL,2018-03-01,0
MCBY,NL,2018-04-01,0
MCBY,NL,2018-05-01,0
MCBY,NL,2018-06-01,0
MCBY,NL,2018-07-01,0
MCBY,NL,2018-08-01,0
MCBY,NL,2018-09-01,0
MCBY,PL,2017-10-01,3
MCBY,PL,2017-11-01,3
MCBY,PL,2017-12-01,3
MCBY,PL,2018-01-01,3
MCBY,PL,2018-02-01,3
MCBY,PL,2018-03-01,3
MCBY,PL,2018-04-01,3
MCBY,PL,2018-05-01,3
MCBY,PL,2018-06-01,3
MCBY,PL,2018-07-01,3
MCBY,PL,2018-08-01,3
MCBY,PL,2018-09-01,3
MCBY,PT,2017-10-01,2
MCBY,PT,2017-11-01,1
MCBY,PT,2017-12-01,1
MCBY,PT,2018-01-01,1
MCBY,PT,2018-02-01,2
MCBY,PT,2018-03-01,1
MCBY,PT,2018-04-01,1
MCBY,PT,2018-05-01,1
MCBY,PT,2018-06-01,1
MCBY,PT,2018-07-01,1
MCBY,PT,2018-08-01,1
MCBY,PT,2018-09-01,1
MCBY,RO,2017-10-01,4
MCBY,RO,2017-11-01,4
MCBY,RO,2017-12-01,4
MCBY,RO,2018-01-01,4
MCBY,RO,2018-02-01,4
MCBY,RO,2018-03-01,4
MCBY,RO,2018-04-01,4
MCBY,RO,2018-05-01,4
MCBY,RO,2018-06-01,4
MCBY,RO,2018-07-01,5
MCBY,RO,2018-08-01,4
MCBY,RO,2018-09-01,4
MCBY,SE,2017-10-01,0
MCBY,SE,2017-11-01,0
MCBY,SE,2017-12-01,0
MCBY,SE,2018-01-01,0
MCBY,SE,2018-02-01,0
MCBY,SE,2018-03-01,0
MCBY,SE,2018-04-01,0
MCBY,SE,2018-05-01,0
MCBY,SE,2018-06-01,0
MCBY,SE,2018-07-01,0
MCBY,SE,2018-08-01,0
MCBY,SE,2018-09-01,0
MCBY,SI,2017-10-01,0
MCBY,SI,2017-11-01,0
MCBY,SI,2017-12-01,0
MCBY,SI,2018-01-01,0
MCBY,SI,2018-02-01,1
MCBY,SI,2018-03-01,1
MCBY,SI,2018-04-01,0
MCBY,SI,2018-05-01,0
MCBY,SI,2018-06-01,0
MCBY,SI,2018-07-01,0
MCBY,SI,2018-08-01,0
MCBY,SI,2018-09-01,0
MCBY,SK,2017-10-01,0
MCBY,SK,2017-11-01,0
MCBY,SK,2017-12-01,0
MCBY,SK,2018-01-01,0
MCBY,SK,2018-02-01,0
MCBY,SK,2018-03-01,0
MCBY,SK,2018-04-01,0
MCBY,SK,2018-05-01,0
MCBY,SK,2018-06-01,1
MCBY,SK,2018-07-01,0
MCBY,SK,2018-08-01,0
MCBY,SK,2018-09-01,0
MCBY,UK,2017-10-01,1
MCBY,UK,2017-11-01,1
MCBY,UK,2017-12-01,1
MCBY,UK,2018-01-01,1
MCBY,UK,2018-02-01,1
MCBY,UK,2018-03-01,1
MCBY,UK,2018-04-01,1
MCBY,UK,2018-05-01,1
MCBY,UK,2018-06-01,1
MCBY,UK,2018-07-01,1
MCBY,UK,2018-08-01,1
MCBY,UK,2018-09-01,1
