coicop,unit,geo\time,date,value
CP06,I15,FR,2018-01-01,99.95 
CP06,I15,FR,2018-02-01,100.27 
CP06,I15,FR,2018-03-01,100.12 
CP06,I15,FR,2018-04-01,100.06 
CP06,I15,FR,2018-05-01,99.95 
CP06,I15,FR,2018-06-01,100.11 
CP06,I15,FR,2018-07-01,100.20 
CP06,I15,FR,2018-08-01,99.00 
CP06,I15,FR,2018-09-01,99.72 
CP06,I15,HR,2017-10-01,105.90 
CP06,I15,HR,2017-11-01,105.96 
CP06,I15,HR,2017-12-01,105.94 
CP06,I15,HR,2018-01-01,105.97 
CP06,I15,HR,2018-02-01,106.02 
CP06,I15,HR,2018-03-01,107.23 
CP06,I15,HR,2018-04-01,107.32 
CP06,I15,HR,2018-05-01,107.44 
CP06,I15,HR,2018-06-01,107.46 
CP06,I15,HR,2018-07-01,107.47 
CP06,I15,HR,2018-08-01,107.50 
CP06,I15,HR,2018-09-01,107.57 
CP06,I15,HU,2017-10-01,106.44 
CP06,I15,HU,2017-11-01,106.80 
CP06,I15,HU,2017-12-01,107.10 
CP06,I15,HU,2018-01-01,107.51 
CP06,I15,HU,2018-02-01,107.96 
CP06,I15,HU,2018-03-01,108.35 
CP06,I15,HU,2018-04-01,108.84 
CP06,I15,HU,2018-05-01,108.98 
CP06,I15,HU,2018-06-01,109.19 
CP06,I15,HU,2018-07-01,109.44 
CP06,I15,HU,2018-08-01,109.62 
CP06,I15,HU,2018-09-01,109.68 
CP06,I15,IE,2017-10-01,101.6 
CP06,I15,IE,2017-11-01,101.6 
CP06,I15,IE,2017-12-01,101.6 
CP06,I15,IE,2018-01-01,101.3 
CP06,I15,IE,2018-02-01,101.7 
CP06,I15,IE,2018-03-01,101.8 
CP06,I15,IE,2018-04-01,101.8 
CP06,I15,IE,2018-05-01,101.9 
CP06,I15,IE,2018-06-01,101.9 
CP06,I15,IE,2018-07-01,101.9 
CP06,I15,IE,2018-08-01,101.9 
CP06,I15,IE,2018-09-01,101.9 
CP06,I15,IS,2017-10-01,103.11 
CP06,I15,IS,2017-11-01,103.51 
CP06,I15,IS,2017-12-01,103.54 
CP06,I15,IS,2018-01-01,103.72 
CP06,I15,IS,2018-02-01,103.75 
CP06,I15,IS,2018-03-01,104.49 
CP06,I15,IS,2018-04-01,104.94 
CP06,I15,IS,2018-05-01,104.95 
CP06,I15,IS,2018-06-01,104.75 
CP06,I15,IS,2018-07-01,105.47 
CP06,I15,IS,2018-08-01,105.50 
CP06,I15,IS,2018-09-01,103.58 
CP06,I15,IT,2017-10-01,101.9 
CP06,I15,IT,2017-11-01,101.9 
CP06,I15,IT,2017-12-01,101.9 
CP06,I15,IT,2018-01-01,101.9 
CP06,I15,IT,2018-02-01,102.1 
CP06,I15,IT,2018-03-01,102.2 
CP06,I15,IT,2018-04-01,102.2 
CP06,I15,IT,2018-05-01,102.3 
CP06,I15,IT,2018-06-01,102.4 
CP06,I15,IT,2018-07-01,102.3 
