unit,vehicle,geo\time,date,value
PC,BUS_TOT,EL,1998-01-01,28 
PC,BUS_TOT,EL,1999-01-01,26.5 
PC,BUS_TOT,EL,2000-01-01,25.1 
PC,BUS_TOT,EL,2001-01-01,23.8 e
PC,BUS_TOT,EL,2002-01-01,23 e
PC,BUS_TOT,EL,2003-01-01,22.1 e
PC,BUS_TOT,EL,2004-01-01,20.9 e
PC,BUS_TOT,EL,2005-01-01,20 e
PC,BUS_TOT,EL,2006-01-01,19.2 e
PC,BUS_TOT,EL,2007-01-01,18.5 e
PC,BUS_TOT,EL,2008-01-01,17.9 e
PC,BUS_TOT,EL,2009-01-01,16.9 e
PC,BUS_TOT,EL,2010-01-01,17.3 e
PC,BUS_TOT,EL,2011-01-01,17.6 e
PC,BUS_TOT,EL,2012-01-01,17.7 e
PC,BUS_TOT,EL,2013-01-01,17.8 e
PC,BUS_TOT,EL,2014-01-01,17.7 e
PC,BUS_TOT,EL,2015-01-01,17.5 e
PC,BUS_TOT,EL,2016-01-01,17.1 e
PC,BUS_TOT,ES,1990-01-01,14.9 
PC,BUS_TOT,ES,1991-01-01,13.7 
PC,BUS_TOT,ES,1992-01-01,13.2 
PC,BUS_TOT,ES,1993-01-01,13.2 
PC,BUS_TOT,ES,1994-01-01,13 
PC,BUS_TOT,ES,1995-01-01,13 
PC,BUS_TOT,ES,1996-01-01,13.8 e
PC,BUS_TOT,ES,1997-01-01,13.4 
PC,BUS_TOT,ES,1998-01-01,14.4 
PC,BUS_TOT,ES,1999-01-01,13.8 
PC,BUS_TOT,ES,2000-01-01,13.5 
PC,BUS_TOT,ES,2001-01-01,13.7 
PC,BUS_TOT,ES,2002-01-01,12.3 
PC,BUS_TOT,ES,2003-01-01,11.8 
PC,BUS_TOT,ES,2004-01-01,13.2 
PC,BUS_TOT,ES,2005-01-01,12.9 
PC,BUS_TOT,ES,2006-01-01,12 
PC,BUS_TOT,ES,2007-01-01,14 
PC,BUS_TOT,ES,2008-01-01,14.3 
PC,BUS_TOT,ES,2009-01-01,13.3 
PC,BUS_TOT,ES,2010-01-01,12.3 d
PC,BUS_TOT,ES,2011-01-01,13.5 
PC,BUS_TOT,ES,2012-01-01,13.7 d
PC,BUS_TOT,ES,2013-01-01,13.2 
PC,BUS_TOT,ES,2014-01-01,10.6 b
PC,BUS_TOT,ES,2015-01-01,11.9 
PC,BUS_TOT,ES,2016-01-01,11.8 
PC,BUS_TOT,EU27,1990-01-01,: 
PC,BUS_TOT,EU27,1991-01-01,: 
PC,BUS_TOT,EU27,1992-01-01,: 
PC,BUS_TOT,EU27,1993-01-01,: 
PC,BUS_TOT,EU27,1994-01-01,: 
PC,BUS_TOT,EU27,1995-01-01,: 
PC,BUS_TOT,EU27,1996-01-01,: 
PC,BUS_TOT,EU27,1997-01-01,: 
PC,BUS_TOT,EU27,1998-01-01,: 
PC,BUS_TOT,EU27,1999-01-01,: 
PC,BUS_TOT,EU27,2000-01-01,10.4 
PC,BUS_TOT,EU27,2001-01-01,10.2 
PC,BUS_TOT,EU27,2002-01-01,9.9 
PC,BUS_TOT,EU27,2003-01-01,9.8 
PC,BUS_TOT,EU27,2004-01-01,9.8 
PC,BUS_TOT,EU27,2005-01-01,9.8 
PC,BUS_TOT,EU27,2006-01-01,9.7 
PC,BUS_TOT,EU27,2007-01-01,9.8 
PC,BUS_TOT,EU27,2008-01-01,9.9 
PC,BUS_TOT,EU27,2009-01-01,9.3 
PC,BUS_TOT,EU27,2010-01-01,9.4 
PC,BUS_TOT,EU27,2011-01-01,9.4 
PC,BUS_TOT,EU27,2012-01-01,9.5 
PC,BUS_TOT,EU27,2013-01-01,9.8 
PC,BUS_TOT,EU27,2014-01-01,9.6 
PC,BUS_TOT,EU27,2015-01-01,9.5 
PC,BUS_TOT,EU27,2016-01-01,9.4 
PC,BUS_TOT,EU28,1990-01-01,: 
PC,BUS_TOT,EU28,1991-01-01,: 
PC,BUS_TOT,EU28,1992-01-01,: 
PC,BUS_TOT,EU28,1993-01-01,: 
PC,BUS_TOT,EU28,1994-01-01,: 
PC,BUS_TOT,EU28,1995-01-01,: 
PC,BUS_TOT,EU28,1996-01-01,: 
PC,BUS_TOT,EU28,1997-01-01,: 
PC,BUS_TOT,EU28,1998-01-01,: 
PC,BUS_TOT,EU28,1999-01-01,: 
PC,BUS_TOT,EU28,2000-01-01,10.4 
PC,BUS_TOT,EU28,2001-01-01,10.2 
PC,BUS_TOT,EU28,2002-01-01,9.9 
PC,BUS_TOT,EU28,2003-01-01,9.9 
PC,BUS_TOT,EU28,2004-01-01,9.8 
PC,BUS_TOT,EU28,2005-01-01,9.8 
PC,BUS_TOT,EU28,2006-01-01,9.7 
PC,BUS_TOT,EU28,2007-01-01,9.8 
PC,BUS_TOT,EU28,2008-01-01,9.9 
PC,BUS_TOT,EU28,2009-01-01,9.3 
PC,BUS_TOT,EU28,2010-01-01,9.4 
PC,BUS_TOT,EU28,2011-01-01,9.4 
PC,BUS_TOT,EU28,2012-01-01,9.5 
PC,BUS_TOT,EU28,2013-01-01,9.8 
PC,BUS_TOT,EU28,2014-01-01,9.6 
PC,BUS_TOT,EU28,2015-01-01,9.5 
PC,BUS_TOT,EU28,2016-01-01,9.4 
PC,BUS_TOT,FI,1990-01-01,13.5 
PC,BUS_TOT,FI,1991-01-01,13.1 
PC,BUS_TOT,FI,1992-01-01,13 
PC,BUS_TOT,FI,1993-01-01,13.2 
PC,BUS_TOT,FI,1994-01-01,13.2 
PC,BUS_TOT,FI,1995-01-01,13.1 
PC,BUS_TOT,FI,1996-01-01,13 
PC,BUS_TOT,FI,1997-01-01,12.6 
PC,BUS_TOT,FI,1998-01-01,12.1 
PC,BUS_TOT,FI,1999-01-01,11.5 
PC,BUS_TOT,FI,2000-01-01,11.5 
PC,BUS_TOT,FI,2001-01-01,11.3 
PC,BUS_TOT,FI,2002-01-01,11.1 
PC,BUS_TOT,FI,2003-01-01,10.9 
PC,BUS_TOT,FI,2004-01-01,10.6 
PC,BUS_TOT,FI,2005-01-01,10.3 
PC,BUS_TOT,FI,2006-01-01,10.3 
PC,BUS_TOT,FI,2007-01-01,10 
PC,BUS_TOT,FI,2008-01-01,10.1 
PC,BUS_TOT,FI,2009-01-01,10 
PC,BUS_TOT,FI,2010-01-01,9.9 
PC,BUS_TOT,FI,2011-01-01,9.8 
PC,BUS_TOT,FI,2012-01-01,9.8 
PC,BUS_TOT,FI,2013-01-01,9.8 
PC,BUS_TOT,FI,2014-01-01,9.8 
PC,BUS_TOT,FI,2015-01-01,9.7 
PC,BUS_TOT,FI,2016-01-01,11.9 
PC,BUS_TOT,FR,1990-01-01,6 
PC,BUS_TOT,FR,1991-01-01,6.1 
PC,BUS_TOT,FR,1992-01-01,5.8 
PC,BUS_TOT,FR,1993-01-01,5.8 
PC,BUS_TOT,FR,1994-01-01,5.7 
PC,BUS_TOT,FR,1995-01-01,5.6 
PC,BUS_TOT,FR,1996-01-01,5.6 
PC,BUS_TOT,FR,1997-01-01,5.5 
PC,BUS_TOT,FR,1998-01-01,5.4 
PC,BUS_TOT,FR,1999-01-01,5.2 
PC,BUS_TOT,FR,2000-01-01,5.3 
PC,BUS_TOT,FR,2001-01-01,4.9 
PC,BUS_TOT,FR,2002-01-01,5 
PC,BUS_TOT,FR,2003-01-01,5 
PC,BUS_TOT,FR,2004-01-01,5.1 
PC,BUS_TOT,FR,2005-01-01,5.2 
PC,BUS_TOT,FR,2006-01-01,5.3 
PC,BUS_TOT,FR,2007-01-01,5.5 
PC,BUS_TOT,FR,2008-01-01,5.7 
PC,BUS_TOT,FR,2009-01-01,5.2 
PC,BUS_TOT,FR,2010-01-01,5.3 
PC,BUS_TOT,FR,2011-01-01,5.4 
PC,BUS_TOT,FR,2012-01-01,5.4 
PC,BUS_TOT,FR,2013-01-01,8.1 
PC,BUS_TOT,FR,2014-01-01,8.1 
PC,BUS_TOT,FR,2015-01-01,8 e
PC,BUS_TOT,FR,2016-01-01,8.8 
PC,BUS_TOT,HR,1990-01-01,: 
PC,BUS_TOT,HR,1991-01-01,: 
PC,BUS_TOT,HR,1992-01-01,: 
PC,BUS_TOT,HR,1993-01-01,: 
PC,BUS_TOT,HR,1994-01-01,: 
PC,BUS_TOT,HR,1995-01-01,22.9 
PC,BUS_TOT,HR,1996-01-01,21.1 
PC,BUS_TOT,HR,1997-01-01,20.2 
PC,BUS_TOT,HR,1998-01-01,17.6 
PC,BUS_TOT,HR,1999-01-01,14.3 
PC,BUS_TOT,HR,2000-01-01,13.6 
PC,BUS_TOT,HR,2001-01-01,13.5 
PC,BUS_TOT,HR,2002-01-01,13.3 
PC,BUS_TOT,HR,2003-01-01,13.6 
PC,BUS_TOT,HR,2004-01-01,12.1 
PC,BUS_TOT,HR,2005-01-01,11.9 
PC,BUS_TOT,HR,2006-01-01,11.8 
PC,BUS_TOT,HR,2007-01-01,12.1 
PC,BUS_TOT,HR,2008-01-01,12.5 
PC,BUS_TOT,HR,2009-01-01,10.7 
PC,BUS_TOT,HR,2010-01-01,10.7 d
PC,BUS_TOT,HR,2011-01-01,10.5 d
PC,BUS_TOT,HR,2012-01-01,10.7 d
PC,BUS_TOT,HR,2013-01-01,11.5 d
PC,BUS_TOT,HR,2014-01-01,11.9 
PC,BUS_TOT,HR,2015-01-01,11 
PC,BUS_TOT,HR,2016-01-01,12.3 
PC,BUS_TOT,HU,1990-01-01,24.8 
PC,BUS_TOT,HU,1991-01-01,23.4 
PC,BUS_TOT,HU,1992-01-01,22.9 
PC,BUS_TOT,HU,1993-01-01,23.2 
PC,BUS_TOT,HU,1994-01-01,23.5 
PC,BUS_TOT,HU,1995-01-01,23.6 
PC,BUS_TOT,HU,1996-01-01,3.5 
PC,BUS_TOT,HU,1997-01-01,23.3 
PC,BUS_TOT,HU,1998-01-01,23.8 
PC,BUS_TOT,HU,1999-01-01,24.2 
PC,BUS_TOT,HU,2000-01-01,25.1 
PC,BUS_TOT,HU,2001-01-01,24.9 
PC,BUS_TOT,HU,2002-01-01,25 
PC,BUS_TOT,HU,2003-01-01,24.5 
PC,BUS_TOT,HU,2004-01-01,23.4 
PC,BUS_TOT,HU,2005-01-01,23.2 
PC,BUS_TOT,HU,2006-01-01,22.5 
PC,BUS_TOT,HU,2007-01-01,21.5 
PC,BUS_TOT,HU,2008-01-01,22.1 
PC,BUS_TOT,HU,2009-01-01,20.7 
PC,BUS_TOT,HU,2010-01-01,21.5 
PC,BUS_TOT,HU,2011-01-01,21.5 
PC,BUS_TOT,HU,2012-01-01,22.3 
PC,BUS_TOT,HU,2013-01-01,22.3 
PC,BUS_TOT,HU,2014-01-01,22.6 
PC,BUS_TOT,HU,2015-01-01,22.3 
PC,BUS_TOT,HU,2016-01-01,21.7 
PC,BUS_TOT,IE,1990-01-01,11.5 
PC,BUS_TOT,IE,1991-01-01,11.9 
PC,BUS_TOT,IE,1992-01-01,12.3 
PC,BUS_TOT,IE,1993-01-01,12.6 
PC,BUS_TOT,IE,1994-01-01,13.6 
PC,BUS_TOT,IE,1995-01-01,13.6 
PC,BUS_TOT,IE,1996-01-01,13.5 
PC,BUS_TOT,IE,1997-01-01,13.3 e
PC,BUS_TOT,IE,1998-01-01,13.3 e
PC,BUS_TOT,IE,1999-01-01,13.3 e
PC,BUS_TOT,IE,2000-01-01,16.2 be
PC,BUS_TOT,IE,2001-01-01,16.1 e
PC,BUS_TOT,IE,2002-01-01,15.6 e
PC,BUS_TOT,IE,2003-01-01,15.3 e
PC,BUS_TOT,IE,2004-01-01,15.1 e
PC,BUS_TOT,IE,2005-01-01,14.6 e
PC,BUS_TOT,IE,2006-01-01,14.4 e
PC,BUS_TOT,IE,2007-01-01,14.2 e
PC,BUS_TOT,IE,2008-01-01,14.4 e
PC,BUS_TOT,IE,2009-01-01,15 e
PC,BUS_TOT,IE,2010-01-01,14.5 e
PC,BUS_TOT,IE,2011-01-01,19.4 e
PC,BUS_TOT,IE,2012-01-01,14.4 e
PC,BUS_TOT,IE,2013-01-01,14.1 e
PC,BUS_TOT,IE,2014-01-01,17.3 e
PC,BUS_TOT,IE,2015-01-01,16.7 e
PC,BUS_TOT,IE,2016-01-01,17.2 e
PC,BUS_TOT,IS,1990-01-01,: 
PC,BUS_TOT,IS,1991-01-01,: 
PC,BUS_TOT,IS,1992-01-01,: 
PC,BUS_TOT,IS,1993-01-01,: 
PC,BUS_TOT,IS,1994-01-01,: 
PC,BUS_TOT,IS,1995-01-01,: 
PC,BUS_TOT,IS,1996-01-01,11.4 
PC,BUS_TOT,IS,1997-01-01,11.4 
PC,BUS_TOT,IS,1998-01-01,11.4 
PC,BUS_TOT,IS,1999-01-01,11.2 
PC,BUS_TOT,IS,2000-01-01,11.4 
PC,BUS_TOT,IS,2001-01-01,11.4 
PC,BUS_TOT,IS,2002-01-01,11.4 
PC,BUS_TOT,IS,2003-01-01,11.4 
PC,BUS_TOT,IS,2004-01-01,11.4 
PC,BUS_TOT,IS,2005-01-01,11.4 
PC,BUS_TOT,IS,2006-01-01,11.4 
PC,BUS_TOT,IS,2007-01-01,11.4 
PC,BUS_TOT,IS,2008-01-01,11.4 
PC,BUS_TOT,IS,2009-01-01,11.4 
PC,BUS_TOT,IS,2010-01-01,11.4 
PC,BUS_TOT,IS,2011-01-01,11.4 
PC,BUS_TOT,IS,2012-01-01,11.4 
PC,BUS_TOT,IS,2013-01-01,11.4 
PC,BUS_TOT,IS,2014-01-01,11.4 
PC,BUS_TOT,IS,2015-01-01,11.4 
PC,BUS_TOT,IS,2016-01-01,11.4 
PC,BUS_TOT,IT,1990-01-01,12.9 
PC,BUS_TOT,IT,1991-01-01,12.7 
PC,BUS_TOT,IT,1992-01-01,11.6 
PC,BUS_TOT,IT,1993-01-01,11.2 
PC,BUS_TOT,IT,1994-01-01,11 
PC,BUS_TOT,IT,1995-01-01,11.7 
PC,BUS_TOT,IT,1996-01-01,11.7 
PC,BUS_TOT,IT,1997-01-01,11.7 
PC,BUS_TOT,IT,1998-01-01,11.4 
PC,BUS_TOT,IT,1999-01-01,11.5 
PC,BUS_TOT,IT,2000-01-01,10.9 
PC,BUS_TOT,IT,2001-01-01,11 
PC,BUS_TOT,IT,2002-01-01,11.1 
PC,BUS_TOT,IT,2003-01-01,11.1 
PC,BUS_TOT,IT,2004-01-01,11.1 
PC,BUS_TOT,IT,2005-01-01,12.2 
PC,BUS_TOT,IT,2006-01-01,12.4 
PC,BUS_TOT,IT,2007-01-01,12.4 
PC,BUS_TOT,IT,2008-01-01,12.4 
PC,BUS_TOT,IT,2009-01-01,11.7 
PC,BUS_TOT,IT,2010-01-01,12.8 b
PC,BUS_TOT,IT,2011-01-01,13.2 
PC,BUS_TOT,IT,2012-01-01,14.7 
PC,BUS_TOT,IT,2013-01-01,14.1 
PC,BUS_TOT,IT,2014-01-01,13.7 
