unit,indic,geotime,date,value
PC,INV_BSN,SI,2010-01-01,11
PC,INV_BSN,SI,2011-01-01,12
PC,INV_BSN,SI,2012-01-01,11
PC,INV_BSN,SI,2013-01-01,11
PC,INV_BSN,SI,2014-01-01,10
PC,INV_BSN,SI,2015-01-01,10
PC,INV_BSN,SI,2016-01-01,11
PC,INV_BSN,SI,2017-01-01,
PC,INV_BSN,SK,2000-01-01,16
PC,INV_BSN,SK,2001-01-01,20
PC,INV_BSN,SK,2002-01-01,18
PC,INV_BSN,SK,2003-01-01,17
PC,INV_BSN,SK,2004-01-01,17
PC,INV_BSN,SK,2005-01-01,18
PC,INV_BSN,SK,2006-01-01,17
PC,INV_BSN,SK,2007-01-01,18
PC,INV_BSN,SK,2008-01-01,17
PC,INV_BSN,SK,2009-01-01,12
PC,INV_BSN,SK,2010-01-01,13
PC,INV_BSN,SK,2011-01-01,15
PC,INV_BSN,SK,2012-01-01,13
PC,INV_BSN,SK,2013-01-01,12
PC,INV_BSN,SK,2014-01-01,12
PC,INV_BSN,SK,2015-01-01,13
PC,INV_BSN,SK,2016-01-01,13
PC,INV_BSN,SK,2017-01-01,
PC,INV_BSN,TR,2000-01-01,
PC,INV_BSN,TR,2001-01-01,
PC,INV_BSN,TR,2002-01-01,
PC,INV_BSN,TR,2003-01-01,
PC,INV_BSN,TR,2004-01-01,
PC,INV_BSN,TR,2005-01-01,
PC,INV_BSN,TR,2006-01-01,
PC,INV_BSN,TR,2007-01-01,
PC,INV_BSN,TR,2008-01-01,
PC,INV_BSN,TR,2009-01-01,12
PC,INV_BSN,TR,2010-01-01,14
PC,INV_BSN,TR,2011-01-01,16
PC,INV_BSN,TR,2012-01-01,16
PC,INV_BSN,TR,2013-01-01,16
PC,INV_BSN,TR,2014-01-01,16
PC,INV_BSN,TR,2015-01-01,17
PC,INV_BSN,TR,2016-01-01,
PC,INV_BSN,TR,2017-01-01,
PC,INV_BSN,UK,2000-01-01,11
PC,INV_BSN,UK,2001-01-01,11
PC,INV_BSN,UK,2002-01-01,10
PC,INV_BSN,UK,2003-01-01,9
PC,INV_BSN,UK,2004-01-01,8
PC,INV_BSN,UK,2005-01-01,10
PC,INV_BSN,UK,2006-01-01,9
PC,INV_BSN,UK,2007-01-01,9
PC,INV_BSN,UK,2008-01-01,9
PC,INV_BSN,UK,2009-01-01,8
PC,INV_BSN,UK,2010-01-01,8
PC,INV_BSN,UK,2011-01-01,8
PC,INV_BSN,UK,2012-01-01,9
PC,INV_BSN,UK,2013-01-01,9
PC,INV_BSN,UK,2014-01-01,9
PC,INV_BSN,UK,2015-01-01,9
PC,INV_BSN,UK,2016-01-01,9
PC,INV_BSN,UK,2017-01-01,
PC,INV_GOV,AT,2000-01-01,2
PC,INV_GOV,AT,2001-01-01,2
PC,INV_GOV,AT,2002-01-01,2
PC,INV_GOV,AT,2003-01-01,2
PC,INV_GOV,AT,2004-01-01,2
PC,INV_GOV,AT,2005-01-01,2
PC,INV_GOV,AT,2006-01-01,2
PC,INV_GOV,AT,2007-01-01,2
PC,INV_GOV,AT,2008-01-01,3
PC,INV_GOV,AT,2009-01-01,3
PC,INV_GOV,AT,2010-01-01,3
PC,INV_GOV,AT,2011-01-01,3
PC,INV_GOV,AT,2012-01-01,2
PC,INV_GOV,AT,2013-01-01,3
PC,INV_GOV,AT,2014-01-01,2
