s_adj,nace_r2,unit,indic_bt,geotime,date,value
SCA,B-E36,I2015_SCA,EMPL,MT,2017-10-01,99
SCA,B-E36,I2015_SCA,EMPL,MT,2018-01-01,100
SCA,B-E36,I2015_SCA,EMPL,MT,2018-04-01,100
SCA,B-E36,I2015_SCA,EMPL,NL,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,NL,2015-10-01,100
SCA,B-E36,I2015_SCA,EMPL,NL,2016-01-01,100
SCA,B-E36,I2015_SCA,EMPL,NL,2016-04-01,101
SCA,B-E36,I2015_SCA,EMPL,NL,2016-07-01,101
SCA,B-E36,I2015_SCA,EMPL,NL,2016-10-01,101
SCA,B-E36,I2015_SCA,EMPL,NL,2017-01-01,101
SCA,B-E36,I2015_SCA,EMPL,NL,2017-04-01,102
SCA,B-E36,I2015_SCA,EMPL,NL,2017-07-01,102
SCA,B-E36,I2015_SCA,EMPL,NL,2017-10-01,103
SCA,B-E36,I2015_SCA,EMPL,NL,2018-01-01,104
SCA,B-E36,I2015_SCA,EMPL,NL,2018-04-01,
SCA,B-E36,I2015_SCA,EMPL,NO,2015-07-01,99
SCA,B-E36,I2015_SCA,EMPL,NO,2015-10-01,98
SCA,B-E36,I2015_SCA,EMPL,NO,2016-01-01,96
SCA,B-E36,I2015_SCA,EMPL,NO,2016-04-01,95
SCA,B-E36,I2015_SCA,EMPL,NO,2016-07-01,93
SCA,B-E36,I2015_SCA,EMPL,NO,2016-10-01,93
SCA,B-E36,I2015_SCA,EMPL,NO,2017-01-01,92
SCA,B-E36,I2015_SCA,EMPL,NO,2017-04-01,91
SCA,B-E36,I2015_SCA,EMPL,NO,2017-07-01,92
SCA,B-E36,I2015_SCA,EMPL,NO,2017-10-01,92
SCA,B-E36,I2015_SCA,EMPL,NO,2018-01-01,92
SCA,B-E36,I2015_SCA,EMPL,NO,2018-04-01,92
SCA,B-E36,I2015_SCA,EMPL,PL,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,PL,2015-10-01,100
SCA,B-E36,I2015_SCA,EMPL,PL,2016-01-01,101
SCA,B-E36,I2015_SCA,EMPL,PL,2016-04-01,102
SCA,B-E36,I2015_SCA,EMPL,PL,2016-07-01,102
SCA,B-E36,I2015_SCA,EMPL,PL,2016-10-01,103
SCA,B-E36,I2015_SCA,EMPL,PL,2017-01-01,104
SCA,B-E36,I2015_SCA,EMPL,PL,2017-04-01,105
SCA,B-E36,I2015_SCA,EMPL,PL,2017-07-01,106
SCA,B-E36,I2015_SCA,EMPL,PL,2017-10-01,106
SCA,B-E36,I2015_SCA,EMPL,PL,2018-01-01,107
SCA,B-E36,I2015_SCA,EMPL,PL,2018-04-01,108
SCA,B-E36,I2015_SCA,EMPL,PT,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,PT,2015-10-01,100
SCA,B-E36,I2015_SCA,EMPL,PT,2016-01-01,100
SCA,B-E36,I2015_SCA,EMPL,PT,2016-04-01,100
SCA,B-E36,I2015_SCA,EMPL,PT,2016-07-01,101
SCA,B-E36,I2015_SCA,EMPL,PT,2016-10-01,101
SCA,B-E36,I2015_SCA,EMPL,PT,2017-01-01,102
SCA,B-E36,I2015_SCA,EMPL,PT,2017-04-01,103
SCA,B-E36,I2015_SCA,EMPL,PT,2017-07-01,104
SCA,B-E36,I2015_SCA,EMPL,PT,2017-10-01,105
SCA,B-E36,I2015_SCA,EMPL,PT,2018-01-01,106
