coicop,unit,geotime,date,value
CP00,I15,IT,2017-12-01,102.1
CP00,I15,IT,2018-01-01,100.6
CP00,I15,IT,2018-02-01,100.1
CP00,I15,IT,2018-03-01,102.4
CP00,I15,IT,2018-04-01,102.9
CP00,I15,IT,2018-05-01,103.2
CP00,I15,IT,2018-06-01,103.4
CP00,I15,IT,2018-07-01,102.0
CP00,I15,IT,2018-08-01,101.8
CP00,I15,IT,2018-09-01,103.5
CP00,I15,LT,2017-10-01,105.42
CP00,I15,LT,2017-11-01,105.69
CP00,I15,LT,2017-12-01,105.82
CP00,I15,LT,2018-01-01,105.87
CP00,I15,LT,2018-02-01,105.73
CP00,I15,LT,2018-03-01,106.15
CP00,I15,LT,2018-04-01,106.92
CP00,I15,LT,2018-05-01,107.42
CP00,I15,LT,2018-06-01,107.33
CP00,I15,LT,2018-07-01,106.82
CP00,I15,LT,2018-08-01,106.37
CP00,I15,LT,2018-09-01,107.85
CP00,I15,LU,2017-10-01,102.79
CP00,I15,LU,2017-11-01,102.8
CP00,I15,LU,2017-12-01,102.83
CP00,I15,LU,2018-01-01,101.9
CP00,I15,LU,2018-02-01,103.14
CP00,I15,LU,2018-03-01,103.15
CP00,I15,LU,2018-04-01,103.6
CP00,I15,LU,2018-05-01,104.22
CP00,I15,LU,2018-06-01,104.53
CP00,I15,LU,2018-07-01,103.63
CP00,I15,LU,2018-08-01,105.06
CP00,I15,LU,2018-09-01,105.38
CP00,I15,LV,2017-10-01,103.44
CP00,I15,LV,2017-11-01,103.54
CP00,I15,LV,2017-12-01,103.57
CP00,I15,LV,2018-01-01,103.49
CP00,I15,LV,2018-02-01,103.72
CP00,I15,LV,2018-03-01,105.06
CP00,I15,LV,2018-04-01,105.35
CP00,I15,LV,2018-05-01,105.83
CP00,I15,LV,2018-06-01,106.59
CP00,I15,LV,2018-07-01,105.75
CP00,I15,LV,2018-08-01,105.78
CP00,I15,LV,2018-09-01,106.44
CP00,I15,MK,2017-10-01,103.2
CP00,I15,MK,2017-11-01,103.12
CP00,I15,MK,2017-12-01,103.22
CP00,I15,MK,2018-01-01,102.96
CP00,I15,MK,2018-02-01,103.22
CP00,I15,MK,2018-03-01,103.45
CP00,I15,MK,2018-04-01,103.84
CP00,I15,MK,2018-05-01,105.59
CP00,I15,MK,2018-06-01,105.49
CP00,I15,MK,2018-07-01,105.08
CP00,I15,MK,2018-08-01,105.48
CP00,I15,MK,2018-09-01,105.33
CP00,I15,MT,2017-10-01,103.33
CP00,I15,MT,2017-11-01,100.97
CP00,I15,MT,2017-12-01,100.88
CP00,I15,MT,2018-01-01,99.63
CP00,I15,MT,2018-02-01,100.19
CP00,I15,MT,2018-03-01,101.11
CP00,I15,MT,2018-04-01,103.77
CP00,I15,MT,2018-05-01,105.19
CP00,I15,MT,2018-06-01,106.57
CP00,I15,MT,2018-07-01,106.81
CP00,I15,MT,2018-08-01,107.56
CP00,I15,MT,2018-09-01,106.69
CP00,I15,NL,2017-10-01,101.97
CP00,I15,NL,2017-11-01,101.57
CP00,I15,NL,2017-12-01,101.49
CP00,I15,NL,2018-01-01,101.12
CP00,I15,NL,2018-02-01,101.84
CP00,I15,NL,2018-03-01,102.06
CP00,I15,NL,2018-04-01,102.99
CP00,I15,NL,2018-05-01,103.41
CP00,I15,NL,2018-06-01,102.85
CP00,I15,NL,2018-07-01,103.96
