waste,stk_flow,wst_oper,unit,geotime,date,value
W1501,DOM,RCY,PC,EL,2011-01-01,62
W1501,DOM,RCY,PC,EL,2012-01-01,
W1501,DOM,RCY,PC,EL,2013-01-01,52
W1501,DOM,RCY,PC,EL,2014-01-01,53
W1501,DOM,RCY,PC,EL,2015-01-01,
W1501,DOM,RCY,PC,EL,2016-01-01,
W1501,DOM,RCY,PC,ES,2000-01-01,39
W1501,DOM,RCY,PC,ES,2001-01-01,43
W1501,DOM,RCY,PC,ES,2002-01-01,44
W1501,DOM,RCY,PC,ES,2003-01-01,43
W1501,DOM,RCY,PC,ES,2004-01-01,47
W1501,DOM,RCY,PC,ES,2005-01-01,50
W1501,DOM,RCY,PC,ES,2006-01-01,54
W1501,DOM,RCY,PC,ES,2007-01-01,56
W1501,DOM,RCY,PC,ES,2008-01-01,59
W1501,DOM,RCY,PC,ES,2009-01-01,60
W1501,DOM,RCY,PC,ES,2010-01-01,61
W1501,DOM,RCY,PC,ES,2011-01-01,63
W1501,DOM,RCY,PC,ES,2012-01-01,
W1501,DOM,RCY,PC,ES,2013-01-01,66
W1501,DOM,RCY,PC,ES,2014-01-01,68
W1501,DOM,RCY,PC,ES,2015-01-01,
W1501,DOM,RCY,PC,ES,2016-01-01,70
W1501,DOM,RCY,PC,EU28,2000-01-01,
W1501,DOM,RCY,PC,EU28,2001-01-01,
W1501,DOM,RCY,PC,EU28,2002-01-01,
W1501,DOM,RCY,PC,EU28,2003-01-01,
W1501,DOM,RCY,PC,EU28,2004-01-01,
W1501,DOM,RCY,PC,EU28,2005-01-01,54
W1501,DOM,RCY,PC,EU28,2006-01-01,56
W1501,DOM,RCY,PC,EU28,2007-01-01,59
W1501,DOM,RCY,PC,EU28,2008-01-01,60
W1501,DOM,RCY,PC,EU28,2009-01-01,62
W1501,DOM,RCY,PC,EU28,2010-01-01,63
W1501,DOM,RCY,PC,EU28,2011-01-01,63
W1501,DOM,RCY,PC,EU28,2012-01-01,
W1501,DOM,RCY,PC,EU28,2013-01-01,65
W1501,DOM,RCY,PC,EU28,2014-01-01,65
W1501,DOM,RCY,PC,EU28,2015-01-01,
W1501,DOM,RCY,PC,EU28,2016-01-01,67
W1501,DOM,RCY,PC,FI,2000-01-01,49
W1501,DOM,RCY,PC,FI,2001-01-01,47
W1501,DOM,RCY,PC,FI,2002-01-01,49
W1501,DOM,RCY,PC,FI,2003-01-01,40
W1501,DOM,RCY,PC,FI,2004-01-01,39
W1501,DOM,RCY,PC,FI,2005-01-01,43
W1501,DOM,RCY,PC,FI,2006-01-01,49
W1501,DOM,RCY,PC,FI,2007-01-01,51
W1501,DOM,RCY,PC,FI,2008-01-01,56
W1501,DOM,RCY,PC,FI,2009-01-01,55
W1501,DOM,RCY,PC,FI,2010-01-01,55
W1501,DOM,RCY,PC,FI,2011-01-01,58
W1501,DOM,RCY,PC,FI,2012-01-01,
W1501,DOM,RCY,PC,FI,2013-01-01,58
W1501,DOM,RCY,PC,FI,2014-01-01,57
W1501,DOM,RCY,PC,FI,2015-01-01,
W1501,DOM,RCY,PC,FI,2016-01-01,64
W1501,DOM,RCY,PC,FR,2000-01-01,42
W1501,DOM,RCY,PC,FR,2001-01-01,44
W1501,DOM,RCY,PC,FR,2002-01-01,45
W1501,DOM,RCY,PC,FR,2003-01-01,47
W1501,DOM,RCY,PC,FR,2004-01-01,50
W1501,DOM,RCY,PC,FR,2005-01-01,53
W1501,DOM,RCY,PC,FR,2006-01-01,54
W1501,DOM,RCY,PC,FR,2007-01-01,57
W1501,DOM,RCY,PC,FR,2008-01-01,55
W1501,DOM,RCY,PC,FR,2009-01-01,56
W1501,DOM,RCY,PC,FR,2010-01-01,61
W1501,DOM,RCY,PC,FR,2011-01-01,61
W1501,DOM,RCY,PC,FR,2012-01-01,
W1501,DOM,RCY,PC,FR,2013-01-01,66
W1501,DOM,RCY,PC,FR,2014-01-01,65
W1501,DOM,RCY,PC,FR,2015-01-01,
W1501,DOM,RCY,PC,FR,2016-01-01,66
W1501,DOM,RCY,PC,HR,2000-01-01,
W1501,DOM,RCY,PC,HR,2001-01-01,
W1501,DOM,RCY,PC,HR,2002-01-01,
W1501,DOM,RCY,PC,HR,2003-01-01,
W1501,DOM,RCY,PC,HR,2004-01-01,
W1501,DOM,RCY,PC,HR,2005-01-01,
W1501,DOM,RCY,PC,HR,2006-01-01,
W1501,DOM,RCY,PC,HR,2007-01-01,
W1501,DOM,RCY,PC,HR,2008-01-01,
W1501,DOM,RCY,PC,HR,2009-01-01,
W1501,DOM,RCY,PC,HR,2010-01-01,
W1501,DOM,RCY,PC,HR,2011-01-01,
W1501,DOM,RCY,PC,HR,2012-01-01,
W1501,DOM,RCY,PC,HR,2013-01-01,58
