unit,sex,geotime,date,value
PC,F,ES,2015-01-01,10
PC,F,ES,2016-01-01,9
PC,F,ES,2017-01-01,10
PC,F,EU,2007-01-01,
PC,F,EU,2008-01-01,26
PC,F,EU,2009-01-01,25
PC,F,EU,2010-01-01,25
PC,F,EU,2011-01-01,24
PC,F,EU,2012-01-01,24
PC,F,EU,2013-01-01,24
PC,F,EU,2014-01-01,23
PC,F,EU,2015-01-01,22
PC,F,EU,2016-01-01,23
PC,F,EU,2017-01-01,
PC,F,EU27,2007-01-01,26
PC,F,EU27,2008-01-01,26
PC,F,EU27,2009-01-01,26
PC,F,EU27,2010-01-01,25
PC,F,EU27,2011-01-01,24
PC,F,EU27,2012-01-01,24
PC,F,EU27,2013-01-01,23
PC,F,EU27,2014-01-01,23
PC,F,EU27,2015-01-01,22
PC,F,EU27,2016-01-01,23
PC,F,EU27,2017-01-01,
PC,F,EU28,2007-01-01,
PC,F,EU28,2008-01-01,
PC,F,EU28,2009-01-01,
PC,F,EU28,2010-01-01,25
PC,F,EU28,2011-01-01,24
PC,F,EU28,2012-01-01,24
PC,F,EU28,2013-01-01,24
PC,F,EU28,2014-01-01,23
PC,F,EU28,2015-01-01,22
PC,F,EU28,2016-01-01,23
PC,F,EU28,2017-01-01,
PC,F,FI,2007-01-01,8
PC,F,FI,2008-01-01,10
PC,F,FI,2009-01-01,20
PC,F,FI,2010-01-01,35
PC,F,FI,2011-01-01,40
PC,F,FI,2012-01-01,37
PC,F,FI,2013-01-01,30
PC,F,FI,2014-01-01,30
PC,F,FI,2015-01-01,27
PC,F,FI,2016-01-01,26
PC,F,FI,2017-01-01,
PC,F,FR,2007-01-01,9
PC,F,FR,2008-01-01,10
PC,F,FR,2009-01-01,11
PC,F,FR,2010-01-01,12
PC,F,FR,2011-01-01,12
PC,F,FR,2012-01-01,11
PC,F,FR,2013-01-01,10
PC,F,FR,2014-01-01,9
PC,F,FR,2015-01-01,10
PC,F,FR,2016-01-01,11
PC,F,FR,2017-01-01,11
PC,F,HR,2007-01-01,
PC,F,HR,2008-01-01,
PC,F,HR,2009-01-01,
PC,F,HR,2010-01-01,
PC,F,HR,2011-01-01,41
PC,F,HR,2012-01-01,39
PC,F,HR,2013-01-01,33
PC,F,HR,2014-01-01,
PC,F,HR,2015-01-01,26
PC,F,HR,2016-01-01,29
PC,F,HR,2017-01-01,
PC,F,HU,2007-01-01,46
PC,F,HU,2008-01-01,48
PC,F,HU,2009-01-01,48
PC,F,HU,2010-01-01,46
PC,F,HU,2011-01-01,41
PC,F,HU,2012-01-01,38
PC,F,HU,2013-01-01,38
PC,F,HU,2014-01-01,40
PC,F,HU,2015-01-01,40
PC,F,HU,2016-01-01,38
PC,F,HU,2017-01-01,
PC,F,IE,2007-01-01,48
PC,F,IE,2008-01-01,
PC,F,IE,2009-01-01,
PC,F,IE,2010-01-01,
PC,F,IE,2011-01-01,52
PC,F,IE,2012-01-01,50
PC,F,IE,2013-01-01,47
PC,F,IE,2014-01-01,45
PC,F,IE,2015-01-01,45
PC,F,IE,2016-01-01,
PC,F,IE,2017-01-01,
PC,F,IS,2007-01-01,20
PC,F,IS,2008-01-01,37
PC,F,IS,2009-01-01,
PC,F,IS,2010-01-01,55
PC,F,IS,2011-01-01,58
PC,F,IS,2012-01-01,55
PC,F,IS,2013-01-01,52
PC,F,IS,2014-01-01,48
PC,F,IS,2015-01-01,44
PC,F,IS,2016-01-01,47
PC,F,IS,2017-01-01,
PC,F,IT,2007-01-01,27
PC,F,IT,2008-01-01,28
PC,F,IT,2009-01-01,26
PC,F,IT,2010-01-01,25
PC,F,IT,2011-01-01,22
PC,F,IT,2012-01-01,20
PC,F,IT,2013-01-01,18
PC,F,IT,2014-01-01,17
PC,F,IT,2015-01-01,18
PC,F,IT,2016-01-01,17
PC,F,IT,2017-01-01,14
PC,F,LT,2007-01-01,49
PC,F,LT,2008-01-01,54
PC,F,LT,2009-01-01,60
PC,F,LT,2010-01-01,58
PC,F,LT,2011-01-01,50
PC,F,LT,2012-01-01,33
PC,F,LT,2013-01-01,39
PC,F,LT,2014-01-01,43
PC,F,LT,2015-01-01,52
PC,F,LT,2016-01-01,
PC,F,LT,2017-01-01,
PC,F,LU,2007-01-01,42
PC,F,LU,2008-01-01,44
PC,F,LU,2009-01-01,45
PC,F,LU,2010-01-01,39
PC,F,LU,2011-01-01,33
PC,F,LU,2012-01-01,31
PC,F,LU,2013-01-01,32
PC,F,LU,2014-01-01,39
PC,F,LU,2015-01-01,38
PC,F,LU,2016-01-01,46
PC,F,LU,2017-01-01,42
PC,F,LV,2007-01-01,56
PC,F,LV,2008-01-01,60
PC,F,LV,2009-01-01,55
PC,F,LV,2010-01-01,48
PC,F,LV,2011-01-01,42
PC,F,LV,2012-01-01,42
PC,F,LV,2013-01-01,48
PC,F,LV,2014-01-01,51
PC,F,LV,2015-01-01,
PC,F,LV,2016-01-01,
PC,F,LV,2017-01-01,
PC,F,MK,2007-01-01,
PC,F,MK,2008-01-01,
PC,F,MK,2009-01-01,
PC,F,MK,2010-01-01,
PC,F,MK,2011-01-01,
PC,F,MK,2012-01-01,
PC,F,MK,2013-01-01,
PC,F,MK,2014-01-01,60
PC,F,MK,2015-01-01,53
PC,F,MK,2016-01-01,
PC,F,MK,2017-01-01,
PC,F,MT,2007-01-01,66
PC,F,MT,2008-01-01,63
PC,F,MT,2009-01-01,63
PC,F,MT,2010-01-01,44
PC,F,MT,2011-01-01,47
PC,F,MT,2012-01-01,27
PC,F,MT,2013-01-01,32
PC,F,MT,2014-01-01,12
PC,F,MT,2015-01-01,13
PC,F,MT,2016-01-01,
PC,F,MT,2017-01-01,
PC,F,NL,2007-01-01,30
PC,F,NL,2008-01-01,29
PC,F,NL,2009-01-01,28
PC,F,NL,2010-01-01,25
PC,F,NL,2011-01-01,23
PC,F,NL,2012-01-01,19
PC,F,NL,2013-01-01,16
PC,F,NL,2014-01-01,14
PC,F,NL,2015-01-01,20
PC,F,NL,2016-01-01,28
PC,F,NL,2017-01-01,35
PC,F,NO,2007-01-01,41
PC,F,NO,2008-01-01,40
PC,F,NO,2009-01-01,40
PC,F,NO,2010-01-01,43
PC,F,NO,2011-01-01,42
PC,F,NO,2012-01-01,45
PC,F,NO,2013-01-01,45
PC,F,NO,2014-01-01,47
PC,F,NO,2015-01-01,42
PC,F,NO,2016-01-01,38
PC,F,NO,2017-01-01,40
PC,F,PL,2007-01-01,26
PC,F,PL,2008-01-01,27
PC,F,PL,2009-01-01,27
PC,F,PL,2010-01-01,24
PC,F,PL,2011-01-01,22
PC,F,PL,2012-01-01,19
PC,F,PL,2013-01-01,18
PC,F,PL,2014-01-01,18
PC,F,PL,2015-01-01,18
PC,F,PL,2016-01-01,20
PC,F,PL,2017-01-01,24
PC,F,PT,2007-01-01,16
PC,F,PT,2008-01-01,25
PC,F,PT,2009-01-01,22
PC,F,PT,2010-01-01,25
PC,F,PT,2011-01-01,24
PC,F,PT,2012-01-01,28
PC,F,PT,2013-01-01,28
PC,F,PT,2014-01-01,27
PC,F,PT,2015-01-01,26
PC,F,PT,2016-01-01,27
PC,F,PT,2017-01-01,27
PC,F,RO,2007-01-01,
PC,F,RO,2008-01-01,50
PC,F,RO,2009-01-01,52
PC,F,RO,2010-01-01,52
PC,F,RO,2011-01-01,56
PC,F,RO,2012-01-01,59
PC,F,RO,2013-01-01,62
PC,F,RO,2014-01-01,58
PC,F,RO,2015-01-01,50
PC,F,RO,2016-01-01,
PC,F,RO,2017-01-01,
PC,F,RS,2007-01-01,
PC,F,RS,2008-01-01,
PC,F,RS,2009-01-01,
PC,F,RS,2010-01-01,
PC,F,RS,2011-01-01,
PC,F,RS,2012-01-01,
PC,F,RS,2013-01-01,
PC,F,RS,2014-01-01,38
PC,F,RS,2015-01-01,38
PC,F,RS,2016-01-01,
PC,F,RS,2017-01-01,
PC,F,SE,2007-01-01,40
PC,F,SE,2008-01-01,42
PC,F,SE,2009-01-01,39
PC,F,SE,2010-01-01,39
PC,F,SE,2011-01-01,39
PC,F,SE,2012-01-01,40
PC,F,SE,2013-01-01,42
PC,F,SE,2014-01-01,42
PC,F,SE,2015-01-01,40
PC,F,SE,2016-01-01,37
PC,F,SE,2017-01-01,35
PC,F,SI,2007-01-01,34
PC,F,SI,2008-01-01,36
PC,F,SI,2009-01-01,37
PC,F,SI,2010-01-01,35
PC,F,SI,2011-01-01,34
PC,F,SI,2012-01-01,31
PC,F,SI,2013-01-01,35
PC,F,SI,2014-01-01,39
PC,F,SI,2015-01-01,41
PC,F,SI,2016-01-01,36
PC,F,SI,2017-01-01,33
PC,F,SK,2007-01-01,67
PC,F,SK,2008-01-01,62
PC,F,SK,2009-01-01,56
PC,F,SK,2010-01-01,47
PC,F,SK,2011-01-01,42
PC,F,SK,2012-01-01,40
PC,F,SK,2013-01-01,39
PC,F,SK,2014-01-01,36
PC,F,SK,2015-01-01,32
PC,F,SK,2016-01-01,32
PC,F,SK,2017-01-01,
PC,F,TR,2007-01-01,
PC,F,TR,2008-01-01,
PC,F,TR,2009-01-01,10
PC,F,TR,2010-01-01,11
PC,F,TR,2011-01-01,
PC,F,TR,2012-01-01,
PC,F,TR,2013-01-01,
PC,F,TR,2014-01-01,
PC,F,TR,2015-01-01,
PC,F,TR,2016-01-01,
PC,F,TR,2017-01-01,
PC,F,UK,2007-01-01,47
PC,F,UK,2008-01-01,
PC,F,UK,2009-01-01,
PC,F,UK,2010-01-01,
PC,F,UK,2011-01-01,46
PC,F,UK,2012-01-01,53
PC,F,UK,2013-01-01,55
PC,F,UK,2014-01-01,57
PC,F,UK,2015-01-01,53
PC,F,UK,2016-01-01,53
PC,F,UK,2017-01-01,
PC,M,AT,2007-01-01,43
PC,M,AT,2008-01-01,49
PC,M,AT,2009-01-01,46
PC,M,AT,2010-01-01,45
PC,M,AT,2011-01-01,42
PC,M,AT,2012-01-01,45
PC,M,AT,2013-01-01,46
PC,M,AT,2014-01-01,49
PC,M,AT,2015-01-01,49
PC,M,AT,2016-01-01,53
PC,M,AT,2017-01-01,48
PC,M,BE,2007-01-01,33
PC,M,BE,2008-01-01,36
PC,M,BE,2009-01-01,38
PC,M,BE,2010-01-01,39
PC,M,BE,2011-01-01,36
PC,M,BE,2012-01-01,37
PC,M,BE,2013-01-01,36
PC,M,BE,2014-01-01,38
PC,M,BE,2015-01-01,35
PC,M,BE,2016-01-01,36
PC,M,BE,2017-01-01,38
PC,M,BG,2007-01-01,40
PC,M,BG,2008-01-01,47
PC,M,BG,2009-01-01,46
PC,M,BG,2010-01-01,46
PC,M,BG,2011-01-01,41
PC,M,BG,2012-01-01,41
PC,M,BG,2013-01-01,35
PC,M,BG,2014-01-01,34
PC,M,BG,2015-01-01,32
PC,M,BG,2016-01-01,31
PC,M,BG,2017-01-01,
PC,M,CH,2007-01-01,
PC,M,CH,2008-01-01,
PC,M,CH,2009-01-01,
PC,M,CH,2010-01-01,
PC,M,CH,2011-01-01,
PC,M,CH,2012-01-01,
PC,M,CH,2013-01-01,
PC,M,CH,2014-01-01,
PC,M,CH,2015-01-01,
PC,M,CH,2016-01-01,27
PC,M,CH,2017-01-01,
PC,M,CY,2007-01-01,29
PC,M,CY,2008-01-01,31
PC,M,CY,2009-01-01,35
PC,M,CY,2010-01-01,34
PC,M,CY,2011-01-01,35
PC,M,CY,2012-01-01,35
PC,M,CY,2013-01-01,34
PC,M,CY,2014-01-01,31
PC,M,CY,2015-01-01,28
PC,M,CY,2016-01-01,32
PC,M,CY,2017-01-01,37
PC,M,CZ,2007-01-01,41
PC,M,CZ,2008-01-01,39
PC,M,CZ,2009-01-01,39
PC,M,CZ,2010-01-01,39
PC,M,CZ,2011-01-01,41
PC,M,CZ,2012-01-01,39
PC,M,CZ,2013-01-01,37
PC,M,CZ,2014-01-01,34
PC,M,CZ,2015-01-01,36
PC,M,CZ,2016-01-01,37
PC,M,CZ,2017-01-01,42
PC,M,DE,2007-01-01,26
PC,M,DE,2008-01-01,34
PC,M,DE,2009-01-01,36
PC,M,DE,2010-01-01,41
PC,M,DE,2011-01-01,41
PC,M,DE,2012-01-01,41
PC,M,DE,2013-01-01,35
PC,M,DE,2014-01-01,31
PC,M,DE,2015-01-01,27
PC,M,DE,2016-01-01,29
PC,M,DE,2017-01-01,30
PC,M,DK,2007-01-01,
PC,M,DK,2008-01-01,
PC,M,DK,2009-01-01,
PC,M,DK,2010-01-01,
PC,M,DK,2011-01-01,
PC,M,DK,2012-01-01,27
PC,M,DK,2013-01-01,19
PC,M,DK,2014-01-01,27
PC,M,DK,2015-01-01,31
PC,M,DK,2016-01-01,
PC,M,DK,2017-01-01,
PC,M,EA,2007-01-01,
PC,M,EA,2008-01-01,24
PC,M,EA,2009-01-01,23
PC,M,EA,2010-01-01,23
PC,M,EA,2011-01-01,23
PC,M,EA,2012-01-01,23
PC,M,EA,2013-01-01,21
PC,M,EA,2014-01-01,21
PC,M,EA,2015-01-01,20
PC,M,EA,2016-01-01,21
PC,M,EA,2017-01-01,
PC,M,EA18,2007-01-01,25
PC,M,EA18,2008-01-01,25
PC,M,EA18,2009-01-01,24
PC,M,EA18,2010-01-01,24
PC,M,EA18,2011-01-01,23
PC,M,EA18,2012-01-01,23
PC,M,EA18,2013-01-01,21
PC,M,EA18,2014-01-01,21
PC,M,EA18,2015-01-01,20
PC,M,EA18,2016-01-01,21
PC,M,EA18,2017-01-01,
PC,M,EA19,2007-01-01,
PC,M,EA19,2008-01-01,25
PC,M,EA19,2009-01-01,24
PC,M,EA19,2010-01-01,24
PC,M,EA19,2011-01-01,23
PC,M,EA19,2012-01-01,23
PC,M,EA19,2013-01-01,21
PC,M,EA19,2014-01-01,21
PC,M,EA19,2015-01-01,20
PC,M,EA19,2016-01-01,21
PC,M,EA19,2017-01-01,
PC,M,EE,2007-01-01,59
PC,M,EE,2008-01-01,62
PC,M,EE,2009-01-01,
PC,M,EE,2010-01-01,41
PC,M,EE,2011-01-01,42
PC,M,EE,2012-01-01,47
PC,M,EE,2013-01-01,58
PC,M,EE,2014-01-01,54
PC,M,EE,2015-01-01,47
PC,M,EE,2016-01-01,
PC,M,EE,2017-01-01,
PC,M,EL,2007-01-01,21
PC,M,EL,2008-01-01,20
PC,M,EL,2009-01-01,21
PC,M,EL,2010-01-01,19
PC,M,EL,2011-01-01,21
PC,M,EL,2012-01-01,22
PC,M,EL,2013-01-01,22
PC,M,EL,2014-01-01,22
PC,M,EL,2015-01-01,18
PC,M,EL,2016-01-01,21
PC,M,EL,2017-01-01,
PC,M,ES,2007-01-01,25
PC,M,ES,2008-01-01,22
PC,M,ES,2009-01-01,20
PC,M,ES,2010-01-01,17
PC,M,ES,2011-01-01,14
PC,M,ES,2012-01-01,14
PC,M,ES,2013-01-01,13
PC,M,ES,2014-01-01,14
PC,M,ES,2015-01-01,13
PC,M,ES,2016-01-01,11
PC,M,ES,2017-01-01,12
PC,M,EU,2007-01-01,
PC,M,EU,2008-01-01,28
PC,M,EU,2009-01-01,26
PC,M,EU,2010-01-01,26
PC,M,EU,2011-01-01,25
PC,M,EU,2012-01-01,25
PC,M,EU,2013-01-01,23
PC,M,EU,2014-01-01,23
PC,M,EU,2015-01-01,23
PC,M,EU,2016-01-01,24
PC,M,EU,2017-01-01,
PC,M,EU27,2007-01-01,28
PC,M,EU27,2008-01-01,28
PC,M,EU27,2009-01-01,27
PC,M,EU27,2010-01-01,26
PC,M,EU27,2011-01-01,25
PC,M,EU27,2012-01-01,25
PC,M,EU27,2013-01-01,23
PC,M,EU27,2014-01-01,23
PC,M,EU27,2015-01-01,23
PC,M,EU27,2016-01-01,24
PC,M,EU27,2017-01-01,
PC,M,EU28,2007-01-01,
PC,M,EU28,2008-01-01,
PC,M,EU28,2009-01-01,
PC,M,EU28,2010-01-01,26
PC,M,EU28,2011-01-01,25
PC,M,EU28,2012-01-01,25
PC,M,EU28,2013-01-01,23
PC,M,EU28,2014-01-01,23
PC,M,EU28,2015-01-01,23
PC,M,EU28,2016-01-01,24
PC,M,EU28,2017-01-01,
PC,M,FI,2007-01-01,6
PC,M,FI,2008-01-01,6
PC,M,FI,2009-01-01,15
PC,M,FI,2010-01-01,27
PC,M,FI,2011-01-01,35
PC,M,FI,2012-01-01,34
PC,M,FI,2013-01-01,32
PC,M,FI,2014-01-01,32
PC,M,FI,2015-01-01,30
PC,M,FI,2016-01-01,25
PC,M,FI,2017-01-01,
PC,M,FR,2007-01-01,14
PC,M,FR,2008-01-01,14
PC,M,FR,2009-01-01,13
PC,M,FR,2010-01-01,11
PC,M,FR,2011-01-01,10
PC,M,FR,2012-01-01,10
PC,M,FR,2013-01-01,11
PC,M,FR,2014-01-01,10
PC,M,FR,2015-01-01,9
PC,M,FR,2016-01-01,10
PC,M,FR,2017-01-01,12
PC,M,HR,2007-01-01,
PC,M,HR,2008-01-01,
PC,M,HR,2009-01-01,
PC,M,HR,2010-01-01,
PC,M,HR,2011-01-01,45
PC,M,HR,2012-01-01,43
PC,M,HR,2013-01-01,38
PC,M,HR,2014-01-01,
PC,M,HR,2015-01-01,34
PC,M,HR,2016-01-01,34
PC,M,HR,2017-01-01,
PC,M,HU,2007-01-01,49
PC,M,HU,2008-01-01,50
PC,M,HU,2009-01-01,50
PC,M,HU,2010-01-01,47
PC,M,HU,2011-01-01,43
PC,M,HU,2012-01-01,37
PC,M,HU,2013-01-01,35
PC,M,HU,2014-01-01,36
PC,M,HU,2015-01-01,37
PC,M,HU,2016-01-01,35
PC,M,HU,2017-01-01,
PC,M,IE,2007-01-01,37
PC,M,IE,2008-01-01,
PC,M,IE,2009-01-01,
PC,M,IE,2010-01-01,
PC,M,IE,2011-01-01,34
PC,M,IE,2012-01-01,29
PC,M,IE,2013-01-01,32
PC,M,IE,2014-01-01,31
PC,M,IE,2015-01-01,31
PC,M,IE,2016-01-01,
PC,M,IE,2017-01-01,
PC,M,IS,2007-01-01,36
PC,M,IS,2008-01-01,46
PC,M,IS,2009-01-01,
PC,M,IS,2010-01-01,50
PC,M,IS,2011-01-01,52
PC,M,IS,2012-01-01,53
PC,M,IS,2013-01-01,53
PC,M,IS,2014-01-01,45
PC,M,IS,2015-01-01,46
PC,M,IS,2016-01-01,
PC,M,IS,2017-01-01,
PC,M,IT,2007-01-01,33
PC,M,IT,2008-01-01,30
PC,M,IT,2009-01-01,28
PC,M,IT,2010-01-01,26
PC,M,IT,2011-01-01,24
PC,M,IT,2012-01-01,22
PC,M,IT,2013-01-01,21
PC,M,IT,2014-01-01,20
PC,M,IT,2015-01-01,21
PC,M,IT,2016-01-01,22
PC,M,IT,2017-01-01,18
PC,M,LT,2007-01-01,43
PC,M,LT,2008-01-01,56
PC,M,LT,2009-01-01,54
PC,M,LT,2010-01-01,55
PC,M,LT,2011-01-01,53
PC,M,LT,2012-01-01,41
PC,M,LT,2013-01-01,41
PC,M,LT,2014-01-01,34
PC,M,LT,2015-01-01,42
PC,M,LT,2016-01-01,
PC,M,LT,2017-01-01,
PC,M,LU,2007-01-01,35
PC,M,LU,2008-01-01,36
PC,M,LU,2009-01-01,37
PC,M,LU,2010-01-01,35
PC,M,LU,2011-01-01,32
PC,M,LU,2012-01-01,28
PC,M,LU,2013-01-01,31
PC,M,LU,2014-01-01,29
PC,M,LU,2015-01-01,29
PC,M,LU,2016-01-01,25
PC,M,LU,2017-01-01,26
PC,M,LV,2007-01-01,45
PC,M,LV,2008-01-01,46
PC,M,LV,2009-01-01,41
PC,M,LV,2010-01-01,38
PC,M,LV,2011-01-01,35
PC,M,LV,2012-01-01,35
PC,M,LV,2013-01-01,41
PC,M,LV,2014-01-01,48
PC,M,LV,2015-01-01,
PC,M,LV,2016-01-01,
PC,M,LV,2017-01-01,
PC,M,MK,2007-01-01,
PC,M,MK,2008-01-01,
PC,M,MK,2009-01-01,
PC,M,MK,2010-01-01,
PC,M,MK,2011-01-01,
PC,M,MK,2012-01-01,
PC,M,MK,2013-01-01,
PC,M,MK,2014-01-01,62
PC,M,MK,2015-01-01,57
PC,M,MK,2016-01-01,
PC,M,MK,2017-01-01,
PC,M,MT,2007-01-01,77
PC,M,MT,2008-01-01,71
PC,M,MT,2009-01-01,71
PC,M,MT,2010-01-01,49
PC,M,MT,2011-01-01,48
PC,M,MT,2012-01-01,
PC,M,MT,2013-01-01,45
PC,M,MT,2014-01-01,19
PC,M,MT,2015-01-01,15
PC,M,MT,2016-01-01,
PC,M,MT,2017-01-01,
PC,M,NL,2007-01-01,22
PC,M,NL,2008-01-01,23
PC,M,NL,2009-01-01,24
PC,M,NL,2010-01-01,23
PC,M,NL,2011-01-01,21
PC,M,NL,2012-01-01,18
PC,M,NL,2013-01-01,16
PC,M,NL,2014-01-01,18
PC,M,NL,2015-01-01,24
PC,M,NL,2016-01-01,33
PC,M,NL,2017-01-01,39
PC,M,NO,2007-01-01,46
PC,M,NO,2008-01-01,45
PC,M,NO,2009-01-01,50
PC,M,NO,2010-01-01,51
PC,M,NO,2011-01-01,47
PC,M,NO,2012-01-01,44
PC,M,NO,2013-01-01,42
PC,M,NO,2014-01-01,44
PC,M,NO,2015-01-01,44
PC,M,NO,2016-01-01,45
PC,M,NO,2017-01-01,50
PC,M,PL,2007-01-01,27
PC,M,PL,2008-01-01,29
PC,M,PL,2009-01-01,29
PC,M,PL,2010-01-01,28
PC,M,PL,2011-01-01,25
PC,M,PL,2012-01-01,22
PC,M,PL,2013-01-01,18
PC,M,PL,2014-01-01,18
PC,M,PL,2015-01-01,19
PC,M,PL,2016-01-01,23
PC,M,PL,2017-01-01,27
PC,M,PT,2007-01-01,18
PC,M,PT,2008-01-01,26
PC,M,PT,2009-01-01,25
PC,M,PT,2010-01-01,30
PC,M,PT,2011-01-01,28
PC,M,PT,2012-01-01,28
PC,M,PT,2013-01-01,24
PC,M,PT,2014-01-01,24
PC,M,PT,2015-01-01,26
PC,M,PT,2016-01-01,29
PC,M,PT,2017-01-01,33
PC,M,RO,2007-01-01,
PC,M,RO,2008-01-01,55
PC,M,RO,2009-01-01,53
PC,M,RO,2010-01-01,56
PC,M,RO,2011-01-01,55
PC,M,RO,2012-01-01,56
PC,M,RO,2013-01-01,54
PC,M,RO,2014-01-01,57
PC,M,RO,2015-01-01,61
PC,M,RO,2016-01-01,63
PC,M,RO,2017-01-01,62
PC,M,RS,2007-01-01,
PC,M,RS,2008-01-01,
PC,M,RS,2009-01-01,
PC,M,RS,2010-01-01,
PC,M,RS,2011-01-01,
PC,M,RS,2012-01-01,
PC,M,RS,2013-01-01,
PC,M,RS,2014-01-01,27
PC,M,RS,2015-01-01,27
PC,M,RS,2016-01-01,
PC,M,RS,2017-01-01,
