unit,icha11_hf,geotime,date,value
PC_CHE,HF3,HU,2011-01-01,28
PC_CHE,HF3,HU,2012-01-01,29
PC_CHE,HF3,HU,2013-01-01,28
PC_CHE,HF3,HU,2014-01-01,28
PC_CHE,HF3,HU,2015-01-01,28
PC_CHE,HF3,HU,2016-01-01,29
PC_CHE,HF3,IE,2005-01-01,
PC_CHE,HF3,IE,2006-01-01,
PC_CHE,HF3,IE,2007-01-01,
PC_CHE,HF3,IE,2008-01-01,
PC_CHE,HF3,IE,2009-01-01,
PC_CHE,HF3,IE,2010-01-01,
PC_CHE,HF3,IE,2011-01-01,13
PC_CHE,HF3,IE,2012-01-01,13
PC_CHE,HF3,IE,2013-01-01,14
PC_CHE,HF3,IE,2014-01-01,14
PC_CHE,HF3,IE,2015-01-01,13
PC_CHE,HF3,IE,2016-01-01,12
PC_CHE,HF3,IS,2005-01-01,
PC_CHE,HF3,IS,2006-01-01,
PC_CHE,HF3,IS,2007-01-01,
PC_CHE,HF3,IS,2008-01-01,
PC_CHE,HF3,IS,2009-01-01,
PC_CHE,HF3,IS,2010-01-01,
PC_CHE,HF3,IS,2011-01-01,17
PC_CHE,HF3,IS,2012-01-01,17
PC_CHE,HF3,IS,2013-01-01,17
PC_CHE,HF3,IS,2014-01-01,17
PC_CHE,HF3,IS,2015-01-01,17
PC_CHE,HF3,IS,2016-01-01,
PC_CHE,HF3,IT,2005-01-01,
PC_CHE,HF3,IT,2006-01-01,
PC_CHE,HF3,IT,2007-01-01,
PC_CHE,HF3,IT,2008-01-01,
PC_CHE,HF3,IT,2009-01-01,
PC_CHE,HF3,IT,2010-01-01,
PC_CHE,HF3,IT,2011-01-01,
PC_CHE,HF3,IT,2012-01-01,21
PC_CHE,HF3,IT,2013-01-01,21
PC_CHE,HF3,IT,2014-01-01,22
PC_CHE,HF3,IT,2015-01-01,23
PC_CHE,HF3,IT,2016-01-01,23
PC_CHE,HF3,LI,2005-01-01,
PC_CHE,HF3,LI,2006-01-01,
PC_CHE,HF3,LI,2007-01-01,
PC_CHE,HF3,LI,2008-01-01,
PC_CHE,HF3,LI,2009-01-01,
PC_CHE,HF3,LI,2010-01-01,
PC_CHE,HF3,LI,2011-01-01,
PC_CHE,HF3,LI,2012-01-01,
