currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time,date,value
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,1996-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,1996-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,1996-07-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,1996-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,1997-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,1997-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,1997-07-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,1997-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,1998-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,1998-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,1998-07-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,1998-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,1999-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,1999-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,1999-07-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,1999-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2000-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2000-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2000-07-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2000-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2001-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2001-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2001-07-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2001-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2002-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2002-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2002-07-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2002-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2003-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2003-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2003-07-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2003-10-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2004-01-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2004-04-01,: 
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,2004-07-01,: 
