duration,sex,age,unit,geotime,date,value
M0-11,T,Y20-64,PC,EA19,2014-01-01,12
M0-11,T,Y20-64,PC,EA19,2015-01-01,12
M0-11,T,Y20-64,PC,EA19,2016-01-01,13
M0-11,T,Y20-64,PC,EA19,2017-01-01,13
M0-11,T,Y20-64,PC,EE,2005-01-01,15
M0-11,T,Y20-64,PC,EE,2006-01-01,15
M0-11,T,Y20-64,PC,EE,2007-01-01,14
M0-11,T,Y20-64,PC,EE,2008-01-01,13
M0-11,T,Y20-64,PC,EE,2009-01-01,13
M0-11,T,Y20-64,PC,EE,2010-01-01,15
M0-11,T,Y20-64,PC,EE,2011-01-01,17
M0-11,T,Y20-64,PC,EE,2012-01-01,16
M0-11,T,Y20-64,PC,EE,2013-01-01,15
M0-11,T,Y20-64,PC,EE,2014-01-01,15
M0-11,T,Y20-64,PC,EE,2015-01-01,14
M0-11,T,Y20-64,PC,EE,2016-01-01,15
M0-11,T,Y20-64,PC,EE,2017-01-01,16
M0-11,T,Y20-64,PC,EL,2005-01-01,7
M0-11,T,Y20-64,PC,EL,2006-01-01,8
M0-11,T,Y20-64,PC,EL,2007-01-01,8
M0-11,T,Y20-64,PC,EL,2008-01-01,8
M0-11,T,Y20-64,PC,EL,2009-01-01,8
M0-11,T,Y20-64,PC,EL,2010-01-01,7
M0-11,T,Y20-64,PC,EL,2011-01-01,6
M0-11,T,Y20-64,PC,EL,2012-01-01,6
M0-11,T,Y20-64,PC,EL,2013-01-01,8
M0-11,T,Y20-64,PC,EL,2014-01-01,9
M0-11,T,Y20-64,PC,EL,2015-01-01,10
M0-11,T,Y20-64,PC,EL,2016-01-01,9
M0-11,T,Y20-64,PC,EL,2017-01-01,9
M0-11,T,Y20-64,PC,ES,2005-01-01,20
M0-11,T,Y20-64,PC,ES,2006-01-01,21
M0-11,T,Y20-64,PC,ES,2007-01-01,20
M0-11,T,Y20-64,PC,ES,2008-01-01,19
M0-11,T,Y20-64,PC,ES,2009-01-01,15
M0-11,T,Y20-64,PC,ES,2010-01-01,15
M0-11,T,Y20-64,PC,ES,2011-01-01,14
M0-11,T,Y20-64,PC,ES,2012-01-01,13
M0-11,T,Y20-64,PC,ES,2013-01-01,14
M0-11,T,Y20-64,PC,ES,2014-01-01,15
M0-11,T,Y20-64,PC,ES,2015-01-01,16
M0-11,T,Y20-64,PC,ES,2016-01-01,16
M0-11,T,Y20-64,PC,ES,2017-01-01,17
M0-11,T,Y20-64,PC,EU27,2005-01-01,13
