currency,partner,sector10,sectpart,stk_flow,bop_item,geo\time,date,value
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,1999-01-01,889205.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2000-01-01,1070336.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2001-01-01,1107199.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2002-01-01,1029489.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2003-01-01,1094076.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2004-01-01,1230802.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2005-01-01,1540998.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2006-01-01,1720860.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2007-01-01,1783037.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2008-01-01,1544271.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2009-01-01,1740848.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2010-01-01,1912652.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2011-01-01,1839671.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2012-01-01,2091965.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2013-01-01,2235963.0
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2014-01-01,2533351.0
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2015-01-01,2668887.0
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2016-01-01,2824008.0
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,2017-01-01,2934170.0
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DK,1995-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DK,1996-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DK,1997-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DK,1998-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DK,1999-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DK,2000-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DK,2001-01-01,: 
