age,sex,unit,geotime,date,value
Y_GE15,M,PC_POP,NL,2017-01-01,
Y_GE15,M,PC_POP,PL,2007-01-01,40
Y_GE15,M,PC_POP,PL,2010-01-01,38
Y_GE15,M,PC_POP,PL,2012-01-01,38
Y_GE15,M,PC_POP,PL,2015-01-01,
Y_GE15,M,PC_POP,PL,2017-01-01,
Y_GE15,M,PC_POP,PT,2007-01-01,35
Y_GE15,M,PC_POP,PT,2010-01-01,30
Y_GE15,M,PC_POP,PT,2012-01-01,32
Y_GE15,M,PC_POP,PT,2015-01-01,
Y_GE15,M,PC_POP,PT,2017-01-01,
Y_GE15,M,PC_POP,RO,2007-01-01,42
Y_GE15,M,PC_POP,RO,2010-01-01,40
Y_GE15,M,PC_POP,RO,2012-01-01,39
Y_GE15,M,PC_POP,RO,2015-01-01,
Y_GE15,M,PC_POP,RO,2017-01-01,
Y_GE15,M,PC_POP,SE,2007-01-01,15
Y_GE15,M,PC_POP,SE,2010-01-01,12
Y_GE15,M,PC_POP,SE,2012-01-01,12
Y_GE15,M,PC_POP,SE,2015-01-01,
Y_GE15,M,PC_POP,SE,2017-01-01,
Y_GE15,M,PC_POP,SI,2007-01-01,25
Y_GE15,M,PC_POP,SI,2010-01-01,32
Y_GE15,M,PC_POP,SI,2012-01-01,30
Y_GE15,M,PC_POP,SI,2015-01-01,
Y_GE15,M,PC_POP,SI,2017-01-01,
Y_GE15,M,PC_POP,SK,2007-01-01,32
Y_GE15,M,PC_POP,SK,2010-01-01,35
Y_GE15,M,PC_POP,SK,2012-01-01,30
Y_GE15,M,PC_POP,SK,2015-01-01,
Y_GE15,M,PC_POP,SK,2017-01-01,
Y_GE15,M,PC_POP,UK,2007-01-01,33
Y_GE15,M,PC_POP,UK,2010-01-01,32
Y_GE15,M,PC_POP,UK,2012-01-01,28
Y_GE15,M,PC_POP,UK,2015-01-01,
Y_GE15,M,PC_POP,UK,2017-01-01,
Y_GE15,T,PC_POP,AT,2007-01-01,31
Y_GE15,T,PC_POP,AT,2010-01-01,34
Y_GE15,T,PC_POP,AT,2012-01-01,33
Y_GE15,T,PC_POP,AT,2015-01-01,
Y_GE15,T,PC_POP,AT,2017-01-01,
Y_GE15,T,PC_POP,BE,2007-01-01,26
Y_GE15,T,PC_POP,BE,2010-01-01,30
Y_GE15,T,PC_POP,BE,2012-01-01,27
Y_GE15,T,PC_POP,BE,2015-01-01,
Y_GE15,T,PC_POP,BE,2017-01-01,
Y_GE15,T,PC_POP,BG,2007-01-01,36
Y_GE15,T,PC_POP,BG,2010-01-01,39
Y_GE15,T,PC_POP,BG,2012-01-01,36
Y_GE15,T,PC_POP,BG,2015-01-01,
Y_GE15,T,PC_POP,BG,2017-01-01,
Y_GE15,T,PC_POP,CY,2007-01-01,31
Y_GE15,T,PC_POP,CY,2010-01-01,32
Y_GE15,T,PC_POP,CY,2012-01-01,30
Y_GE15,T,PC_POP,CY,2015-01-01,
Y_GE15,T,PC_POP,CY,2017-01-01,
Y_GE15,T,PC_POP,CZ,2007-01-01,29
Y_GE15,T,PC_POP,CZ,2010-01-01,26
Y_GE15,T,PC_POP,CZ,2012-01-01,29
Y_GE15,T,PC_POP,CZ,2015-01-01,
Y_GE15,T,PC_POP,CZ,2017-01-01,
Y_GE15,T,PC_POP,DE,2007-01-01,30
Y_GE15,T,PC_POP,DE,2010-01-01,25
Y_GE15,T,PC_POP,DE,2012-01-01,26
Y_GE15,T,PC_POP,DE,2015-01-01,
Y_GE15,T,PC_POP,DE,2017-01-01,
Y_GE15,T,PC_POP,DK,2007-01-01,32
Y_GE15,T,PC_POP,DK,2010-01-01,29
Y_GE15,T,PC_POP,DK,2012-01-01,26
Y_GE15,T,PC_POP,DK,2015-01-01,
Y_GE15,T,PC_POP,DK,2017-01-01,
Y_GE15,T,PC_POP,EE,2007-01-01,33
Y_GE15,T,PC_POP,EE,2010-01-01,32
Y_GE15,T,PC_POP,EE,2012-01-01,26
Y_GE15,T,PC_POP,EE,2015-01-01,
Y_GE15,T,PC_POP,EE,2017-01-01,
Y_GE15,T,PC_POP,EL,2007-01-01,42
Y_GE15,T,PC_POP,EL,2010-01-01,42
Y_GE15,T,PC_POP,EL,2012-01-01,40
Y_GE15,T,PC_POP,EL,2015-01-01,
Y_GE15,T,PC_POP,EL,2017-01-01,
Y_GE15,T,PC_POP,ES,2007-01-01,34
Y_GE15,T,PC_POP,ES,2010-01-01,35
Y_GE15,T,PC_POP,ES,2012-01-01,33
Y_GE15,T,PC_POP,ES,2015-01-01,
Y_GE15,T,PC_POP,ES,2017-01-01,
Y_GE15,T,PC_POP,EU,2007-01-01,32
Y_GE15,T,PC_POP,EU,2010-01-01,29
Y_GE15,T,PC_POP,EU,2012-01-01,28
Y_GE15,T,PC_POP,EU,2015-01-01,
Y_GE15,T,PC_POP,EU,2017-01-01,
Y_GE15,T,PC_POP,EU28,2007-01-01,
Y_GE15,T,PC_POP,EU28,2010-01-01,
Y_GE15,T,PC_POP,EU28,2012-01-01,
Y_GE15,T,PC_POP,EU28,2015-01-01,
Y_GE15,T,PC_POP,EU28,2017-01-01,
Y_GE15,T,PC_POP,FI,2007-01-01,26
Y_GE15,T,PC_POP,FI,2010-01-01,21
Y_GE15,T,PC_POP,FI,2012-01-01,25
Y_GE15,T,PC_POP,FI,2015-01-01,
Y_GE15,T,PC_POP,FI,2017-01-01,
Y_GE15,T,PC_POP,FR,2007-01-01,33
Y_GE15,T,PC_POP,FR,2010-01-01,33
Y_GE15,T,PC_POP,FR,2012-01-01,28
Y_GE15,T,PC_POP,FR,2015-01-01,
Y_GE15,T,PC_POP,FR,2017-01-01,
Y_GE15,T,PC_POP,HR,2007-01-01,33
Y_GE15,T,PC_POP,HR,2010-01-01,33
Y_GE15,T,PC_POP,HR,2012-01-01,
Y_GE15,T,PC_POP,HR,2015-01-01,
Y_GE15,T,PC_POP,HR,2017-01-01,
Y_GE15,T,PC_POP,HU,2007-01-01,36
Y_GE15,T,PC_POP,HU,2010-01-01,38
Y_GE15,T,PC_POP,HU,2012-01-01,32
Y_GE15,T,PC_POP,HU,2015-01-01,
Y_GE15,T,PC_POP,HU,2017-01-01,
Y_GE15,T,PC_POP,IE,2007-01-01,29
Y_GE15,T,PC_POP,IE,2010-01-01,31
