currency,bop_item,sector10,sectpart,s_adj,stk_flow,partner,geotime,date,value
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BE,2018-01-01,1196
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BE,2018-04-01,2386
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BG,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BG,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BG,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BG,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BG,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BG,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BG,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BG,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BG,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BG,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BG,2018-01-01,128
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BG,2018-04-01,308
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CH,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CH,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CH,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CH,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CH,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CH,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CH,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CH,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CH,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CH,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CH,2018-01-01,14076
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CH,2018-04-01,19988
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CY,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CY,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CY,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CY,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CY,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CY,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CY,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CY,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CY,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CY,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CY,2018-01-01,120
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CY,2018-04-01,223
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CZ,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CZ,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CZ,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CZ,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CZ,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CZ,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CZ,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CZ,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CZ,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CZ,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CZ,2018-01-01,2249
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,CZ,2018-04-01,282
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DE,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DE,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DE,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DE,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DE,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DE,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DE,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DE,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DE,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,DE,2017-10-01,
