age,sex,reason,unit,quantile,geotime,date,value
Y_GE16,F,TOOEFW,PC,TOTAL,FI,2012-01-01,5.6
Y_GE16,F,TOOEFW,PC,TOTAL,FI,2013-01-01,5.4
Y_GE16,F,TOOEFW,PC,TOTAL,FI,2014-01-01,4.0
Y_GE16,F,TOOEFW,PC,TOTAL,FI,2015-01-01,5.0
Y_GE16,F,TOOEFW,PC,TOTAL,FI,2016-01-01,5.0
Y_GE16,F,TOOEFW,PC,TOTAL,FI,2017-01-01,4.8
Y_GE16,F,TOOEFW,PC,TOTAL,FR,2008-01-01,2.3
Y_GE16,F,TOOEFW,PC,TOTAL,FR,2009-01-01,2.3
Y_GE16,F,TOOEFW,PC,TOTAL,FR,2010-01-01,2.3
Y_GE16,F,TOOEFW,PC,TOTAL,FR,2011-01-01,2.8
Y_GE16,F,TOOEFW,PC,TOTAL,FR,2012-01-01,2.9
Y_GE16,F,TOOEFW,PC,TOTAL,FR,2013-01-01,3.3
Y_GE16,F,TOOEFW,PC,TOTAL,FR,2014-01-01,3.4
Y_GE16,F,TOOEFW,PC,TOTAL,FR,2015-01-01,1.4
Y_GE16,F,TOOEFW,PC,TOTAL,FR,2016-01-01,1.6
Y_GE16,F,TOOEFW,PC,TOTAL,FR,2017-01-01,1.0
Y_GE16,F,TOOEFW,PC,TOTAL,HR,2008-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,HR,2009-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,HR,2010-01-01,6.6
Y_GE16,F,TOOEFW,PC,TOTAL,HR,2011-01-01,5.2
Y_GE16,F,TOOEFW,PC,TOTAL,HR,2012-01-01,4.0
Y_GE16,F,TOOEFW,PC,TOTAL,HR,2013-01-01,3.8
Y_GE16,F,TOOEFW,PC,TOTAL,HR,2014-01-01,4.0
Y_GE16,F,TOOEFW,PC,TOTAL,HR,2015-01-01,2.2
Y_GE16,F,TOOEFW,PC,TOTAL,HR,2016-01-01,1.9
Y_GE16,F,TOOEFW,PC,TOTAL,HR,2017-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,HU,2008-01-01,3.8
Y_GE16,F,TOOEFW,PC,TOTAL,HU,2009-01-01,2.3
Y_GE16,F,TOOEFW,PC,TOTAL,HU,2010-01-01,2.0
Y_GE16,F,TOOEFW,PC,TOTAL,HU,2011-01-01,2.9
Y_GE16,F,TOOEFW,PC,TOTAL,HU,2012-01-01,3.4
Y_GE16,F,TOOEFW,PC,TOTAL,HU,2013-01-01,2.8
Y_GE16,F,TOOEFW,PC,TOTAL,HU,2014-01-01,2.9
Y_GE16,F,TOOEFW,PC,TOTAL,HU,2015-01-01,2.9
Y_GE16,F,TOOEFW,PC,TOTAL,HU,2016-01-01,1.6
Y_GE16,F,TOOEFW,PC,TOTAL,HU,2017-01-01,1.2
Y_GE16,F,TOOEFW,PC,TOTAL,IE,2008-01-01,2.2
Y_GE16,F,TOOEFW,PC,TOTAL,IE,2009-01-01,2.3
Y_GE16,F,TOOEFW,PC,TOTAL,IE,2010-01-01,2.5
Y_GE16,F,TOOEFW,PC,TOTAL,IE,2011-01-01,2.5
Y_GE16,F,TOOEFW,PC,TOTAL,IE,2012-01-01,3.7
Y_GE16,F,TOOEFW,PC,TOTAL,IE,2013-01-01,3.9
Y_GE16,F,TOOEFW,PC,TOTAL,IE,2014-01-01,4.3
Y_GE16,F,TOOEFW,PC,TOTAL,IE,2015-01-01,3.2
Y_GE16,F,TOOEFW,PC,TOTAL,IE,2016-01-01,2.7
Y_GE16,F,TOOEFW,PC,TOTAL,IE,2017-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,IS,2008-01-01,1.9
Y_GE16,F,TOOEFW,PC,TOTAL,IS,2009-01-01,2.4
Y_GE16,F,TOOEFW,PC,TOTAL,IS,2010-01-01,3.8
Y_GE16,F,TOOEFW,PC,TOTAL,IS,2011-01-01,4.2
Y_GE16,F,TOOEFW,PC,TOTAL,IS,2012-01-01,4.9
Y_GE16,F,TOOEFW,PC,TOTAL,IS,2013-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,IS,2014-01-01,5.4
Y_GE16,F,TOOEFW,PC,TOTAL,IS,2015-01-01,5.4
Y_GE16,F,TOOEFW,PC,TOTAL,IS,2016-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,IS,2017-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,IT,2008-01-01,6.2
Y_GE16,F,TOOEFW,PC,TOTAL,IT,2009-01-01,6.3
Y_GE16,F,TOOEFW,PC,TOTAL,IT,2010-01-01,6.0
Y_GE16,F,TOOEFW,PC,TOTAL,IT,2011-01-01,6.8
Y_GE16,F,TOOEFW,PC,TOTAL,IT,2012-01-01,6.4
Y_GE16,F,TOOEFW,PC,TOTAL,IT,2013-01-01,7.7
Y_GE16,F,TOOEFW,PC,TOTAL,IT,2014-01-01,7.6
Y_GE16,F,TOOEFW,PC,TOTAL,IT,2015-01-01,7.8
Y_GE16,F,TOOEFW,PC,TOTAL,IT,2016-01-01,6.0
Y_GE16,F,TOOEFW,PC,TOTAL,IT,2017-01-01,2.0
Y_GE16,F,TOOEFW,PC,TOTAL,LT,2008-01-01,6.7
Y_GE16,F,TOOEFW,PC,TOTAL,LT,2009-01-01,3.9
Y_GE16,F,TOOEFW,PC,TOTAL,LT,2010-01-01,2.9
Y_GE16,F,TOOEFW,PC,TOTAL,LT,2011-01-01,3.8
Y_GE16,F,TOOEFW,PC,TOTAL,LT,2012-01-01,2.8
Y_GE16,F,TOOEFW,PC,TOTAL,LT,2013-01-01,4.1
Y_GE16,F,TOOEFW,PC,TOTAL,LT,2014-01-01,4.7
Y_GE16,F,TOOEFW,PC,TOTAL,LT,2015-01-01,3.4
Y_GE16,F,TOOEFW,PC,TOTAL,LT,2016-01-01,3.9
Y_GE16,F,TOOEFW,PC,TOTAL,LT,2017-01-01,1.7
Y_GE16,F,TOOEFW,PC,TOTAL,LU,2008-01-01,0.7
Y_GE16,F,TOOEFW,PC,TOTAL,LU,2009-01-01,0.6
Y_GE16,F,TOOEFW,PC,TOTAL,LU,2010-01-01,0.5
Y_GE16,F,TOOEFW,PC,TOTAL,LU,2011-01-01,0.6
Y_GE16,F,TOOEFW,PC,TOTAL,LU,2012-01-01,0.7
Y_GE16,F,TOOEFW,PC,TOTAL,LU,2013-01-01,1.0
Y_GE16,F,TOOEFW,PC,TOTAL,LU,2014-01-01,0.8
Y_GE16,F,TOOEFW,PC,TOTAL,LU,2015-01-01,1.1
Y_GE16,F,TOOEFW,PC,TOTAL,LU,2016-01-01,0.4
Y_GE16,F,TOOEFW,PC,TOTAL,LU,2017-01-01,0.5
Y_GE16,F,TOOEFW,PC,TOTAL,LV,2008-01-01,11.6
Y_GE16,F,TOOEFW,PC,TOTAL,LV,2009-01-01,11.3
Y_GE16,F,TOOEFW,PC,TOTAL,LV,2010-01-01,17.2
Y_GE16,F,TOOEFW,PC,TOTAL,LV,2011-01-01,17.9
Y_GE16,F,TOOEFW,PC,TOTAL,LV,2012-01-01,13.5
Y_GE16,F,TOOEFW,PC,TOTAL,LV,2013-01-01,15.5
Y_GE16,F,TOOEFW,PC,TOTAL,LV,2014-01-01,13.9
Y_GE16,F,TOOEFW,PC,TOTAL,LV,2015-01-01,9.4
Y_GE16,F,TOOEFW,PC,TOTAL,LV,2016-01-01,9.2
Y_GE16,F,TOOEFW,PC,TOTAL,LV,2017-01-01,6.9
Y_GE16,F,TOOEFW,PC,TOTAL,ME,2008-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,ME,2009-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,ME,2010-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,ME,2011-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,ME,2012-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,ME,2013-01-01,13.4
Y_GE16,F,TOOEFW,PC,TOTAL,ME,2014-01-01,10.0
Y_GE16,F,TOOEFW,PC,TOTAL,ME,2015-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,ME,2016-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,ME,2017-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,MK,2008-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,MK,2009-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,MK,2010-01-01,12.7
Y_GE16,F,TOOEFW,PC,TOTAL,MK,2011-01-01,9.5
Y_GE16,F,TOOEFW,PC,TOTAL,MK,2012-01-01,8.6
Y_GE16,F,TOOEFW,PC,TOTAL,MK,2013-01-01,7.6
Y_GE16,F,TOOEFW,PC,TOTAL,MK,2014-01-01,5.1
Y_GE16,F,TOOEFW,PC,TOTAL,MK,2015-01-01,3.2
Y_GE16,F,TOOEFW,PC,TOTAL,MK,2016-01-01,3.2
Y_GE16,F,TOOEFW,PC,TOTAL,MK,2017-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,MT,2008-01-01,0.9
Y_GE16,F,TOOEFW,PC,TOTAL,MT,2009-01-01,1.5
Y_GE16,F,TOOEFW,PC,TOTAL,MT,2010-01-01,2.1
Y_GE16,F,TOOEFW,PC,TOTAL,MT,2011-01-01,1.2
Y_GE16,F,TOOEFW,PC,TOTAL,MT,2012-01-01,1.4
Y_GE16,F,TOOEFW,PC,TOTAL,MT,2013-01-01,1.1
Y_GE16,F,TOOEFW,PC,TOTAL,MT,2014-01-01,1.3
Y_GE16,F,TOOEFW,PC,TOTAL,MT,2015-01-01,0.8
Y_GE16,F,TOOEFW,PC,TOTAL,MT,2016-01-01,1.3
Y_GE16,F,TOOEFW,PC,TOTAL,MT,2017-01-01,0.3
Y_GE16,F,TOOEFW,PC,TOTAL,NL,2008-01-01,0.4
Y_GE16,F,TOOEFW,PC,TOTAL,NL,2009-01-01,0.2
Y_GE16,F,TOOEFW,PC,TOTAL,NL,2010-01-01,0.4
Y_GE16,F,TOOEFW,PC,TOTAL,NL,2011-01-01,0.5
Y_GE16,F,TOOEFW,PC,TOTAL,NL,2012-01-01,0.6
Y_GE16,F,TOOEFW,PC,TOTAL,NL,2013-01-01,0.6
Y_GE16,F,TOOEFW,PC,TOTAL,NL,2014-01-01,0.6
Y_GE16,F,TOOEFW,PC,TOTAL,NL,2015-01-01,0.0
Y_GE16,F,TOOEFW,PC,TOTAL,NL,2016-01-01,0.2
