age,unit,sex,geotime,date,value
TOTAL,AVG_3Y,T,IE,2011-01-01,14
TOTAL,AVG_3Y,T,IE,2012-01-01,15
TOTAL,AVG_3Y,T,IE,2013-01-01,14
TOTAL,AVG_3Y,T,IE,2014-01-01,
TOTAL,AVG_3Y,T,IE,2015-01-01,
TOTAL,AVG_3Y,T,IE,2016-01-01,
TOTAL,AVG_3Y,T,IE,2017-01-01,8
TOTAL,AVG_3Y,T,IT,1995-01-01,
TOTAL,AVG_3Y,T,IT,1996-01-01,
TOTAL,AVG_3Y,T,IT,1997-01-01,11
TOTAL,AVG_3Y,T,IT,1998-01-01,11
TOTAL,AVG_3Y,T,IT,1999-01-01,11
TOTAL,AVG_3Y,T,IT,2000-01-01,10
TOTAL,AVG_3Y,T,IT,2001-01-01,10
TOTAL,AVG_3Y,T,IT,2002-01-01,9
TOTAL,AVG_3Y,T,IT,2003-01-01,8
TOTAL,AVG_3Y,T,IT,2004-01-01,8
TOTAL,AVG_3Y,T,IT,2005-01-01,8
TOTAL,AVG_3Y,T,IT,2006-01-01,7
TOTAL,AVG_3Y,T,IT,2007-01-01,6
TOTAL,AVG_3Y,T,IT,2008-01-01,6
TOTAL,AVG_3Y,T,IT,2009-01-01,6
TOTAL,AVG_3Y,T,IT,2010-01-01,7
TOTAL,AVG_3Y,T,IT,2011-01-01,8
TOTAL,AVG_3Y,T,IT,2012-01-01,9
TOTAL,AVG_3Y,T,IT,2013-01-01,10
TOTAL,AVG_3Y,T,IT,2014-01-01,
TOTAL,AVG_3Y,T,IT,2015-01-01,
TOTAL,AVG_3Y,T,IT,2016-01-01,
TOTAL,AVG_3Y,T,IT,2017-01-01,11
TOTAL,AVG_3Y,T,LT,1995-01-01,
TOTAL,AVG_3Y,T,LT,1996-01-01,
TOTAL,AVG_3Y,T,LT,1997-01-01,
TOTAL,AVG_3Y,T,LT,1998-01-01,
TOTAL,AVG_3Y,T,LT,1999-01-01,
TOTAL,AVG_3Y,T,LT,2000-01-01,14
TOTAL,AVG_3Y,T,LT,2001-01-01,16
TOTAL,AVG_3Y,T,LT,2002-01-01,15
TOTAL,AVG_3Y,T,LT,2003-01-01,14
TOTAL,AVG_3Y,T,LT,2004-01-01,12
TOTAL,AVG_3Y,T,LT,2005-01-01,10
TOTAL,AVG_3Y,T,LT,2006-01-01,8
TOTAL,AVG_3Y,T,LT,2007-01-01,6
TOTAL,AVG_3Y,T,LT,2008-01-01,5
TOTAL,AVG_3Y,T,LT,2009-01-01,8
TOTAL,AVG_3Y,T,LT,2010-01-01,12
TOTAL,AVG_3Y,T,LT,2011-01-01,15
TOTAL,AVG_3Y,T,LT,2012-01-01,15
TOTAL,AVG_3Y,T,LT,2013-01-01,13
TOTAL,AVG_3Y,T,LT,2014-01-01,
TOTAL,AVG_3Y,T,LT,2015-01-01,
TOTAL,AVG_3Y,T,LT,2016-01-01,
TOTAL,AVG_3Y,T,LT,2017-01-01,8
TOTAL,AVG_3Y,T,LU,1995-01-01,
TOTAL,AVG_3Y,T,LU,1996-01-01,
TOTAL,AVG_3Y,T,LU,1997-01-01,2
TOTAL,AVG_3Y,T,LU,1998-01-01,2
TOTAL,AVG_3Y,T,LU,1999-01-01,2
TOTAL,AVG_3Y,T,LU,2000-01-01,2
TOTAL,AVG_3Y,T,LU,2001-01-01,2
TOTAL,AVG_3Y,T,LU,2002-01-01,2
TOTAL,AVG_3Y,T,LU,2003-01-01,2
TOTAL,AVG_3Y,T,LU,2004-01-01,3
TOTAL,AVG_3Y,T,LU,2005-01-01,4
TOTAL,AVG_3Y,T,LU,2006-01-01,4
TOTAL,AVG_3Y,T,LU,2007-01-01,4
TOTAL,AVG_3Y,T,LU,2008-01-01,4
TOTAL,AVG_3Y,T,LU,2009-01-01,4
TOTAL,AVG_3Y,T,LU,2010-01-01,4
TOTAL,AVG_3Y,T,LU,2011-01-01,4
TOTAL,AVG_3Y,T,LU,2012-01-01,4
TOTAL,AVG_3Y,T,LU,2013-01-01,5
TOTAL,AVG_3Y,T,LU,2014-01-01,
TOTAL,AVG_3Y,T,LU,2015-01-01,
TOTAL,AVG_3Y,T,LU,2016-01-01,
TOTAL,AVG_3Y,T,LU,2017-01-01,6
TOTAL,AVG_3Y,T,LV,1995-01-01,
TOTAL,AVG_3Y,T,LV,1996-01-01,
TOTAL,AVG_3Y,T,LV,1997-01-01,
TOTAL,AVG_3Y,T,LV,1998-01-01,
TOTAL,AVG_3Y,T,LV,1999-01-01,
TOTAL,AVG_3Y,T,LV,2000-01-01,
TOTAL,AVG_3Y,T,LV,2001-01-01,14
TOTAL,AVG_3Y,T,LV,2002-01-01,13
TOTAL,AVG_3Y,T,LV,2003-01-01,12
TOTAL,AVG_3Y,T,LV,2004-01-01,11
TOTAL,AVG_3Y,T,LV,2005-01-01,11
TOTAL,AVG_3Y,T,LV,2006-01-01,9
TOTAL,AVG_3Y,T,LV,2007-01-01,7
TOTAL,AVG_3Y,T,LV,2008-01-01,6
TOTAL,AVG_3Y,T,LV,2009-01-01,10
TOTAL,AVG_3Y,T,LV,2010-01-01,14
TOTAL,AVG_3Y,T,LV,2011-01-01,17
TOTAL,AVG_3Y,T,LV,2012-01-01,16
TOTAL,AVG_3Y,T,LV,2013-01-01,14
TOTAL,AVG_3Y,T,LV,2014-01-01,
TOTAL,AVG_3Y,T,LV,2015-01-01,
TOTAL,AVG_3Y,T,LV,2016-01-01,
TOTAL,AVG_3Y,T,LV,2017-01-01,9
TOTAL,AVG_3Y,T,MT,1995-01-01,
TOTAL,AVG_3Y,T,MT,1996-01-01,
TOTAL,AVG_3Y,T,MT,1997-01-01,
TOTAL,AVG_3Y,T,MT,1998-01-01,
TOTAL,AVG_3Y,T,MT,1999-01-01,
TOTAL,AVG_3Y,T,MT,2000-01-01,
TOTAL,AVG_3Y,T,MT,2001-01-01,
TOTAL,AVG_3Y,T,MT,2002-01-01,7
TOTAL,AVG_3Y,T,MT,2003-01-01,7
TOTAL,AVG_3Y,T,MT,2004-01-01,7
TOTAL,AVG_3Y,T,MT,2005-01-01,7
TOTAL,AVG_3Y,T,MT,2006-01-01,7
TOTAL,AVG_3Y,T,MT,2007-01-01,7
TOTAL,AVG_3Y,T,MT,2008-01-01,6
TOTAL,AVG_3Y,T,MT,2009-01-01,6
TOTAL,AVG_3Y,T,MT,2010-01-01,7
TOTAL,AVG_3Y,T,MT,2011-01-01,7
TOTAL,AVG_3Y,T,MT,2012-01-01,7
TOTAL,AVG_3Y,T,MT,2013-01-01,6
TOTAL,AVG_3Y,T,MT,2014-01-01,
TOTAL,AVG_3Y,T,MT,2015-01-01,
TOTAL,AVG_3Y,T,MT,2016-01-01,
TOTAL,AVG_3Y,T,MT,2017-01-01,5
TOTAL,AVG_3Y,T,NL,1995-01-01,
TOTAL,AVG_3Y,T,NL,1996-01-01,
TOTAL,AVG_3Y,T,NL,1997-01-01,7
TOTAL,AVG_3Y,T,NL,1998-01-01,6
TOTAL,AVG_3Y,T,NL,1999-01-01,5
TOTAL,AVG_3Y,T,NL,2000-01-01,4
TOTAL,AVG_3Y,T,NL,2001-01-01,3
TOTAL,AVG_3Y,T,NL,2002-01-01,3
TOTAL,AVG_3Y,T,NL,2003-01-01,3
TOTAL,AVG_3Y,T,NL,2004-01-01,4
TOTAL,AVG_3Y,T,NL,2005-01-01,5
TOTAL,AVG_3Y,T,NL,2006-01-01,5
TOTAL,AVG_3Y,T,NL,2007-01-01,5
TOTAL,AVG_3Y,T,NL,2008-01-01,4
TOTAL,AVG_3Y,T,NL,2009-01-01,4
TOTAL,AVG_3Y,T,NL,2010-01-01,4
TOTAL,AVG_3Y,T,NL,2011-01-01,4
TOTAL,AVG_3Y,T,NL,2012-01-01,5
TOTAL,AVG_3Y,T,NL,2013-01-01,6
TOTAL,AVG_3Y,T,NL,2014-01-01,
TOTAL,AVG_3Y,T,NL,2015-01-01,
TOTAL,AVG_3Y,T,NL,2016-01-01,
TOTAL,AVG_3Y,T,NL,2017-01-01,5
TOTAL,AVG_3Y,T,PL,1995-01-01,
TOTAL,AVG_3Y,T,PL,1996-01-01,
TOTAL,AVG_3Y,T,PL,1997-01-01,
TOTAL,AVG_3Y,T,PL,1998-01-01,
TOTAL,AVG_3Y,T,PL,1999-01-01,11
TOTAL,AVG_3Y,T,PL,2000-01-01,13
TOTAL,AVG_3Y,T,PL,2001-01-01,15
TOTAL,AVG_3Y,T,PL,2002-01-01,18
TOTAL,AVG_3Y,T,PL,2003-01-01,19
TOTAL,AVG_3Y,T,PL,2004-01-01,19
TOTAL,AVG_3Y,T,PL,2005-01-01,18
TOTAL,AVG_3Y,T,PL,2006-01-01,17
TOTAL,AVG_3Y,T,PL,2007-01-01,13
TOTAL,AVG_3Y,T,PL,2008-01-01,10
TOTAL,AVG_3Y,T,PL,2009-01-01,8
TOTAL,AVG_3Y,T,PL,2010-01-01,8
TOTAL,AVG_3Y,T,PL,2011-01-01,9
TOTAL,AVG_3Y,T,PL,2012-01-01,9
TOTAL,AVG_3Y,T,PL,2013-01-01,10
TOTAL,AVG_3Y,T,PL,2014-01-01,
