hhtyp,indic_il,sex,geotime,date,value
A1,R_GE65_LT65,DIFF,FR,2014-01-01,0.13
A1,R_GE65_LT65,DIFF,FR,2015-01-01,0.15
A1,R_GE65_LT65,DIFF,FR,2016-01-01,0.11
A1,R_GE65_LT65,DIFF,FR,2017-01-01,0.14
A1,R_GE65_LT65,DIFF,HR,2006-01-01,
A1,R_GE65_LT65,DIFF,HR,2007-01-01,
A1,R_GE65_LT65,DIFF,HR,2008-01-01,
A1,R_GE65_LT65,DIFF,HR,2009-01-01,
A1,R_GE65_LT65,DIFF,HR,2010-01-01,0.33
A1,R_GE65_LT65,DIFF,HR,2011-01-01,0.32
A1,R_GE65_LT65,DIFF,HR,2012-01-01,0.25
A1,R_GE65_LT65,DIFF,HR,2013-01-01,0.11
A1,R_GE65_LT65,DIFF,HR,2014-01-01,0.1
A1,R_GE65_LT65,DIFF,HR,2015-01-01,0.05
A1,R_GE65_LT65,DIFF,HR,2016-01-01,0.18
A1,R_GE65_LT65,DIFF,HR,2017-01-01,
A1,R_GE65_LT65,DIFF,HU,2006-01-01,0.24
A1,R_GE65_LT65,DIFF,HU,2007-01-01,0.3
A1,R_GE65_LT65,DIFF,HU,2008-01-01,0.25
A1,R_GE65_LT65,DIFF,HU,2009-01-01,0.09
A1,R_GE65_LT65,DIFF,HU,2010-01-01,0.13
A1,R_GE65_LT65,DIFF,HU,2011-01-01,0.04
A1,R_GE65_LT65,DIFF,HU,2012-01-01,0.09
A1,R_GE65_LT65,DIFF,HU,2013-01-01,0.11
A1,R_GE65_LT65,DIFF,HU,2014-01-01,0.02
A1,R_GE65_LT65,DIFF,HU,2015-01-01,0.13
A1,R_GE65_LT65,DIFF,HU,2016-01-01,0.07
A1,R_GE65_LT65,DIFF,HU,2017-01-01,0.02
A1,R_GE65_LT65,DIFF,IE,2006-01-01,-0.04
A1,R_GE65_LT65,DIFF,IE,2007-01-01,0.1
A1,R_GE65_LT65,DIFF,IE,2008-01-01,0.14
A1,R_GE65_LT65,DIFF,IE,2009-01-01,0.22
A1,R_GE65_LT65,DIFF,IE,2010-01-01,0.32
A1,R_GE65_LT65,DIFF,IE,2011-01-01,0.32
A1,R_GE65_LT65,DIFF,IE,2012-01-01,0.32
A1,R_GE65_LT65,DIFF,IE,2013-01-01,0.24
A1,R_GE65_LT65,DIFF,IE,2014-01-01,0.11
A1,R_GE65_LT65,DIFF,IE,2015-01-01,0.12
A1,R_GE65_LT65,DIFF,IE,2016-01-01,0.16
A1,R_GE65_LT65,DIFF,IE,2017-01-01,
A1,R_GE65_LT65,DIFF,IS,2006-01-01,-0.07
A1,R_GE65_LT65,DIFF,IS,2007-01-01,-0.05
A1,R_GE65_LT65,DIFF,IS,2008-01-01,0.02
A1,R_GE65_LT65,DIFF,IS,2009-01-01,-0.06
A1,R_GE65_LT65,DIFF,IS,2010-01-01,0.15
A1,R_GE65_LT65,DIFF,IS,2011-01-01,0.11
A1,R_GE65_LT65,DIFF,IS,2012-01-01,0.05
A1,R_GE65_LT65,DIFF,IS,2013-01-01,0.14
A1,R_GE65_LT65,DIFF,IS,2014-01-01,0.11
A1,R_GE65_LT65,DIFF,IS,2015-01-01,0.15
A1,R_GE65_LT65,DIFF,IS,2016-01-01,0.14
A1,R_GE65_LT65,DIFF,IS,2017-01-01,
A1,R_GE65_LT65,DIFF,IT,2006-01-01,0.05
A1,R_GE65_LT65,DIFF,IT,2007-01-01,0.04
A1,R_GE65_LT65,DIFF,IT,2008-01-01,0.02
A1,R_GE65_LT65,DIFF,IT,2009-01-01,0.04
A1,R_GE65_LT65,DIFF,IT,2010-01-01,0.08
A1,R_GE65_LT65,DIFF,IT,2011-01-01,0.06
A1,R_GE65_LT65,DIFF,IT,2012-01-01,0.06
A1,R_GE65_LT65,DIFF,IT,2013-01-01,0.1
A1,R_GE65_LT65,DIFF,IT,2014-01-01,0.05
A1,R_GE65_LT65,DIFF,IT,2015-01-01,0.02
A1,R_GE65_LT65,DIFF,IT,2016-01-01,0.05
A1,R_GE65_LT65,DIFF,IT,2017-01-01,0.01
A1,R_GE65_LT65,DIFF,LT,2006-01-01,0.03
A1,R_GE65_LT65,DIFF,LT,2007-01-01,0.16
A1,R_GE65_LT65,DIFF,LT,2008-01-01,0.29
A1,R_GE65_LT65,DIFF,LT,2009-01-01,0.33
A1,R_GE65_LT65,DIFF,LT,2010-01-01,0.4
A1,R_GE65_LT65,DIFF,LT,2011-01-01,0.25
A1,R_GE65_LT65,DIFF,LT,2012-01-01,0.02
A1,R_GE65_LT65,DIFF,LT,2013-01-01,0.11
A1,R_GE65_LT65,DIFF,LT,2014-01-01,0.16
A1,R_GE65_LT65,DIFF,LT,2015-01-01,0.17
A1,R_GE65_LT65,DIFF,LT,2016-01-01,0.11
A1,R_GE65_LT65,DIFF,LT,2017-01-01,0.11
A1,R_GE65_LT65,DIFF,LU,2006-01-01,0.01
A1,R_GE65_LT65,DIFF,LU,2007-01-01,-0.12
A1,R_GE65_LT65,DIFF,LU,2008-01-01,-0.1
A1,R_GE65_LT65,DIFF,LU,2009-01-01,0.04
A1,R_GE65_LT65,DIFF,LU,2010-01-01,0.07
A1,R_GE65_LT65,DIFF,LU,2011-01-01,0.16
A1,R_GE65_LT65,DIFF,LU,2012-01-01,0.24
A1,R_GE65_LT65,DIFF,LU,2013-01-01,0.32
A1,R_GE65_LT65,DIFF,LU,2014-01-01,0.16
A1,R_GE65_LT65,DIFF,LU,2015-01-01,0.24
A1,R_GE65_LT65,DIFF,LU,2016-01-01,0.11
A1,R_GE65_LT65,DIFF,LU,2017-01-01,-0.08
A1,R_GE65_LT65,DIFF,LV,2006-01-01,-0.02
A1,R_GE65_LT65,DIFF,LV,2007-01-01,-0.05
A1,R_GE65_LT65,DIFF,LV,2008-01-01,0.08
A1,R_GE65_LT65,DIFF,LV,2009-01-01,0.17
A1,R_GE65_LT65,DIFF,LV,2010-01-01,0.33
A1,R_GE65_LT65,DIFF,LV,2011-01-01,0.39
A1,R_GE65_LT65,DIFF,LV,2012-01-01,0.29
A1,R_GE65_LT65,DIFF,LV,2013-01-01,0.21
A1,R_GE65_LT65,DIFF,LV,2014-01-01,0.11
A1,R_GE65_LT65,DIFF,LV,2015-01-01,-0.02
A1,R_GE65_LT65,DIFF,LV,2016-01-01,-0.06
A1,R_GE65_LT65,DIFF,LV,2017-01-01,0.04
A1,R_GE65_LT65,DIFF,MK,2006-01-01,
A1,R_GE65_LT65,DIFF,MK,2007-01-01,
A1,R_GE65_LT65,DIFF,MK,2008-01-01,
A1,R_GE65_LT65,DIFF,MK,2009-01-01,
A1,R_GE65_LT65,DIFF,MK,2010-01-01,
A1,R_GE65_LT65,DIFF,MK,2011-01-01,
A1,R_GE65_LT65,DIFF,MK,2012-01-01,0.03
A1,R_GE65_LT65,DIFF,MK,2013-01-01,-0.2
A1,R_GE65_LT65,DIFF,MK,2014-01-01,0.34
A1,R_GE65_LT65,DIFF,MK,2015-01-01,0.29
A1,R_GE65_LT65,DIFF,MK,2016-01-01,0.27
A1,R_GE65_LT65,DIFF,MK,2017-01-01,
A1,R_GE65_LT65,DIFF,MT,2006-01-01,-0.16
A1,R_GE65_LT65,DIFF,MT,2007-01-01,-0.36
A1,R_GE65_LT65,DIFF,MT,2008-01-01,-0.18
A1,R_GE65_LT65,DIFF,MT,2009-01-01,-0.05
A1,R_GE65_LT65,DIFF,MT,2010-01-01,-0.06
A1,R_GE65_LT65,DIFF,MT,2011-01-01,-0.17
A1,R_GE65_LT65,DIFF,MT,2012-01-01,-0.1
A1,R_GE65_LT65,DIFF,MT,2013-01-01,-0.02
A1,R_GE65_LT65,DIFF,MT,2014-01-01,0.16
A1,R_GE65_LT65,DIFF,MT,2015-01-01,0.13
A1,R_GE65_LT65,DIFF,MT,2016-01-01,0.03
A1,R_GE65_LT65,DIFF,MT,2017-01-01,0.01
A1,R_GE65_LT65,DIFF,NL,2006-01-01,-0.05
A1,R_GE65_LT65,DIFF,NL,2007-01-01,0.02
A1,R_GE65_LT65,DIFF,NL,2008-01-01,-0.02
A1,R_GE65_LT65,DIFF,NL,2009-01-01,-0.03
A1,R_GE65_LT65,DIFF,NL,2010-01-01,-0.06
A1,R_GE65_LT65,DIFF,NL,2011-01-01,-0.06
A1,R_GE65_LT65,DIFF,NL,2012-01-01,-0.1
A1,R_GE65_LT65,DIFF,NL,2013-01-01,-0.05
A1,R_GE65_LT65,DIFF,NL,2014-01-01,0.0
A1,R_GE65_LT65,DIFF,NL,2015-01-01,0.02
A1,R_GE65_LT65,DIFF,NL,2016-01-01,0.02
A1,R_GE65_LT65,DIFF,NL,2017-01-01,0.0
A1,R_GE65_LT65,DIFF,NO,2006-01-01,0.08
A1,R_GE65_LT65,DIFF,NO,2007-01-01,0.13
A1,R_GE65_LT65,DIFF,NO,2008-01-01,0.0
A1,R_GE65_LT65,DIFF,NO,2009-01-01,0.12
A1,R_GE65_LT65,DIFF,NO,2010-01-01,0.11
A1,R_GE65_LT65,DIFF,NO,2011-01-01,0.14
A1,R_GE65_LT65,DIFF,NO,2012-01-01,0.1
A1,R_GE65_LT65,DIFF,NO,2013-01-01,0.03
A1,R_GE65_LT65,DIFF,NO,2014-01-01,0.01
A1,R_GE65_LT65,DIFF,NO,2015-01-01,-0.03
A1,R_GE65_LT65,DIFF,NO,2016-01-01,0.02
A1,R_GE65_LT65,DIFF,NO,2017-01-01,0.05
A1,R_GE65_LT65,DIFF,PL,2006-01-01,0.32
A1,R_GE65_LT65,DIFF,PL,2007-01-01,0.32
A1,R_GE65_LT65,DIFF,PL,2008-01-01,0.2
A1,R_GE65_LT65,DIFF,PL,2009-01-01,0.26
A1,R_GE65_LT65,DIFF,PL,2010-01-01,0.2
A1,R_GE65_LT65,DIFF,PL,2011-01-01,0.27
A1,R_GE65_LT65,DIFF,PL,2012-01-01,0.17
A1,R_GE65_LT65,DIFF,PL,2013-01-01,0.17
A1,R_GE65_LT65,DIFF,PL,2014-01-01,0.23
A1,R_GE65_LT65,DIFF,PL,2015-01-01,0.03
A1,R_GE65_LT65,DIFF,PL,2016-01-01,0.03
A1,R_GE65_LT65,DIFF,PL,2017-01-01,0.2
A1,R_GE65_LT65,DIFF,PT,2006-01-01,-0.19
A1,R_GE65_LT65,DIFF,PT,2007-01-01,-0.06
A1,R_GE65_LT65,DIFF,PT,2008-01-01,0.14
A1,R_GE65_LT65,DIFF,PT,2009-01-01,0.17
A1,R_GE65_LT65,DIFF,PT,2010-01-01,0.21
A1,R_GE65_LT65,DIFF,PT,2011-01-01,0.19
A1,R_GE65_LT65,DIFF,PT,2012-01-01,0.04
A1,R_GE65_LT65,DIFF,PT,2013-01-01,0.03
A1,R_GE65_LT65,DIFF,PT,2014-01-01,0.1
A1,R_GE65_LT65,DIFF,PT,2015-01-01,0.1
A1,R_GE65_LT65,DIFF,PT,2016-01-01,0.1
A1,R_GE65_LT65,DIFF,PT,2017-01-01,0.12
A1,R_GE65_LT65,DIFF,RO,2006-01-01,
A1,R_GE65_LT65,DIFF,RO,2007-01-01,0.12
A1,R_GE65_LT65,DIFF,RO,2008-01-01,0.26
A1,R_GE65_LT65,DIFF,RO,2009-01-01,0.2
A1,R_GE65_LT65,DIFF,RO,2010-01-01,0.33
A1,R_GE65_LT65,DIFF,RO,2011-01-01,0.27
A1,R_GE65_LT65,DIFF,RO,2012-01-01,0.27
A1,R_GE65_LT65,DIFF,RO,2013-01-01,0.18
A1,R_GE65_LT65,DIFF,RO,2014-01-01,0.12
A1,R_GE65_LT65,DIFF,RO,2015-01-01,0.15
A1,R_GE65_LT65,DIFF,RO,2016-01-01,0.22
A1,R_GE65_LT65,DIFF,RO,2017-01-01,0.1
A1,R_GE65_LT65,DIFF,RS,2006-01-01,
A1,R_GE65_LT65,DIFF,RS,2007-01-01,
A1,R_GE65_LT65,DIFF,RS,2008-01-01,
A1,R_GE65_LT65,DIFF,RS,2009-01-01,
A1,R_GE65_LT65,DIFF,RS,2010-01-01,
A1,R_GE65_LT65,DIFF,RS,2011-01-01,
A1,R_GE65_LT65,DIFF,RS,2012-01-01,
A1,R_GE65_LT65,DIFF,RS,2013-01-01,0.51
A1,R_GE65_LT65,DIFF,RS,2014-01-01,0.4
A1,R_GE65_LT65,DIFF,RS,2015-01-01,0.85
A1,R_GE65_LT65,DIFF,RS,2016-01-01,0.88
A1,R_GE65_LT65,DIFF,RS,2017-01-01,
A1,R_GE65_LT65,DIFF,SE,2006-01-01,0.07
A1,R_GE65_LT65,DIFF,SE,2007-01-01,0.09
A1,R_GE65_LT65,DIFF,SE,2008-01-01,0.04
A1,R_GE65_LT65,DIFF,SE,2009-01-01,0.03
A1,R_GE65_LT65,DIFF,SE,2010-01-01,-0.03
A1,R_GE65_LT65,DIFF,SE,2011-01-01,0.03
A1,R_GE65_LT65,DIFF,SE,2012-01-01,0.01
A1,R_GE65_LT65,DIFF,SE,2013-01-01,0.03
A1,R_GE65_LT65,DIFF,SE,2014-01-01,0.11
A1,R_GE65_LT65,DIFF,SE,2015-01-01,0.06
A1,R_GE65_LT65,DIFF,SE,2016-01-01,0.02
A1,R_GE65_LT65,DIFF,SE,2017-01-01,0.11
A1,R_GE65_LT65,DIFF,SI,2006-01-01,0.18
A1,R_GE65_LT65,DIFF,SI,2007-01-01,0.33
A1,R_GE65_LT65,DIFF,SI,2008-01-01,0.39
A1,R_GE65_LT65,DIFF,SI,2009-01-01,0.25
A1,R_GE65_LT65,DIFF,SI,2010-01-01,0.37
A1,R_GE65_LT65,DIFF,SI,2011-01-01,0.37
A1,R_GE65_LT65,DIFF,SI,2012-01-01,0.2
A1,R_GE65_LT65,DIFF,SI,2013-01-01,0.11
A1,R_GE65_LT65,DIFF,SI,2014-01-01,0.17
A1,R_GE65_LT65,DIFF,SI,2015-01-01,0.14
A1,R_GE65_LT65,DIFF,SI,2016-01-01,0.09
A1,R_GE65_LT65,DIFF,SI,2017-01-01,0.05
A1,R_GE65_LT65,DIFF,SK,2006-01-01,-0.09
A1,R_GE65_LT65,DIFF,SK,2007-01-01,-0.11
A1,R_GE65_LT65,DIFF,SK,2008-01-01,-0.07
A1,R_GE65_LT65,DIFF,SK,2009-01-01,-0.08
A1,R_GE65_LT65,DIFF,SK,2010-01-01,-0.07
A1,R_GE65_LT65,DIFF,SK,2011-01-01,-0.03
A1,R_GE65_LT65,DIFF,SK,2012-01-01,-0.05
