unit,age,sex,lmp_type,geotime,date,value
RT,TOTAL,M,TOT2_7,LU,2014-01-01,86
RT,TOTAL,M,TOT2_7,LU,2015-01-01,54
RT,TOTAL,M,TOT2_7,LU,2016-01-01,68
RT,TOTAL,M,TOT2_7,LV,2005-01-01,2
RT,TOTAL,M,TOT2_7,LV,2006-01-01,2
RT,TOTAL,M,TOT2_7,LV,2007-01-01,2
RT,TOTAL,M,TOT2_7,LV,2008-01-01,2
RT,TOTAL,M,TOT2_7,LV,2009-01-01,3
RT,TOTAL,M,TOT2_7,LV,2010-01-01,7
RT,TOTAL,M,TOT2_7,LV,2011-01-01,7
RT,TOTAL,M,TOT2_7,LV,2012-01-01,4
RT,TOTAL,M,TOT2_7,LV,2013-01-01,5
RT,TOTAL,M,TOT2_7,LV,2014-01-01,5
RT,TOTAL,M,TOT2_7,LV,2015-01-01,3
RT,TOTAL,M,TOT2_7,LV,2016-01-01,4
RT,TOTAL,M,TOT2_7,MT,2005-01-01,
RT,TOTAL,M,TOT2_7,MT,2006-01-01,5
RT,TOTAL,M,TOT2_7,MT,2007-01-01,4
RT,TOTAL,M,TOT2_7,MT,2008-01-01,3
RT,TOTAL,M,TOT2_7,MT,2009-01-01,4
RT,TOTAL,M,TOT2_7,MT,2010-01-01,10
RT,TOTAL,M,TOT2_7,MT,2011-01-01,20
RT,TOTAL,M,TOT2_7,MT,2012-01-01,13
RT,TOTAL,M,TOT2_7,MT,2013-01-01,5
RT,TOTAL,M,TOT2_7,MT,2014-01-01,23
RT,TOTAL,M,TOT2_7,MT,2015-01-01,14
RT,TOTAL,M,TOT2_7,MT,2016-01-01,11
RT,TOTAL,M,TOT2_7,NL,2005-01-01,
RT,TOTAL,M,TOT2_7,NL,2006-01-01,
RT,TOTAL,M,TOT2_7,NL,2007-01-01,40
RT,TOTAL,M,TOT2_7,NL,2008-01-01,42
RT,TOTAL,M,TOT2_7,NL,2009-01-01,37
RT,TOTAL,M,TOT2_7,NL,2010-01-01,28
RT,TOTAL,M,TOT2_7,NL,2011-01-01,26
RT,TOTAL,M,TOT2_7,NL,2012-01-01,22
RT,TOTAL,M,TOT2_7,NL,2013-01-01,17
RT,TOTAL,M,TOT2_7,NL,2014-01-01,17
