airpol,geotime,date,value
PM10,HR,2003-01-01,
PM10,HR,2004-01-01,
PM10,HR,2005-01-01,
PM10,HR,2006-01-01,
PM10,HR,2007-01-01,
PM10,HR,2008-01-01,
PM10,HR,2009-01-01,
PM10,HR,2010-01-01,
PM10,HR,2011-01-01,
PM10,HR,2012-01-01,
PM10,HR,2013-01-01,34
PM10,HR,2014-01-01,29
PM10,HR,2015-01-01,32
PM10,HR,2016-01-01,
PM10,HU,1992-01-01,
PM10,HU,1993-01-01,
PM10,HU,1994-01-01,
PM10,HU,1995-01-01,
PM10,HU,1996-01-01,
PM10,HU,1997-01-01,
PM10,HU,1998-01-01,
PM10,HU,1999-01-01,
PM10,HU,2000-01-01,
PM10,HU,2001-01-01,
PM10,HU,2002-01-01,
PM10,HU,2003-01-01,33
PM10,HU,2004-01-01,23
PM10,HU,2005-01-01,39
PM10,HU,2006-01-01,37
PM10,HU,2007-01-01,31
PM10,HU,2008-01-01,29
PM10,HU,2009-01-01,29
PM10,HU,2010-01-01,31
PM10,HU,2011-01-01,33
PM10,HU,2012-01-01,28
PM10,HU,2013-01-01,27
PM10,HU,2014-01-01,28
PM10,HU,2015-01-01,26
PM10,HU,2016-01-01,
PM10,IE,1992-01-01,
PM10,IE,1993-01-01,
PM10,IE,1994-01-01,
PM10,IE,1995-01-01,
PM10,IE,1996-01-01,
PM10,IE,1997-01-01,
PM10,IE,1998-01-01,
PM10,IE,1999-01-01,17
PM10,IE,2000-01-01,
PM10,IE,2001-01-01,20
PM10,IE,2002-01-01,17
PM10,IE,2003-01-01,18
PM10,IE,2004-01-01,14
PM10,IE,2005-01-01,15
PM10,IE,2006-01-01,16
PM10,IE,2007-01-01,14
PM10,IE,2008-01-01,13
PM10,IE,2009-01-01,13
PM10,IE,2010-01-01,15
PM10,IE,2011-01-01,15
PM10,IE,2012-01-01,12
PM10,IE,2013-01-01,15
PM10,IE,2014-01-01,14
PM10,IE,2015-01-01,13
PM10,IE,2016-01-01,
PM10,IS,1992-01-01,
PM10,IS,1993-01-01,
PM10,IS,1994-01-01,
PM10,IS,1995-01-01,
PM10,IS,1996-01-01,
PM10,IS,1997-01-01,
PM10,IS,1998-01-01,
PM10,IS,1999-01-01,
PM10,IS,2000-01-01,
PM10,IS,2001-01-01,
PM10,IS,2002-01-01,
PM10,IS,2003-01-01,21
PM10,IS,2004-01-01,29
PM10,IS,2005-01-01,19
PM10,IS,2006-01-01,20
PM10,IS,2007-01-01,11
PM10,IS,2008-01-01,
PM10,IS,2009-01-01,8
PM10,IS,2010-01-01,10
PM10,IS,2011-01-01,9
PM10,IS,2012-01-01,8
PM10,IS,2013-01-01,11
PM10,IS,2014-01-01,
PM10,IS,2015-01-01,
PM10,IS,2016-01-01,
PM10,IT,1992-01-01,
PM10,IT,1993-01-01,
PM10,IT,1994-01-01,
PM10,IT,1995-01-01,
PM10,IT,1996-01-01,
PM10,IT,1997-01-01,
PM10,IT,1998-01-01,55
PM10,IT,1999-01-01,51
PM10,IT,2000-01-01,48
PM10,IT,2001-01-01,39
PM10,IT,2002-01-01,40
PM10,IT,2003-01-01,39
PM10,IT,2004-01-01,37
PM10,IT,2005-01-01,40
PM10,IT,2006-01-01,39
PM10,IT,2007-01-01,37
PM10,IT,2008-01-01,34
PM10,IT,2009-01-01,33
PM10,IT,2010-01-01,30
PM10,IT,2011-01-01,35
PM10,IT,2012-01-01,30
PM10,IT,2013-01-01,30
PM10,IT,2014-01-01,26
PM10,IT,2015-01-01,30
PM10,IT,2016-01-01,
PM10,LT,1992-01-01,
PM10,LT,1993-01-01,
