statinfo,unit,comspec,geotime,date,value
NSME,I90,CO_FARM,SE,1995-01-01,92.2
NSME,I90,CO_FARM,SE,1996-01-01,83.4
NSME,I90,CO_FARM,SE,1997-01-01,85.2
NSME,I90,CO_FARM,SE,1998-01-01,81.8
NSME,I90,CO_FARM,SE,1999-01-01,77.0
NSME,I90,CO_FARM,SE,2000-01-01,76.5
NSME,I90,CO_FARM,SE,2001-01-01,76.5
NSME,I90,CO_FARM,SE,2002-01-01,71.6
NSME,I90,CO_FARM,SE,2003-01-01,74.7
NSME,I90,CO_FARM,SE,2004-01-01,68.1
NSME,I90,CO_FARM,SE,2005-01-01,65.4
NSME,I90,CO_FARM,SE,2006-01-01,65.6
NSME,I90,CO_FARM,SE,2007-01-01,66.6
NSME,I90,CO_FARM,SE,2008-01-01,67.7
NSME,I90,CO_FARM,SE,2009-01-01,58.2
NSME,I90,CO_FARM,SE,2010-01-01,55.3
NSME,I90,CO_FARM,SE,2011-01-01,59.3
NSME,I90,CO_FARM,SE,2012-01-01,53.1
NSME,I90,CO_FARM,SE,2013-01-01,52.1
NSME,I90,CO_FARM,SE,2014-01-01,54.8
NSME,I90,CO_FARM,SE,2015-01-01,
NSME,I90,CO_FARM,UK,1990-01-01,100.0
NSME,I90,CO_FARM,UK,1991-01-01,94.3
NSME,I90,CO_FARM,UK,1992-01-01,89.2
NSME,I90,CO_FARM,UK,1993-01-01,83.5
NSME,I90,CO_FARM,UK,1994-01-01,85.3
NSME,I90,CO_FARM,UK,1995-01-01,88.3
NSME,I90,CO_FARM,UK,1996-01-01,86.7
NSME,I90,CO_FARM,UK,1997-01-01,84.8
NSME,I90,CO_FARM,UK,1998-01-01,79.8
NSME,I90,CO_FARM,UK,1999-01-01,79.5
NSME,I90,CO_FARM,UK,2000-01-01,82.9
NSME,I90,CO_FARM,UK,2001-01-01,82.5
NSME,I90,CO_FARM,UK,2002-01-01,81.9
NSME,I90,CO_FARM,UK,2003-01-01,82.5
NSME,I90,CO_FARM,UK,2004-01-01,81.9
NSME,I90,CO_FARM,UK,2005-01-01,80.9
NSME,I90,CO_FARM,UK,2006-01-01,79.8
NSME,I90,CO_FARM,UK,2007-01-01,75.0
NSME,I90,CO_FARM,UK,2008-01-01,76.6
NSME,I90,CO_FARM,UK,2009-01-01,74.4
NSME,I90,CO_FARM,UK,2010-01-01,72.0
NSME,I90,CO_FARM,UK,2011-01-01,71.7
NSME,I90,CO_FARM,UK,2012-01-01,72.5
NSME,I90,CO_FARM,UK,2013-01-01,65.1
NSME,I90,CO_FARM,UK,2014-01-01,66.2
NSME,I90,CO_FARM,UK,2015-01-01,
NSME,I90,CO_FOR,EU_V,1990-01-01,100.0
NSME,I90,CO_FOR,EU_V,1991-01-01,99.36
NSME,I90,CO_FOR,EU_V,1992-01-01,96.87
NSME,I90,CO_FOR,EU_V,1993-01-01,88.79
NSME,I90,CO_FOR,EU_V,1994-01-01,93.55
NSME,I90,CO_FOR,EU_V,1995-01-01,87.88
NSME,I90,CO_FOR,EU_V,1996-01-01,90.69
NSME,I90,CO_FOR,EU_V,1997-01-01,93.82
NSME,I90,CO_FOR,EU_V,1998-01-01,85.49
NSME,I90,CO_FOR,EU_V,1999-01-01,84.59
NSME,I90,CO_FOR,EU_V,2000-01-01,83.25
NSME,I90,CO_FOR,EU_V,2001-01-01,85.02
NSME,I90,CO_FOR,EU_V,2002-01-01,85.87
NSME,I90,CO_FOR,EU_V,2003-01-01,86.88
NSME,I90,CO_FOR,EU_V,2004-01-01,91.26
NSME,I90,CO_FOR,EU_V,2005-01-01,86.74
NSME,I90,CO_FOR,EU_V,2006-01-01,87.03
NSME,I90,CO_FOR,EU_V,2007-01-01,84.23
NSME,I90,CO_FOR,EU_V,2008-01-01,89.06
NSME,I90,CO_FOR,EU_V,2009-01-01,81.96
NSME,I90,CO_FOR,EU_V,2010-01-01,83.72
NSME,I90,CO_FOR,EU_V,2011-01-01,82.93
NSME,I90,CO_FOR,EU_V,2012-01-01,88.48
NSME,I90,CO_FOR,EU_V,2013-01-01,86.36
NSME,I90,CO_FOR,EU_V,2014-01-01,88.08
NSME,I90,CO_FOR,EU_V,2015-01-01,93.35
