unit,nace_r2,geo\time,date,value
PC,B-S_X_O,IE,2013-01-01,12.9 
PC,B-S_X_O,IE,2014-01-01,13.9
PC,B-S_X_O,IE,2015-01-01,: 
PC,B-S_X_O,IE,2016-01-01,: 
PC,B-S_X_O,IS,2002-01-01,: 
PC,B-S_X_O,IS,2006-01-01,: 
PC,B-S_X_O,IS,2007-01-01,24.0 
PC,B-S_X_O,IS,2008-01-01,20.7 
PC,B-S_X_O,IS,2009-01-01,18.0 
PC,B-S_X_O,IS,2010-01-01,17.7 
PC,B-S_X_O,IS,2011-01-01,17.8 
PC,B-S_X_O,IS,2012-01-01,17.7 
PC,B-S_X_O,IS,2013-01-01,19.0 
PC,B-S_X_O,IS,2014-01-01,16.7
PC,B-S_X_O,IS,2015-01-01,17.5 
PC,B-S_X_O,IS,2016-01-01,16.3 
PC,B-S_X_O,IT,2002-01-01,: 
PC,B-S_X_O,IT,2006-01-01,4.4 
PC,B-S_X_O,IT,2007-01-01,5.1 
PC,B-S_X_O,IT,2008-01-01,4.9 
PC,B-S_X_O,IT,2009-01-01,5.5 
PC,B-S_X_O,IT,2010-01-01,5.3 
PC,B-S_X_O,IT,2011-01-01,5.7 
PC,B-S_X_O,IT,2012-01-01,6.5 
PC,B-S_X_O,IT,2013-01-01,7.0 
PC,B-S_X_O,IT,2014-01-01,6.1
PC,B-S_X_O,IT,2015-01-01,5.5 
PC,B-S_X_O,IT,2016-01-01,5.3 
PC,B-S_X_O,LT,2002-01-01,13.2 
PC,B-S_X_O,LT,2006-01-01,17.1 
PC,B-S_X_O,LT,2007-01-01,22.6 
PC,B-S_X_O,LT,2008-01-01,21.6 
PC,B-S_X_O,LT,2009-01-01,15.3 
PC,B-S_X_O,LT,2010-01-01,11.9 b
PC,B-S_X_O,LT,2011-01-01,11.5 
PC,B-S_X_O,LT,2012-01-01,11.9 
PC,B-S_X_O,LT,2013-01-01,12.2 
PC,B-S_X_O,LT,2014-01-01,13.3
PC,B-S_X_O,LT,2015-01-01,14.2 
PC,B-S_X_O,LT,2016-01-01,14.4 
PC,B-S_X_O,LU,2002-01-01,: 
PC,B-S_X_O,LU,2006-01-01,10.7 
PC,B-S_X_O,LU,2007-01-01,10.2 
PC,B-S_X_O,LU,2008-01-01,9.7 
PC,B-S_X_O,LU,2009-01-01,9.2 
PC,B-S_X_O,LU,2010-01-01,8.7 
PC,B-S_X_O,LU,2011-01-01,7.9 
PC,B-S_X_O,LU,2012-01-01,7.0 
PC,B-S_X_O,LU,2013-01-01,6.2 
PC,B-S_X_O,LU,2014-01-01,5.4
PC,B-S_X_O,LU,2015-01-01,5.5 
PC,B-S_X_O,LU,2016-01-01,5.5 
PC,B-S_X_O,LV,2002-01-01,: 
PC,B-S_X_O,LV,2006-01-01,15.1 
PC,B-S_X_O,LV,2007-01-01,13.6 
PC,B-S_X_O,LV,2008-01-01,11.8 
PC,B-S_X_O,LV,2009-01-01,13.1 
PC,B-S_X_O,LV,2010-01-01,15.5 
PC,B-S_X_O,LV,2011-01-01,14.1 
PC,B-S_X_O,LV,2012-01-01,14.9 
PC,B-S_X_O,LV,2013-01-01,16.0 
PC,B-S_X_O,LV,2014-01-01,17.3
PC,B-S_X_O,LV,2015-01-01,17.0 
PC,B-S_X_O,LV,2016-01-01,17.0 
PC,B-S_X_O,ME,2002-01-01,: 
PC,B-S_X_O,ME,2006-01-01,: 
PC,B-S_X_O,ME,2007-01-01,: 
PC,B-S_X_O,ME,2008-01-01,: 
PC,B-S_X_O,ME,2009-01-01,: 
PC,B-S_X_O,ME,2010-01-01,: 
PC,B-S_X_O,ME,2011-01-01,: 
PC,B-S_X_O,ME,2012-01-01,: 
PC,B-S_X_O,ME,2013-01-01,: 
PC,B-S_X_O,ME,2014-01-01,7.7
PC,B-S_X_O,ME,2015-01-01,: 
PC,B-S_X_O,ME,2016-01-01,: 
PC,B-S_X_O,MK,2002-01-01,: 
PC,B-S_X_O,MK,2006-01-01,: 
PC,B-S_X_O,MK,2007-01-01,: 
PC,B-S_X_O,MK,2008-01-01,: 
PC,B-S_X_O,MK,2009-01-01,: 
PC,B-S_X_O,MK,2010-01-01,: 
PC,B-S_X_O,MK,2011-01-01,: 
PC,B-S_X_O,MK,2012-01-01,: 
PC,B-S_X_O,MK,2013-01-01,: 
PC,B-S_X_O,MK,2014-01-01,9.1
PC,B-S_X_O,MK,2015-01-01,: 
PC,B-S_X_O,MK,2016-01-01,: 
PC,B-S_X_O,MT,2002-01-01,: 
PC,B-S_X_O,MT,2006-01-01,5.2 
PC,B-S_X_O,MT,2007-01-01,7.8 
PC,B-S_X_O,MT,2008-01-01,9.2 
PC,B-S_X_O,MT,2009-01-01,7.7 
PC,B-S_X_O,MT,2010-01-01,7.2 
PC,B-S_X_O,MT,2011-01-01,7.7 
PC,B-S_X_O,MT,2012-01-01,9.5 
PC,B-S_X_O,MT,2013-01-01,9.7 
PC,B-S_X_O,MT,2014-01-01,10.6
PC,B-S_X_O,MT,2015-01-01,10.4 
PC,B-S_X_O,MT,2016-01-01,11.0 
PC,B-S_X_O,NL,2002-01-01,18.7 
PC,B-S_X_O,NL,2006-01-01,23.6 
PC,B-S_X_O,NL,2007-01-01,19.3 
PC,B-S_X_O,NL,2008-01-01,18.9 
PC,B-S_X_O,NL,2009-01-01,18.5 
PC,B-S_X_O,NL,2010-01-01,17.8 
PC,B-S_X_O,NL,2011-01-01,18.6 
PC,B-S_X_O,NL,2012-01-01,17.6 
PC,B-S_X_O,NL,2013-01-01,16.5 
PC,B-S_X_O,NL,2014-01-01,16.1
PC,B-S_X_O,NL,2015-01-01,16.1 
PC,B-S_X_O,NL,2016-01-01,15.6 
PC,B-S_X_O,NO,2002-01-01,: 
PC,B-S_X_O,NO,2006-01-01,16.0 
PC,B-S_X_O,NO,2007-01-01,15.6 
PC,B-S_X_O,NO,2008-01-01,17.0 
PC,B-S_X_O,NO,2009-01-01,16.5 
PC,B-S_X_O,NO,2010-01-01,16.1 
