watpol,geo\time,date,value
NO3_MG_L_GW,FI,2011-01-01,1.0
NO3_MG_L_GW,FI,2012-01-01,0.9
NO3_MG_L_GW,FR,2000-01-01,17.3
NO3_MG_L_GW,FR,2001-01-01,17.3
NO3_MG_L_GW,FR,2002-01-01,18.1
NO3_MG_L_GW,FR,2003-01-01,18.1
NO3_MG_L_GW,FR,2004-01-01,18.3
NO3_MG_L_GW,FR,2005-01-01,17.6
NO3_MG_L_GW,FR,2006-01-01,17.8
NO3_MG_L_GW,FR,2007-01-01,18.0
NO3_MG_L_GW,FR,2008-01-01,17.6
NO3_MG_L_GW,FR,2009-01-01,17.6
NO3_MG_L_GW,FR,2010-01-01,18.0
NO3_MG_L_GW,FR,2011-01-01,17.8
NO3_MG_L_GW,FR,2012-01-01,17.6
NO3_MG_L_GW,IE,2000-01-01,16.6
NO3_MG_L_GW,IE,2001-01-01,16.9
NO3_MG_L_GW,IE,2002-01-01,17.0
NO3_MG_L_GW,IE,2003-01-01,16.5
NO3_MG_L_GW,IE,2004-01-01,17.2
NO3_MG_L_GW,IE,2005-01-01,17.1
NO3_MG_L_GW,IE,2006-01-01,17.1
NO3_MG_L_GW,IE,2007-01-01,17.1
NO3_MG_L_GW,IE,2008-01-01,14.5
NO3_MG_L_GW,IE,2009-01-01,11.1
NO3_MG_L_GW,IE,2010-01-01,13.8
NO3_MG_L_GW,IE,2011-01-01,13.5
NO3_MG_L_GW,IE,2012-01-01,12.0
NO3_MG_L_GW,IT,2000-01-01,17.5
NO3_MG_L_GW,IT,2001-01-01,17.5
NO3_MG_L_GW,IT,2002-01-01,15.4
NO3_MG_L_GW,IT,2003-01-01,13.5
NO3_MG_L_GW,IT,2004-01-01,14.6
NO3_MG_L_GW,IT,2005-01-01,18.5
NO3_MG_L_GW,IT,2006-01-01,19.9
NO3_MG_L_GW,IT,2007-01-01,25.4
NO3_MG_L_GW,IT,2008-01-01,21.9
NO3_MG_L_GW,IT,2009-01-01,28.9
NO3_MG_L_GW,IT,2010-01-01,17.4
NO3_MG_L_GW,IT,2011-01-01,23.7
NO3_MG_L_GW,IT,2012-01-01,20.4
NO3_MG_L_GW,LI,2000-01-01,5.4
NO3_MG_L_GW,LI,2001-01-01,5.0
NO3_MG_L_GW,LI,2002-01-01,5.0
NO3_MG_L_GW,LI,2003-01-01,5.0
NO3_MG_L_GW,LI,2004-01-01,5.2
NO3_MG_L_GW,LI,2005-01-01,5.1
NO3_MG_L_GW,LI,2006-01-01,5.2
NO3_MG_L_GW,LI,2007-01-01,4.9
NO3_MG_L_GW,LI,2008-01-01,4.6
NO3_MG_L_GW,LI,2009-01-01,4.5
NO3_MG_L_GW,LI,2010-01-01,4.6
NO3_MG_L_GW,LI,2011-01-01,4.6
NO3_MG_L_GW,LI,2012-01-01,4.6
NO3_MG_L_GW,LT,2000-01-01,1.2
NO3_MG_L_GW,LT,2001-01-01,1.0
NO3_MG_L_GW,LT,2002-01-01,0.9
NO3_MG_L_GW,LT,2003-01-01,2.6
NO3_MG_L_GW,LT,2004-01-01,1.1
NO3_MG_L_GW,LT,2005-01-01,0.7
NO3_MG_L_GW,LT,2006-01-01,1.2
NO3_MG_L_GW,LT,2007-01-01,3.0
NO3_MG_L_GW,LT,2008-01-01,2.0
NO3_MG_L_GW,LT,2009-01-01,2.3
NO3_MG_L_GW,LT,2010-01-01,2.4
NO3_MG_L_GW,LT,2011-01-01,2.4
NO3_MG_L_GW,LT,2012-01-01,1.0
NO3_MG_L_GW,LU,2000-01-01,28.0
NO3_MG_L_GW,LU,2001-01-01,28.0
NO3_MG_L_GW,LU,2002-01-01,28.0
NO3_MG_L_GW,LU,2003-01-01,28.0
NO3_MG_L_GW,LU,2004-01-01,26.3
NO3_MG_L_GW,LU,2005-01-01,27.0
NO3_MG_L_GW,LU,2006-01-01,28.5
NO3_MG_L_GW,LU,2007-01-01,30.3
NO3_MG_L_GW,LU,2008-01-01,35.1
NO3_MG_L_GW,LU,2009-01-01,33.7
NO3_MG_L_GW,LU,2010-01-01,34.0
NO3_MG_L_GW,LU,2011-01-01,34.3
NO3_MG_L_GW,LU,2012-01-01,34.3
NO3_MG_L_GW,MT,2000-01-01,51.1
NO3_MG_L_GW,MT,2001-01-01,51.1
NO3_MG_L_GW,MT,2002-01-01,51.1
NO3_MG_L_GW,MT,2003-01-01,49.2
NO3_MG_L_GW,MT,2004-01-01,54.0
NO3_MG_L_GW,MT,2005-01-01,54.6
NO3_MG_L_GW,MT,2006-01-01,54.9
NO3_MG_L_GW,MT,2007-01-01,51.6
NO3_MG_L_GW,MT,2008-01-01,48.3
NO3_MG_L_GW,MT,2009-01-01,48.3
NO3_MG_L_GW,MT,2010-01-01,58.1
NO3_MG_L_GW,MT,2011-01-01,58.1
NO3_MG_L_GW,MT,2012-01-01,58.1
NO3_MG_L_GW,NL,2000-01-01,23.8
NO3_MG_L_GW,NL,2001-01-01,19.0
NO3_MG_L_GW,NL,2002-01-01,21.1
NO3_MG_L_GW,NL,2003-01-01,28.5
NO3_MG_L_GW,NL,2004-01-01,26.0
NO3_MG_L_GW,NL,2005-01-01,22.2
NO3_MG_L_GW,NL,2006-01-01,18.4
NO3_MG_L_GW,NL,2007-01-01,21.2
NO3_MG_L_GW,NL,2008-01-01,20.8
NO3_MG_L_GW,NL,2009-01-01,22.7
NO3_MG_L_GW,NL,2010-01-01,22.7
NO3_MG_L_GW,NL,2011-01-01,22.7
NO3_MG_L_GW,NL,2012-01-01,22.7
NO3_MG_L_GW,NO,2000-01-01,0.7
NO3_MG_L_GW,NO,2001-01-01,0.1
NO3_MG_L_GW,NO,2002-01-01,0.1
NO3_MG_L_GW,NO,2003-01-01,2.7
NO3_MG_L_GW,NO,2004-01-01,5.4
NO3_MG_L_GW,NO,2005-01-01,5.8
NO3_MG_L_GW,NO,2006-01-01,4.7
NO3_MG_L_GW,NO,2007-01-01,4.7
NO3_MG_L_GW,NO,2008-01-01,4.2
NO3_MG_L_GW,NO,2009-01-01,4.8
NO3_MG_L_GW,NO,2010-01-01,5.4
NO3_MG_L_GW,NO,2011-01-01,6.0
NO3_MG_L_GW,NO,2012-01-01,5.3
NO3_MG_L_GW,PT,2000-01-01,20.8
NO3_MG_L_GW,PT,2001-01-01,28.6
NO3_MG_L_GW,PT,2002-01-01,26.7
NO3_MG_L_GW,PT,2003-01-01,25.5
NO3_MG_L_GW,PT,2004-01-01,25.7
NO3_MG_L_GW,PT,2005-01-01,26.5
NO3_MG_L_GW,PT,2006-01-01,26.5
NO3_MG_L_GW,PT,2007-01-01,22.7
NO3_MG_L_GW,PT,2008-01-01,21.4
NO3_MG_L_GW,PT,2009-01-01,17.3
NO3_MG_L_GW,PT,2010-01-01,23.9
NO3_MG_L_GW,PT,2011-01-01,21.0
NO3_MG_L_GW,PT,2012-01-01,24.2
NO3_MG_L_GW,RS,2000-01-01,4.8
NO3_MG_L_GW,RS,2001-01-01,4.8
NO3_MG_L_GW,RS,2002-01-01,4.8
NO3_MG_L_GW,RS,2003-01-01,4.8
NO3_MG_L_GW,RS,2004-01-01,2.8
NO3_MG_L_GW,RS,2005-01-01,5.2
NO3_MG_L_GW,RS,2006-01-01,7.1
NO3_MG_L_GW,RS,2007-01-01,4.4
NO3_MG_L_GW,RS,2008-01-01,4.1
NO3_MG_L_GW,RS,2009-01-01,3.8
NO3_MG_L_GW,RS,2010-01-01,2.4
NO3_MG_L_GW,RS,2011-01-01,2.5
NO3_MG_L_GW,RS,2012-01-01,1.9
NO3_MG_L_GW,SI,2000-01-01,21.9
NO3_MG_L_GW,SI,2001-01-01,24.6
NO3_MG_L_GW,SI,2002-01-01,23.2
NO3_MG_L_GW,SI,2003-01-01,21.5
NO3_MG_L_GW,SI,2004-01-01,23.8
NO3_MG_L_GW,SI,2005-01-01,21.8
NO3_MG_L_GW,SI,2006-01-01,25.3
NO3_MG_L_GW,SI,2007-01-01,19.4
NO3_MG_L_GW,SI,2008-01-01,20.6
NO3_MG_L_GW,SI,2009-01-01,20.4
NO3_MG_L_GW,SI,2010-01-01,19.2
NO3_MG_L_GW,SI,2011-01-01,18.7
NO3_MG_L_GW,SI,2012-01-01,18.5
NO3_MG_L_GW,SK,2000-01-01,19.9
NO3_MG_L_GW,SK,2001-01-01,18.8
NO3_MG_L_GW,SK,2002-01-01,15.9
NO3_MG_L_GW,SK,2003-01-01,14.3
NO3_MG_L_GW,SK,2004-01-01,17.7
NO3_MG_L_GW,SK,2005-01-01,18.3
NO3_MG_L_GW,SK,2006-01-01,18.3
NO3_MG_L_GW,SK,2007-01-01,17.7
NO3_MG_L_GW,SK,2008-01-01,21.5
NO3_MG_L_GW,SK,2009-01-01,20.4
NO3_MG_L_GW,SK,2010-01-01,20.9
NO3_MG_L_GW,SK,2011-01-01,16.6
NO3_MG_L_GW,SK,2012-01-01,16.4
NO3_MG_L_GW,UK,2000-01-01,5.1
NO3_MG_L_GW,UK,2001-01-01,4.9
NO3_MG_L_GW,UK,2002-01-01,5.1
NO3_MG_L_GW,UK,2003-01-01,5.0
NO3_MG_L_GW,UK,2004-01-01,5.0
NO3_MG_L_GW,UK,2005-01-01,5.0
NO3_MG_L_GW,UK,2006-01-01,5.9
NO3_MG_L_GW,UK,2007-01-01,6.0
NO3_MG_L_GW,UK,2008-01-01,5.4
NO3_MG_L_GW,UK,2009-01-01,4.9
NO3_MG_L_GW,UK,2010-01-01,5.1
NO3_MG_L_GW,UK,2011-01-01,4.9
NO3_MG_L_GW,UK,2012-01-01,4.9
