age,sex,workint,indic_il,hhtyp,geotime,date,value
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DE,2016-01-01,63.1 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DE,2017-01-01,63.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DK,2006-01-01,47.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DK,2007-01-01,46.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DK,2008-01-01,41.5 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DK,2009-01-01,51.1 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DK,2010-01-01,51.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DK,2011-01-01,38.0 b
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DK,2012-01-01,31.2 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DK,2013-01-01,33.4
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DK,2014-01-01,34.3 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DK,2015-01-01,35.5
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DK,2016-01-01,37.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DK,2017-01-01,48.0 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA18,2006-01-01,60.9 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA18,2007-01-01,65.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA18,2008-01-01,65.2 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA18,2009-01-01,66.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA18,2010-01-01,68.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA18,2011-01-01,68.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA18,2012-01-01,71.2 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA18,2013-01-01,68.4
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA18,2014-01-01,68.0 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA18,2015-01-01,70.1
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA18,2016-01-01,69.6 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA18,2017-01-01,72.4 e
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA19,2006-01-01,61.2 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA19,2007-01-01,65.9 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA19,2008-01-01,65.3 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,EA19,2009-01-01,66.7 
