wst_oper,unit,geotime,date,value
GEN,KG_HAB,HU,2013-01-01,378.0
GEN,KG_HAB,HU,2014-01-01,385.0
GEN,KG_HAB,HU,2015-01-01,377.0
GEN,KG_HAB,HU,2016-01-01,379.0
GEN,KG_HAB,IE,2000-01-01,599.0
GEN,KG_HAB,IE,2001-01-01,699.0
GEN,KG_HAB,IE,2002-01-01,692.0
GEN,KG_HAB,IE,2003-01-01,730.0
GEN,KG_HAB,IE,2004-01-01,737.0
GEN,KG_HAB,IE,2005-01-01,731.0
GEN,KG_HAB,IE,2006-01-01,792.0
GEN,KG_HAB,IE,2007-01-01,772.0
GEN,KG_HAB,IE,2008-01-01,718.0
GEN,KG_HAB,IE,2009-01-01,651.0
GEN,KG_HAB,IE,2010-01-01,624.0
GEN,KG_HAB,IE,2011-01-01,616.0
GEN,KG_HAB,IE,2012-01-01,585.0
GEN,KG_HAB,IE,2013-01-01,582.0
GEN,KG_HAB,IE,2014-01-01,562.0
GEN,KG_HAB,IE,2015-01-01,
GEN,KG_HAB,IE,2016-01-01,
GEN,KG_HAB,IS,2000-01-01,462.0
GEN,KG_HAB,IS,2001-01-01,467.0
GEN,KG_HAB,IS,2002-01-01,476.0
GEN,KG_HAB,IS,2003-01-01,484.0
GEN,KG_HAB,IS,2004-01-01,503.0
GEN,KG_HAB,IS,2005-01-01,516.0
GEN,KG_HAB,IS,2006-01-01,563.0
GEN,KG_HAB,IS,2007-01-01,558.0
GEN,KG_HAB,IS,2008-01-01,655.0
GEN,KG_HAB,IS,2009-01-01,414.0
GEN,KG_HAB,IS,2010-01-01,484.0
GEN,KG_HAB,IS,2011-01-01,495.0
GEN,KG_HAB,IS,2012-01-01,511.0
GEN,KG_HAB,IS,2013-01-01,516.0
GEN,KG_HAB,IS,2014-01-01,535.0
GEN,KG_HAB,IS,2015-01-01,588.0
GEN,KG_HAB,IS,2016-01-01,656.0
GEN,KG_HAB,IT,2000-01-01,509.0
GEN,KG_HAB,IT,2001-01-01,516.0
GEN,KG_HAB,IT,2002-01-01,523.0
GEN,KG_HAB,IT,2003-01-01,524.0
GEN,KG_HAB,IT,2004-01-01,540.0
GEN,KG_HAB,IT,2005-01-01,546.0
GEN,KG_HAB,IT,2006-01-01,559.0
GEN,KG_HAB,IT,2007-01-01,557.0
GEN,KG_HAB,IT,2008-01-01,552.0
GEN,KG_HAB,IT,2009-01-01,543.0
GEN,KG_HAB,IT,2010-01-01,547.0
GEN,KG_HAB,IT,2011-01-01,529.0
GEN,KG_HAB,IT,2012-01-01,504.0
GEN,KG_HAB,IT,2013-01-01,491.0
GEN,KG_HAB,IT,2014-01-01,488.0
GEN,KG_HAB,IT,2015-01-01,486.0
GEN,KG_HAB,IT,2016-01-01,497.0
GEN,KG_HAB,LT,2000-01-01,365.0
GEN,KG_HAB,LT,2001-01-01,378.0
GEN,KG_HAB,LT,2002-01-01,405.0
GEN,KG_HAB,LT,2003-01-01,389.0
GEN,KG_HAB,LT,2004-01-01,373.0
GEN,KG_HAB,LT,2005-01-01,387.0
GEN,KG_HAB,LT,2006-01-01,405.0
GEN,KG_HAB,LT,2007-01-01,419.0
GEN,KG_HAB,LT,2008-01-01,428.0
GEN,KG_HAB,LT,2009-01-01,381.0
GEN,KG_HAB,LT,2010-01-01,404.0
GEN,KG_HAB,LT,2011-01-01,442.0
GEN,KG_HAB,LT,2012-01-01,445.0
GEN,KG_HAB,LT,2013-01-01,433.0
GEN,KG_HAB,LT,2014-01-01,433.0
GEN,KG_HAB,LT,2015-01-01,448.0
GEN,KG_HAB,LT,2016-01-01,444.0
GEN,KG_HAB,LU,2000-01-01,654.0
GEN,KG_HAB,LU,2001-01-01,646.0
GEN,KG_HAB,LU,2002-01-01,653.0
GEN,KG_HAB,LU,2003-01-01,678.0
GEN,KG_HAB,LU,2004-01-01,679.0
GEN,KG_HAB,LU,2005-01-01,672.0
GEN,KG_HAB,LU,2006-01-01,683.0
GEN,KG_HAB,LU,2007-01-01,695.0
GEN,KG_HAB,LU,2008-01-01,697.0
GEN,KG_HAB,LU,2009-01-01,679.0
GEN,KG_HAB,LU,2010-01-01,679.0
GEN,KG_HAB,LU,2011-01-01,666.0
GEN,KG_HAB,LU,2012-01-01,652.0
GEN,KG_HAB,LU,2013-01-01,616.0
GEN,KG_HAB,LU,2014-01-01,626.0
GEN,KG_HAB,LU,2015-01-01,607.0
GEN,KG_HAB,LU,2016-01-01,614.0
GEN,KG_HAB,LV,2000-01-01,271.0
GEN,KG_HAB,LV,2001-01-01,305.0
GEN,KG_HAB,LV,2002-01-01,343.0
GEN,KG_HAB,LV,2003-01-01,304.0
GEN,KG_HAB,LV,2004-01-01,318.0
GEN,KG_HAB,LV,2005-01-01,320.0
GEN,KG_HAB,LV,2006-01-01,343.0
GEN,KG_HAB,LV,2007-01-01,391.0
GEN,KG_HAB,LV,2008-01-01,345.0
GEN,KG_HAB,LV,2009-01-01,352.0
GEN,KG_HAB,LV,2010-01-01,324.0
GEN,KG_HAB,LV,2011-01-01,350.0
GEN,KG_HAB,LV,2012-01-01,323.0
GEN,KG_HAB,LV,2013-01-01,350.0
GEN,KG_HAB,LV,2014-01-01,364.0
GEN,KG_HAB,LV,2015-01-01,404.0
GEN,KG_HAB,LV,2016-01-01,410.0
GEN,KG_HAB,ME,2000-01-01,
GEN,KG_HAB,ME,2001-01-01,
GEN,KG_HAB,ME,2002-01-01,
GEN,KG_HAB,ME,2003-01-01,
GEN,KG_HAB,ME,2004-01-01,
GEN,KG_HAB,ME,2005-01-01,
GEN,KG_HAB,ME,2006-01-01,
GEN,KG_HAB,ME,2007-01-01,
GEN,KG_HAB,ME,2008-01-01,
GEN,KG_HAB,ME,2009-01-01,
GEN,KG_HAB,ME,2010-01-01,
GEN,KG_HAB,ME,2011-01-01,524.0
GEN,KG_HAB,ME,2012-01-01,494.0
GEN,KG_HAB,ME,2013-01-01,497.0
GEN,KG_HAB,ME,2014-01-01,484.0
GEN,KG_HAB,ME,2015-01-01,503.0
GEN,KG_HAB,ME,2016-01-01,518.0
GEN,KG_HAB,MK,2000-01-01,
GEN,KG_HAB,MK,2001-01-01,
GEN,KG_HAB,MK,2002-01-01,
GEN,KG_HAB,MK,2003-01-01,
GEN,KG_HAB,MK,2004-01-01,
