sex,unit,indic_il,age,geotime,date,value
T,PC,LI_R_MD60,TOTAL,FR,2004-01-01,13.5
T,PC,LI_R_MD60,TOTAL,FR,2005-01-01,13.0
T,PC,LI_R_MD60,TOTAL,FR,2006-01-01,13.2
T,PC,LI_R_MD60,TOTAL,FR,2007-01-01,13.1
T,PC,LI_R_MD60,TOTAL,FR,2008-01-01,12.5
T,PC,LI_R_MD60,TOTAL,FR,2009-01-01,12.9
T,PC,LI_R_MD60,TOTAL,FR,2010-01-01,13.3
T,PC,LI_R_MD60,TOTAL,FR,2011-01-01,14.0
T,PC,LI_R_MD60,TOTAL,FR,2012-01-01,14.1
T,PC,LI_R_MD60,TOTAL,FR,2013-01-01,13.7
T,PC,LI_R_MD60,TOTAL,FR,2014-01-01,13.3
T,PC,LI_R_MD60,TOTAL,FR,2015-01-01,13.6
T,PC,LI_R_MD60,TOTAL,FR,2016-01-01,13.6
T,PC,LI_R_MD60,TOTAL,FR,2017-01-01,13.3
T,PC,LI_R_MD60,TOTAL,HR,1995-01-01,
T,PC,LI_R_MD60,TOTAL,HR,1996-01-01,
T,PC,LI_R_MD60,TOTAL,HR,1997-01-01,
T,PC,LI_R_MD60,TOTAL,HR,1998-01-01,
T,PC,LI_R_MD60,TOTAL,HR,1999-01-01,
T,PC,LI_R_MD60,TOTAL,HR,2000-01-01,
T,PC,LI_R_MD60,TOTAL,HR,2001-01-01,
T,PC,LI_R_MD60,TOTAL,HR,2002-01-01,
T,PC,LI_R_MD60,TOTAL,HR,2003-01-01,
T,PC,LI_R_MD60,TOTAL,HR,2004-01-01,
T,PC,LI_R_MD60,TOTAL,HR,2005-01-01,
T,PC,LI_R_MD60,TOTAL,HR,2006-01-01,
T,PC,LI_R_MD60,TOTAL,HR,2007-01-01,
T,PC,LI_R_MD60,TOTAL,HR,2008-01-01,
T,PC,LI_R_MD60,TOTAL,HR,2009-01-01,
T,PC,LI_R_MD60,TOTAL,HR,2010-01-01,20.6
T,PC,LI_R_MD60,TOTAL,HR,2011-01-01,20.9
T,PC,LI_R_MD60,TOTAL,HR,2012-01-01,20.4
T,PC,LI_R_MD60,TOTAL,HR,2013-01-01,19.5
T,PC,LI_R_MD60,TOTAL,HR,2014-01-01,19.4
T,PC,LI_R_MD60,TOTAL,HR,2015-01-01,20.0
T,PC,LI_R_MD60,TOTAL,HR,2016-01-01,19.5
T,PC,LI_R_MD60,TOTAL,HR,2017-01-01,
T,PC,LI_R_MD60,TOTAL,HU,1995-01-01,
T,PC,LI_R_MD60,TOTAL,HU,1996-01-01,
T,PC,LI_R_MD60,TOTAL,HU,1997-01-01,
T,PC,LI_R_MD60,TOTAL,HU,1998-01-01,
T,PC,LI_R_MD60,TOTAL,HU,1999-01-01,
T,PC,LI_R_MD60,TOTAL,HU,2000-01-01,11.0
T,PC,LI_R_MD60,TOTAL,HU,2001-01-01,11.0
T,PC,LI_R_MD60,TOTAL,HU,2002-01-01,10.0
T,PC,LI_R_MD60,TOTAL,HU,2003-01-01,
T,PC,LI_R_MD60,TOTAL,HU,2004-01-01,
T,PC,LI_R_MD60,TOTAL,HU,2005-01-01,13.5
T,PC,LI_R_MD60,TOTAL,HU,2006-01-01,15.9
T,PC,LI_R_MD60,TOTAL,HU,2007-01-01,12.3
T,PC,LI_R_MD60,TOTAL,HU,2008-01-01,12.4
T,PC,LI_R_MD60,TOTAL,HU,2009-01-01,12.4
T,PC,LI_R_MD60,TOTAL,HU,2010-01-01,12.3
T,PC,LI_R_MD60,TOTAL,HU,2011-01-01,14.1
T,PC,LI_R_MD60,TOTAL,HU,2012-01-01,14.3
T,PC,LI_R_MD60,TOTAL,HU,2013-01-01,15.0
T,PC,LI_R_MD60,TOTAL,HU,2014-01-01,15.0
T,PC,LI_R_MD60,TOTAL,HU,2015-01-01,14.9
T,PC,LI_R_MD60,TOTAL,HU,2016-01-01,14.5
T,PC,LI_R_MD60,TOTAL,HU,2017-01-01,13.4
T,PC,LI_R_MD60,TOTAL,IE,1995-01-01,19.0
T,PC,LI_R_MD60,TOTAL,IE,1996-01-01,19.0
T,PC,LI_R_MD60,TOTAL,IE,1997-01-01,19.0
T,PC,LI_R_MD60,TOTAL,IE,1998-01-01,19.0
T,PC,LI_R_MD60,TOTAL,IE,1999-01-01,19.0
T,PC,LI_R_MD60,TOTAL,IE,2000-01-01,20.0
T,PC,LI_R_MD60,TOTAL,IE,2001-01-01,21.0
T,PC,LI_R_MD60,TOTAL,IE,2002-01-01,
T,PC,LI_R_MD60,TOTAL,IE,2003-01-01,20.5
T,PC,LI_R_MD60,TOTAL,IE,2004-01-01,20.9
T,PC,LI_R_MD60,TOTAL,IE,2005-01-01,19.7
T,PC,LI_R_MD60,TOTAL,IE,2006-01-01,18.5
T,PC,LI_R_MD60,TOTAL,IE,2007-01-01,17.2
T,PC,LI_R_MD60,TOTAL,IE,2008-01-01,15.5
T,PC,LI_R_MD60,TOTAL,IE,2009-01-01,15.0
T,PC,LI_R_MD60,TOTAL,IE,2010-01-01,15.2
T,PC,LI_R_MD60,TOTAL,IE,2011-01-01,15.2
T,PC,LI_R_MD60,TOTAL,IE,2012-01-01,16.6
T,PC,LI_R_MD60,TOTAL,IE,2013-01-01,15.7
T,PC,LI_R_MD60,TOTAL,IE,2014-01-01,16.4
T,PC,LI_R_MD60,TOTAL,IE,2015-01-01,16.3
T,PC,LI_R_MD60,TOTAL,IE,2016-01-01,16.6
T,PC,LI_R_MD60,TOTAL,IE,2017-01-01,
T,PC,LI_R_MD60,TOTAL,IT,1995-01-01,20.0
T,PC,LI_R_MD60,TOTAL,IT,1996-01-01,20.0
