sex,unit,indic_il,age,geotime,date,value
T,PC,LI_R_MD60,TOTAL,IT,1997-01-01,19.0
T,PC,LI_R_MD60,TOTAL,IT,1998-01-01,18.0
T,PC,LI_R_MD60,TOTAL,IT,1999-01-01,18.0
T,PC,LI_R_MD60,TOTAL,IT,2000-01-01,18.0
T,PC,LI_R_MD60,TOTAL,IT,2001-01-01,19.0
T,PC,LI_R_MD60,TOTAL,IT,2002-01-01,
T,PC,LI_R_MD60,TOTAL,IT,2003-01-01,
T,PC,LI_R_MD60,TOTAL,IT,2004-01-01,18.9
T,PC,LI_R_MD60,TOTAL,IT,2005-01-01,19.2
T,PC,LI_R_MD60,TOTAL,IT,2006-01-01,19.3
T,PC,LI_R_MD60,TOTAL,IT,2007-01-01,19.5
T,PC,LI_R_MD60,TOTAL,IT,2008-01-01,18.9
T,PC,LI_R_MD60,TOTAL,IT,2009-01-01,18.4
T,PC,LI_R_MD60,TOTAL,IT,2010-01-01,18.7
T,PC,LI_R_MD60,TOTAL,IT,2011-01-01,19.8
T,PC,LI_R_MD60,TOTAL,IT,2012-01-01,19.5
T,PC,LI_R_MD60,TOTAL,IT,2013-01-01,19.3
T,PC,LI_R_MD60,TOTAL,IT,2014-01-01,19.4
T,PC,LI_R_MD60,TOTAL,IT,2015-01-01,19.9
T,PC,LI_R_MD60,TOTAL,IT,2016-01-01,20.6
T,PC,LI_R_MD60,TOTAL,IT,2017-01-01,20.3
T,PC,LI_R_MD60,TOTAL,LT,1995-01-01,
T,PC,LI_R_MD60,TOTAL,LT,1996-01-01,
T,PC,LI_R_MD60,TOTAL,LT,1997-01-01,
T,PC,LI_R_MD60,TOTAL,LT,1998-01-01,
T,PC,LI_R_MD60,TOTAL,LT,1999-01-01,
T,PC,LI_R_MD60,TOTAL,LT,2000-01-01,17.0
T,PC,LI_R_MD60,TOTAL,LT,2001-01-01,17.0
T,PC,LI_R_MD60,TOTAL,LT,2002-01-01,
T,PC,LI_R_MD60,TOTAL,LT,2003-01-01,
T,PC,LI_R_MD60,TOTAL,LT,2004-01-01,
T,PC,LI_R_MD60,TOTAL,LT,2005-01-01,20.5
T,PC,LI_R_MD60,TOTAL,LT,2006-01-01,20.0
T,PC,LI_R_MD60,TOTAL,LT,2007-01-01,19.1
T,PC,LI_R_MD60,TOTAL,LT,2008-01-01,20.9
T,PC,LI_R_MD60,TOTAL,LT,2009-01-01,20.3
T,PC,LI_R_MD60,TOTAL,LT,2010-01-01,20.5
T,PC,LI_R_MD60,TOTAL,LT,2011-01-01,19.2
T,PC,LI_R_MD60,TOTAL,LT,2012-01-01,18.6
T,PC,LI_R_MD60,TOTAL,LT,2013-01-01,20.6
T,PC,LI_R_MD60,TOTAL,LT,2014-01-01,19.1
T,PC,LI_R_MD60,TOTAL,LT,2015-01-01,22.2
T,PC,LI_R_MD60,TOTAL,LT,2016-01-01,21.9
T,PC,LI_R_MD60,TOTAL,LT,2017-01-01,22.9
T,PC,LI_R_MD60,TOTAL,LU,1995-01-01,12.0
T,PC,LI_R_MD60,TOTAL,LU,1996-01-01,11.0
T,PC,LI_R_MD60,TOTAL,LU,1997-01-01,11.0
T,PC,LI_R_MD60,TOTAL,LU,1998-01-01,12.0
T,PC,LI_R_MD60,TOTAL,LU,1999-01-01,13.0
T,PC,LI_R_MD60,TOTAL,LU,2000-01-01,12.0
T,PC,LI_R_MD60,TOTAL,LU,2001-01-01,12.0
T,PC,LI_R_MD60,TOTAL,LU,2002-01-01,
T,PC,LI_R_MD60,TOTAL,LU,2003-01-01,11.9
T,PC,LI_R_MD60,TOTAL,LU,2004-01-01,12.7
T,PC,LI_R_MD60,TOTAL,LU,2005-01-01,13.7
T,PC,LI_R_MD60,TOTAL,LU,2006-01-01,14.1
T,PC,LI_R_MD60,TOTAL,LU,2007-01-01,13.5
T,PC,LI_R_MD60,TOTAL,LU,2008-01-01,13.4
T,PC,LI_R_MD60,TOTAL,LU,2009-01-01,14.9
T,PC,LI_R_MD60,TOTAL,LU,2010-01-01,14.5
T,PC,LI_R_MD60,TOTAL,LU,2011-01-01,13.6
T,PC,LI_R_MD60,TOTAL,LU,2012-01-01,15.1
T,PC,LI_R_MD60,TOTAL,LU,2013-01-01,15.9
T,PC,LI_R_MD60,TOTAL,LU,2014-01-01,16.4
T,PC,LI_R_MD60,TOTAL,LU,2015-01-01,15.3
T,PC,LI_R_MD60,TOTAL,LU,2016-01-01,16.5
T,PC,LI_R_MD60,TOTAL,LU,2017-01-01,18.7
T,PC,LI_R_MD60,TOTAL,LV,1995-01-01,
T,PC,LI_R_MD60,TOTAL,LV,1996-01-01,
T,PC,LI_R_MD60,TOTAL,LV,1997-01-01,
T,PC,LI_R_MD60,TOTAL,LV,1998-01-01,
T,PC,LI_R_MD60,TOTAL,LV,1999-01-01,
T,PC,LI_R_MD60,TOTAL,LV,2000-01-01,16.0
T,PC,LI_R_MD60,TOTAL,LV,2001-01-01,
T,PC,LI_R_MD60,TOTAL,LV,2002-01-01,
T,PC,LI_R_MD60,TOTAL,LV,2003-01-01,
T,PC,LI_R_MD60,TOTAL,LV,2004-01-01,
T,PC,LI_R_MD60,TOTAL,LV,2005-01-01,19.4
T,PC,LI_R_MD60,TOTAL,LV,2006-01-01,23.5
T,PC,LI_R_MD60,TOTAL,LV,2007-01-01,21.2
T,PC,LI_R_MD60,TOTAL,LV,2008-01-01,25.9
T,PC,LI_R_MD60,TOTAL,LV,2009-01-01,26.4
T,PC,LI_R_MD60,TOTAL,LV,2010-01-01,20.9
T,PC,LI_R_MD60,TOTAL,LV,2011-01-01,19.0
T,PC,LI_R_MD60,TOTAL,LV,2012-01-01,19.2
T,PC,LI_R_MD60,TOTAL,LV,2013-01-01,19.4
T,PC,LI_R_MD60,TOTAL,LV,2014-01-01,21.2
T,PC,LI_R_MD60,TOTAL,LV,2015-01-01,22.5
T,PC,LI_R_MD60,TOTAL,LV,2016-01-01,21.8
T,PC,LI_R_MD60,TOTAL,LV,2017-01-01,22.1
T,PC,LI_R_MD60,TOTAL,MT,1995-01-01,
T,PC,LI_R_MD60,TOTAL,MT,1996-01-01,
T,PC,LI_R_MD60,TOTAL,MT,1997-01-01,
T,PC,LI_R_MD60,TOTAL,MT,1998-01-01,
T,PC,LI_R_MD60,TOTAL,MT,1999-01-01,
T,PC,LI_R_MD60,TOTAL,MT,2000-01-01,15.0
T,PC,LI_R_MD60,TOTAL,MT,2001-01-01,
T,PC,LI_R_MD60,TOTAL,MT,2002-01-01,
T,PC,LI_R_MD60,TOTAL,MT,2003-01-01,
T,PC,LI_R_MD60,TOTAL,MT,2004-01-01,
T,PC,LI_R_MD60,TOTAL,MT,2005-01-01,14.3
T,PC,LI_R_MD60,TOTAL,MT,2006-01-01,14.2
T,PC,LI_R_MD60,TOTAL,MT,2007-01-01,15.1
T,PC,LI_R_MD60,TOTAL,MT,2008-01-01,15.3
T,PC,LI_R_MD60,TOTAL,MT,2009-01-01,14.9
T,PC,LI_R_MD60,TOTAL,MT,2010-01-01,15.5
T,PC,LI_R_MD60,TOTAL,MT,2011-01-01,15.6
