sex,age,typtrai,wstatus,unit,geotime,date,value
F,Y15-29,NO_FED_NFE,NEMP,PC,DK,2016-01-01,7
F,Y15-29,NO_FED_NFE,NEMP,PC,DK,2017-01-01,9
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2000-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2001-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2002-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2003-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2004-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2005-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2006-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2007-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2008-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2009-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2010-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2011-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2013-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2014-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2015-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2016-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EA18,2017-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2000-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2001-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2002-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2003-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2004-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2005-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2006-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2007-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2008-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2009-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2010-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2011-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2013-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2014-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2015-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2016-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EA19,2017-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2000-01-01,22
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2001-01-01,23
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2002-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2003-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2004-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2005-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2006-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2007-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2008-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2009-01-01,20
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2010-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2011-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2013-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2014-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2015-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2016-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,EE,2017-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2000-01-01,28
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2001-01-01,27
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2002-01-01,26
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2003-01-01,26
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2004-01-01,26
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2005-01-01,25
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2006-01-01,21
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2007-01-01,20
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2008-01-01,20
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2009-01-01,21
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2010-01-01,23
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2011-01-01,26
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2013-01-01,30
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2014-01-01,28
F,Y15-29,NO_FED_NFE,NEMP,PC,EL,2015-01-01,26
