sex,age,unit,isced11,geo\time,date,value
T,Y30-34,PC,ED5-8,LU,2011-01-01,48.2 
T,Y30-34,PC,ED5-8,LU,2012-01-01,49.6
T,Y30-34,PC,ED5-8,LU,2013-01-01,52.5 
T,Y30-34,PC,ED5-8,LU,2014-01-01,52.7 b
T,Y30-34,PC,ED5-8,LU,2015-01-01,52.3 b
T,Y30-34,PC,ED5-8,LU,2016-01-01,54.6 u
T,Y30-34,PC,ED5-8,LU,2017-01-01,52.7 u
T,Y30-34,PC,ED5-8,LV,2005-01-01,18.5 
T,Y30-34,PC,ED5-8,LV,2006-01-01,19.3 
T,Y30-34,PC,ED5-8,LV,2007-01-01,25.7 
T,Y30-34,PC,ED5-8,LV,2008-01-01,26.3 
T,Y30-34,PC,ED5-8,LV,2009-01-01,30.5 
T,Y30-34,PC,ED5-8,LV,2010-01-01,32.6 
T,Y30-34,PC,ED5-8,LV,2011-01-01,35.9 
T,Y30-34,PC,ED5-8,LV,2012-01-01,37.2
T,Y30-34,PC,ED5-8,LV,2013-01-01,40.7 
T,Y30-34,PC,ED5-8,LV,2014-01-01,39.9 b
T,Y30-34,PC,ED5-8,LV,2015-01-01,41.3 
T,Y30-34,PC,ED5-8,LV,2016-01-01,42.8 
T,Y30-34,PC,ED5-8,LV,2017-01-01,43.8 
T,Y30-34,PC,ED5-8,ME,2005-01-01,: 
T,Y30-34,PC,ED5-8,ME,2006-01-01,: 
T,Y30-34,PC,ED5-8,ME,2007-01-01,: 
T,Y30-34,PC,ED5-8,ME,2008-01-01,: 
T,Y30-34,PC,ED5-8,ME,2009-01-01,: 
T,Y30-34,PC,ED5-8,ME,2010-01-01,: 
T,Y30-34,PC,ED5-8,ME,2011-01-01,24.1 
T,Y30-34,PC,ED5-8,ME,2012-01-01,24.2
T,Y30-34,PC,ED5-8,ME,2013-01-01,26.8 
T,Y30-34,PC,ED5-8,ME,2014-01-01,28.3 b
T,Y30-34,PC,ED5-8,ME,2015-01-01,31.0 
T,Y30-34,PC,ED5-8,ME,2016-01-01,33.9 
T,Y30-34,PC,ED5-8,ME,2017-01-01,34.0 
T,Y30-34,PC,ED5-8,MK,2005-01-01,: 
T,Y30-34,PC,ED5-8,MK,2006-01-01,11.6 
T,Y30-34,PC,ED5-8,MK,2007-01-01,12.2 
T,Y30-34,PC,ED5-8,MK,2008-01-01,12.4 
T,Y30-34,PC,ED5-8,MK,2009-01-01,14.3 
T,Y30-34,PC,ED5-8,MK,2010-01-01,17.1 
T,Y30-34,PC,ED5-8,MK,2011-01-01,20.4 
T,Y30-34,PC,ED5-8,MK,2012-01-01,21.7
T,Y30-34,PC,ED5-8,MK,2013-01-01,23.1 
T,Y30-34,PC,ED5-8,MK,2014-01-01,24.9 b
T,Y30-34,PC,ED5-8,MK,2015-01-01,28.6 
T,Y30-34,PC,ED5-8,MK,2016-01-01,29.1 
T,Y30-34,PC,ED5-8,MK,2017-01-01,30.6 
T,Y30-34,PC,ED5-8,MT,2005-01-01,17.6 b
T,Y30-34,PC,ED5-8,MT,2006-01-01,20.7 
T,Y30-34,PC,ED5-8,MT,2007-01-01,20.8 
T,Y30-34,PC,ED5-8,MT,2008-01-01,21.0 
T,Y30-34,PC,ED5-8,MT,2009-01-01,21.9 
T,Y30-34,PC,ED5-8,MT,2010-01-01,22.1 
T,Y30-34,PC,ED5-8,MT,2011-01-01,23.4 b
T,Y30-34,PC,ED5-8,MT,2012-01-01,26.3
T,Y30-34,PC,ED5-8,MT,2013-01-01,28.7 
T,Y30-34,PC,ED5-8,MT,2014-01-01,28.6 b
T,Y30-34,PC,ED5-8,MT,2015-01-01,29.1 
T,Y30-34,PC,ED5-8,MT,2016-01-01,32.0 
T,Y30-34,PC,ED5-8,MT,2017-01-01,33.5 
T,Y30-34,PC,ED5-8,NL,2005-01-01,34.9 
T,Y30-34,PC,ED5-8,NL,2006-01-01,35.8 
T,Y30-34,PC,ED5-8,NL,2007-01-01,36.4 
T,Y30-34,PC,ED5-8,NL,2008-01-01,40.2 
T,Y30-34,PC,ED5-8,NL,2009-01-01,40.5 
T,Y30-34,PC,ED5-8,NL,2010-01-01,41.4 b
T,Y30-34,PC,ED5-8,NL,2011-01-01,41.2 b
T,Y30-34,PC,ED5-8,NL,2012-01-01,42.2
T,Y30-34,PC,ED5-8,NL,2013-01-01,43.2 b
T,Y30-34,PC,ED5-8,NL,2014-01-01,44.8 b
T,Y30-34,PC,ED5-8,NL,2015-01-01,46.3 
T,Y30-34,PC,ED5-8,NL,2016-01-01,45.7 
T,Y30-34,PC,ED5-8,NL,2017-01-01,47.9 
T,Y30-34,PC,ED5-8,NO,2005-01-01,39.4 
T,Y30-34,PC,ED5-8,NO,2006-01-01,41.9 b
T,Y30-34,PC,ED5-8,NO,2007-01-01,43.7 
T,Y30-34,PC,ED5-8,NO,2008-01-01,46.2 
T,Y30-34,PC,ED5-8,NO,2009-01-01,47.0 
T,Y30-34,PC,ED5-8,NO,2010-01-01,47.3 
T,Y30-34,PC,ED5-8,NO,2011-01-01,48.8 
T,Y30-34,PC,ED5-8,NO,2012-01-01,47.6
T,Y30-34,PC,ED5-8,NO,2013-01-01,48.8 
T,Y30-34,PC,ED5-8,NO,2014-01-01,52.1 b
T,Y30-34,PC,ED5-8,NO,2015-01-01,50.9 
T,Y30-34,PC,ED5-8,NO,2016-01-01,50.1 
T,Y30-34,PC,ED5-8,NO,2017-01-01,49.0 
T,Y30-34,PC,ED5-8,PL,2005-01-01,22.7 
T,Y30-34,PC,ED5-8,PL,2006-01-01,24.7 
T,Y30-34,PC,ED5-8,PL,2007-01-01,27.0 
T,Y30-34,PC,ED5-8,PL,2008-01-01,29.7 
T,Y30-34,PC,ED5-8,PL,2009-01-01,32.8 
T,Y30-34,PC,ED5-8,PL,2010-01-01,34.8 b
T,Y30-34,PC,ED5-8,PL,2011-01-01,36.5 
T,Y30-34,PC,ED5-8,PL,2012-01-01,39.1
T,Y30-34,PC,ED5-8,PL,2013-01-01,40.5 
T,Y30-34,PC,ED5-8,PL,2014-01-01,42.1 b
T,Y30-34,PC,ED5-8,PL,2015-01-01,43.4 
T,Y30-34,PC,ED5-8,PL,2016-01-01,44.6 
T,Y30-34,PC,ED5-8,PL,2017-01-01,45.7 
T,Y30-34,PC,ED5-8,PT,2005-01-01,17.5 
T,Y30-34,PC,ED5-8,PT,2006-01-01,18.3 
T,Y30-34,PC,ED5-8,PT,2007-01-01,19.5 
T,Y30-34,PC,ED5-8,PT,2008-01-01,21.6 
T,Y30-34,PC,ED5-8,PT,2009-01-01,21.3 
T,Y30-34,PC,ED5-8,PT,2010-01-01,24.0 
T,Y30-34,PC,ED5-8,PT,2011-01-01,26.7 b
T,Y30-34,PC,ED5-8,PT,2012-01-01,27.8
T,Y30-34,PC,ED5-8,PT,2013-01-01,30.0 
T,Y30-34,PC,ED5-8,PT,2014-01-01,31.3 b
T,Y30-34,PC,ED5-8,PT,2015-01-01,31.9 
T,Y30-34,PC,ED5-8,PT,2016-01-01,34.6 
T,Y30-34,PC,ED5-8,PT,2017-01-01,33.5 
T,Y30-34,PC,ED5-8,RO,2005-01-01,11.4 
T,Y30-34,PC,ED5-8,RO,2006-01-01,12.4 
T,Y30-34,PC,ED5-8,RO,2007-01-01,13.9 
T,Y30-34,PC,ED5-8,RO,2008-01-01,16.0 
T,Y30-34,PC,ED5-8,RO,2009-01-01,16.8 
T,Y30-34,PC,ED5-8,RO,2010-01-01,18.3 b
T,Y30-34,PC,ED5-8,RO,2011-01-01,20.3 
T,Y30-34,PC,ED5-8,RO,2012-01-01,21.7
T,Y30-34,PC,ED5-8,RO,2013-01-01,22.9 
T,Y30-34,PC,ED5-8,RO,2014-01-01,25.0 b
T,Y30-34,PC,ED5-8,RO,2015-01-01,25.6 
T,Y30-34,PC,ED5-8,RO,2016-01-01,25.6 
T,Y30-34,PC,ED5-8,RO,2017-01-01,26.3 
T,Y30-34,PC,ED5-8,SE,2005-01-01,37.6 b
T,Y30-34,PC,ED5-8,SE,2006-01-01,39.5 b
T,Y30-34,PC,ED5-8,SE,2007-01-01,41.0 
