org_inst,sex,unit,geotime,date,value
GOV_NAT,F,PC_WMN,HU,2010-01-01,0
GOV_NAT,F,PC_WMN,HU,2011-01-01,0
GOV_NAT,F,PC_WMN,HU,2012-01-01,9
GOV_NAT,F,PC_WMN,HU,2013-01-01,10
GOV_NAT,F,PC_WMN,HU,2014-01-01,0
GOV_NAT,F,PC_WMN,HU,2015-01-01,0
GOV_NAT,F,PC_WMN,HU,2016-01-01,0
GOV_NAT,F,PC_WMN,HU,2017-01-01,0
GOV_NAT,F,PC_WMN,HU,2018-01-01,0
GOV_NAT,F,PC_WMN,IE,2003-01-01,12
GOV_NAT,F,PC_WMN,IE,2004-01-01,11
GOV_NAT,F,PC_WMN,IE,2005-01-01,16
GOV_NAT,F,PC_WMN,IE,2006-01-01,16
GOV_NAT,F,PC_WMN,IE,2007-01-01,14
GOV_NAT,F,PC_WMN,IE,2008-01-01,14
GOV_NAT,F,PC_WMN,IE,2009-01-01,13
GOV_NAT,F,PC_WMN,IE,2010-01-01,16
GOV_NAT,F,PC_WMN,IE,2011-01-01,20
GOV_NAT,F,PC_WMN,IE,2012-01-01,16
GOV_NAT,F,PC_WMN,IE,2013-01-01,13
GOV_NAT,F,PC_WMN,IE,2014-01-01,20
GOV_NAT,F,PC_WMN,IE,2015-01-01,20
GOV_NAT,F,PC_WMN,IE,2016-01-01,24
GOV_NAT,F,PC_WMN,IE,2017-01-01,20
GOV_NAT,F,PC_WMN,IE,2018-01-01,20
GOV_NAT,F,PC_WMN,IS,2003-01-01,18
GOV_NAT,F,PC_WMN,IS,2004-01-01,27
GOV_NAT,F,PC_WMN,IS,2005-01-01,27
GOV_NAT,F,PC_WMN,IS,2006-01-01,36
GOV_NAT,F,PC_WMN,IS,2007-01-01,33
GOV_NAT,F,PC_WMN,IS,2008-01-01,33
GOV_NAT,F,PC_WMN,IS,2009-01-01,50
GOV_NAT,F,PC_WMN,IS,2010-01-01,40
GOV_NAT,F,PC_WMN,IS,2011-01-01,40
