age,isced11,unit,sex,geotime,date,value
Y30-34,ED5-8,PC,F,DE,2008-01-01,27.0
Y30-34,ED5-8,PC,F,DE,2009-01-01,29.2
Y30-34,ED5-8,PC,F,DE,2010-01-01,29.4
Y30-34,ED5-8,PC,F,DE,2011-01-01,31.3
Y30-34,ED5-8,PC,F,DE,2012-01-01,32.6
Y30-34,ED5-8,PC,F,DE,2013-01-01,33.7
Y30-34,ED5-8,PC,F,DE,2014-01-01,30.8
Y30-34,ED5-8,PC,F,DE,2015-01-01,32.4
Y30-34,ED5-8,PC,F,DE,2016-01-01,33.0
Y30-34,ED5-8,PC,F,DE,2017-01-01,34.2
Y30-34,ED5-8,PC,F,DK,1992-01-01,25.0
Y30-34,ED5-8,PC,F,DK,1993-01-01,29.4
Y30-34,ED5-8,PC,F,DK,1994-01-01,31.1
Y30-34,ED5-8,PC,F,DK,1995-01-01,29.3
Y30-34,ED5-8,PC,F,DK,1996-01-01,30.8
Y30-34,ED5-8,PC,F,DK,1997-01-01,29.8
Y30-34,ED5-8,PC,F,DK,1998-01-01,29.2
Y30-34,ED5-8,PC,F,DK,1999-01-01,30.0
Y30-34,ED5-8,PC,F,DK,2000-01-01,33.6
Y30-34,ED5-8,PC,F,DK,2001-01-01,37.8
Y30-34,ED5-8,PC,F,DK,2002-01-01,39.4
Y30-34,ED5-8,PC,F,DK,2003-01-01,41.1
Y30-34,ED5-8,PC,F,DK,2004-01-01,44.0
Y30-34,ED5-8,PC,F,DK,2005-01-01,47.3
Y30-34,ED5-8,PC,F,DK,2006-01-01,47.4
Y30-34,ED5-8,PC,F,DK,2007-01-01,41.6
Y30-34,ED5-8,PC,F,DK,2008-01-01,41.8
Y30-34,ED5-8,PC,F,DK,2009-01-01,46.5
Y30-34,ED5-8,PC,F,DK,2010-01-01,45.9
Y30-34,ED5-8,PC,F,DK,2011-01-01,48.0
Y30-34,ED5-8,PC,F,DK,2012-01-01,52.6
Y30-34,ED5-8,PC,F,DK,2013-01-01,51.8
Y30-34,ED5-8,PC,F,DK,2014-01-01,50.5
Y30-34,ED5-8,PC,F,DK,2015-01-01,55.9
Y30-34,ED5-8,PC,F,DK,2016-01-01,54.6
Y30-34,ED5-8,PC,F,DK,2017-01-01,56.7
Y30-34,ED5-8,PC,F,EA18,1992-01-01,
Y30-34,ED5-8,PC,F,EA18,1993-01-01,
Y30-34,ED5-8,PC,F,EA18,1994-01-01,
Y30-34,ED5-8,PC,F,EA18,1995-01-01,
Y30-34,ED5-8,PC,F,EA18,1996-01-01,
Y30-34,ED5-8,PC,F,EA18,1997-01-01,
Y30-34,ED5-8,PC,F,EA18,1998-01-01,
Y30-34,ED5-8,PC,F,EA18,1999-01-01,
Y30-34,ED5-8,PC,F,EA18,2000-01-01,23.4
Y30-34,ED5-8,PC,F,EA18,2001-01-01,24.2
Y30-34,ED5-8,PC,F,EA18,2002-01-01,25.8
Y30-34,ED5-8,PC,F,EA18,2003-01-01,27.6
Y30-34,ED5-8,PC,F,EA18,2004-01-01,29.8
Y30-34,ED5-8,PC,F,EA18,2005-01-01,31.2
Y30-34,ED5-8,PC,F,EA18,2006-01-01,32.7
Y30-34,ED5-8,PC,F,EA18,2007-01-01,33.9
Y30-34,ED5-8,PC,F,EA18,2008-01-01,35.0
Y30-34,ED5-8,PC,F,EA18,2009-01-01,35.9
Y30-34,ED5-8,PC,F,EA18,2010-01-01,37.1
Y30-34,ED5-8,PC,F,EA18,2011-01-01,37.8
Y30-34,ED5-8,PC,F,EA18,2012-01-01,38.9
Y30-34,ED5-8,PC,F,EA18,2013-01-01,39.9
Y30-34,ED5-8,PC,F,EA18,2014-01-01,40.2
Y30-34,ED5-8,PC,F,EA18,2015-01-01,41.3
Y30-34,ED5-8,PC,F,EA18,2016-01-01,41.8
Y30-34,ED5-8,PC,F,EA18,2017-01-01,42.9
Y30-34,ED5-8,PC,F,EA19,1992-01-01,
Y30-34,ED5-8,PC,F,EA19,1993-01-01,
Y30-34,ED5-8,PC,F,EA19,1994-01-01,
Y30-34,ED5-8,PC,F,EA19,1995-01-01,
Y30-34,ED5-8,PC,F,EA19,1996-01-01,
Y30-34,ED5-8,PC,F,EA19,1997-01-01,
Y30-34,ED5-8,PC,F,EA19,1998-01-01,
Y30-34,ED5-8,PC,F,EA19,1999-01-01,
Y30-34,ED5-8,PC,F,EA19,2000-01-01,23.7
Y30-34,ED5-8,PC,F,EA19,2001-01-01,24.3
Y30-34,ED5-8,PC,F,EA19,2002-01-01,25.8
Y30-34,ED5-8,PC,F,EA19,2003-01-01,27.6
Y30-34,ED5-8,PC,F,EA19,2004-01-01,29.9
Y30-34,ED5-8,PC,F,EA19,2005-01-01,31.4
Y30-34,ED5-8,PC,F,EA19,2006-01-01,32.8
Y30-34,ED5-8,PC,F,EA19,2007-01-01,34.0
Y30-34,ED5-8,PC,F,EA19,2008-01-01,35.1
Y30-34,ED5-8,PC,F,EA19,2009-01-01,36.0
Y30-34,ED5-8,PC,F,EA19,2010-01-01,37.3
Y30-34,ED5-8,PC,F,EA19,2011-01-01,37.9
Y30-34,ED5-8,PC,F,EA19,2012-01-01,39.1
Y30-34,ED5-8,PC,F,EA19,2013-01-01,40.1
Y30-34,ED5-8,PC,F,EA19,2014-01-01,40.4
Y30-34,ED5-8,PC,F,EA19,2015-01-01,41.6
Y30-34,ED5-8,PC,F,EA19,2016-01-01,42.1
Y30-34,ED5-8,PC,F,EA19,2017-01-01,43.1
Y30-34,ED5-8,PC,F,EE,1992-01-01,
Y30-34,ED5-8,PC,F,EE,1993-01-01,
Y30-34,ED5-8,PC,F,EE,1994-01-01,
Y30-34,ED5-8,PC,F,EE,1995-01-01,
Y30-34,ED5-8,PC,F,EE,1996-01-01,
Y30-34,ED5-8,PC,F,EE,1997-01-01,
Y30-34,ED5-8,PC,F,EE,1998-01-01,43.1
Y30-34,ED5-8,PC,F,EE,1999-01-01,37.3
Y30-34,ED5-8,PC,F,EE,2000-01-01,38.9
Y30-34,ED5-8,PC,F,EE,2001-01-01,35.7
Y30-34,ED5-8,PC,F,EE,2002-01-01,32.7
Y30-34,ED5-8,PC,F,EE,2003-01-01,33.8
Y30-34,ED5-8,PC,F,EE,2004-01-01,35.4
Y30-34,ED5-8,PC,F,EE,2005-01-01,36.8
Y30-34,ED5-8,PC,F,EE,2006-01-01,38.5
Y30-34,ED5-8,PC,F,EE,2007-01-01,42.9
Y30-34,ED5-8,PC,F,EE,2008-01-01,40.1
Y30-34,ED5-8,PC,F,EE,2009-01-01,43.2
Y30-34,ED5-8,PC,F,EE,2010-01-01,48.6
Y30-34,ED5-8,PC,F,EE,2011-01-01,50.4
Y30-34,ED5-8,PC,F,EE,2012-01-01,51.3
Y30-34,ED5-8,PC,F,EE,2013-01-01,53.7
Y30-34,ED5-8,PC,F,EE,2014-01-01,54.2
Y30-34,ED5-8,PC,F,EE,2015-01-01,56.7
Y30-34,ED5-8,PC,F,EE,2016-01-01,52.4
Y30-34,ED5-8,PC,F,EE,2017-01-01,55.6
Y30-34,ED5-8,PC,F,EL,1992-01-01,14.6
Y30-34,ED5-8,PC,F,EL,1993-01-01,17.0
Y30-34,ED5-8,PC,F,EL,1994-01-01,17.8
Y30-34,ED5-8,PC,F,EL,1995-01-01,20.0
Y30-34,ED5-8,PC,F,EL,1996-01-01,21.5
Y30-34,ED5-8,PC,F,EL,1997-01-01,23.6
Y30-34,ED5-8,PC,F,EL,1998-01-01,26.6
Y30-34,ED5-8,PC,F,EL,1999-01-01,27.1
Y30-34,ED5-8,PC,F,EL,2000-01-01,26.9
Y30-34,ED5-8,PC,F,EL,2001-01-01,26.4
Y30-34,ED5-8,PC,F,EL,2002-01-01,24.9
Y30-34,ED5-8,PC,F,EL,2003-01-01,24.1
Y30-34,ED5-8,PC,F,EL,2004-01-01,26.7
Y30-34,ED5-8,PC,F,EL,2005-01-01,27.5
Y30-34,ED5-8,PC,F,EL,2006-01-01,28.2
Y30-34,ED5-8,PC,F,EL,2007-01-01,27.2
Y30-34,ED5-8,PC,F,EL,2008-01-01,27.8
Y30-34,ED5-8,PC,F,EL,2009-01-01,29.0
Y30-34,ED5-8,PC,F,EL,2010-01-01,31.1
Y30-34,ED5-8,PC,F,EL,2011-01-01,31.5
Y30-34,ED5-8,PC,F,EL,2012-01-01,34.2
Y30-34,ED5-8,PC,F,EL,2013-01-01,39.0
Y30-34,ED5-8,PC,F,EL,2014-01-01,41.6
Y30-34,ED5-8,PC,F,EL,2015-01-01,45.5
Y30-34,ED5-8,PC,F,EL,2016-01-01,48.8
Y30-34,ED5-8,PC,F,EL,2017-01-01,50.5
Y30-34,ED5-8,PC,F,ES,1992-01-01,18.1
Y30-34,ED5-8,PC,F,ES,1993-01-01,20.5
Y30-34,ED5-8,PC,F,ES,1994-01-01,21.8
Y30-34,ED5-8,PC,F,ES,1995-01-01,24.5
Y30-34,ED5-8,PC,F,ES,1996-01-01,26.4
Y30-34,ED5-8,PC,F,ES,1997-01-01,27.9
Y30-34,ED5-8,PC,F,ES,1998-01-01,30.2
Y30-34,ED5-8,PC,F,ES,1999-01-01,30.7
Y30-34,ED5-8,PC,F,ES,2000-01-01,30.4
Y30-34,ED5-8,PC,F,ES,2001-01-01,33.3
Y30-34,ED5-8,PC,F,ES,2002-01-01,37.2
Y30-34,ED5-8,PC,F,ES,2003-01-01,37.8
Y30-34,ED5-8,PC,F,ES,2004-01-01,40.6
Y30-34,ED5-8,PC,F,ES,2005-01-01,44.6
Y30-34,ED5-8,PC,F,ES,2006-01-01,44.8
Y30-34,ED5-8,PC,F,ES,2007-01-01,46.3
Y30-34,ED5-8,PC,F,ES,2008-01-01,46.5
Y30-34,ED5-8,PC,F,ES,2009-01-01,46.5
Y30-34,ED5-8,PC,F,ES,2010-01-01,47.5
Y30-34,ED5-8,PC,F,ES,2011-01-01,46.7
Y30-34,ED5-8,PC,F,ES,2012-01-01,47.1
Y30-34,ED5-8,PC,F,ES,2013-01-01,47.5
Y30-34,ED5-8,PC,F,ES,2014-01-01,47.8
Y30-34,ED5-8,PC,F,ES,2015-01-01,47.1
Y30-34,ED5-8,PC,F,ES,2016-01-01,46.6
Y30-34,ED5-8,PC,F,ES,2017-01-01,47.5
Y30-34,ED5-8,PC,F,EU27,1992-01-01,
Y30-34,ED5-8,PC,F,EU27,1993-01-01,
Y30-34,ED5-8,PC,F,EU27,1994-01-01,
Y30-34,ED5-8,PC,F,EU27,1995-01-01,
Y30-34,ED5-8,PC,F,EU27,1996-01-01,
Y30-34,ED5-8,PC,F,EU27,1997-01-01,
Y30-34,ED5-8,PC,F,EU27,1998-01-01,
Y30-34,ED5-8,PC,F,EU27,1999-01-01,
Y30-34,ED5-8,PC,F,EU27,2000-01-01,22.7
Y30-34,ED5-8,PC,F,EU27,2001-01-01,23.2
Y30-34,ED5-8,PC,F,EU27,2002-01-01,24.6
Y30-34,ED5-8,PC,F,EU27,2003-01-01,26.2
Y30-34,ED5-8,PC,F,EU27,2004-01-01,28.7
Y30-34,ED5-8,PC,F,EU27,2005-01-01,30.2
Y30-34,ED5-8,PC,F,EU27,2006-01-01,31.7
Y30-34,ED5-8,PC,F,EU27,2007-01-01,33.0
Y30-34,ED5-8,PC,F,EU27,2008-01-01,34.4
Y30-34,ED5-8,PC,F,EU27,2009-01-01,35.8
Y30-34,ED5-8,PC,F,EU27,2010-01-01,37.4
Y30-34,ED5-8,PC,F,EU27,2011-01-01,38.7
Y30-34,ED5-8,PC,F,EU27,2012-01-01,40.3
Y30-34,ED5-8,PC,F,EU27,2013-01-01,41.5
Y30-34,ED5-8,PC,F,EU27,2014-01-01,42.3
Y30-34,ED5-8,PC,F,EU27,2015-01-01,43.4
Y30-34,ED5-8,PC,F,EU27,2016-01-01,44.0
Y30-34,ED5-8,PC,F,EU27,2017-01-01,45.0
Y30-34,ED5-8,PC,F,EU28,1992-01-01,
Y30-34,ED5-8,PC,F,EU28,1993-01-01,
Y30-34,ED5-8,PC,F,EU28,1994-01-01,
Y30-34,ED5-8,PC,F,EU28,1995-01-01,
Y30-34,ED5-8,PC,F,EU28,1996-01-01,
Y30-34,ED5-8,PC,F,EU28,1997-01-01,
Y30-34,ED5-8,PC,F,EU28,1998-01-01,
Y30-34,ED5-8,PC,F,EU28,1999-01-01,
Y30-34,ED5-8,PC,F,EU28,2000-01-01,
Y30-34,ED5-8,PC,F,EU28,2001-01-01,
Y30-34,ED5-8,PC,F,EU28,2002-01-01,24.5
Y30-34,ED5-8,PC,F,EU28,2003-01-01,26.1
Y30-34,ED5-8,PC,F,EU28,2004-01-01,28.6
Y30-34,ED5-8,PC,F,EU28,2005-01-01,30.1
Y30-34,ED5-8,PC,F,EU28,2006-01-01,31.6
Y30-34,ED5-8,PC,F,EU28,2007-01-01,32.9
Y30-34,ED5-8,PC,F,EU28,2008-01-01,34.3
Y30-34,ED5-8,PC,F,EU28,2009-01-01,35.7
Y30-34,ED5-8,PC,F,EU28,2010-01-01,37.3
Y30-34,ED5-8,PC,F,EU28,2011-01-01,38.6
Y30-34,ED5-8,PC,F,EU28,2012-01-01,40.2
Y30-34,ED5-8,PC,F,EU28,2013-01-01,41.4
Y30-34,ED5-8,PC,F,EU28,2014-01-01,42.3
Y30-34,ED5-8,PC,F,EU28,2015-01-01,43.4
Y30-34,ED5-8,PC,F,EU28,2016-01-01,43.9
Y30-34,ED5-8,PC,F,EU28,2017-01-01,44.9
Y30-34,ED5-8,PC,F,FI,1992-01-01,
Y30-34,ED5-8,PC,F,FI,1993-01-01,
Y30-34,ED5-8,PC,F,FI,1994-01-01,
Y30-34,ED5-8,PC,F,FI,1995-01-01,28.5
Y30-34,ED5-8,PC,F,FI,1996-01-01,24.6
Y30-34,ED5-8,PC,F,FI,1997-01-01,28.2
Y30-34,ED5-8,PC,F,FI,1998-01-01,43.0
Y30-34,ED5-8,PC,F,FI,1999-01-01,45.4
Y30-34,ED5-8,PC,F,FI,2000-01-01,47.9
Y30-34,ED5-8,PC,F,FI,2001-01-01,49.6
Y30-34,ED5-8,PC,F,FI,2002-01-01,49.3
Y30-34,ED5-8,PC,F,FI,2003-01-01,50.2
Y30-34,ED5-8,PC,F,FI,2004-01-01,52.1
Y30-34,ED5-8,PC,F,FI,2005-01-01,52.1
Y30-34,ED5-8,PC,F,FI,2006-01-01,55.3
Y30-34,ED5-8,PC,F,FI,2007-01-01,55.4
Y30-34,ED5-8,PC,F,FI,2008-01-01,56.6
Y30-34,ED5-8,PC,F,FI,2009-01-01,55.5
Y30-34,ED5-8,PC,F,FI,2010-01-01,54.0
Y30-34,ED5-8,PC,F,FI,2011-01-01,55.0
Y30-34,ED5-8,PC,F,FI,2012-01-01,55.4
Y30-34,ED5-8,PC,F,FI,2013-01-01,52.9
Y30-34,ED5-8,PC,F,FI,2014-01-01,52.6
Y30-34,ED5-8,PC,F,FI,2015-01-01,53.4
Y30-34,ED5-8,PC,F,FI,2016-01-01,54.4
Y30-34,ED5-8,PC,F,FI,2017-01-01,52.0
Y30-34,ED5-8,PC,F,FR,1992-01-01,
Y30-34,ED5-8,PC,F,FR,1993-01-01,21.3
Y30-34,ED5-8,PC,F,FR,1994-01-01,23.2
Y30-34,ED5-8,PC,F,FR,1995-01-01,23.7
Y30-34,ED5-8,PC,F,FR,1996-01-01,23.2
Y30-34,ED5-8,PC,F,FR,1997-01-01,23.3
Y30-34,ED5-8,PC,F,FR,1998-01-01,26.6
Y30-34,ED5-8,PC,F,FR,1999-01-01,27.3
Y30-34,ED5-8,PC,F,FR,2000-01-01,29.0
Y30-34,ED5-8,PC,F,FR,2001-01-01,30.6
Y30-34,ED5-8,PC,F,FR,2002-01-01,34.0
Y30-34,ED5-8,PC,F,FR,2003-01-01,37.5
Y30-34,ED5-8,PC,F,FR,2004-01-01,38.7
Y30-34,ED5-8,PC,F,FR,2005-01-01,40.5
Y30-34,ED5-8,PC,F,FR,2006-01-01,44.1
Y30-34,ED5-8,PC,F,FR,2007-01-01,45.0
Y30-34,ED5-8,PC,F,FR,2008-01-01,44.9
Y30-34,ED5-8,PC,F,FR,2009-01-01,47.1
Y30-34,ED5-8,PC,F,FR,2010-01-01,47.2
Y30-34,ED5-8,PC,F,FR,2011-01-01,47.2
Y30-34,ED5-8,PC,F,FR,2012-01-01,48.2
Y30-34,ED5-8,PC,F,FR,2013-01-01,48.4
Y30-34,ED5-8,PC,F,FR,2014-01-01,47.9
Y30-34,ED5-8,PC,F,FR,2015-01-01,49.6
Y30-34,ED5-8,PC,F,FR,2016-01-01,48.8
Y30-34,ED5-8,PC,F,FR,2017-01-01,49.6
Y30-34,ED5-8,PC,F,HR,1992-01-01,
Y30-34,ED5-8,PC,F,HR,1993-01-01,
Y30-34,ED5-8,PC,F,HR,1994-01-01,
Y30-34,ED5-8,PC,F,HR,1995-01-01,
Y30-34,ED5-8,PC,F,HR,1996-01-01,
Y30-34,ED5-8,PC,F,HR,1997-01-01,
Y30-34,ED5-8,PC,F,HR,1998-01-01,
Y30-34,ED5-8,PC,F,HR,1999-01-01,
Y30-34,ED5-8,PC,F,HR,2000-01-01,
Y30-34,ED5-8,PC,F,HR,2001-01-01,
Y30-34,ED5-8,PC,F,HR,2002-01-01,17.6
Y30-34,ED5-8,PC,F,HR,2003-01-01,20.1
