landcover,unit,geotime,date,value
LCA,I09,LV,2012-01-01,101.8
LCA,I09,LV,2015-01-01,104.9
LCA,I09,NL,2009-01-01,100.0
LCA,I09,NL,2012-01-01,106.0
LCA,I09,NL,2015-01-01,112.1
LCA,I09,PL,2009-01-01,100.0
LCA,I09,PL,2012-01-01,103.0
LCA,I09,PL,2015-01-01,107.1
LCA,I09,PT,2009-01-01,100.0
LCA,I09,PT,2012-01-01,102.5
LCA,I09,PT,2015-01-01,105.2
LCA,I09,SE,2009-01-01,100.0
LCA,I09,SE,2012-01-01,103.4
LCA,I09,SE,2015-01-01,110.8
LCA,I09,SI,2009-01-01,100.0
LCA,I09,SI,2012-01-01,105.9
LCA,I09,SI,2015-01-01,108.9
LCA,I09,SK,2009-01-01,100.0
LCA,I09,SK,2012-01-01,107.0
LCA,I09,SK,2015-01-01,114.9
LCA,I09,UK,2009-01-01,100.0
LCA,I09,UK,2012-01-01,103.7
LCA,I09,UK,2015-01-01,108.9
LCA,I12,AT,2009-01-01,
LCA,I12,AT,2012-01-01,100.0
LCA,I12,AT,2015-01-01,103.0
LCA,I12,BE,2009-01-01,
LCA,I12,BE,2012-01-01,100.0
LCA,I12,BE,2015-01-01,105.1
LCA,I12,BG,2009-01-01,
LCA,I12,BG,2012-01-01,100.0
LCA,I12,BG,2015-01-01,107.2
LCA,I12,CY,2009-01-01,
LCA,I12,CY,2012-01-01,100.0
LCA,I12,CY,2015-01-01,104.7
LCA,I12,CZ,2009-01-01,
LCA,I12,CZ,2012-01-01,100.0
LCA,I12,CZ,2015-01-01,104.9
LCA,I12,DE,2009-01-01,
LCA,I12,DE,2012-01-01,100.0
LCA,I12,DE,2015-01-01,104.5
LCA,I12,DK,2009-01-01,
LCA,I12,DK,2012-01-01,100.0
LCA,I12,DK,2015-01-01,103.3
LCA,I12,EE,2009-01-01,
LCA,I12,EE,2012-01-01,100.0
LCA,I12,EE,2015-01-01,105.3
LCA,I12,EL,2009-01-01,
LCA,I12,EL,2012-01-01,100.0
LCA,I12,EL,2015-01-01,104.6
LCA,I12,ES,2009-01-01,
LCA,I12,ES,2012-01-01,100.0
LCA,I12,ES,2015-01-01,103.5
LCA,I12,EU27,2009-01-01,
LCA,I12,EU27,2012-01-01,100.0
LCA,I12,EU27,2015-01-01,104.0
LCA,I12,EU_V,2009-01-01,
LCA,I12,EU_V,2012-01-01,100.0
LCA,I12,EU_V,2015-01-01,103.9
LCA,I12,FI,2009-01-01,
LCA,I12,FI,2012-01-01,100.0
LCA,I12,FI,2015-01-01,103.8
LCA,I12,FR,2009-01-01,
LCA,I12,FR,2012-01-01,100.0
LCA,I12,FR,2015-01-01,102.9
LCA,I12,HU,2009-01-01,
LCA,I12,HU,2012-01-01,100.0
LCA,I12,HU,2015-01-01,107.9
LCA,I12,IE,2009-01-01,
LCA,I12,IE,2012-01-01,100.0
LCA,I12,IE,2015-01-01,100.5
LCA,I12,IT,2009-01-01,
LCA,I12,IT,2012-01-01,100.0
LCA,I12,IT,2015-01-01,102.4
LCA,I12,LT,2009-01-01,
LCA,I12,LT,2012-01-01,100.0
LCA,I12,LT,2015-01-01,103.8
LCA,I12,LU,2009-01-01,
LCA,I12,LU,2012-01-01,100.0
LCA,I12,LU,2015-01-01,101.2
LCA,I12,LV,2009-01-01,
LCA,I12,LV,2012-01-01,100.0
LCA,I12,LV,2015-01-01,103.0
LCA,I12,MT,2009-01-01,
LCA,I12,MT,2012-01-01,100.0
LCA,I12,MT,2015-01-01,100.0
LCA,I12,NL,2009-01-01,
LCA,I12,NL,2012-01-01,100.0
LCA,I12,NL,2015-01-01,105.7
LCA,I12,PL,2009-01-01,
LCA,I12,PL,2012-01-01,100.0
LCA,I12,PL,2015-01-01,103.9
LCA,I12,PT,2009-01-01,
LCA,I12,PT,2012-01-01,100.0
LCA,I12,PT,2015-01-01,102.6
LCA,I12,RO,2009-01-01,
LCA,I12,RO,2012-01-01,100.0
LCA,I12,RO,2015-01-01,105.4
LCA,I12,SE,2009-01-01,
LCA,I12,SE,2012-01-01,100.0
LCA,I12,SE,2015-01-01,107.1
LCA,I12,SI,2009-01-01,
LCA,I12,SI,2012-01-01,100.0
LCA,I12,SI,2015-01-01,102.8
LCA,I12,SK,2009-01-01,
LCA,I12,SK,2012-01-01,100.0
LCA,I12,SK,2015-01-01,107.3
LCA,I12,UK,2009-01-01,
LCA,I12,UK,2012-01-01,100.0
LCA,I12,UK,2015-01-01,105.1
LCA,KM2,AT,2009-01-01,3291.0
LCA,KM2,AT,2012-01-01,3483.0
LCA,KM2,AT,2015-01-01,3589.0
LCA,KM2,BE,2009-01-01,3042.0
LCA,KM2,BE,2012-01-01,3325.0
LCA,KM2,BE,2015-01-01,3493.0
LCA,KM2,BG,2009-01-01,
LCA,KM2,BG,2012-01-01,1913.0
LCA,KM2,BG,2015-01-01,2050.0
LCA,KM2,CY,2009-01-01,
LCA,KM2,CY,2012-01-01,473.0
LCA,KM2,CY,2015-01-01,495.0
LCA,KM2,CZ,2009-01-01,3361.0
LCA,KM2,CZ,2012-01-01,3478.0
LCA,KM2,CZ,2015-01-01,3647.0
LCA,KM2,DE,2009-01-01,24472.0
LCA,KM2,DE,2012-01-01,25259.0
LCA,KM2,DE,2015-01-01,26404.0
LCA,KM2,DK,2009-01-01,2779.0
LCA,KM2,DK,2012-01-01,2872.0
LCA,KM2,DK,2015-01-01,2968.0
LCA,KM2,EE,2009-01-01,814.0
LCA,KM2,EE,2012-01-01,852.0
LCA,KM2,EE,2015-01-01,897.0
LCA,KM2,EL,2009-01-01,3824.0
LCA,KM2,EL,2012-01-01,4290.0
LCA,KM2,EL,2015-01-01,4487.0
LCA,KM2,ES,2009-01-01,15761.0
LCA,KM2,ES,2012-01-01,16392.0
LCA,KM2,ES,2015-01-01,16960.0
LCA,KM2,EU27,2009-01-01,
LCA,KM2,EU27,2012-01-01,174061.0
LCA,KM2,EU27,2015-01-01,181043.0
LCA,KM2,EU28,2009-01-01,
LCA,KM2,EU28,2012-01-01,
LCA,KM2,EU28,2015-01-01,183122.0
LCA,KM2,EU_V,2009-01-01,160770.0
LCA,KM2,EU_V,2012-01-01,166733.0
LCA,KM2,EU_V,2015-01-01,173295.0
LCA,KM2,FI,2009-01-01,5134.0
LCA,KM2,FI,2012-01-01,5326.0
LCA,KM2,FI,2015-01-01,5531.0
LCA,KM2,FR,2009-01-01,27847.0
LCA,KM2,FR,2012-01-01,28574.0
LCA,KM2,FR,2015-01-01,29415.0
LCA,KM2,HR,2009-01-01,
LCA,KM2,HR,2012-01-01,
LCA,KM2,HR,2015-01-01,2079.0
LCA,KM2,HU,2009-01-01,3351.0
LCA,KM2,HU,2012-01-01,3536.0
LCA,KM2,HU,2015-01-01,3814.0
LCA,KM2,IE,2009-01-01,2581.0
LCA,KM2,IE,2012-01-01,2671.0
LCA,KM2,IE,2015-01-01,2684.0
LCA,KM2,IT,2009-01-01,19815.0
LCA,KM2,IT,2012-01-01,20346.0
LCA,KM2,IT,2015-01-01,20837.0
LCA,KM2,LT,2009-01-01,1693.0
LCA,KM2,LT,2012-01-01,1729.0
LCA,KM2,LT,2015-01-01,1795.0
LCA,KM2,LU,2009-01-01,230.0
LCA,KM2,LU,2012-01-01,252.0
LCA,KM2,LU,2015-01-01,255.0
LCA,KM2,LV,2009-01-01,1000.0
LCA,KM2,LV,2012-01-01,1018.0
LCA,KM2,LV,2015-01-01,1049.0
LCA,KM2,MT,2009-01-01,
LCA,KM2,MT,2012-01-01,75.0
LCA,KM2,MT,2015-01-01,75.0
LCA,KM2,NL,2009-01-01,4047.0
LCA,KM2,NL,2012-01-01,4290.0
LCA,KM2,NL,2015-01-01,4535.0
LCA,KM2,PL,2009-01-01,10059.0
LCA,KM2,PL,2012-01-01,10364.0
LCA,KM2,PL,2015-01-01,10770.0
LCA,KM2,PT,2009-01-01,4511.0
LCA,KM2,PT,2012-01-01,4625.0
LCA,KM2,PT,2015-01-01,4744.0
LCA,KM2,RO,2009-01-01,
LCA,KM2,RO,2012-01-01,4867.0
LCA,KM2,RO,2015-01-01,5129.0
LCA,KM2,SE,2009-01-01,6586.0
LCA,KM2,SE,2012-01-01,6810.0
LCA,KM2,SE,2015-01-01,7295.0
LCA,KM2,SI,2009-01-01,609.0
LCA,KM2,SI,2012-01-01,645.0
LCA,KM2,SI,2015-01-01,663.0
LCA,KM2,SK,2009-01-01,1272.0
LCA,KM2,SK,2012-01-01,1361.0
LCA,KM2,SK,2015-01-01,1461.0
LCA,KM2,UK,2009-01-01,14693.0
LCA,KM2,UK,2012-01-01,15233.0
LCA,KM2,UK,2015-01-01,16003.0
LCA,M2_HAB,AT,2009-01-01,394.4
LCA,M2_HAB,AT,2012-01-01,413.2
LCA,M2_HAB,AT,2015-01-01,415.7
LCA,M2_HAB,BE,2009-01-01,281.8
LCA,M2_HAB,BE,2012-01-01,298.8
LCA,M2_HAB,BE,2015-01-01,309.8
LCA,M2_HAB,BG,2009-01-01,
LCA,M2_HAB,BG,2012-01-01,261.8
LCA,M2_HAB,BG,2015-01-01,285.6
LCA,M2_HAB,CY,2009-01-01,
LCA,M2_HAB,CY,2012-01-01,547.5
LCA,M2_HAB,CY,2015-01-01,584.0
LCA,M2_HAB,CZ,2009-01-01,321.8
LCA,M2_HAB,CZ,2012-01-01,330.9
LCA,M2_HAB,CZ,2015-01-01,345.8
LCA,M2_HAB,DE,2009-01-01,298.8
LCA,M2_HAB,DE,2012-01-01,314.1
LCA,M2_HAB,DE,2015-01-01,323.2
LCA,M2_HAB,DK,2009-01-01,503.2
LCA,M2_HAB,DK,2012-01-01,513.6
LCA,M2_HAB,DK,2015-01-01,522.2
LCA,M2_HAB,EE,2009-01-01,610.0
LCA,M2_HAB,EE,2012-01-01,644.1
LCA,M2_HAB,EE,2015-01-01,681.9
LCA,M2_HAB,EL,2009-01-01,368.9
LCA,M2_HAB,EL,2012-01-01,388.4
LCA,M2_HAB,EL,2015-01-01,414.7
LCA,M2_HAB,ES,2009-01-01,365.7
LCA,M2_HAB,ES,2012-01-01,368.3
LCA,M2_HAB,ES,2015-01-01,384.2
LCA,M2_HAB,EU27,2009-01-01,
LCA,M2_HAB,EU27,2012-01-01,351.2
LCA,M2_HAB,EU27,2015-01-01,361.9
LCA,M2_HAB,EU28,2009-01-01,
LCA,M2_HAB,EU28,2012-01-01,
LCA,M2_HAB,EU28,2015-01-01,363.0
LCA,M2_HAB,EU_V,2009-01-01,347.3
LCA,M2_HAB,EU_V,2012-01-01,357.0
LCA,M2_HAB,EU_V,2015-01-01,367.2
LCA,M2_HAB,FI,2009-01-01,966.6
LCA,M2_HAB,FI,2012-01-01,983.8
LCA,M2_HAB,FI,2015-01-01,1009.4
LCA,M2_HAB,FR,2009-01-01,444.7
LCA,M2_HAB,FR,2012-01-01,449.7
LCA,M2_HAB,FR,2015-01-01,456.2
LCA,M2_HAB,HR,2009-01-01,
LCA,M2_HAB,HR,2012-01-01,
LCA,M2_HAB,HR,2015-01-01,494.1
LCA,M2_HAB,HU,2009-01-01,334.3
LCA,M2_HAB,HU,2012-01-01,356.4
LCA,M2_HAB,HU,2015-01-01,387.5
LCA,M2_HAB,IE,2009-01-01,569.1
LCA,M2_HAB,IE,2012-01-01,582.3
LCA,M2_HAB,IE,2015-01-01,577.6
LCA,M2_HAB,IT,2009-01-01,335.3
LCA,M2_HAB,IT,2012-01-01,341.7
LCA,M2_HAB,IT,2015-01-01,343.1
LCA,M2_HAB,LT,2009-01-01,535.3
LCA,M2_HAB,LT,2012-01-01,578.7
LCA,M2_HAB,LT,2015-01-01,617.9
LCA,M2_HAB,LU,2009-01-01,462.0
LCA,M2_HAB,LU,2012-01-01,474.6
LCA,M2_HAB,LU,2015-01-01,447.7
LCA,M2_HAB,LV,2009-01-01,466.9
LCA,M2_HAB,LV,2012-01-01,500.4
LCA,M2_HAB,LV,2015-01-01,530.5
LCA,M2_HAB,MT,2009-01-01,
LCA,M2_HAB,MT,2012-01-01,178.8
LCA,M2_HAB,MT,2015-01-01,173.7
LCA,M2_HAB,NL,2009-01-01,244.8
LCA,M2_HAB,NL,2012-01-01,256.0
LCA,M2_HAB,NL,2015-01-01,267.7
LCA,M2_HAB,PL,2009-01-01,263.7
LCA,M2_HAB,PL,2012-01-01,272.3
LCA,M2_HAB,PL,2015-01-01,283.5
LCA,M2_HAB,PT,2009-01-01,448.6
LCA,M2_HAB,PT,2012-01-01,462.3
LCA,M2_HAB,PT,2015-01-01,481.4
LCA,M2_HAB,RO,2009-01-01,
LCA,M2_HAB,RO,2012-01-01,242.6
LCA,M2_HAB,RO,2015-01-01,258.8
LCA,M2_HAB,SE,2009-01-01,708.3
LCA,M2_HAB,SE,2012-01-01,715.4
LCA,M2_HAB,SE,2015-01-01,744.4
LCA,M2_HAB,SI,2009-01-01,298.6
LCA,M2_HAB,SI,2012-01-01,313.5
LCA,M2_HAB,SI,2015-01-01,321.3
LCA,M2_HAB,SK,2009-01-01,236.2
LCA,M2_HAB,SK,2012-01-01,251.7
LCA,M2_HAB,SK,2015-01-01,269.4
LCA,M2_HAB,UK,2009-01-01,235.9
LCA,M2_HAB,UK,2012-01-01,239.1
LCA,M2_HAB,UK,2015-01-01,245.7
