age,geotime,date,value
Y_LT3,HR,2010-01-01,11.0 
Y_LT3,HR,2011-01-01,14.0 
Y_LT3,HR,2012-01-01,11.0 
Y_LT3,HR,2013-01-01,11.0 
Y_LT3,HR,2014-01-01,17.1 
Y_LT3,HR,2015-01-01,11.8 
Y_LT3,HR,2016-01-01,15.6 
Y_LT3,HU,2005-01-01,7.0 
Y_LT3,HU,2006-01-01,8.0 
Y_LT3,HU,2007-01-01,8.0 
Y_LT3,HU,2008-01-01,7.0 
Y_LT3,HU,2009-01-01,7.0 
Y_LT3,HU,2010-01-01,9.0 
Y_LT3,HU,2011-01-01,8.0 
Y_LT3,HU,2012-01-01,8.0 
Y_LT3,HU,2013-01-01,10.0 
Y_LT3,HU,2014-01-01,14.3 
Y_LT3,HU,2015-01-01,15.3 
Y_LT3,HU,2016-01-01,15.6 
Y_LT3,IE,2005-01-01,20.0 
Y_LT3,IE,2006-01-01,18.0 
Y_LT3,IE,2007-01-01,23.0 
Y_LT3,IE,2008-01-01,24.0 
Y_LT3,IE,2009-01-01,20.0 
Y_LT3,IE,2010-01-01,29.0 
Y_LT3,IE,2011-01-01,21.0 
Y_LT3,IE,2012-01-01,31.0 
Y_LT3,IE,2013-01-01,28.0 
Y_LT3,IE,2014-01-01,27.4 
Y_LT3,IE,2015-01-01,30.6 
Y_LT3,IE,2016-01-01,28.6 
Y_LT3,IS,2005-01-01,41.0 
Y_LT3,IS,2006-01-01,33.0 
Y_LT3,IS,2007-01-01,41.0 
Y_LT3,IS,2008-01-01,40.0 
Y_LT3,IS,2009-01-01,41.0 
Y_LT3,IS,2010-01-01,40.0 
Y_LT3,IS,2011-01-01,39.0 
Y_LT3,IS,2012-01-01,41.0 
Y_LT3,IS,2013-01-01,44.0 
Y_LT3,IS,2014-01-01,42.8 
Y_LT3,IS,2015-01-01,43.8 
Y_LT3,IS,2016-01-01,64.7 
Y_LT3,IT,2005-01-01,25.0 
Y_LT3,IT,2006-01-01,25.0 
Y_LT3,IT,2007-01-01,24.0 
Y_LT3,IT,2008-01-01,27.0 
Y_LT3,IT,2009-01-01,25.0 
Y_LT3,IT,2010-01-01,22.0 
Y_LT3,IT,2011-01-01,26.0 
Y_LT3,IT,2012-01-01,20.0 
Y_LT3,IT,2013-01-01,21.0 
Y_LT3,IT,2014-01-01,22.9 
Y_LT3,IT,2015-01-01,27.3 
Y_LT3,IT,2016-01-01,34.4 
Y_LT3,LT,2005-01-01,11.0 
Y_LT3,LT,2006-01-01,5.0 
Y_LT3,LT,2007-01-01,20.0 
Y_LT3,LT,2008-01-01,9.0 
Y_LT3,LT,2009-01-01,11.0 
Y_LT3,LT,2010-01-01,14.0 
Y_LT3,LT,2011-01-01,9.0 
Y_LT3,LT,2012-01-01,8.0 
Y_LT3,LT,2013-01-01,10.0 
Y_LT3,LT,2014-01-01,22.9 
Y_LT3,LT,2015-01-01,9.7 
Y_LT3,LT,2016-01-01,15.2 
Y_LT3,LU,2005-01-01,22.0 
Y_LT3,LU,2006-01-01,31.0 
Y_LT3,LU,2007-01-01,25.0 
Y_LT3,LU,2008-01-01,26.0 
Y_LT3,LU,2009-01-01,34.0 
Y_LT3,LU,2010-01-01,36.0 
Y_LT3,LU,2011-01-01,43.0 
Y_LT3,LU,2012-01-01,48.0 
Y_LT3,LU,2013-01-01,46.0 
Y_LT3,LU,2014-01-01,49.0 
Y_LT3,LU,2015-01-01,51.9 
Y_LT3,LU,2016-01-01,50.9 
Y_LT3,LV,2005-01-01,16.0 
Y_LT3,LV,2006-01-01,17.0 
Y_LT3,LV,2007-01-01,16.0 
Y_LT3,LV,2008-01-01,13.0 
Y_LT3,LV,2009-01-01,15.0 
Y_LT3,LV,2010-01-01,18.0 
Y_LT3,LV,2011-01-01,16.0 
Y_LT3,LV,2012-01-01,24.0 
Y_LT3,LV,2013-01-01,23.0 
Y_LT3,LV,2014-01-01,21.6 
