age,sex,workint,indic_il,hhtyp,geotime,date,value
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CY,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CY,2016-01-01,51
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CY,2017-01-01,47
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CZ,2006-01-01,54
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CZ,2007-01-01,61
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CZ,2008-01-01,55
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CZ,2009-01-01,57
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CZ,2010-01-01,57
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CZ,2011-01-01,58
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CZ,2012-01-01,54
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CZ,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CZ,2014-01-01,67
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CZ,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CZ,2016-01-01,70
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CZ,2017-01-01,64
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DE,2006-01-01,45
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DE,2007-01-01,56
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DE,2008-01-01,64
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DE,2009-01-01,67
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DE,2010-01-01,67
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DE,2011-01-01,68
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DE,2012-01-01,68
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DE,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DE,2014-01-01,65
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DE,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,DE,2016-01-01,66
