currency,s_adj,sector10,sectpart,stk_flow,partner,bop_item,geotime,date,value
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EA19,2018-04-01,41853
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EA19,2018-05-01,16162
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EA19,2018-06-01,28690
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EA19,2018-07-01,24863
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EA19,2018-08-01,5863
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EE,2017-09-01,98
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EE,2017-10-01,24
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EE,2017-11-01,19
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EE,2017-12-01,73
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EE,2018-01-01,3
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EE,2018-02-01,94
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EE,2018-03-01,67
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EE,2018-04-01,55
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EE,2018-05-01,4
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EE,2018-06-01,67
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EE,2018-07-01,19
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EE,2018-08-01,82
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EL,2017-09-01,280
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EL,2017-10-01,201
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EL,2017-11-01,226
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EL,2017-12-01,84
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EL,2018-01-01,224
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EL,2018-02-01,1
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EL,2018-03-01,216
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EL,2018-04-01,418
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EL,2018-05-01,299
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EL,2018-06-01,46
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EL,2018-07-01,419
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EL,2018-08-01,421
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,ES,2017-09-01,2618
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,ES,2017-10-01,3888
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,ES,2017-11-01,3326
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,ES,2017-12-01,5062
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,ES,2018-01-01,3737
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,ES,2018-02-01,330
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,ES,2018-03-01,2175
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,ES,2018-04-01,3837
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,ES,2018-05-01,4741
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,ES,2018-06-01,3901
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,ES,2018-07-01,4744
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,ES,2018-08-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FI,2017-09-01,5840
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FI,2017-10-01,6283
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FI,2017-11-01,5831
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FI,2017-12-01,5982
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FI,2018-01-01,233
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FI,2018-02-01,1507
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FI,2018-03-01,2040
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FI,2018-04-01,149
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FI,2018-05-01,3862
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FI,2018-06-01,2321
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FI,2018-07-01,320
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FI,2018-08-01,3383
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FR,2017-09-01,15091
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FR,2017-10-01,20316
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FR,2017-11-01,9746
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FR,2017-12-01,15989
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FR,2018-01-01,18967
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FR,2018-02-01,1591
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FR,2018-03-01,17441
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FR,2018-04-01,16711
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FR,2018-05-01,8923
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FR,2018-06-01,15336
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FR,2018-07-01,2421
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,FR,2018-08-01,2299
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,HR,2017-09-01,977
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,HR,2017-10-01,217
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,HR,2017-11-01,162
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,HR,2017-12-01,30
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,HR,2018-01-01,812
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,HR,2018-02-01,116
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,HR,2018-03-01,274
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,HR,2018-04-01,192
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,HR,2018-05-01,94
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,HR,2018-06-01,187
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,HR,2018-07-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,HR,2018-08-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IE,2017-09-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IE,2017-10-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IE,2017-11-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IE,2017-12-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IE,2018-01-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IE,2018-02-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IE,2018-03-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IE,2018-04-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IE,2018-05-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IE,2018-06-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IE,2018-07-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IE,2018-08-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IT,2017-09-01,1302
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IT,2017-10-01,1020
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IT,2017-11-01,7267
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IT,2017-12-01,6423
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IT,2018-01-01,3140
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IT,2018-02-01,2278
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IT,2018-03-01,4388
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IT,2018-04-01,5284
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IT,2018-05-01,2724
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IT,2018-06-01,3606
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IT,2018-07-01,2723
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,IT,2018-08-01,1369
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LT,2017-09-01,85
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LT,2017-10-01,332
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LT,2017-11-01,42
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LT,2017-12-01,106
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LT,2018-01-01,206
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LT,2018-02-01,43
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LT,2018-03-01,26
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LT,2018-04-01,86
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LT,2018-05-01,116
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LT,2018-06-01,207
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LT,2018-07-01,137
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LT,2018-08-01,233
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LU,2017-09-01,0
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LU,2017-10-01,0
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LU,2017-11-01,0
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LU,2017-12-01,0
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LU,2018-01-01,0
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LU,2018-02-01,0
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LU,2018-03-01,0
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LU,2018-04-01,0
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LU,2018-05-01,0
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LU,2018-06-01,0
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LU,2018-07-01,4
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LU,2018-08-01,0
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LV,2017-09-01,167
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LV,2017-10-01,79
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LV,2017-11-01,49
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LV,2017-12-01,9
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LV,2018-01-01,130
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LV,2018-02-01,17
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LV,2018-03-01,140
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LV,2018-04-01,257
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LV,2018-05-01,96
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LV,2018-06-01,158
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LV,2018-07-01,51
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,LV,2018-08-01,53
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MK,2017-09-01,0
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MK,2017-10-01,5
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MK,2017-11-01,5
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MK,2017-12-01,4
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MK,2018-01-01,1
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MK,2018-02-01,4
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MK,2018-03-01,8
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MK,2018-04-01,1
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MK,2018-05-01,1
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MK,2018-06-01,12
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MK,2018-07-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MK,2018-08-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MT,2017-09-01,12
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MT,2017-10-01,39
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MT,2017-11-01,156
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MT,2017-12-01,70
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MT,2018-01-01,153
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MT,2018-02-01,209
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MT,2018-03-01,204
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MT,2018-04-01,40
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MT,2018-05-01,47
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MT,2018-06-01,267
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MT,2018-07-01,201
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,MT,2018-08-01,202
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,NL,2017-09-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,NL,2017-10-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,NL,2017-11-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,NL,2017-12-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,NL,2018-01-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,NL,2018-02-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,NL,2018-03-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,NL,2018-04-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,NL,2018-05-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,NL,2018-06-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,NL,2018-07-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,NL,2018-08-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PL,2017-09-01,680
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PL,2017-10-01,437
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PL,2017-11-01,845
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PL,2017-12-01,1011
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PL,2018-01-01,877
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PL,2018-02-01,511
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PL,2018-03-01,269
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PL,2018-04-01,752
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PL,2018-05-01,881
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PL,2018-06-01,344
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PL,2018-07-01,411
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PL,2018-08-01,372
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PT,2017-09-01,454
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PT,2017-10-01,505
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PT,2017-11-01,53
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PT,2017-12-01,18
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PT,2018-01-01,380
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,PT,2018-02-01,13
