indic_en,unit,geotime,date,value
119800,PC,PT,2015-01-01,
119800,PC,PT,2016-01-01,
119800,PC,RO,2004-01-01,16
119800,PC,RO,2005-01-01,
119800,PC,RO,2006-01-01,
119800,PC,RO,2007-01-01,
119800,PC,RO,2008-01-01,
119800,PC,RO,2009-01-01,
119800,PC,RO,2010-01-01,
119800,PC,RO,2011-01-01,
119800,PC,RO,2012-01-01,
119800,PC,RO,2013-01-01,
119800,PC,RO,2014-01-01,
119800,PC,RO,2015-01-01,
119800,PC,RO,2016-01-01,
119800,PC,RS,2004-01-01,12
119800,PC,RS,2005-01-01,
119800,PC,RS,2006-01-01,
119800,PC,RS,2007-01-01,
119800,PC,RS,2008-01-01,
119800,PC,RS,2009-01-01,
119800,PC,RS,2010-01-01,
119800,PC,RS,2011-01-01,
119800,PC,RS,2012-01-01,
119800,PC,RS,2013-01-01,
119800,PC,RS,2014-01-01,
119800,PC,RS,2015-01-01,
119800,PC,RS,2016-01-01,
119800,PC,SE,2004-01-01,38
119800,PC,SE,2005-01-01,
119800,PC,SE,2006-01-01,
119800,PC,SE,2007-01-01,
119800,PC,SE,2008-01-01,
119800,PC,SE,2009-01-01,
119800,PC,SE,2010-01-01,
119800,PC,SE,2011-01-01,
119800,PC,SE,2012-01-01,
119800,PC,SE,2013-01-01,
119800,PC,SE,2014-01-01,
119800,PC,SE,2015-01-01,
119800,PC,SE,2016-01-01,
119800,PC,SI,2004-01-01,16
119800,PC,SI,2005-01-01,
119800,PC,SI,2006-01-01,
119800,PC,SI,2007-01-01,
119800,PC,SI,2008-01-01,
119800,PC,SI,2009-01-01,
119800,PC,SI,2010-01-01,
119800,PC,SI,2011-01-01,
119800,PC,SI,2012-01-01,
119800,PC,SI,2013-01-01,
119800,PC,SI,2014-01-01,
119800,PC,SI,2015-01-01,
119800,PC,SI,2016-01-01,
119800,PC,SK,2004-01-01,6
119800,PC,SK,2005-01-01,
119800,PC,SK,2006-01-01,
119800,PC,SK,2007-01-01,
119800,PC,SK,2008-01-01,
119800,PC,SK,2009-01-01,
119800,PC,SK,2010-01-01,
119800,PC,SK,2011-01-01,
119800,PC,SK,2012-01-01,
119800,PC,SK,2013-01-01,
119800,PC,SK,2014-01-01,
119800,PC,SK,2015-01-01,
119800,PC,SK,2016-01-01,
119800,PC,UK,2004-01-01,1
119800,PC,UK,2005-01-01,
119800,PC,UK,2006-01-01,
119800,PC,UK,2007-01-01,
119800,PC,UK,2008-01-01,
119800,PC,UK,2009-01-01,
119800,PC,UK,2010-01-01,
119800,PC,UK,2011-01-01,
119800,PC,UK,2012-01-01,
119800,PC,UK,2013-01-01,
119800,PC,UK,2014-01-01,
119800,PC,UK,2015-01-01,
119800,PC,UK,2016-01-01,
