worktime,age,unit,geotime,date,value
PT,Y20-64,PC_EMP,FI,2009-01-01,9.4
PT,Y20-64,PC_EMP,FI,2010-01-01,9.4
PT,Y20-64,PC_EMP,FI,2011-01-01,9.2
PT,Y20-64,PC_EMP,FI,2012-01-01,9.5
PT,Y20-64,PC_EMP,FI,2013-01-01,9.8
PT,Y20-64,PC_EMP,FI,2014-01-01,9.4
PT,Y20-64,PC_EMP,FI,2015-01-01,8.4
PT,Y20-64,PC_EMP,FI,2016-01-01,9.5
PT,Y20-64,PC_EMP,FI,2017-01-01,9.9
PT,Y20-64,PC_EMP,FR,2005-01-01,
PT,Y20-64,PC_EMP,FR,2006-01-01,
PT,Y20-64,PC_EMP,FR,2007-01-01,
PT,Y20-64,PC_EMP,FR,2008-01-01,
PT,Y20-64,PC_EMP,FR,2009-01-01,
PT,Y20-64,PC_EMP,FR,2010-01-01,
PT,Y20-64,PC_EMP,FR,2011-01-01,
PT,Y20-64,PC_EMP,FR,2012-01-01,
PT,Y20-64,PC_EMP,FR,2013-01-01,
PT,Y20-64,PC_EMP,FR,2014-01-01,23.1
PT,Y20-64,PC_EMP,FR,2015-01-01,22.7
PT,Y20-64,PC_EMP,FR,2016-01-01,22.2
PT,Y20-64,PC_EMP,FR,2017-01-01,21.9
PT,Y20-64,PC_EMP,FX,2005-01-01,24.8
PT,Y20-64,PC_EMP,FX,2006-01-01,24.8
PT,Y20-64,PC_EMP,FX,2007-01-01,25.0
PT,Y20-64,PC_EMP,FX,2008-01-01,24.0
PT,Y20-64,PC_EMP,FX,2009-01-01,24.1
PT,Y20-64,PC_EMP,FX,2010-01-01,23.7
PT,Y20-64,PC_EMP,FX,2011-01-01,23.6
PT,Y20-64,PC_EMP,FX,2012-01-01,23.6
PT,Y20-64,PC_EMP,FX,2013-01-01,23.8
PT,Y20-64,PC_EMP,FX,2014-01-01,23.3
PT,Y20-64,PC_EMP,FX,2015-01-01,22.8
PT,Y20-64,PC_EMP,FX,2016-01-01,22.4
PT,Y20-64,PC_EMP,FX,2017-01-01,22.0
PT,Y20-64,PC_EMP,HR,2005-01-01,5.0
PT,Y20-64,PC_EMP,HR,2006-01-01,3.5
PT,Y20-64,PC_EMP,HR,2007-01-01,3.7
PT,Y20-64,PC_EMP,HR,2008-01-01,3.8
PT,Y20-64,PC_EMP,HR,2009-01-01,3.8
PT,Y20-64,PC_EMP,HR,2010-01-01,4.3
PT,Y20-64,PC_EMP,HR,2011-01-01,3.6
PT,Y20-64,PC_EMP,HR,2012-01-01,2.3
PT,Y20-64,PC_EMP,HR,2013-01-01,1.7
PT,Y20-64,PC_EMP,HR,2014-01-01,2.7
PT,Y20-64,PC_EMP,HR,2015-01-01,2.6
PT,Y20-64,PC_EMP,HR,2016-01-01,2.7
PT,Y20-64,PC_EMP,HR,2017-01-01,2.2
PT,Y20-64,PC_EMP,HU,2005-01-01,3.2
PT,Y20-64,PC_EMP,HU,2006-01-01,2.9
PT,Y20-64,PC_EMP,HU,2007-01-01,3.0
PT,Y20-64,PC_EMP,HU,2008-01-01,2.8
PT,Y20-64,PC_EMP,HU,2009-01-01,3.4
PT,Y20-64,PC_EMP,HU,2010-01-01,4.0
PT,Y20-64,PC_EMP,HU,2011-01-01,4.3
PT,Y20-64,PC_EMP,HU,2012-01-01,5.1
PT,Y20-64,PC_EMP,HU,2013-01-01,4.8
PT,Y20-64,PC_EMP,HU,2014-01-01,4.2
PT,Y20-64,PC_EMP,HU,2015-01-01,3.6
PT,Y20-64,PC_EMP,HU,2016-01-01,3.6
PT,Y20-64,PC_EMP,HU,2017-01-01,3.6
PT,Y20-64,PC_EMP,IE,2005-01-01,24.5
PT,Y20-64,PC_EMP,IE,2006-01-01,24.0
PT,Y20-64,PC_EMP,IE,2007-01-01,23.9
PT,Y20-64,PC_EMP,IE,2008-01-01,23.4
PT,Y20-64,PC_EMP,IE,2009-01-01,22.5
PT,Y20-64,PC_EMP,IE,2010-01-01,22.5
PT,Y20-64,PC_EMP,IE,2011-01-01,22.0
PT,Y20-64,PC_EMP,IE,2012-01-01,20.9
PT,Y20-64,PC_EMP,IE,2013-01-01,20.8
PT,Y20-64,PC_EMP,IE,2014-01-01,20.0
PT,Y20-64,PC_EMP,IE,2015-01-01,20.3
PT,Y20-64,PC_EMP,IE,2016-01-01,19.7
PT,Y20-64,PC_EMP,IE,2017-01-01,19.7
PT,Y20-64,PC_EMP,IS,2005-01-01,28.4
PT,Y20-64,PC_EMP,IS,2006-01-01,
PT,Y20-64,PC_EMP,IS,2007-01-01,27.1
PT,Y20-64,PC_EMP,IS,2008-01-01,23.9
PT,Y20-64,PC_EMP,IS,2009-01-01,23.7
PT,Y20-64,PC_EMP,IS,2010-01-01,23.2
PT,Y20-64,PC_EMP,IS,2011-01-01,21.4
PT,Y20-64,PC_EMP,IS,2012-01-01,19.4
PT,Y20-64,PC_EMP,IS,2013-01-01,20.1
PT,Y20-64,PC_EMP,IS,2014-01-01,23.8
PT,Y20-64,PC_EMP,IS,2015-01-01,23.5
PT,Y20-64,PC_EMP,IS,2016-01-01,24.3
PT,Y20-64,PC_EMP,IS,2017-01-01,23.9
PT,Y20-64,PC_EMP,IT,2005-01-01,21.2
PT,Y20-64,PC_EMP,IT,2006-01-01,22.1
PT,Y20-64,PC_EMP,IT,2007-01-01,22.3
PT,Y20-64,PC_EMP,IT,2008-01-01,22.9
PT,Y20-64,PC_EMP,IT,2009-01-01,23.1
PT,Y20-64,PC_EMP,IT,2010-01-01,23.9
PT,Y20-64,PC_EMP,IT,2011-01-01,23.8
PT,Y20-64,PC_EMP,IT,2012-01-01,24.3
PT,Y20-64,PC_EMP,IT,2013-01-01,24.3
PT,Y20-64,PC_EMP,IT,2014-01-01,24.4
PT,Y20-64,PC_EMP,IT,2015-01-01,24.5
PT,Y20-64,PC_EMP,IT,2016-01-01,24.6
PT,Y20-64,PC_EMP,IT,2017-01-01,24.3
PT,Y20-64,PC_EMP,LT,2005-01-01,3.7
PT,Y20-64,PC_EMP,LT,2006-01-01,4.0
PT,Y20-64,PC_EMP,LT,2007-01-01,3.2
PT,Y20-64,PC_EMP,LT,2008-01-01,3.4
PT,Y20-64,PC_EMP,LT,2009-01-01,2.5
PT,Y20-64,PC_EMP,LT,2010-01-01,2.5
PT,Y20-64,PC_EMP,LT,2011-01-01,3.2
PT,Y20-64,PC_EMP,LT,2012-01-01,3.7
PT,Y20-64,PC_EMP,LT,2013-01-01,3.9
PT,Y20-64,PC_EMP,LT,2014-01-01,4.3
PT,Y20-64,PC_EMP,LT,2015-01-01,4.3
PT,Y20-64,PC_EMP,LT,2016-01-01,3.4
PT,Y20-64,PC_EMP,LT,2017-01-01,3.7
PT,Y20-64,PC_EMP,LU,2005-01-01,36.0
PT,Y20-64,PC_EMP,LU,2006-01-01,34.0
PT,Y20-64,PC_EMP,LU,2007-01-01,34.8
PT,Y20-64,PC_EMP,LU,2008-01-01,35.8
PT,Y20-64,PC_EMP,LU,2009-01-01,30.5
PT,Y20-64,PC_EMP,LU,2010-01-01,32.5
PT,Y20-64,PC_EMP,LU,2011-01-01,31.6
PT,Y20-64,PC_EMP,LU,2012-01-01,31.4
PT,Y20-64,PC_EMP,LU,2013-01-01,31.0
PT,Y20-64,PC_EMP,LU,2014-01-01,30.9
PT,Y20-64,PC_EMP,LU,2015-01-01,28.1
PT,Y20-64,PC_EMP,LU,2016-01-01,28.7
PT,Y20-64,PC_EMP,LU,2017-01-01,29.4
